audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wosif teriga ta akil al ita gi faidha akil yoyote al gi awun na nafsi taki gi ma bi jib neita madhara yoyote ama bi jib neita ayan fi gildu ama bi jib neita ayan yoyote al bi jib problem neita fi gildu yani akil al gi awun afiya taki al ma bi jib nesa afiya taki gi awun na nafsi taki ya wu gi akil al gi jib ayan dole de fi gildu
spontaneous-speech-kcn-22127.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana agder akul ya akil yoyote kalam Ayan Milan wu akil gi jib akil la fi barau barau al gi jib Ayan fi gildu ase ana agder akul akil al bi jibu ayan al ma gi jib naana Ayan yoyote fi gildu jaa Ina siku yatu Ayan al gi jib gamurugu af gi numus fogo amurugu mma gi jib Ayan yoyote fi gildu jaa Ayan al bi jib Ayan al bi jib gamurugu amurugu mma gi numus fogo amurugu mma
spontaneous-speech-kcn-22154.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	Taalim gi raba bee gi jib faham ana mujtamiya yani gi raba anas anas gi wasa fikira al ma gi raba anas fikira al gi arija anas wara yani gi amurugu anas min fikira tawiri gi wedi anas fikira al gidam al bi raba anas al bi raba beene ah ah
spontaneous-speech-kcn-22169.mp3	Ana ma gi hafiz gurus tai fi bank yani sabab to gurus tai bank ah fogo rufa ta maisha dukuru ah deen ab tai ma gi rudu rufa yani ta sun ya gi zidu fi ras ta ya gurus ab tai ana gi hafiz fi bank ma	Ana ma gi afidu gurush tayi fi bank yani sabab to gurush ta bank ah fogo gurushwa ida marushwa dukuru adi naf tayi ma gi rudu rushwa ana saa sunu kede zidu furash gurush tayi ya gurush ab tayi ana gi afidu fi bank kaman ana gi afidu gurush ta bank ma adi marushwa duku marushwa duku marishwa tan ya gurush ta bank ma ta rujal tena ini
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	Libu al yal gi ala fi umma tai libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasur tomon yani li libu al gi alim omon terebiya tomon ladi sunu ya ajib terebiya tomon terebiya tomon gi raba kefin ma hafiz lib al gi jib al gi weri namna hafiz terebiya tomon li al gi jib hafiz ma tasur tomon yani li libu al gi alim omon
spontaneous-speech-kcn-22227.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	Teriga al uwo yatu teriga al madrasa fi kan ya tai saab yal ya yani amurugu zaman al milan mon gai fi kid fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya te riga al teriga al uwo gi gai fi adil teriga al madrasa gi gai fi adilu terebiya yatu
spontaneous-speech-kcn-22260.mp3	Kalam al kubarin te deen soo fi umma tena taulan raba deen tomon deen tena tomon tena me te anas kulu ta tinin ya geeru fahma yan amurugu fahma tena min fikira ta al kan te awiri arija fahma tena fi sokol al adil ma aruf sabab sunu ya ina fifi duniya in me sabab sun ya jib ina wu saba nare na fi wen wu saba ne gi rua wen wu ina gi rua kefin	Salam al kubarin te din soo fi umma tala awulan raba dini tomon dini tena tomon tena ma ta anus tena ya geru fahma yani amurugu fahma tena ma fikira ta al gan ta wiri ja fahma de ina fi sika al aju ma arufu Sabab sunu ya ina fi fahma ya giru fahma tomon tena ya geru fahma ya giru fahma
spontaneous-speech-kcn-22290.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	Taalim taalim ta yani ta mustashtfa bi weri je kumba je gal bada min balam arija kul logo baada na shar talata ama aruba shar talata ama shar aruba mara wai kulu abidu hafidh nafsi to yani hafidh nafsi de kede fi koabit nafsi to ya gi call it dasturi ya gi call it moyo nafsi to
spontaneous-speech-kcn-22307.mp3	Agder tamli ta awun yani teriga ta awun nafsi taki min muswiba ta prostate ya abidu tamam nafsi taki bediri ke ta aruf afiya taki gi doru kefin sun ya aju uwo wu kanb ta bi ligo kan te endi sun ya neta soo kabla uwo raba uwo jibu mustakbal tan ama uwo jibu ayan al ma bi agder tib uwo de ya teriga te awun ta min musi muswiba ta prote ta prostate	Agider ta hawi ta awun yani kinga awun nafsi taki min musiba ta prostate ya abidu tamam nafsi taki bediri ke ta aruf afiya taki gi doru kefin sunu ya aju wu kan ta bi ligo kan te endi sunu ya aju ke ta soo abidu tamam nafsi taki ma bediri ya abidu tamam nafsi taki
spontaneous-speech-kcn-22386.mp3	Stamil simu ana gi stamil simu mar milan ma wai ma tinin yani milan mar milan	Ana gistaman sima mar milan ma wai mati myan milan mar milan
spontaneous-speech-kcn-22429.mp3	Taulan ah taalim jibu no uwo nongus miskin fi usra tai kefin wa taulan ya faham ita ya munu sun sun ya aju ke ta soo wu sun ya bi amurugu ita fi hal al ta fogo de ja yatu je namna al taulan ya rudu badu ma kila fikra al gi awun yan program al government gi jibu te endi te amsuku mo badu fa tinin je namna al governmenti gi jib nena Parish development model pdm te talata yani ja government jib nena NAADS al kede geeru fikira kede hel geeru hal tai usra tena ya amsuku badu mo	Taulan ah taalim jibu uwo nongus muskin fi usra tai kefin wu taulan ya faham ita ya mon sun sun ya aju kede ita soo wu sun ya bi amurugu ita fi hali al fogo de ya yatu je namal taulan ya rudu badu me kila fika kaman rujal fi rujal tan ya taalim gi jibu ita ya fam
