audio_file	reference	hypothesis
spontaneous-speech-top-21770.mp3	Akit klakgati akgtun likaxtlawan wa ama xanat ama xanat klakgati akxni tunatlawayaw maxanatli ana nilayanaw nachuna akxni wayanaw waliya xpuitat puchow	Akit klakgati akgtun li kaxtlawan wa ama xanat ama xanat klakgati akxni tunalhlawayaw ama xanat li anani layanaw nachuna kxni wayanaw waliyaw xitat pucho
spontaneous-speech-top-32451.mp3	Akin makgachakgaya xlakata nina kinkachapayan tatat nachu tuna waya nakalakgchakgeya xlakata nina pasipaya watiya	Akin makgachakgaya xlakata ninakin kachapayanta natxutuna waya nakalakgchakgaya ninapasipana watiya
spontaneous-speech-top-32454.mp3	Akit akxni kamajaxa pues pala kamalatahuila pues pus kan nak kin corredor nak kin sillon nak pulatawuilh entonces kama tahuila chi gkama kgotnan chi quin chuchut pala wi xa limunax pala wi xa laxis xa papaya xa tutawui o tamahuanit nachu kama tlahua kin chuchuth pala senama o loknan y kama haxa nak kin putama mapasi kin pulakahuan y kama akshila kin programa ne ma kit lakathi y chipala lhkakanan snun latahula nak kiltin y kotnan chi chuchut laxhis o limunash chu chu akit jaxa o kama lhtata chu akit haxa	Akit akxni kamajaxa pues para kamalatawila pues pues kan akin corredor akin sillón akin pulatawila entonces kama kama tawilachi kama kama kama kotnan chi kin chuchut para wix limunas para wix lachis para wix papayas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix limunas para wix
spontaneous-speech-top-32455.mp3	Akit klakgati tawa wanikan wati putsakan xpakgen sekgna nachuna xaliwa paxni skitit pakglhcha tinipin xpupukan xa sekgna witi lapu chu lakchukukan laktsu laktsu lakglhkgomakan min skitit chu makchaya min tinipin pakglhcha xlakata naswakgakan chu lakglhkgomakan xatalakchukun liwa xapaxni makgchikan makatunu uyu tankapikan xatlamank chu talhkgoyokan akgtun hora akxni lakakatsiya chanita tlana makutukan Akit klakgati snun xatamakchichin	Akit klakgati tawa wanikan wati putsakan xpakgen serna nachuna xaliwapaxni skitit pakglhcha tinibin xpupukan xa serna wi tilapu chu lakchukukan laktsu laktsu lakglhomakan xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat xakgat
spontaneous-speech-top-32457.mp3	Nak kin pulataman pulux nachu lilakgapaskan muxusipi xtachiwin luwan Polutla lakgachixkuwikán sikulán tapakuwi La Asunción nikula kilhtsuku ja’e tamaxtumit paxkua ne talakatitayana nak pusikulan takpuxkún tsuku tapukipula tumin nak chiki pulataman nachuna taputsa tinakakgetaya sikulan ne nata natamakgtayanan la xanat chu pala natlawakán pinila mole wanikan xtachiwin luwan laktsiyunajli lakgpuskanitni ta’an taswakga pin limakxtun chu natsukukan ta tamuju chow kamawikan lakchixkuwin ne ta tawali tsukswit wama tsukswit likaxtlawanankán xlakakilhtin sikulan na chuna ana ni ya sikulán tsukukan putsakan ne chixku nalhkuyu limapankgan ama cohete na putsakan tinatatlakgnan wa chima lax xtalakgati lajkgolon makgán música de viento na wilapá tatantlí lakga lakgtsitsekge tantlin uyu takgchokgonankan ankan tiyakan sikula nán nak tun chiki xlakata natakgchokgonan liputum pulataman tlakgtiyakan nama sikulan nalinkan chi nak pusikulan nachu an ti ama tlawa ama xtachiwín es dios wa chi padre putsakan ti ama akpuxkun xakata na lhawan li lanka pulataman nachu tamaxtumikan xalakatunu ne kilhsu kilhtsutalamana wakg ta'an limakxtum uyu xlismalankgan tawila este	Naj kin pulataman pulux nachu lilakgapaskan muxu sipi xtachiwin luwan polutla lakgachixkuwikan sikulan tapakuwila asuncion nikula kiltsukuja e tapakxtumit paxkwa ne talakatitiyana nak pusikulan takpuxtun
spontaneous-speech-top-32458.mp3	JU´U AKXNI TITAPAXKGATNIT MAWIKAN MAKGPALHA XATAMAKCHICHIN NAK JALANAT NACHUNA KAMAGOTIKAN AKGLHKGOMA WITI TAMAPUPI XPAKGEN ASIWIT CHU TALIKGOTNAN	Jú akxni tita paxkgatnit ma wikan makpalha xa tamakchichin nak xalanat nachuna kamakgotikan akglhkoma wi ti tamapupi xpakgen asi wi chu talikgotnan
spontaneous-speech-top-32460.mp3	Ana´ nik lakltlawan kin pulataman lan tijia katilanka tayana lak lanka kiwi nachu lata ktlawama kakxila ixpipelekg skgawit tuta chu katilanka nachu wilapa akgtun ktsutijia ana´ nitanu putlaw wata talaklh tlawan wata ti kgalhi akchinchi chu xtakgatkga nak ama tijia mas skgawiwi wima tawilana kgiwi ni ni lakgakganankanit wili lanka kakiwi nachu tasikgo pupunu	Ana niklak tlawanakit kinpulataman lantijia katilanga tayana laklanga kiwi nachu lada tlawa kakxila xpipelg skgawituta chu katilanga nachu wila paxtun ktsu ktijia ana niklak tlawanakit kinpulataman lan tijia katilanga nachu lada tlawa kakxila xpipelg skgawituta chu katilanga nachu wila paxtun ktsu ktijia ana niklak tlawa kakxila xpipelg nachu wila paxtun ktsu ktijia
spontaneous-speech-top-32461.mp3	Nak kinpulataman muxusipi Lijikwanat lhkaknan chu xkgoyonan chchini tsisa mankganan pokglh tawila nitasi nikulaktlawana Akxni min sen tawila lhuwa putlun katsisni latiya lhkaknan chu taskgawiwi kilhtamaku lataxkgakgamaja kanxni senan nachuna lonkgnan kanikxniwa	Kinpulataman wuxusipi likhikwana tlkakgnan chu xkoyonan chichini sisa mankganan pokgtawila nitasi nikulakglawan akxni min sen tawila lhuwapulun katsisni nadia tlkakgnan chu tasgawiwi kilhtamaku tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila lhuwapulun tawila l
spontaneous-speech-top-32462.mp3	Akit katlakgalhaman snun laktsukaman nachu wa kalitaskuja tuku tlan xlakgan ixtakgalhikgolh xlakata lipaxaw xtalatamalh nix xkakgawanika nix kgasnojka xlakan takgaxmata akxni tiku xa tse tlan tamakgalhchiwini tlan tamakgastakga laktsukaman wililan xtakgalhchiwin chu lata takgamanan xlitalaktsukaman akxi mapakgsikan sokg kgaxmata nachu kilhpaxtun wayan tu makgalakgan nak pulataman tu anan nak akgxtakga nak chiki xla wakg nawa lan tsukgawasa na staka lan tsusumat nina chapa tatat tuku chi akit xak lakaskilh xtakgatsinilh xlakata kata kuentajli lipaxaw nalatama nina chapa tatat nachuna akin masiniya kamasiniya la latamat xlakata chali tuxama xlakgan nitakgatli tunu litakgtluwit ninatarakilhstala cha lipaxaw tlan natastaka akin wa kakalimasmaniwi tutlan tapuwan xlakata lipaxaw chali tuxama xlakgan natalatama nituwa natastaka kamasinikan la skujkan nak katukuxtu la nachuna laskujkan chu kalakchikin xlakata ninakakgskgawikan chu tlan latamat natakgatli	Akit kalakgalhaman snun laktsukaman nachu wa kalitaskuja tuku lhan xlakan xtakgalhigolh xakata lipaxo xlata malh nixka kawanika nixka snokga xlakan takgaxmata akxni tiku xatse lhanta xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata xlakata x
spontaneous-speech-top-32464.mp3	Nalakchukuya xmayak xanat xakatla Lichakan starankga tasun kgeskga chu laxix lakgati ana niskgekgnan chu stakga tiyat kawaxti putsu xtakgantum kiwi kamujuni xamasni xpakgen tuwan chu namakgankgajuya min mayak kantsina xlakata ninamasa nachu kalitapu aktsu tiyak chu tuwan xamasni Nama nimunukan wali chankan kasenin	Nalakchukuya xmayakxanat xakatla lichankan starankgatasun xeska chulaxix lakgati ana niskgnan chu stakgatiya kawa xtiputsu xtakgantun kiwi kamujuni xamas na xpakgentuwa chu namakankajuya nimakankajuyan xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xakgatla xak
spontaneous-speech-top-32467.mp3	Akit kmaklakaskin kintakgachiwin puntsu puntsu xlakata kputsa tujkatsiputun nikula ama la kilhtamaku tuku anama alakatunu chu pala tiktachiwinamputun nachu jkgaxmata radioHuaya kinakgskgalhi max akgtum chichini akgkaw hora klila	Akit kmaklakasin kintakgachiwin kuntsu kuntsu xlakata kputsa tu katsi putun nikula amala kilhtamaku tuku ana malakatunu chu palati tachiwinan putun nachu kaxmata radio waya kinakgsgallhi maxakgtun chichine
