audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	akilal ana ger akul ya akil a yote kalam ayan milan u akil gijib akila fi barabarau al gijib ayan fi gildu asa akila ana ger ak ana ge akul akil al bijib afiya yan al ma gijib nana ayan a yote fi gildu jayan s kilyatu ayan al gi jib gamru af gins afiya tai al gi jibu gildu makon kwes yan gild kun taban zaman kulu akil al bikun taman fa ya akilal tenna al min ji dijide tena kan yamda giwenena akilal gi tala fi shamba akil al ma itala fi al gadul maida akil yan al gitala fi shamba tenna tamin jdijidetea
spontaneous-speech-kcn-22127.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	talim taalim ta yan ta daktar yan mustashfa dar jakwamba jagal bada minsh ban malaulubanna shar talata aruba shar talata ama shar aruba marawai kodo abidu hafid nafsto yan hafid nafs degafin kw abidu adulo kuwa arufjakamba kalasayote weledu kalaja yani adul marifa sunya ajo sunyafa kodo aso al kabla yomja tim kodokunlogo adu nafsto o kalafi makila sokol tofalata al bauno
spontaneous-speech-kcn-22154.mp3	Ina endis te wedi te dawa dudu ne ya ne nyereku dawa dudu de na endis te wedi ne fi yal al duga yal al duga al min al yal ab duga lakin ina endis te wedi ne omon bada sha dawa de wai bada shar talata	ina endi sta wedidawadudu na nanerukuka lakin dawadudu den indistawedi fial al duga yal abduga almin al yal abduga lakin inendi stawedi umun badasha dawadewai badashar talata
spontaneous-speech-kcn-22169.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	deriga wale aun ya tanim awun finama tagir fikra yan ma d setoyal bana befu uma tatnn amrugminuman fikra al bara bara kama fkaal awaja ja fum fanu ja kelngal a gafmen tal fefu bam barade wajinama yan kutuman fi sakulu komo kon bize komon kun kretib komokon yan fanasan isosulu iso kalaman weduman gidam ar kedamrugum fikrabarabara
spontaneous-speech-kcn-22190.mp3	Ta alim al gi saadu usra logo itakum kaman gai takum soo juhudi te kutu mon fi ta alim dastur tarabiya ya dukur mon kaman gi alim fi jede fi nafsi tomon bi ja kun bi nafa Kalam kaman te endis te alim omon mon bi ligo taalim te tujar taalim te malja rua fi maljara dukur afiya tomon nafsi tomon gi kun binafa Kalam mon amsuku ta soo ya sunu	ta alim al gisa du osra lugu ita kom kaman gai tokum so juhudi te kutumon fi ta alim dastur tarabiya yadukur mon amangi alim fijede binafs tomon gi ja kum binafa kalamon taindista alimmon tukumo baddi go ta alim te tujar ta alim te mal jaruafu maljara dukur afya tomon nafstomn gi kum binafa kalamonaf sokol tasok yasu
spontaneous-speech-kcn-22227.mp3	Taalim endis kalam milan al uwo gi aunu fi usra ta ummah ta kila kalam taalim gi kun kweis zaidi kalam ilim ya gudra ta kila sokol wo azol al endis ilim uwo bes uwo bes wendis ilim al endis ilim maa uwo gi kun fi duluma yase kan taalim fii gi awunu zaidi usra ma ummah	ta alim endis kalam mnanaluji auf usra ta ummata kila kalam ta alimgukun kwes zaid kalam elim ya gobra tekela sokol wazolal endis elim u wes o endis elim alendis elim ma ofiduluma yasekan ta alimfi gaun zaidi usram uma
spontaneous-speech-kcn-22260.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	libu al yalg alafu ma tae libu al gamskbad ma terebia tomon yan ma terebia tomon madasur tomon yan llibu al gira alimumon terebia tomon ksunia ajif terebia tomon terebia tomon  giraba kefin ma hafiz lib al gijib al guedinamad hafiz terebia tomon madasur tomon fuuma tomon
spontaneous-speech-kcn-22290.mp3	Adil yal batna be ya teriga [UNK]b ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	adib ayal bal labe ya teliga ab fa kede azon so kedem ed al baawul men mashake yan adibial bannabe wadnoma soniamanaju soniya fa al saba bijara bomon ma usra al bija gidamumon
spontaneous-speech-kcn-22307.mp3	Taalim athar taalim fi nafsi tai taulan uwo geeru hal tai yani geeru hal tai ma familia tai ma anas tai ma mujtamiya tai fi namna ab yatu gi amurugu ana min sika an awaja gi amurugu ana min gai saki yani kutu ana saa kulu an kun active an kun ma bidi ta sokol Kalam al bi raba ana bi raba family tai ma bi rabanma umma tai	taalim hafarataali fnastai kael oge hal tai yan ge hal tai ma familiya tai m anasta mamujitana finam abatu gaw mur gana min fikralawaja gw mur gana min gaisaki yan kutana saakula gon akti an gun mabidi taso kalam l biraba na biraba famila tai mabiraba uma tai
spontaneous-speech-kcn-22386.mp3	Ayan ta typhoid sokol Al gi jibu ya ta aulan aaa moyo Al waskan akili Al maa marakabu Yani waskan aaa moyo Al gi agif finbatna bee au fi sika yaani fi kuki moyo Al waskan ama akili Al waskan Al ta kulu gi jibu typhoid	ayand taifod sokar al gi jibu ya taulan moyo al waskan akili al ma marakab yan wasakan a moyo al gagif fi ban nabe ama fi dar jua ama fisika yan fikulu waskan moya al waskan ama akil al waskan al tagirakunou idatak waskan kamangin taifite
spontaneous-speech-kcn-22429.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	wakti taite foraj ana gasmabesanaju num ana bad akul kalana ju num wanaju gum kanana num kalanajuu kana so sente kana so tujar tai kalam kadana ligo sente keja kombe sente na anas nayal tai u kaman ana gi ffeker fikral kebir fu umma mayal tai
spontaneous-speech-kcn-22446.mp3	Dor ta aulan ya kan yala amla safa min madrasa umon kala fi bee de ya wakti Al walidein gi limu yal toumon Walidein gi wedi yal toumon fi madrasa	or taulan yaa kana yala amnasafa mn madrasaamon kalafebe ya wakti al waliden gilim yal tomon fatrma talim tabana ber jakuriju tatinin melimu f madrasha ag ain agr agara waliden waje yala tomun f madrasa f agarajin tomon ma terebiya tomo
spontaneous-speech-kcn-22515.mp3	Kila teriga al seme ya kila be kede afuta lufura ( then) adul mahal ta kubu waskan kila be kede kun ma bakan ta kubu waskan Yan afuta lufura alshan waskan de kan kubu uwo baada yom siya bijib naari bi haragu De ya teriga al adil	kila teregal seme ya kila be dede afta lufra yan adul maal ta kumwaskan kila be kedokuna mahal ta kuaskan yane afta lufra kal ashan waska kan kubo badayumsia bijibonari baragu ya teregal ad
spontaneous-speech-kcn-22543.mp3	Akil Al mama faa kede akul al kede zidu naouwo leben yaa ta aulan akil yani mula teina ta be yaani Mula al ta greens Umm mula yoyote al Fogo al gi jibu gudura fi gildu	akill al mamafa kid akul al tedizid no lebe ya taulan akil yan mula yana tabeyan mula al tagurens mulayi wote al fogo al gijif buja figildu
spontaneous-speech-kcn-22569.mp3	Akil tai al gi furaisha ya kisira ya kisira ma gurusa me luguma sasi me ma mula kofta ma mula korofo gwanda ma mula lam ma bamia	adi dadif aisha yasya kisranadurusa nagumasasi  ma mna kofta mamula korofogona ma mla a mabana
spontaneous-speech-kcn-22584.mp3	Taalim seme zaidi taalim sokol taulan gi geeru kariya de wai min alama al gi geeru hal te binadum uwo geeru hal ta umma uwo gi geeru hal ta mujtamiya uwo geeru hal ta bele	taalim seme zaidi taalim sao ta agalageru hal dawamin athar to geru hal ta benadu woger hal ta uma oge ger hal ta mji tamia ogere hal ta bele
spontaneous-speech-kcn-22599.mp3	Yani loun ta uganda loun ta uganda fi talata fi aswed fi ahmar ma kurukum	yaye lonta uganda lonta uganda fitalata fi aswet fi ahmar ma kurkum
spontaneous-speech-kcn-22641.mp3	Alim anas lim anas bakan wai ma kutu faida ta Kalam yani jib kidima al geeri me anas	alimanas limanas makanuwaima kutufaida ta kalmnan jibkd malgeri nanas
spontaneous-speech-kcn-22661.mp3	Geeru hal taumon yal kun ta adab yal kun ma hishma kubar gi hishma yal kubar gi hishma duga wu duga gi hishma kubar	geru hal tomon yal kun ta adab yan kulma isma kubar gisma yal du kubar gisma duga oduga gisma kubaf
spontaneous-speech-kcn-22679.mp3	Kila Kila kan gildu gi waja ana endis ta ruwa kaan ruwa kashif nafsi tayi	kila kila kan gilugu waja anni tarua kanaurakasif nafste
spontaneous-speech-kcn-22699.mp3	Kila bada shari wai uwo endi ta kashif nafsi to klia bada shar wai	kila badashari wai weni ta kasnafs to kila badashar wai
spontaneous-speech-kcn-22738.mp3	Mm Giraba umma Anas gi so kazi giraba umma	gira ba uma aoka ugiraba uma
spontaneous-speech-kcn-22755.mp3	Ai anas gi ligo gurush wu omon gi soo development musu ai	a an asilkogurush umangisadifelamel masu aya
spontaneous-speech-kcn-22785.mp3	Kalam al milan ana aruf milan	talga milan n rf milan
