audio_file	reference	reference_raw	hypothesis
spontaneous-speech-meh-29383.mp3	Suu jiani ni a kue'e tuni tiñu sa'a daja de jini ñuu daja jɨn... ñivɨ sa tyinei daja axin na'in xu'un sava ke'en daja na'in a ɨjɨn na'in tata jini ñu'un daja yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja Tyi jɨn... Iyo suku vi daja satiñu da jen ntuvi... ntuvi xu'un daa jen ntu kunei daja sa'a kue'e daja Itu ntu kunei da kaka kue'e daja Na tata ka... na tata kafe daa ɨjɨn... tikuitɨ daa nutyi suu kuvi daa sa'a daa maa tun ju Ntuvi xu'un jen ntu kuvi sa'a kue'e daa ma jen sava Suni kuaan sama iyo nuu ñu'un daa jen iyo kukue'e Savi kuun kukue'e tatyi kukue'e jen xinɨ'ɨ tuku a satiñu daja suu suu a maña'nu ka'vi maa xu'un de a iyo xu'un de sia'un nuu daa e tyinei daa tyinei xu'un a daa sava ɨjɨn... kaka kue'e daja itu daa suun nti'vɨ sava su kinoo tan yaku ka kuvi ni daja niñɨ kaji daa tyi suu maa... maa nuu ni vi a kuvi a jini ñu'un da je da nutyi va daa A yukuan vi a jini ñu'un da tun iyo nuni iyo nutyi iyo yɨkɨn iyo e suu de daja kuteku daja kua'an nee daja nuu nee daja katyi o suu da yukuan kuvi a jini ñu'un jin suu tyu yukuatyi tu iyo xu'un jen tyunaa daja ñivɨ tyinei da jen kukue'e tiñu sa'a daja	Nuu vi sikaka ni, kaa jika nuu ñu'un. Ñu'un ni ini kaa ne vitan,  jiankani nuu kaa soma sikaka maa ni maa ja tyi ntuvi jen, ña'nu sa nkajiene ñu'un ni ini kaa. Yatin, a iñɨ ni nɨɨ uxi uvi yu, kuiya jen sa kajie'e ni kani ni kaa ve sa luli nityi ntuvi.	oooooooooo  ooooooooooooooooooooo    oooooooo oooooooo          ooooooo oo         oon  ooooooooo   ooo oooooooooo o oooooooooooo     o
spontaneous-speech-meh-29384.mp3	ɨjɨn a sa'a daJa kuvi nute noo tyu'un daja majan ini kisɨ ka'nu jen da jiaxi daja noo sava kene nute tyu'un daja a vixin nuu ju Jen... nee je kue'e kivɨ nee je sava ɨjɨɨn kajie'e... kitɨ maa ja naa ja kuvi jen sava ji'i daja maa ja tu na iin viko sa'a daja Su na'a xinaa ke'in kivɨ nee teyu Da tee yutyi nasa katyi o jiya ja aja nee jiya je sava a nkuvi ji de kanta kivɨ koo viko tun sukuan sa'a daja axin nute kuijin na suni yukuan vi a jene da yavi jen tuni jiaa yavi jini da a nasa iyo ntiavi nijia de jiaa da jene da yu'u nuu ju kene daja iin uvi na'a yukuan ɨjɨn... Ke'i daja nuu ju na jika jen kajie'e daja tyu'un daja na ɨjɨn... natɨɨn na tyu'un daja kaka je da jin jen Tyu'un daa maa maa nixi ke'en daja tini xii jen tyu'un daja nu jen yukuan kajike'e je jen suni kaji jiya jen kajie'e kene nute nute yavi yukuan jenm xatu kene nute kuijin [UNK]Suni ji'i daa maa viko iyo axin tyi tu saa ini na iin tiñu sa'a ki da nuu kuu ji Suni ji'i daja iin ñeji iin uvi nijin nuu saa va nake'en ini da	Da neyu sa'a ni tyi a viji kuni ni kuvi da neyu u'va tyi maa nee ñuu maa ja ne sikana o maa tyi tun ntu vi jen tɨɨn jɨ. Je suviji sa'a o maa ja kuni ni so sa'a ni maa ja, sa'a ni neyu u'va, yukuan vi neyu vixin ka tyi ntu neyu kuii yatyi ka kuvi ji.	oaoooooono'n    ooooooonnooo oooo oo  ooooo     oooonnooooooooo oo  ooo
spontaneous-speech-meh-29386.mp3	Suu jɨn... jianini ni kuvi a va'a tyi a iyo iyo ñu'un iyo ityi iyo nuu kutatan ñivɨ iyo ve'i kutatan ñivɨ iyo jɨn... kue'e nu iyo... kaa nkanta iyo ñuu ya'a jen suva'a iyo ve'i tyi tyinei yɨ jɨn Tyi kaan o vitan na nkuvi de ntuvi ñu'un Tee yoo tanu'u Iyo ñu'un ve'i yoo jen nkaa o tyi niyo maa Jin suvi ji vi a tyinei da na'i a tiñu sa'a o jen kun tɨɨn nuu ve suni tyinei jitu iin kaa viji jini ñu'un ñuu jen suu tyinei jen sa suu... jianini ni a va'a iyo kuva'a iyo nuu nuu da a... a kumani a... kumani ñuu su vitan tyi ankanta ja iyo jen ya'a sukuan kunini	Suu nasa kuaan viko kuvi neni iin  da viko yukuan kuvi ji tyi tun viko, viko ii viji de a viko santu. ka'an dani maa ja. E su....  yo'o ita sa'a dani natyu'un dani sukun. Santu natee dani nuu da santu yukuan detun viko sɨɨ vi tyi suu tee dani na natyu'un dani ita. Tee dani da sukun na iin a kuvi ji na, na yuku na yuku vii natee dani nuu, nuu yu'u ve'i ityi kivɨ ñivɨ tun viko sa'a dani.	oooo oooooooooo  o  o   ooooooooooooo
spontaneous-speech-meh-29387.mp3	Ajɨn... Kaa niyo jɨn... ityi a na'a kava nsa'a daja kue'e nantiñu ɨjɨn maa vii nsa'a daja tyi niyo ñivɨ jɨn axin iyo taka vitan nakuvi ntu jini va'a ni soma ɨjɨn... niyo da nsa'a ñunu jen nsa'a jɨn... da yutun ñantiñu da jin xinikɨ daja Sava nsatiñu daja Jen ti... ɨjɨn... a ka'an o tu'un stila arado jin yugo jin na nanika yutun ñan... ñantiñu jiantiñu jin xinikɨ ɨjɨn... nsa'a maa ñivɨ maa ja Da jɨn na ya'vi va suu ñe'e da maa ntava da naa sava nsa'a daja da... ɨjɨn... ñunu daja nika jin da jen a vii ka iyo ntañu'un Kuvi da iin xixi kunu tyi sa'a maa daja isa daja jen sa'a da so'o da sa'a daja Nijin daa tyi maa jen kuatyi... ɨjɨn... iyo jen nijin da maa nuu vijin	Suu a no'o ni a no'o ni sa, kivɨ xinañu'ni. ve'i sukua'a a kuvi a. Yu'vi ni kuaa ni, nkanta ni, nkuyati ni tyiji ñuu jen nkajie'e yu'vi ni kuvi ni kuna'yu  ni tyi mantu viji ni ni. navi tyiku'u ni ini ve'i yukuan ntu jini ni. Katyi daja kɨ'ɨn nu sikua'a nu, katyi daja nuu ni soma, yu'vi tuni ni jen nkajie'e ni na nkuvi ni kuna'yu ni ne'ya ni. Iñi ni yata ve'i nee jen sa nakajie'e ni, nakaka ta ni kuaa ni jen nunu, kanta ni kivɨ ni ini ve'i yukuan so  nee ni suyu'vi ni maa ntu ka'an. tee xine'e yukuan ntu ka'an ja tu'un ka'an ni tyi soo a tu'un ka'an jen, tu'un stila ka'an jen yukuan vi nu. Yu'vi ni ka'an ni a na'vi ka'an sukuan nkuka'nu ini o. Ka'an ja, ka'an ni, ntu nkuka'nu ini ni na nkatyi ji soma. Sɨɨn sukuan ni ña'an ni jen sa ne kivɨ uni, kivɨ kumi jen sa nkajie'e nka'an ni. Ña'an ni ve'i yukuan ve'i sukuan sikoo a ni. 	a  o      oooooo  o ooooo o  oooo o   aooooooo    ooo oooooo
spontaneous-speech-meh-29388.mp3	Suu ve'i sikua'a tyi vii de a iyo nuu nee a kuatyi iyo vii teyu ju iyo vi ito jo iyo vi Na iin nuu ñu'un nantiñu daja suu va'a de sukuan Vi a iyo nɨ'ɨ da yukuan jen sava kusɨɨ ini da kuatyi axin kusɨɨ ini o sa este sikua'a o Saa ni de nuu satiñu o vi ji suni koo vii ji Vii de a iyo nɨ'ɨ ini jin sava tun ve'i sikua'a vi ji satiñu on majan suu vii de a iyo nɨ'ɨ Va ne jiaa tuvi da ito yukuan da teyu yukuan da sa va Axin na iin teku yɨ'ɨ ve'i sukua'a De teku vii vi ji suu va ne kusɨɨ ini o iñɨ on ini ji	Ta'an ini ni kaji ni nani titɨ vixin kue'e nuu titɨ vixin yaji ni. Yaji ni jɨn... tinumi na'nu, yajini tinumi kuatyi yajin ni. ɨjɨn... nika yaji ni. Soma ta'an ka ini ni kaji ni tinumi na'nu jen suu nkajini ntaka nuu ni sava iyo va'a ni ka'an ni.	n  oooooooooo o o
spontaneous-speech-meh-29389.mp3	Suu a kaji da yɨkɨn kuvi a sa'a o tyityiyo da yɨkɨn yute da naña yute da... jɨn... Naiin titɨ vixin naiin a vita de sa'a o tyityiyo jen... ɨjɨn tyu'un in ñejin luli de sia'a o nuu da kuatyi tun maa kuatyi vi de maa yɨkɨn vi detun a kuaan kue'e nuu kutyi... ɨjɨn suni saa ni sa'a o jen so sia'a o da titɨ vixin yukuan kaji i ɨjɨn nakete noo yukuan tyu'un o nuu iin ñejin luli jen yukuan Kunee kaji a ini ñejin a ini ko'o nasa kuaa kuvi maa a sia'a o nuu ju Suu jɨn... sukuan de ko'o va'a sava ntɨɨn kue'i maa ja	Su a sa'a dayoo kuvi a katyi dayo nuu da sutyi kuatyi sava tɨɨn daja ityi ka'an va'a daja sava kunda'a daja jin ñivɨ ña'nu tyi a kuvi vitan vi a tyinoo daja yujin. Ka'an vii ntu ka... ka'an daja jia'a daja nisukuan xi ɨjɨn, jie da jinu da su nee ñivɨ ña'nu je ntu vityi a katyi dayoo nuu ñivɨ kuatyi kuvi ra tyu'un ityi daja sava kutuva'a daja ka'an vii daja jin da ñivɨ ña'nu.	S oooooooooooooooooooooooooo  nn
spontaneous-speech-meh-29390.mp3	M iyo kue'e saa ñuu ni soma iyo saa a sivɨ katyi ki ni kue'e ke'in nuu saa iyo ñuu ni Iyo kuili iyo... saa tyii iyo sa...saa na'ma liyo a vii ka saa vi liyo yukuan tyi a tutu ju kuni o sa'a ja sa kanaji san... na'yu ju jen vii tyu'un jun tatyi ji ka'an ja kuaa to a kuaa tu'un a tutu kuaa tu'un a jita jen... Yukuan kuvi a saa vii so'o tun jini o iñɨ tyiji ku'u	Suu a sa'a dani kuvi a kɨ'ɨn o nenu ñu'vi ñivɨ. Ntɨɨn koyo tɨɨn. Yu'vi ti maa jaxii. Na'in a no'o yukuan jen ntɨɨn kɨ'ɨn kue'i ñu'un ya'a maa jen kɨ'ɨn jin nee nuu no'o jo sun kuaan jen nake'en o jin ji. kɨnakɨ'ɨn o ñu'un. Ka'an o jin ñu'un yukuaa sava. Nataji yukuan nuvi va'a ja. Sukuan sa'a dani  jiaa dani jin ñivɨ ku'vi. A no, a no'o a ntɨɨn kue'i ya'a maa ja de kuvi xii. Jia'an dani jin jinee. Nee nuu no'o sukuan te yukuan vi nuu  na kɨɨn dani ñu'un maa kaa dani. Jen ñu'un yukuan na kaa dani . Ñuu neyu sava nivɨ nu'u a kumani yukuan tyi va iyo nankuvi va'a kajie'e kuvi sukuan jen. Kuvi tyi jiyo nuvi ñivɨ sa'a. Tun nkaje'e. Ntu kuvi sukuan jen ka'aon jin nake'e o ñuu nuu viji.	ooooooo oo oo
spontaneous-speech-meh-29391.mp3	Vitan tyi jɨn... sa'a daja ve'i ñuu ni ya'a ve'i no'o sa'a daja vitan jin no'o ke'en Ntu ka vi yɨ'ɨ ni ntu vi tyi vi iin no'o ke'en daja nuu ve'i kuya'vi nee jia'an ke'en daja Da nantiñu jiantiñu daa jin ɨjɨn... ve'i nama sava kuvi va'a ve'i daja nee ityi yata tyi nee ka xinatyi jɨn... vi itɨ ya'a daja Ve'i nuku maa daja itɨ nuku maa daja yutun nuku da ve'i tya da vi daja axin ve'i teja kaa daja yutun nta'vi daa jen tyiso daa xini ve'i da xii jin ka vi daa De kuvi ka tyi nsama iyo	Suu a kaji da yɨkɨn kuvi a sa'a o tyityiyo da yɨkɨn yute, da naña yute, da... jɨn... Naiin titɨ vixin, naiin a vita de sa'a o tyityiyo jen... ɨjɨn tyu'un in ñejin luli de sia'a o nuu da kuatyi tun maa kuatyi vi de maa yɨkɨn vi detun a kuaan kue'e nuu kutyi... ɨjɨn suni saa ni sa'a o jen so sia'a o da titɨ vixin yukuan kaji i. ɨjɨn nakete noo yukuan tyu'un o nuu iin ñejin luli jen yukuan. Kunee kaji a ini ñejin a ini ko'o nasa kuaa kuvi maa a sia'a o nuu ju. Suu, jɨn... sukuan de ko'o va'a sava ntɨɨn kue'i maa ja.	S       on   n i     oooo o o o o      a
spontaneous-speech-meh-29392.mp3	Suu yaa yaa sɨɨ kuvi a kuvi katie'e ni kua ah... jini ni katie'e ni kuvi da yaa ka'an o tu'un stila tyilena Yukuan kuvi a katie'e ni kuvi inka ka da yaa tyi suu kuvi ni katie'e ni maa ja suu ntuvi jɨn... ntuvi kuvi ni katie'e ni maa ja jen ntuvi ta'an ini ni so A katyi ki ni tyilena yukuan tyi Sa nee tun nkajie'e jita yaa jen ntañu'un kuvi ni sikana ni jie'e ni	Suu kune'ya da yoo nasa sa'a dayoo  tyi xu'un de taxin jin soo kune'ya tuni'i ta'an o maa jen kunee o maa jini ñu'un  ke'en o ntuvi ke'en o kaxi o maa sava jiankɨ'ɨ va'a ja. Da kanta ja no'o jen, tasa'a vi o maa ja yaku. Kaxi o maa natañu'u jen, tuni a koso jo so tyu'un a ta'an o maa sava kua'an jiankɨ'ɨ va'a ja.  tyi, a ntu viyo koso tyi ntañu'u ni nɨ'ɨ jɨ sɨ. Nuu koo kasa'a o sa'a o na iin tiñu na iin sava kanta tan xu'un jiankɨ'ɨ va'a ja iin nunu tyi nkuvi kuvi maa ku'un va'a ja vi'i soma, suu kune'ya nasa'a o jen sava ni majan kuteku o.	oooo ooo o ooo  n io
spontaneous-speech-meh-29395.mp3	Va suu tyinei ji detun n... maa jie'e a kua'an sama iyo jen... ɨjɨn nsuvi ka da nu'u ña'nu kune'ya majan jan tyi ñivɨ sutyi kune'ya majan jen suu nito daja jen ntañu'un ntañu'un jini daja kuaa ɨjɨn... sa'a da jin da kaa nityi ya'a jen suu tun nkuvi nityi ka su jɨn... maa tuku daja ni jini sa sa'a daja jen ntaka ni ñivɨ kuantiñu majan jen suu tyinei ji	Suu jiani ni a kue'e tuni tiñu sa'a daja de jini ñuu daja, jɨn... ñivɨ sa tyinei daja. axin na'in xu'un sava, ke'en daja na'in a, ɨjɨn, na'in tata jini ñu'un daja yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja. Tyi, jɨn...  Iyo suku vi daja satiñu da jen ntuvi... ntuvi xu'un daa jen ntu kunei daja  sa'a kue'e daja. Itu ntu kunei da kaka kue'e daja Na tata ka... na tata, kafe daa. ɨjɨn... tikuitɨ daa, nutyi, suu kuvi daa sa'a daa maa tun ju. Ntuvi xu'un jen ntu kuvi sa'a kue'e daa ma jen, sava. Suni kuaan sama iyo nuu ñu'un daa jen iyo kukue'e. Savi kuun kukue'e tatyi kukue'e jen xinɨ'ɨ tuku a satiñu daja suu, suu a maña'nu ka'vi maa xu'un de a iyo xu'un de, sia'un nuu daa e tyinei daa tyinei xu'un a daa sava, ɨjɨn... kaka kue'e daja itu daa suun. nti'vɨ sava su kinoo tan yaku ka kuvi ni daja niñɨ kaji daa tyi, suu, maa... maa nuu ni vi a kuvi a jini ñu'un da je da nutyi va daa. A yukuan vi a jini ñu'un da tun iyo nuni, iyo nutyi iyo yɨkɨn, iyo, e suu de daja kuteku daja kua'an nee daja nuu nee daja katyi o suu, da yukuan kuvi a jini ñu'un jin suu, tyu yukuatyi, tu iyo xu'un jen tyunaa daja ñivɨ tyinei da jen kukue'e tiñu sa'a daja.	o      o oo               o o
