audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sering membace atau mendengerkan sejare-sejare palawan-palahawan kité maupun nasional maupun yang orang-orang betawi yang dalah dahulu-dahulu kité ama perjuangkan bangse negara indonesia ini cukup dan cukup menyentu hati kité sebagai  penerus-penerus-bangsenye jangan sampé keluar dan tendak mau tau sejare-sejaré untuk bangsa-lan-palawan kite kadang-kadang pada dijaman sekaranghari ini banyak banyak orang yang gak emau tau dengan sejaré dari dulunye ingga sekarang kita ini sapa sekarang ini kita bisa begini kadang ka anak sekarang gak mau tau dan memikirkan diri sendiri siapa kité dan dimana kité dan tanpa  perjuangan mereka kité juga gak akan bisa seperti ini a bisa akan merdeka dan pada dahulupan dahulu kite lah yang membawa kemerdekaan indonesia dan lebih maju lagi
spontaneous-speech-bew-20805.mp3	kégiatan anak muda sekarang ya paling kalo gadé kérjaan nyé ya begitu maén gitar bégadang toh bagiannyé cowo kalo yang bagiannyé céwé paling juga mondar-mandir naék motor jalan kesono jalan kemaréh dari sono dari kemaréh emang gitu-gitu doang itu éntar dié ngumpul ngumpul sama temen ntar kadang-kadang ngerujak baréng kadang-kadang dié makan baso bareng terus kalo buat yang rémaja ya itu paling maén-maénan masak-masakan maén bonékaan kalo émpat tali kadang maén umpét-umpétan apa ajé yang kiré-kiré dia senang hatinyé	kekiatan anak muda sekarang ya paling kalo aga ada kerjanya ya begitu maen gitar kegadang tuh bagiang cowa kalo yang bagiang caw ya paling  begitu mondar mandir tunait motor jalan sonoh-jalan kemaléh rerik sono reri kemar ya amanakugpuan begitu tah dia noberreman temen-temen nta kadang kadan dia ngerujak bareng kadang kadang dia makan baso bareng turus kalo yang buat termahja yaitu paling kada main maenan maen ansakan maén bonekaan talo empat tali kadang-kadang dia maen empet umpetan apaja dah yang kira-kira dia senang atine
spontaneous-speech-bew-20807.mp3	waktu pas orang ramé kerja sih yang ènak pagi tuh jam 8 udah mulai kérja kan kalo pagi kan masih ènak tuh suasana masih adém ténaga masih kuat kan ènak tuh kalo kérja pagi-pagi tuh segala apa-apa kalo kérja pagi-pagi mah ènak jadi sémangat apa yang kita kérjain kan ténaga masih full kalo kita kerja pagi-pagi kan ènak kalo siang mah udah tinggal lélahnya doang ngantuk dah apalagi kalo abis makan siang ngantuk dah itu jadinya ségala kerjaan juga jadi balik awang jadi ujung-ujungnya jadi ngga dikerjain tuh kerjaan	waktu pa seorang mulai kerja sih yang enak pagi tuh jamlapan din mulai kerja kan kalo pagikan masih enak tuh suasana masih adem tenaga masih kuat kan enak tuh kalo kerja pagi pagi tuh segala-apa pa juga kalo kerja  pagi pagi mah enak dah kerjaan jadi kita jadi semanget ape yang kita kerjaan seorang kenapa tu masih tenaga masih pul kalo kita kerja pagi pagi un juga enak kalo du siang mahla tinggal elahnya doa ngantuk dah d apla kala    bis makan siang ngantuk dah tuh jadinya segala kerjaan juga jadi balit awang yajadi ujung-ujung kan apa uka di kerjai untuk kerjaan
spontaneous-speech-bew-20809.mp3	Waktu pas mulai kerja si yang ènak pagi tuh jam 8 udah mulai kérja kan kalo pagi kan masih ènak suasana masih adém ténaga masih kuat kan ènak tuh kérja pagi-pagi tuh Segala apa-apa juga kalo kérja pagi-pagi mah ènak dikérjain jadi kita jadi sémanget apé yang kita kérjain soalnyé kenapé ténagé masi full kalo kita kérja pagi-pagi ènak kalau siang méh yéé tinggal lélahnye doang ngantuk déh apalagi kalo abis makan siang ngantuk tuh déh jadinyé soal kérjaan jadi balik awang jadi ujung-ujungnyé kenapé engga dikerjain tuh kerjaan	waktu pa seorang mulai kerja sih yang enak pagi tuh jamlapan din mulai kerja kan kalo pagikan masih enak tuh suasana masih adem tenaga masih kuat kan enak tuh kalo kerja pagi pagi tuh segala-apa pa juga kalo kerja  pagi pagi mah enak dah kerjaan jadi kita jadi semanget ape yang kita kerjaan seorang kenapa tu masih tenaga masih pul kalo kita kerja pagi pagi un juga enak kalo du siang mahla tinggal elahnya doa ngantuk dah d apla kala    bis makan siang ngantuk dah tuh jadinya segala kerjaan juga jadi balit awang yajadi ujung-ujung kan apa uka di kerjai untuk kerjaan
spontaneous-speech-bew-20811.mp3	Permasalahannya biasa itu ibu-ibu pada berantem berantem masalah anak anak-anaknya pada berantem ibu-ibunya pada berantem Apalagi kalo tuh denger berita maling weilah ibu-ibu ibu-ibu mah langsung pada nyumpahin maling tega amat tuh maling ngambil itu Padahal jangan diambil tuh nggak punya apa-ape itu Emang dasar maling mampus dikatain nyumpah-nyumpahin dah tuh Jadinya ibu-ibu emang kerjaannya begitu kalo udah begitu dia mah emang begitu uplek kongkow dah tuh bareng-bareng jadinya nyeritain maling nyeritain temen berantem nyeritain anaknya berantem	ta masalahannya biasa itu ibu-ibu pada berantem berantem masalah anak anak pada yang berantem ibu-ibu pada berantem apalagi kalo denger tu berita malinglaibu-ibu ibu ibu mau langsung ga tu pada nyumpain maling ttegok amatu maling pagé nambil itu pada hal yang diambil tuh ggak punya apa apu itu ma duasara maling mampus sputapa yang nyumpa nyumpain dah tuh jadinya ibu-ibumang kerjaana begitu kalo uda amanu ga udah dimah begitu uplak kong kadaa bareng-bareng jadinya di taen maling ditain temen berantem ditain anak berantem
spontaneous-speech-bew-20813.mp3	Biasanya kalo para media itu Kita setiap ada acara seperti kaya acara silat atau budaya-budaya Betawi khususnya Terus acara bekate acara ape aje yang berbau Betawi palang pintu itu kan berbau Betawi dia pasti ikut kite selalu Supaye kite dikenal oleh masyarakat luar	biasanya kalo para media itu kita setiap pada acara ketika ya acara milat untuk budaya-budaya  betawi é khususnya terus acara ukaté acara apa aja yang berbau-betawi ketika ya palang tintu itu kan berbau betawi kan media pasti ikut kita itu selalu supaya kita dikenal oleh masyarakat luar
spontaneous-speech-bew-20814.mp3	Ulêr binyawak kodok terus apalagi tuh kalo nêmu waduh takut bênêr tuh takut dicatok Apalagi tuh yang namanya binyawak tuh uh di mana-mana tuh berkeliaran Soalnya kan di depan rumah saya ada kobak itu ama sêmêk Anak binyawak banyak bênêr Ama ulêr tuh ulêr kalo lêwat tuh êlêh itu banyak bênêr dah ah Depan rumah saya kan ada kali tuh Ulêr-ulêr biasa tuh ulêr kadut ulêr lêmpê ulêr aêr	uler pinyawa kodok tuh apalagi tu kalo nam arwa do tokot bener tuh toko di catok apalatu yang nama bina waktu dimana-mana tuh pada kelikaran ama kan dapan rumah saya mah ana kobak itu ana semek tuh anak pijawak banyak bener ama uler tuh ular kalo lewat la itu banyak bener dah  depan rumah saya anada kali tu ular-ular biasa tuh ular kadu tuh dah lempé ular aer
spontaneous-speech-bew-20816.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	hemat liburan ya itu kita bawa dari rumah kita beli di rumah jadinya itu kita hemat kan kalo beli ditempat liburan kan banyak itu yang mahal mahal jadinya kita olok na mankaya kita beli di rumah tuh seperti kaya cemil-cemilan tu terus alma pokmi tu bawa da tu aer panas paké termos kalian bawa nasi bawa launya bawa tiker daripada dusuna tempat liburan kita bayar nyewut manigan kita buat jahajan yang laen
spontaneous-speech-bew-20817.mp3	Barang yang saya beli di onlen si itu paling yang muréh-muréh yang ayé beli kuota aja bayar yang terutama ya itu ayé cari gratis ongkir biar lebih muréh yang saya beli si biasanya baju baju daster yang mureh-mureh aje ibu-ibu méh ya kadang-kadang lipstik kadang-kadang handbody ya kadang-kadang apa ajé yang muréh déh kalau beli di online méh yang penting kita bisa bayar	barang yang saya beli di onlén sia ya itu paling yang mura-murah yang ayé beli nya kuat aya bayar yatau utama ya itu ayé cari gratis onkir biar lebih murêh yang saya beli sia biasanya tu baju baju daster yang murah-mura aja yang menyibui bumeh ya kadang kadang lapstik kaa kadang-kadang ebodi kadang-kadang yang apa yang murah dah kalo da beli di onlén meh yang penting kita bisa bayar
spontaneous-speech-bew-20817.mp3	Mendidik anak di rumah tuh ya itu biasê kalo orang kampung mah ibu-ibu Satu ya bangun pagi-pagi suruh sêkola Pulang sêkola makan Habis makan tuh istirahat Biarin dêh tuh dia main sebentar Habis pulang maén kita suruh ngaji tuh habis johor dia ngaji siang Habis ngaji siang nah baru dia main lagi dêh tuh sono dêh Namanya orang tua mah biarin dêh terserah anak yang penting dia udah ngaji sekola udah dilakuin ya udah dêh	menidika anak de rumah yaitu biase kalo orang kampung mah ibu-ibu satu ya bangun pagi pagi suruh sekolah na pulang sekolah makan abis makan tu istirahat biaren dah di maèn tuh sebentar a abis pulang maèn lai kita suruh ngaji tu abis cohor dia ngaji siang abis ngaji siang nah di baren dia maèn lagi dah ke sonoh deh a namanya orang tu mah biara dêh senterah anak yang menting dia udah ngaji sekolah direlakuin ya udah deh
