audio_file	reference	hypothesis
spontaneous-speech-ttj-59754.mp3	Abantu ab'omu kicweka kyange obu barora obaisiki rundi omwisiki ajwaire empale y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka ei twakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omuleme ogwaizire abaana nibajwara empali nk'abasaija kandi nibagenda omu muhanda omu noobasanga n'omu tauni abandi nibazitwara n'omu ma caaci mu makanisa okugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra kugarukayo kwegesa engeso yaitu ey'enzarwa ngu omwana owa Tooro rundi omwana ow'obwisiki ajwara ati ajwara ati	Abantu b'omu kicweka kyange obu barora abaisiki rundi omwisiki ajwaire empali y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka eitwakuliiremu twali ntumanya ngu abakazi bajwara ebiteteehi kandi bajwara na sikaati baitu hati omulembe ogwoizire abaana nibajwara empali nk'abasaija kandi nibagenda omuhando omu abasanga n'omutauni abandi nibazitwara n'omu macaaki mu makanisa kugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra kugarukayo kwegesa engeso yaitu ey'enzaarwa ngu'omwana watooro ruli omwana w'obwisiki ajwara ati ajwara ati
spontaneous-speech-ttj-59755.mp3	Ah omuzaire asemeriire kuba n&'obugabe n&'abaana be kandi obu naabafoora banywani be naabaha obwire naatungaga n&'omwanya naabaza nabo nabo naabahuliiriza ensonga zaabo nibaikarraaga nibaikiranganiza ha biki ebiraabaga bitahikire nukwe abaana basobole kubeetegereza abazaire n&'abazaire beetegereze abaana baabo abazaire kakuba otaha omwana obwire omwana ogu naagenda obwire naabwiha omu banywani be kandi nibamuha amagezi amabi	A Omuzaire asemeriire kuba n'obugabe n'abaana be kandi obu naabafoora banywani be naabaho obwire naatungaga n'omwanya naabaza nabo nabo naabahuliiza ensonga zaabo nibaikarraaga nibaikiranganiza ha biki ebiraabaga bitahikire nukwo abaana basobole kubeetegereza abazaire n'abazaire beetegereza abaana baabo abazaire kakuba otaho omwana obwire omwana ogu naagenda obwire naabwiha mu banywani be kandi nibamuha amagezi abibi
spontaneous-speech-ttj-59758.mp3	Abaana abanyakwina obulema ha mibiri yabo nitusobora kubakoonyera omu masomero omu mulingo nka gunu okwegesa abaana bataahi baabo okubakoonyera nambere barukuba balemerirwe kandi n'ebiikaro byabo ebi barukugenda kweyambiramu nibisemerra kuba by'embaganiza kuruga ha biikaro eby'abaana abanyakuli boomeezi nukwo nabo basobole kwegonza barole ngu bantu b'omugaso mu ihanga	Abaana abanyakwine obulema a mibiri yaabo nitusobora kubakoonyera omu masomero omu mulingo nka gunu okwegesa abaana bataahi baabo okubakoonyera n'ambere barukuba balemeriirwe kandi n'ebiikaro byabo ebi barukugenda kweyambiramu nibisemerra kuba by'embaganiza kuruga ha biikaro eby'abaana abanyakuli boomeezi nukwo nabo basobole okwegonza barole ngu bantu b'omugaso mu ihanga
spontaneous-speech-ttj-59761.mp3	Abeebembezi b'amadiini bakozere omulimo gwabo omu kicweka kyange okutebeza ekigambo kya Ruhanga n'abantu okurora nibahinduka okuruga ha mitwalize rundi emigendere embi ei babaire nibagyaamu ba kagaruka ha muramwa okuserra amaiso ga Mukama habwokuba nibatebeza mbagamba ekiro kiri haihi kuhika tweteekanize tutegule abantu nibalengaho okuhindura engeso zaabo nibagaruka h'okukuratira Mukama waabu mbaserra amaiso ga Mukama	Abeebembezi b'amadiini bakozere omulimo gwabo mu kicweka kyange okutebeza ekigambo kya Ruhanga n'abantu okurora nibahinduka okuruga ha mitwalize rundi emigendere embi ebi babaire nibagyamu bakagaruka ha muramwa okuserra amaiso ga rukama habwokuba nibatebeza mibagamba ekiro kiri hai kuhika tweteekanize tutegule abantu nibalengeho kuhindura engeso zaabo nibagaruka okukuraatira mukama waabo baserra amaiso ga mukama
spontaneous-speech-ttj-59762.mp3	Obuleemeezi obu abalimi omu kicweka kyange obu barukutangatangana nunkwo okw'ebirimwa okugura sente ntaito noosanga omuntu akozeseze sente nyingi muno mu kulima kubyaara kwombera kugesa baitu hanyuma y'okutahya ebyokulya omu ka noosanga kilo y'ebicooli naagitunda siringi rusanju siringi bitaano kandi noosanga sente ze ezi tiirukurugamu noosanga omusuubuzi owaakumuguraho ekyokulya eki uwe nakigoba okukira owaanyakukirimire	Obulemeezi obu abalimi omu kicweka kyange obu barukutangatangana nukwo okw'ebirimwa okugura sente entaito noosanga omuntu akozeseze sente nyingi muno omu kulima kubyara kwombera kugesa baitu hanyuma y'okutaahya ebyokulya omuka noosanga kiro y'ebicooli naagitunda siringi rusanju siringi bitaano kandi noosanga sentezi ezitiirukurugamu noosanga omusuubuzi owu arukumuguraho ekyokulya eki huwo naakigoba okukira owanyakkirimiri
spontaneous-speech-ttj-59764.mp3	Omulingo ogutusobora kukora kuyamba abantu abataruku kwesobora omu kicweka kyaitu nukwo okuteeka enkurato abantu abo tukabeegesa ngu nibasobora kugenda omu bitebe eby'okwimukyangana nukwo nabo basobole kutunga kiki ekyokukora omuntu obu arukuba ataine sente naagenda mu ki mu kitebe ekitebe nikimukwatiraho naatunga akasente naatandikira ha ka bbiizinesi akataito ha kumalirra noosanga afookere muntu w'embaganiza	Omulingo ogu tusobora kukora kuyamba abantu abataruku kuesobora omu kicweka kyaitu nukwo okuteeka enkurato abantu abo tukabeegesa ngu nibasobora kugenda omu bitebe eby'okwimukyangana nukwo nabo basobole kutunga kiki eky'okukora muntu obu arukuba taine sente naagende mu kib mu kitebe ekitebe nikimukwatiraho naatunga aka sente naatandikira aka bbiizinesi akataito ha kumalirra noosanga afookere muntu w'embaganisa
spontaneous-speech-ttj-59769.mp3	Omu kyaro kyange obu haali hatakagwireyo enjura okumara akaire akaraihire nkasobora okuba nyina amaizi gange agarukumara hakuba nkaba ndegeze amaizi nyahwire mu bupiira nyahwire mu tanka omu nju okurora ningakwata kurungi kumpikya ha kasumi ako nambere enjura eriba neeyongera kugwera hanyuma omu by'okulima oteekaniza kara amasinde gaawe ogaleka aho olindirra enjura h'erigwera nukwo osoble kubyara ebirimwa b	Omu kyaro kyange obu aali hatakagwireyo enjura okumara akaire akaraihi nkasobora okuba nyine amaizi gange agarukumara hakuba nkaba ndigeza amaizi nyahwire mu piira nyahwire mu tanka omu nju okurora ningakwata kurungi kumpikya ha kasumi ako nambere enjura ebi baneeyongera kugwera hanyuma omu byokulima muteekaniza kara amasinde gaawe ogaleka aho olindirra enjura ho erigwera nukwo osobole kubyara ebiri mu ab
spontaneous-speech-ttj-59776.mp3	Abakyara nabo baine kwetaba mu by'endema omu ihanga lya Uganda habwokuba omwebembezi omukazi n'omwebembezi omusaija boona nibasobora kukora ekirukusisana nikyo okurorra na president waitu wa Uganda nakira muno kwebembeza omukyara na habw'eki nikyo nibasemerra kugendera mu bwebembezi	Abakukyara nabo baine kwetaba mu by'endema omu ihanga lya Uganda habwokuba omwebembezi omukazi n'omwebembezi omusaija boona nibasobora kukora ekiru kusane nikyo kurorra na purezidenti waitu wa Uganda naakira muno okwebembeza omukyara na habw'eki nikyo nibasemerra okugendera mu bwebembezi
spontaneous-speech-ttj-59785.mp3	Omu kulima nyeyambisa enfuka nka butoosa ezi tukozesa n&'okukozesa ebikozesa ebya buli kiroo kusika ebinyansi n&'okukozesa ebisalizo obu okuba olimire ebitooke kurora noobirolerra kurungi n&'ekipanga okusalirra obu okuba oinee ekipanga kyawe nookikozesa wenka habwokuba endwaire y&'ekihuka kikaija kihotoka erukusiisa ebitooke	Omu kulima nyeyambisa enfuka nkabutoosa ezitukozesa n'okukozesa ebikozesa ebyabuli kiro ookusika ebinyansi n'okukozesa ebisalizo obu okuba olimire ebitooke kurora n'obirolerra kurungi n'ekipanga okusalirra obu okuba ine eekipanga kyawe nookikozesa wenka habwokuba endwaire ey'ekihuka ekikaija ekihotoka erukusiisa ebitooke
spontaneous-speech-ttj-59788.mp3	Engeso y&'okutamu abantu n&'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooleza hamu nk&'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky&'okukoora kweyuna abantu abakuru n&'ebi bakukugambira	Engeso y'okutamu abantu n'ebintu ekitiinisa neesobora kwegesebwa ebi abaana rundi abantu kubasoroleza hamu nk'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky'okukora kweyuna abantu abakuru nebakkugambira
