audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Ne nemaama tukaari mayaʼa ʼaixinepɨreakaʼeriyatɨyanepenekatemawia tɨyane haitɨarni paɨ mepɨkateuhukai ʼariké ke ri ikɨ kekari yaʼnemepɨtiʼatɨa hikɨ yateɨteauhuyikɨ tukari tepuyewixi paɨxi
spontaneous-speech-hch-31313.mp3	Ne heiwa nekie neheyaka nepeuyewe eh yeikaametsíe neʼika neheutihɨaka pero kauka xeimetsíe neneyɨanékai xaɨtsíe pɨta nepeʼatɨarie muuwa ke ta ri nemetinuitɨ́arie nekie nepɨʼatɨarie	Neheiwa nekie neyakɨa nepauyewe yeikaametsie neʼika neutiɨaka perukauka xeimetsie neneyɨanekai xaɨtsíe pɨta nepeʼatɨarie muuwa ke tari nemeɨtinuitɨarie neki nepɨʼatɨariaeeMeMeMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNMNM
spontaneous-speech-hch-31314.mp3	Takie waɨkawa pɨreuyewetsé Ha xɨka xuawenike ʼaixɨ tepɨteheukutenikeyu waɨkawa tepɨteʼuuximayákakeyu eh xɨka takɨxeeme tixuawenike ʼaixɨ tepɨteheukutenikeyu	Nakie waɨkawa pɨreuyewetsie ha xɨkaxuawenike ʼaixɨ tepɨteukuteenikieyu wakawa tepɨteʼuuximaayákakeyuhh xɨka takɨ xeemeɨtixuawenike ʼaixɨ tepɨteukutenike
spontaneous-speech-hch-31315.mp3	Mɨɨkɨ tuurutsiixi wahetsie mepuʼeximekai méripai kiekátaari eh mɨɨkɨ wahetsíe mepɨteʼuuximayákai muurátsixi wahetsíe puuxúri wahetsíe mɨpaɨ mepɨte... mepɨte'uyumiximekai Paɨ xeikɨ́a	Nɨɨkɨ tuurutsi xɨwaetsie mepuʼeximekai meripai kie kataari ʼe mɨɨkɨ wayetsíe mepɨteʼuuximayákai muratsiɨwaetsie puxur waeatsie mɨpaɨmepɨte mepɨteuyumiximekɨ paɨrieMeMMMNMNMNMNMNMNMNM
spontaneous-speech-hch-31316.mp3	Ne haxu xakɨyari pɨnetsinake mɨɨkɨ ah porque ha haɨtɨtɨ maana mɨyemaka mɨɨkɨ maana 'ayumieme mɨɨkɨ pɨnetsinake maana mɨɨkɨ ne... taweewíya mɨɨkɨ pɨhɨɨkɨ Paɨ xeikɨ́a	Ne haxuxakɨ yari pɨnetsinake mɨɨkɨe pur keha haɨtɨtɨ maana mɨ yemaká mɨkɨ maana ʼayumieme mɨkɨ pɨnetsinake maana mɨɨkɨ e taweewiya mɨɨkɨ pɨkɨ paɨxey
spontaneous-speech-hch-31317.mp3	Takie pɨremawe mmm ˀayumieme tepeyekɨka tetekwaikutɨ ʼuuwa kiekaritsíe naitɨ pɨtixuawe naitɨ pɨtituiya takie xɨka ha hexuawenike muuwa tepeʼuuwanikeyu Paɨ xeikɨ́a	Nakie pree mawe ʼaiumieme tepeyakɨka tetekwaikutɨ ʼua kekaritsíe naitɨ pɨtixuawe naitɨ pɨtituiya akiexɨkahaexɨawenike muuwa tepeʼuwanike paxieM
spontaneous-speech-hch-31318.mp3	Ne neteukari pɨnetsiʼukahauxi mɨpaɨ waníu tiuheinɨka tiutahɨawarieka ˀayumieme Xaureme pɨnetiuterɨwáxɨ waníu nemɨkatikuuyenikɨ waníu ʼaixɨ nereuʼeríetɨ nemuyeikanikɨ	Ne neteukari pɨnetsiukaauxi mɨupaɨ waaníu tiuheinɨka ɨtiutaaɨ wariekɨa ʼaiumieme xaure mepɨpnetiuterɨwaxɨ waníu nemɨkatikuuyenikɨ waníu ʼaxi neɨreuʼeríetee nemuuyeikanikɨ
spontaneous-speech-hch-31319.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	Nuwa pɨkatixuawe a takie timieme ʼua teɨtehyɨʼeriwa e eteepaapáiʼikupaapa yari mɨkɨ e tepayeʼeriátɨkɨka peruʼua eh katixuawe ʼua pɨtiumawe paɨ xeieMeMeMNMNMNMNM
spontaneous-speech-hch-31320.mp3	Mɨɨkɨ méripai tɨ tumiini mumawekaitsie mɨpaɨ mepɨteyuparewíekai meuʼuuwátɨ kiekaritsie waɨríyarika mepuʼuuwákai meteyupatsiríetɨ mɨpaɨ mepɨteyumikwakai	Nɨɨkɨ méripai tɨ tumiini muumawekaitsie mɨpaɨ mepɨteyupareewiekai meuʼuátɨki akaritsie waɨriyarikamepuʼuwakai meteyupatsiríetɨ paɨ mepɨteyumikwakai
spontaneous-speech-hch-31321.mp3	Méripai tɨ kiekátaari muxá ʼɨkariyari mepɨweewíekai kamixayari memɨteweewíekai ʼaana mɨɨkɨ mepɨteʼanakapitɨkatéi paɨ mepɨʼánenekai ʼaana Mɨpaɨ	Néripai tɨ kieakatari muxaʼɨkariyari mewɨeewíekai kamixayari memɨteweewíekai ʼaana mɨkɨ meɨtaana kapitɨkatei paɨ. mepaʼaneneakai ʼanu mɨpa
spontaneous-speech-hch-31322.mp3	Mɨɨkɨ tsɨ eh teteʼuuximayátɨ eh teneyɨa tepɨtehetimamateke ʼetsiwa tetetuátɨ ya tetenetapareewie Mɨpaɨ xeikɨ́a	Nmɨɨkɨtsɨ teteneteteʼuuximayáatɨ e teneyɨa tepɨteetimaamatekie ʼeh tsia tte ttetuatɨyáatetenetapariexi mɨpaɨxii
spontaneous-speech-hch-31323.mp3	Méripai tɨ tihaɨtɨriyaame pumawekai hiikɨ ri pɨxuawe muuwa pemɨtiʼatiʼɨnieni pɨyɨwe tihaɨtɨme pemɨtikwaká pepɨtiʼaxeeriríeka hiikɨ naitɨ pɨtixuawe	Néripai tɨ teɨtɨriyame pumawékai hiikɨ ripuxuawe muuwa pemɨtiuatiʼɨnienipɨyɨwe teɨtɨme eɨtikwaka ɨtiʼaxeririeka ʼikɨ naitɨ pɨtixua
spontaneous-speech-hch-31324.mp3	Ne méripai tɨ nepɨtikuʼeriwákai nepɨtinetaʼɨ́kitɨanikekai pero nepɨkaʼuyɨwekaxɨa maana nepaapa tumiini pɨkaʼuyemanakai 'ayumieme ri nepɨkatiunetaʼɨ́kitɨa Mɨpaɨ xeikɨ́a	Ne meripai tɨ nepɨtikuʼeriwakai nepɨtinetaʼɨkitɨanikekai peru nepɨkaʼɨyɨweakaxɨa maana nepaapa tumi nepɨkahuyemanakai ʼayumieme ri nemɨkatiunetaʼɨkitɨ mpaɨxeika
spontaneous-speech-hch-31325.mp3	Waɨríyarika ʼuuximayátsika pukaxeiya teiwaritɨ́a eh xapáte pɨtiyukuʼíwawa ʼɨ́kiyate mɨɨkɨ ʼaana ke ri eh ʼaana ʼuuximayátsika pepɨxatɨ́arieni pepɨtitaʼiiwa	Nwaɨriearka ʼuuximayátsika pukaxeiya teiwaritɨa eh xapáte pɨtiyukuʼiiwawaʼɨkiyate mɨɨɨkɨ ʼana kie ri ʼana ximayátsika peɨxatɨarieniu pepɨtitaʼiiwa
spontaneous-speech-hch-31326.mp3	Ne nekɨpáte peukunexɨa taamámata ʼauxuwime wiyari nehexeiyatɨ naitsarie peukunexɨa kauka ri ʼukiratsi nenehɨɨkɨ paɨ nepɨtiutiʼeri	Ne nekɨ pate peukunexɨ tamaáamata ʼaɨxɨme wiyari nexeiyatɨ naitsarye peukunexɨ kaukareʼukixatsi neneɨkɨ paɨ nepɨtiutiʼeri
spontaneous-speech-hch-31327.mp3	Ne heiwa meteʼuyuatɨkaime nepɨwaruxei eh neheutahaka muuwa paɨ pɨtiyɨanékai pɨtiyúkwinekai muuwa ne nepɨranuyemie waʼaatɨ ˀayumieme neʼutimaaka nepɨwayetɨa	Neeiwameteʼuyeatɨkaime nepɨwaru xeih neutaka muuwa pɨ ptianekai pɨtiyukwinekai muuwa e nepɨranuemiewaʼatɨ ʼayiumieme neɨtimaka nepɨwayatɨeMMNMNMNM
spontaneous-speech-hch-31328.mp3	Ne heiwa yeʼɨ́ neputaaráxɨ neʼanutiharénike nepɨkaʼima nepixuawáxɨ ʼariké ke nepunetiheiweri Paɨ xeikɨ́a	Neyiwa yeʼɨ neputaraxɨ nenɨtiarenikie nepɨkaʼimá nepixuawaxɨ ʼariké ke nepu neteeiweri paɨ xetɨ
spontaneous-speech-hch-31329.mp3	Ne nemaama nepɨtiutinanairi kémarieya kaakaíya xikurieya nepɨtitinanairi mɨpaɨ	Ne nemaama nepɨtiutinanairi kemarieya kaakaiya xikurieya neɨtitinanairi mɨpaeMeMeMʼM
spontaneous-speech-hch-31330.mp3	Méripai kiekátaari ʼaixɨ mepɨteʼuhukai ʼaana tepɨtaʼiwaatákai Hiikɨ ri paɨ mepɨkateʼuhu Mɨpaɨ ri tepɨkayɨa hiikɨ Paɨ xeikɨ́a	Ne nemareya teu peakatei etsiwa pɨnetsikupariewiwaákai n houneniumiekɨ e ne. maana nepetaʼaxekai ʼaumieme neɨyanekɨai
spontaneous-speech-hch-31331.mp3	Ne xewítɨ tikuxatame nepuʼeni yukiekaritsie waníu naitɨ mɨtixuawenikɨ 'ayumieme ne nepɨkahetɨmaiyawe	Ne tsɨewitɨ pɨtikuxatáame nepuʼeni yukieakaritsie waníu maitɨ mɨtixuawenikɨ hayumieme ne nepɨkahetɨmayaeMeMeMNMNMNM
spontaneous-speech-hch-31332.mp3	Ne heiwa ʼuuximayátsika nepukaxei neˀutaʼinieríeka ʼitsaanarikɨ maana ʼeetsiwa wakuruuxi nepuʼɨitɨ́arie paɨ nepɨtiuʼiiwaxɨ Paɨ xeikɨ́a	Nema ʼuuximayátsika nepukaxei nepɨtaʼinieríekai ʼitsaanarikɨ maana ʼetsia wakuruxi nepɨuʼitɨarie paɨ nepɨtiuʼiiwaxɨ paxe
spontaneous-speech-hch-31333.mp3	Ne heiwa tewi pɨrepi nepiini kename netipitɨani haitɨ pɨtiukɨyɨ ri rapiitɨ patɨa ri mɨɨkɨ tawaarí hawaikɨ nepɨkaheixei ri paɨ xeikɨ́a maana puyeʼatɨya	Neiwa teewi prepiinepiini kename netipitɨane haitɨ ptiukɨyɨriraapitɨ patɨari mɨɨkɨ tawariewaikɨ nepɨkahixeiri paɨxeikɨ́ mara puyatieeMeM
spontaneous-speech-hch-31334.mp3	Ne heiwa kɨtsiuri nepumikie ʼaixɨ nepɨrekaʼerietɨya nepekawaɨrétɨya nemikutɨneni mɨixa wiyaari Paɨ xeikɨ́a	Nehiwakɨtsiuri nepumikie ʼaixɨ nepɨreakaʼeríetɨya nepeeakapawɨrátɨyanemikutɨneni mɨixawiyari paɨ xe
spontaneous-speech-hch-31335.mp3	Ne muxá ʼɨkariyari pɨnetsinake muhaɨtɨnitsie mɨɨkɨ nepikakerɨma Mɨpaɨ xeikɨ́a	Ne muuxaʼɨkariyari pɨnetsinake muwaɨtɨnitsie mɨɨkɨ nepikakearɨma ɨpaɨxikɨeMeM
