audio_file	reference	hypothesis
spontaneous-speech-lth-28172.mp3	Anyira nwongo pëkö më nwongo kwan n'opore ënë nï pëkö më cïlïng më cülö kwan pëkö më jami calö jami kwan calö kalam böngü ekapu wör kalam buk ope gïn cïdhö tic ï udi ka jïï më nwongo cïlïng më cülö kwan pol mërë jö nökënë tio kamë auc gal më nwongo cïlïng më cülö kwan	Anyira nwongo pekö më nwongo kwan nopore ënënï pëkö më cïlïng më cülö kwan pëkö më jami calö ja mi kwan calö kalam bongu ekapu wör kalam buk ope gïn cïdhö tic i udi ka jïï më nwongo cïlïng më cülö kwan pol mërë jö ökënë tio kamë aucgal më nwongo cïlïng më cülö kwan
spontaneous-speech-lth-28440.mp3	Jö më pacöna ëka wegi peci cwakö ëthïnö ï köp kwan më pwonyeregï tero gïnï ëthïnö ï cukul mïö gïnï ëthïnö gin na amyero ëmïï më kwanërëgï ëka mïtïng mökö na nongo könyö gërö cükül ëka tïmö tic mökö na mïö cukul döngö	Jö më pacöna ëka wegi peci cwakö ëthïnö ï köp kwan më pwonyerëgï tero gïnï ëthïnö ï cukul mïö gïnï ëthïnö gina myere mïï më kwanërëgï ëka mïtïng mökö na nwongo könyö gërö cukul aka timo tic mökö na mïö cukul döngo
spontaneous-speech-lth-28489.mp3	An amarö camö cem calö amalakwang ayëta böö ringo dhyang ringo dyël ringo ringo gwënö kï nyig yen na papath calö abolo ëpaïpaï ëka aëmbë	An amarö camö cem calö anala kwang ayeta boö ringo dyang ringo dyël nringo gwëno ki nyig yen na papath calö abolo ëpaï pae aka aëmbe
spontaneous-speech-lth-28491.mp3	Ï kabedowa kany peki na mon onyo ëthïnö anyira nwongo n'adit rwök ope pïën ëgwökö ëgwökörök na röm aröma nen calö ka mën n'obedo tic më pwodho onyo tic më pacö ënë nwongo obedo tic na ünögï rwök caa mörö naka mïö caa më gïn cïdhö ï cukul onyo ï kwan nwongo ope	ï kabedo wakany pekina mon ënyo ëthïn anyira nwongo na dit rwökope pïën ëgwökö ëgwökö rök na roma roma nïën calö ka mën obedo tic më pwodho onyo tic më pacö ënënwongo obedo tic na ünö gï rwök caa mörö nakamïö caa më gïn cïdh ï cuku lonyo cïdh ï kwan nwongo pe
spontaneous-speech-lth-28550.mp3	Ï thum ka cabït ni aa onwongo atye ayelara më nënö nï ayübö ëthïnö më cïdhö ï cukul ayübö dhakö më cïdhö ï cukul pïën kï para jö kiduc tye gïnï ka kwan an mene atye amïtö nënö nï adök ökö ï cukul cabït na bino ni nwongo pol gina wan ëtïmo kiduc obedo lok kom cukul	ï thum ka cabït nï anwongo atye ayelara më nënö nï ayübo ëthïnö më cidï cukul ayübo dhakö më cidh i cukul pïën kï para jö kï do tyeng ka kwan an mene atye amïdo nënö nï adökö kö ï cukul cabït na bino nï nwongo pol gina wan ëtïmögï duc obedo nökom cukul
spontaneous-speech-lth-28559.mp3	Kwan ömïa ryëkö më gwökö kwöna onyo lökö kwöna nï anwongo tic aa agërö pacöna agërö thon cukul n'ëthïnö n'ökënë kwanö ïë ëka acülö thon ëthïnöna ï cukul	Kwan omïö aryëkö më gwökö kwöna onyo lökö kwöna nï anwongo tic agero pacöna agero thon cukul n'ë thïnönö kënë kwan ïë ëka acülo thon ethïnöna cukul
spontaneous-speech-lth-28566.mp3	Dhanö römö nwongo two awöna apïö nï ka ngat mörö na two two awöna apïö tye cë önywakö ködë gi önywakö ködë jami calö okopo caa mörö ï caa më madhö köngö marüa inwongo nywakö gïnï öcëkë acël two awöna römö köbërë ëka myero kothi jö nön ecibogï ökö path kür örïbërë gïnï	dhanö romö nwongo two awona pïö nï ka ngamörö na two two awona apïö tye cë önwakö kede gï önywakö kede jami calö okopo camö rïca më madhö kongo ma rwa inwongo onywakö gïn öcëk acël two awon aromö kobërë ëka myero ï koth ï jö nön ecibo gï ökö path kur ariberëgï
spontaneous-speech-lth-28570.mp3	Gina rac kï nywakö jami na thïnöthïnö calö olyedi ënë nï olyedi köbö two Ka in ïngölö kï cingi ëka dök aa onyo dök ïkwanyö olyedi ni acël nï dök̈ ïlyëlö kï wii athïn de ekob nï in itwo inwongo do ïköbö two jönjö ökö ï kom athïn nwongo ba bër më nywakö gina thïnöthïnö nonu calö olyedi ni	Gin arac kï nywakö jami n athïnö thïnö calö olyediënënï olyedi ïköbo two ka in ïngölö kï cingi ëka dök a onyoo dök ïkwanyö olyedi nï acël ï dök ïlyëlö kï wi athïn da ekob nï in itwo nwongo do ïköbo two jönyökö ï kom athïn nwongo ba bër më nywakö gin athïnö thïnö nonu calö olyedinï
spontaneous-speech-lth-28576.mp3	Cïdhö ï öd yath mïtö obed caa mörö këkën ka ïnwongo nï kom ba tye na bër cë ka ïnwongo nï komi tye na bër cë ïmïtö nënö ka ayela mörö ba tye ï komi ïrömö cïdhö inge dwe acël onyo dwe arïö cë ëmïö ëtïmö gïn elwongo nï general cek më nënö nï itye na bër	cïdhö ïödyath mïto obed ca mörö këkën ka inongo nï komi ba tye na bër cëk ka ïnongo nï kom itye na bër cë ïmitö nënö ka ayil amorö ba tye ï komi mene ïromö cïdho ïngedwe acël ongedwe arïö cï ïmïö ëtïmö gine lwongo nï jeneröl cëk më nënönï ïtye na bër
spontaneous-speech-lth-28592.mp3	Ngat na tye kï two par më acël nwongo kome tye ka dök pïny rwök tye amogere amoga na kadï ëcïdhö ï öd yath cë ëcïdhö epimo enwongo kit two mörö ope ëntö nwongo dhanö tye ka mogere amoga ënë pol mërë par ënë kelo koth mogere nön	ngat atye gï two par më acël nwongo kome tye ka dök pïny rwök tye amogere amoga na kede ëcïdho ï ödyath cë ëcïdho epimo enwongo ki two moro pe ënto nwongo dhanö tye amogere amoga ën ëpol mërë par ën ëkelo koth mogerë non
spontaneous-speech-lth-28614.mp3	Kwan k'ëthïnö anyira ölökërë ï mwaka n'opoth angëc ni pïën ï karë ni wel k'anyira pol rwök löö ëthïnö awope kï ï kilac acël naka ï adek Ëka ëthïnö anyira kato peny loo ëthïnö awope	Kwan këthïnö anyira ölökërë ï mwaka nopoth angec nï pïën ï karë nï wel ka nyira pol rwök löö ëthïn a wope kï kïlaca cël na kï adek ëka ëthïnö anyira katö peny löö ëthïna wope
spontaneous-speech-lth-30854.mp3	Gin na nyutho nï pii ope ï koma obedo nï më acël nwongo two maka na popol ëka më arïö nwongo del komi thwö athwöa caa kiduc ëka mene nwongo caa mörö komi ökwör	Gin anyutho nï pi ope ï komi ï koma obedo nï më acël nwongo two maka na popol a më arïö nwongo del komi thwö athw acakï duc ëka mene nwongo camörö komi ökwör
spontaneous-speech-lth-30854.mp3	Më gwökara kï ï kom two malarïa onyo pacöna kï ï kom two malarïa më acël myero ange nï nget pacö duc bunga na tye ïë ëgö ökö tye pïny më arïö myero anën nï jöga kïbëc buto gïnï ï thë net myero ëcïk net ökö ëk jïï obut gïnï ï thë net më gwökö ober kï koma	më gwök ara kï ï kom two malaria nyo pacönak ï kom two malaria më acël myero ange nï nget pacö ducu bunga na tie ëgö ökö tye pïny më arïö myero anën nï jöga kï bëc butogïnï thë nët myero cïk nëtökö ëk jï obutgi nï thë nët më gwökö ober kï ï koma
spontaneous-speech-lth-30855.mp3	Cïlïng më lon na thïnöthïnö na mon nongo nï ökönyögï më cakö cath na thïnöthïnö calö cadhö nyanya cadhö tungulu cadhö kabic na nongo gïn lökö kï cuk cë bino cadhö gïnï	Cïling më lon na thïnö thïnö na mon nwongoni ökönyö gï më cakö cath na thïnö thïnö calö cadhö nyanya cadhö tungulu cadhö kabej na nwongo gïn lökö kï cuk cë bino cadhö gïnï
spontaneous-speech-lth-30856.mp3	Awano më gudo rwök ï Uganda pol mërë obedo jö na düö ötöka na rëcö na nwongo ba epwonyogï na bër ëka nwongo ngwëcö rwök Më arïö obedo kite jïï kïta gudo onu ëyübö ködë ï Uganda Gudo nwongo ëyübö na dïng na nwongo mïö otoke ngwëcö ïë yelogï	awano më gudorwök ï Uganda pol mërë obedo jö adwö tökana reco na nwongo oba epwonyo gï na bër ëka nwongo ngwëcö rwök më arïö obedo kit ajïï kit agudoöna ëyübo kode ï Uganda gudo nwongo ëyübo na dïng na nwongo mïö otoko ëngwëcï ëyelogï
spontaneous-speech-lth-30857.mp3	Pol enyodo k'epwonye bedo gïnï k'ëthïnö karë n'ëthïnö tye pacö ëmïögï thama ëtwak ködgï karë na gïn cïdhö ï cukul ni mënë ëcïdhö ëlïmögï ëmïögï pwony me mëdö ï kom kwan na gïn tye ka nwongo ni	pol enyodo kepwonye bedo nï këthïnö kar n'ëthïnö tye pa cö ëmïögï thama ëtwak ködgï kar na gin cidhï cukuli menë ïcïdhö ëlïmögï ëmïögï pwony më mëdo ï kom kwan na gïn tye ka nwongonï
spontaneous-speech-lth-30858.mp3	Ï karë më köth myero agwök del koma nongo aruko böng na jükö öö ngïcö böng onyo nïnö ï thë nët ëk kür ober okai më mïöni two	ï karë më köth myero agwök del koma nongoaruko böng na jüko  ngicö böng onyo nïnö ïthë nët ë kur obedo kai më mïonï two
spontaneous-speech-lth-30858.mp3	An amarö makö okone rwök ka an aromo kï ngat na nyen nwongo amïtö nï obed okona rwök mërë ka nwongo obedo ngat na kwö mërë bër Makö okone kï ngat na kwö mërë bër ënë pïrë tëk	An amarö makö kone rwök ka aromo kï ngat anyen nwongo amïdo nï obedo ko na rwok mërë ka nwongo obedo ngata akwö mërë bër makö kone kï ngat a kwö mërë bër ën ëpïrë tëk
spontaneous-speech-lth-30859.mp3	Kwan mïö dhanö nwongo tic ëka më nwongo cïlïng më döngö dyekal ëka cülö ëthïnö nökënë ï cükül kï tero ëthïnö ï öd yath kï yübö jami më nënö nï kom ëthïnö obedo na bër kï pacö Obedo bër ka kwan	Kwan mino dhanö lwongo tic ëka mëdo kupu më nöngö cïling më döngö dyekal a acol ëthïnö nö kedo ï cukul kïütero ëthïnö ödyath kï yübo jami më nëno nï kom ëthïno yot kï pacö bedo bër nga kwan
spontaneous-speech-lth-30860.mp3	Pwonyere ka jö na döngö ökönya më röcö kwö ka jö më peci na papath pïën ömïö ryëkö më lengo ryëkö më cath ryëkö më tïmö gin na pol më döngö lobo	punyere ka jö na dongo ökönyö më röcö kwö ka jö më peci na papath pïën ömïö ryëkö më lengo ryëko më cath ryëko më timö gina apol më döngö lobo
spontaneous-speech-lth-30861.mp3	Gin na myero ëcwö ötim ka winyo nï edhero ënë nï më acël mërë myëro öcïdh ölwökërë ökö Ka ölwökërë ökö obin onwong gin acama kï gin amadha ka otyeko nwongo öcak yaa më örwëë tyënë owowotha kür obed abeda kanya acël	gin amyero ëcwö tïm ka winyo ni edhero ënë më acël më myero cïdhö lwökërë ökö ka ölwökërë ökö obino nwongo gï acama kï gï a madha ka otyeko nwongo öcak ya örwë tyënowowoth akür obedo abedo aka acël
spontaneous-speech-lth-30862.mp3	kwan okelo ryëkö kï rïbërë kï tïc na tëk më tïö tic më opic na nwongo mïö cïlïng më tïö tic onyo më cülö kwan	Kwan okelo ryëkö kï rïbërë kï tic na tëk më tio tic më opic na nwongo mïö cïlïng ë më tio tic onyo më cülö kwan
spontaneous-speech-lth-30863.mp3	Kwan ökönyö ï kom pacöna më mïö agam ï kom peki mökö na makö lwak calö ngölö köp ënë köp ï kom lara më ngom tye	Kwanö könyö ï kom pacö na më mïö agam ï kom peki mökö na ma kölwak calö ngölö köp ënë ï kom lara më ngom ka tye
spontaneous-speech-lth-30864.mp3	Ka örïö neki nyutho nï pii ope ï komi ëka ka dwoni thüö athüa naka naka nyutho nï pii ope ï komi ëka ka dhogi thüö na tar atara	Ka örïö neki nyutho nï piope ï komi ëka ka dwo ni thwö athwö anakanaka nyuthonï pi ope ï komi akaka dhogi thwö na tar atara
spontaneous-speech-lth-30865.mp3	Ee an agwökö cïlïngna ï bank ceng mökö thon agwökö ï mëna wan ebedo ïë n'ekobo nï bol nï cup ni ënë wan thon ëgwökö cïlïngwa ïë	ee An agwökö cïlïng na ï bang ceng mökö thö nagwökö ïmëna wan ebed ïë n'ëkobo nï boli cup nï ënëwan to nëgwökö cïlïng wa ë
spontaneous-speech-lth-30866.mp3	Modho pii na reco mïö two kölëra podho ka an pii nön cwök kï coron onyo tye kanya ba leng	modho pi n a recö mïö two kölë ërapodho ka pii non cwök kï coron onyo tye kanya balïng
spontaneous-speech-lth-30867.mp3	Cukul cwakö ëthïnö na görü kï mïögï kwan nono ëka mïögï buk kalam më nono	Cukul cwakö ëthïnö na goru kï mïögï kwan nono ëka mïö gï buk ka lam më nono
spontaneous-speech-lth-30868.mp3	Tuko kanya ba leng na cïlö tye ïë kelo kudi na rëcö ï kom ëthïnö ënë mïö nwongo gïnï kit two n'obedo kömanön	Tuko kanya baleng na cilo tye ë celo kudi na reco ï kom ëthïnö ën ëmïö gï nongo gïnï ki two nobedo kömano
spontaneous-speech-lth-30868.mp3	Kwan ömïö ryëkö ëka yabö thama ëka yabö anyim ï kite më jükö peki na pol na tïmërë karë kï karë ï pacöna	Kwan ömïö ryëkö ëka yabö thama ëka yaba nyim ï kite më jükö peki na pol na tïmërë ï karë kïkarë ï pacöna
spontaneous-speech-lth-30869.mp3	An abedo kï yom cwiny rwök ï mwaka [UNK][UNK][UNK][UNK] pïën amëdö rwömna më dhö tic	An abedo kï yom cwiny rwök ï mwaka ïlïpaarïö kï pirö arïö wi acël pïën amëdö rwöm na më dho tic
spontaneous-speech-lth-30870.mp3	An amarö lëga kodiko cön na pod aco acoa kï yaa malö më lwökö laka kï wanga	An a malö lëka kodiko cön na pudacoa coa ki aa malo më lwöko laka kï wan
spontaneous-speech-lth-30870.mp3	Bedo abonge tic mïö dhanö cïdhö ï madhö köngö dhanö cïdhö ï madhö jaï dhanö tïmö tic na ba bër	bedo abango etic mïö dhanö cïdh ï madhö köngo dhanö cïdh ï madhö jaï dhanö timö tic na babër
spontaneous-speech-lth-30871.mp3	An amarö cem më pacö na nwongo epio apia na nwongo möö ba dit ïë rwök	An amarö cem më pacö na nwongo epi apia na nwongo ömööba di tïe rwök
