audio_file	reference	reference_raw	hypothesis
spontaneous-speech-lke-30007.mp3	Nsobola okuwona nti indwanisya embera mu'kusaba no kuyimbya nabakulembeze abandi oba tebakulembeze ne'bantu abalina endoboza ensa mukitundu bayinza okunyamba ne endoboza eyindi awo nisobola okulwanisya ebizibu nga ebyo kale awo endoboza nga eyo nensobola ebyo nsobola okulwanisya ebyo mubulamu bwange nadala okuyimbya na'bamumaka bona oluisi ekizibu ekyo kiza nga ninze omweiza zenka	Omukali alikida atandika okwaba omuidwaliro inga ekida kyemiezi isatu	Osobola owo okubona nti nlwanisya mumbere aawa okusaba nokuyimbya nabakulembezi abandi abai bakulembezi nabantu aba abandi bona balina endoloza ensaba mukitundu bainza okunyamba nendowozi eyindi awo nensobola okulwanisa ebizibu nga ebyo kalawo mbere nga eyo nensobola okukola ebyo nsobola okulwanisya nga ebyo mubulamu bwange nodala okuyimbya nabammaka bona olisi ekibuzo ekyo kiza nga ninzi muinizenka
spontaneous-speech-lke-30008.mp3	Nsobola okwelowozaku okutyama nga nelobozaku okubona nti nsobola okulowaza nti natandika ki lero oba mbera yakufuna emere oba kulowoza ku byakukola kaisi zena ntindikire awo oba kuwujula ku ndola oba nakolere ino nimpumula ku endolo kale awo kiba kinyamba ino mukifo kyasirikirira mba nga nsirikirire ndina okulowoza kyakukola	Abowala na bakali bafuna abizibu nga okutulugunyizibwa omaka gaibwe ejebafumbiruwe oba nabazaire baibwe nga baliwaika	Osobola okwerowozako kutyama nga nerowozako kubona nti nsobola okulowoza nti natandikira ti lero oba mbera yokufuna emere oba kulowozaku byakukola kaisi zenatandikiraawo oba kuwomulaku ndoolo oba nakolere eino nempumulako endolo kale awo okiba k enyamba ino mukifo kya kusirikirira mba nsirikirire nana nga lino okulowoza kyakukola
spontaneous-speech-lke-30009.mp3	Abawala abandi baba nebizibu eneino nga kisera kye nga bali mubulwaire obwa obwa obwabakali babula pads egibayamba era ndowoza kisa ino abawala bano okubayamba babe ne pads nga ebatuka mukisera ekyobulwaire nga basobwoire okuba okumasomero	Okusoma kwabantu abakulu kuyamba abantu okufuna amagezi inga mukutunga chalani oba okusiba eviri omuntu oluvanyuma nafuna esente ejasobola okukozesia okukulankulania amakage	Obawaala abangi baba nebizibu eino eino nga kisera kye nga bali mubulwaire bwabakali babula padisi egibayamba era ndowoza kisa ino abawaala abani okubayamba babe ne padisi nga abatuka mukisera kyobulwaire nga basobola okuba kumasomero
spontaneous-speech-lke-30010.mp3	Ebireta sirimu okufuniwa omukulitundu kiyange Nikyo abantu omungira omukwana nga tebamulikisire omusayi okutegera embera yaibwe ekyokubiri Nikyo abantu okutaka esente eino okwetunda eineinu kusaidi eyabawala ekyo kiretere eki akauka akasirimu inga keyongeria ino	Ekyaalo kyange kisobola okwekumba neki ni ni nibeterekera esente omumagurupu ante nibasobola nokulima deni oluvaanyuma nibatunda ebibarimire nibasobola okuyamba abasomi na'maka gaawe	Obireta silimu okookufunibwa mukitundu kyange nikyo abantu okwengira kumukwano nga a tibabera okwemulika omusai okutegera embera yaibe ekyo kubiri nikyo abantu okutaka esente eino okwetunda kuba eno ino okusaidi yabawala ekyo kiretere kka akawuka aka silimu nga keyongera ino mukitundu kyange
spontaneous-speech-lke-30011.mp3	Kiba kyangu okutukirira abo lwakuba kale takozesya esente enyinji okutambula okutuka omubanka ejindi egyo ejili ewala na'wandi kimuyamba nti amanyuwa omukitundu kale bayinza okumuwa esente ejitandikra ku ebizinesi ejatakale kale ekyo kimuyamba eino lwakuba nti okwilyayo esente kyona kimuyamba eino oba avuga akagali kamuyamba	Omuntu aweiremu amaaa amaizi asobola okuba nakawomero inga emimuwa mikalu ate nga omubiri gwona gubulamu amaani	Oiba kyangu okutukirira bolwakuba kale takoze esente egindi okutambula okutuka mubanka egindi ejo ejiriwala nawandi kimuyamba nti amanyibwe mukitundu kale ainza okumuweesente eitandikira oejatandikira ku ebisinesi ejatakire kale ekyo kimuyamba ino olwakuba nti alikumpi ate ituk okwiriayo esente wona takozesa ka yo entambulao olisi yasente abuga kagala kalimaka nekamuyamba
spontaneous-speech-lke-30012.mp3	Ekiraga nti omwana wange tafuna okulya okutufu oluisi aso aba mwana nga aluwala luwala ino echokubiri omubiri gwo mwana teguba nga gugugugu guli kusa ino embera ye nekida kinene ino oluisi neziri okumutwe giri ngeringeri echo kiraga nti omwana oyo tafunire okulya okutufu	Tusobola okweeta abantu mukitundu kyaisu netubegesia engeri yoku yokukozesia echoloni ate nokujikuma nga chinyirira	Okiraga nti omwana wange tafuna okulya okutufu aooluisaba omwana nga malwala lwala ino ekyokubiri omubiri gwomwana tiguba nga gulikusa nga talikusa ino embera ye olwisi nga lina ekida kinene ino olisi na enziri kumutwe giri ngeri ngeri ekyo kiraga nti omwana oyo tafunira okulya okutufu
spontaneous-speech-lke-30013.mp3	Kuwona nti bakuuma obulamu bwabwe kusa bayonja engoye jaawe nokuwona nti okusoma basobola okusoma nibafunaku amagezi agandi nabasobolaku okweeyambisiaku omubulamu bwabwe bona basobola okutyamangaku nabakali abandi abakulu nibabawaaku ebirowozo ebisowola okubawa nokwekuma obulamu bwaabwe	Amasomero gakubirizirye abaana abatobato okwaba okusoma aate nigaye nigabeegesia omugaso gwakusoma.	Oubona nti bakuma obulamu bwabwe kusa nabona okubona nti bayonje engoye jabwe nokubona nti okusoma basobola okusoma bona ntibafunaku amagiza gandi ebasobolaku kweyambisya mubulamu bwabwe bona ntibasobola okutyamanga kunabakala abandi abakulu olwokubawako ebirowozo ebisobola okubabona okuwekumya obulamu bwabwe
spontaneous-speech-lke-30014.mp3	Okubintu okatonda ebyampaile omumaka gange oba kasente oba enkoko eyo buli kimu ekyebona nti nsobola okugema zena ninyaba nitayo nga ekirabo omukeleziya nobona nti abantu bo'mumaka gange nsobola okubakobera nti twabe okusaba olwati lwa sa lwa sabiti awo wensobola okukola omumaka gange	Omusaiza asanire okukola obulimu obwiriam omubiri amani nga okwiruka, okuwuka okutambula muku oba nokwaba mwidwaliro okwekebezia nga omubiri gulimu oburwaire	Oubintu katonda ebyampaire amaka gange obaka sente oba nkukaeyo bulikimu kino mubona nti nsobola okugema zena ninjabanintayo nekirabo mukirizia nimubona nti abantu bamaka gange nsobola okubakobera ntetwabe okusaba lwati a lwasabiti awo ensobola okkola maka gange
spontaneous-speech-lke-30015.mp3	Okusoma kuwaire amaka gange okuba gamani kubanga amaka gange gasoboire okuba nga oku okulima okusa okulima ebintu nga enyaya kabeji era nga biwaire amaka gange okubanga galana amani mukitundu kyange	Bulinmuntu omukitundu alina omugaso gwokuokuma omwinaye	Ookusoma kuwaire amaka gange okuba gamaani kubanga amaka gange gasoboire okubanga gasobola okuba neb okulima okusa okulima ebintu nga enyanya kabeji era nga iwaire eno amaka gange okubanga galina amaani omukitundu kyange
spontaneous-speech-lke-30016.mp3	Osobola okubayamba na'magezi agandi naah okubayamba nakasente abandi mukitundu bayinza kuba nga embera yaiwe eliwansi ino oyinza okubamba ku nakasente oba amagezi ago gainza okubayambisya olwisi okwejanjabya nokufuna eeh embera okutandikiramu oluisi oba ebuzinesi gendi yena nafuna nti yena abaawo nga omuntu wa'omukitundu	Nsobola okugaba obuvunanyizibwa omubaana ebemba  nabo owaika	Osobola okubayamba namagezi agandi no kubayamba na kasente abayandi mukitundu bainza okuba nga embera yabwe eri wansi ino bainza kubayambaku nakasente aba naamagezi ago gainza okubayambusa olesa okwejanjabya nokufuna embera yo kutandikiramu olesa ba bizinesi gendi yena nafuna nti yena baawo nga omuntu wo mukitundu
spontaneous-speech-lke-30017.mp3	Osobola okukuma obulumi nga olimunsonga ye'ndwaire ya'bakali ekisoka nikwo okubona nti okola totyama obutyami toyingira munyumba nolambala ekyokubiri kyetagisia namira eidagala eeh eeh likakanya obulumi ekyo kiyamba ino	Nsobola okukobera omuzaile oyo okufunira omutabani we omulimo gwo'kolanga okusinga okwaba okuba omugurupu egyo embimbi	Osobola okukuma obulumi nga olimunsonga eyendwaire eyabakali ekisooka na okubona nti okola ngatutyamba obutyama etwengira munyumba nolambala ekyokubiri kyetagiza nomira eidagala elikankanya obulumi ekyo kuyamba ino
spontaneous-speech-lke-30018.mp3	Ekisoka okutegera nti kubanga mwibere liange olikuli ino obulumi bubawo nga bunji ino era nga tosobola nokulambala so ekyo kikuwa notegera nti obulumi biluwo era kintu kyetagisiya okuyambiwa	Amaka gayisu gasobola okulima no okuyaya ebisolo kayisi oluvanyuma ni tutunda nitufuna esente nitusoma	Okisoka  kitu ekutegera nti okubonga mwibere lyange ikulu ino obulumi bubamu nga  bunjino era nga tosobola nokulambala sekyo kikuwa noontegera nti obulumi buliwo era kintu ekyetagusa okuyambibwa
spontaneous-speech-lke-30019.mp3	Omuntu okusomesa omwana akozesya sente yingi era kitufu asobola okuba omwavu kubanga yakoyesere sente naye omwana owasoma asobola okutandika okola at least nafuna esente kimuyamba owaika kimuyamba ogula eitakali bafunamu obuyambi	Asobola okuzu... ka nalamusia abantu abaliwo abakulu	Omuntu okusomesa omwana akosa esente nyingi era kitufu asobola okuba mwavu kubanga akosera esente naye omwana owasoma tilisita omwana atandika okola tilisinaafuna esente t kimuyamba owaika kimuyamba oguleta akabiri biki nafuna mu obuyambi
