audio_file	reference	hypothesis
spontaneous-speech-lth-28172.mp3	Anyira nwongo pëkö më nwongo kwan n'opore ënë nï pëkö më cïlïng më cülö kwan pëkö më jami calö jami kwan calö kalam böngü ekapu wör kalam buk ope gïn cïdhö tic ï udi ka jïï më nwongo cïlïng më cülö kwan pol mërë jö nökënë tio kamë auc gal më nwongo cïlïng më cülö kwan	Anyira nwongo pëkö më nwongo kwan n'opore ënë nï pëkö më cïlïng më cülö kwan pëkö më jami calö jami kwan calö kalam böngü ëkapu wör kalam buk ope gïn cïdhö tic ï udi ka jïï më nwongo cïlïng më cülö kwan pol mërë jö nökënë tio ka më asugal më nwongo cïlïng më cülö kwan
spontaneous-speech-lth-28440.mp3	Jö më pacöna ëka wegi peci cwakö ëthïnö ï köp kwan më pwonyeregï tero gïnï ëthïnö ï cukul mïö gïnï ëthïnö gin na amyero ëmïï më kwanërëgï ëka mïtïng mökö na nongo könyö gërö cükül ëka tïmö tic mökö na mïö cukul döngö	Jö më pacöna ëka wegi peci cwakö ëthïnö ï köp kwan më pwonyere gïï tero gïnï ëthïnö ï cukul mïö gïnï ëthïnö gin na myero ëmïï më kwanërë gï ëka mïtïng mökö na nwongo könyö gërö cukul ëka atïmö tic mökö na mïö cukul döngöJ
spontaneous-speech-lth-28489.mp3	An amarö camö cem calö amalakwang ayëta böö ringo dhyang ringo dyël ringo ringo gwënö kï nyig yen na papath calö abolo ëpaïpaï ëka aëmbë	An amarö camö cem calö amalakwang ayëta böö ringo dïang ringo dyël ringooingo gwënö kï nyig yen na papath calö abolo ëpaipaï ëka aëmbë
spontaneous-speech-lth-28491.mp3	Ï kabedowa kany peki na mon onyo ëthïnö anyira nwongo n'adit rwök ope pïën ëgwökö ëgwökörök na röm aröma nen calö ka mën n'obedo tic më pwodho onyo tic më pacö ënë nwongo obedo tic na ünögï rwök caa mörö naka mïö caa më gïn cïdhö ï cukul onyo ï kwan nwongo ope	Ï kabedo wa kany peki na mon on ëthïnö anyira nwongo na dit wo k'ope pïën ëgwökö ëbwökö rök n'a röm aröma nïën calö ka mën obedo tic më pwodho onyo tic më pacö ënë nwongo obedo tic na ün rwök caa mörö naka amïö caa më gïn cïdhö ï cukul onyo öcïdhö ï kwan nwongo opeIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏIÏ
spontaneous-speech-lth-28550.mp3	Ï thum ka cabït ni aa onwongo atye ayelara më nënö nï ayübö ëthïnö më cïdhö ï cukul ayübö dhakö më cïdhö ï cukul pïën kï para jö kiduc tye gïnï ka kwan an mene atye amïtö nënö nï adök ökö ï cukul cabït na bino ni nwongo pol gina wan ëtïmo kiduc obedo lok kom cukul	Ï thum ka cabït nï a nwongo atye ayelara më nënö nï ayübö ëthïnö më cïdhö ï cukul ayübö dhakö më cïdhö ï cukul pïën kï para jök tye gka kwan amene atye amïtö önënö ni adökö okod ï cukul Cabin na bino nï nwongo pol gin na wan ëtimö kï duc obeo n kom cukul
spontaneous-speech-lth-28559.mp3	Kwan ömïa ryëkö më gwökö kwöna onyo lökö kwöna nï anwongo tic aa agërö pacöna agërö thon cukul n'ëthïnö n'ökënë kwanö ïë ëka acülö thon ëthïnöna ï cukul	Kwan ömïa aryëkö më gwökö kwöna onyo lökö kwna nï anwongo tic a agërö pacöna agërö thon cukul n'ëthïnö nökënë kwan ïë ëka acülö thon ëthïnöna ë cukul
spontaneous-speech-lth-28566.mp3	Dhanö römö nwongo two awöna apïö nï ka ngat mörö na two two awöna apïö tye cë önywakö ködë gi önywakö ködë jami calö okopo caa mörö ï caa më madhö köngö marüa inwongo nywakö gïnï öcëkë acël two awöna römö köbërë ëka myero kothi jö nön ecibogï ökö path kür örïbërë gïnï	Dhanö römö nwongo two awona öpïö nï ka ngat mörö na two two awona öpïö tye cë önywakö ködë gi nywakö këdë jami calö okopo caa mörö ï caa më madhö köngü marüa inwongo nywakö ginï öcëgnacël two awöna römö köbërë eka myero ikoth jö nön eciböi ökopath kür aribëre gï
spontaneous-speech-lth-28570.mp3	Gina rac kï nywakö jami na thïnöthïnö calö olyedi ënë nï olyedi köbö two Ka in ïngölö kï cingi ëka dök aa onyo dök ïkwanyö olyedi ni acël nï dök̈ ïlyëlö kï wii athïn de ekob nï in itwo inwongo do ïköbö two jönjö ökö ï kom athïn nwongo ba bër më nywakö gina thïnöthïnö nonu calö olyedi ni	Gina racc kï nywakö jami na thïnthïnö calö olyedi ïënë nï olyedi köbö two ka in ïngölö kï cïngi ëka döka onyodök kwanyö olyedi nï acël dökï lyëlö kï wi athïn do ekoo nï ino ï two nwongo dog ïköbö two jany ökö ï kom athïn nwongo ba bër më nywakö gina thïnöthïnö nono calö olyedini
spontaneous-speech-lth-28576.mp3	Cïdhö ï öd yath mïtö obed caa mörö këkën ka ïnwongo nï kom ba tye na bër cë ka ïnwongo nï komi tye na bër cë ïmïtö nënö ka ayela mörö ba tye ï komi ïrömö cïdhö inge dwe acël onyo dwe arïö cë ëmïö ëtïmö gïn elwongo nï general cek më nënö nï itye na bër	Cïdhö ï öd yath mïtö obed caa mörö këkën ka inwongo nï komi ba tye na bër cëka inwongo nï komi tye na bër cë ïmïtö nënö ka ayila mörö ba tye ï komi menë irömö cïdhö ï nge dwe acël onyo dwe arïö cëïmïö ëtïmö gin elwonn jenerol cek më nënö nï ï tye na bër
spontaneous-speech-lth-28592.mp3	Ngat na tye kï two par më acël nwongo kome tye ka dök pïny rwök tye amogere amoga na kadï ëcïdhö ï öd yath cë ëcïdhö epimo enwongo kit two mörö ope ëntö nwongo dhanö tye ka mogere amoga ënë pol mërë par ënë kelo koth mogere nön	Ngat na tye kï two par më acël nwongo kome tye ka dök pïny rwök tye amogere amoga na kidë ëcïdhö ï öd yath cë ïcïdhö epimo enwongo ki two mörö ope ëntö onwongo dhanö tye kamogere amoga ënë pol mërë par ënë kelo koth mogere nönNNAN
spontaneous-speech-lth-28614.mp3	Kwan k'ëthïnö anyira ölökërë ï mwaka n'opoth angëc ni pïën ï karë ni wel k'anyira pol rwök löö ëthïnö awope kï ï kilac acël naka ï adek Ëka ëthïnö anyira kato peny loo ëthïnö awope	Kwan k'ëthïnö anyira ölökërë ï mwaka n'opoth angec nï pïën ï karë nï wel k'anyira pol rwök löö ëthïnö awope kï laccël na kï ï adek ëka ëthïnö anyira katö peny löö ëthïnö awope
spontaneous-speech-lth-30854.mp3	Gin na nyutho nï pii ope ï koma obedo nï më acël nwongo two maka na popol ëka më arïö nwongo del komi thwö athwöa caa kiduc ëka mene nwongo caa mörö komi ökwör	Gin na nyutho nï pii ope ï komi ï koma obedo nïmë acël nwongo two maka na popol aa më arïö nwoo del komi thwö athwacaa kï duc ëka mene nwongo caa mörö komi okwör
spontaneous-speech-lth-30854.mp3	Më gwökara kï ï kom two malarïa onyo pacöna kï ï kom two malarïa më acël myero ange nï nget pacö duc bunga na tye ïë ëgö ökö tye pïny më arïö myero anën nï jöga kïbëc buto gïnï ï thë net myero ëcïk net ökö ëk jïï obut gïnï ï thë net më gwökö ober kï koma	Më gwökara kï ï kom two malaria nyo pacöna kï ï kom two malaria Më acël myero angeo nï nget pacö ducu bunga na tye ïë ëgöö ökö tye pïny më arïö myero anën nï jöga kïbëc buto gïnï thë nët myero öcïk nët ökö ëk jïö butgïnï thënët më gwökö ober kï ï koma
spontaneous-speech-lth-30855.mp3	Cïlïng më lon na thïnöthïnö na mon nongo nï ökönyögï më cakö cath na thïnöthïnö calö cadhö nyanya cadhö tungulu cadhö kabic na nongo gïn lökö kï cuk cë bino cadhö gïnï	Cïlïng më lon na thïnöthïn na na mon nwongoni ökönyögï më cakö cath na thïnöthïnö calö cadhö nyanya cadhö tung gulu cadhö kabec na nwongo gïn lökö kï cuk cë bino cadhö gïnï
spontaneous-speech-lth-30856.mp3	Awano më gudo rwök ï Uganda pol mërë obedo jö na düö ötöka na rëcö na nwongo ba epwonyogï na bër ëka nwongo ngwëcö rwök Më arïö obedo kite jïï kïta gudo onu ëyübö ködë ï Uganda Gudo nwongo ëyübö na dïng na nwongo mïö otoke ngwëcö ïë yelogï	Awano më gudo rwök ï Uganda pol mër obedo jwara düöö ötöka na reco na nwongo ba epwonyo gina bër ëka nwongo ngwëcö rwök më arïö obedo kite na jïï kit a gudo on ëyübö këdë ï Uganda gudo nwongo ëyübö na dïng na nwongo mïö otok'ëngwëcö ïë yelogï
spontaneous-speech-lth-30857.mp3	Pol enyodo k'epwonye bedo gïnï k'ëthïnö karë n'ëthïnö tye pacö ëmïögï thama ëtwak ködgï karë na gïn cïdhö ï cukul ni mënë ëcïdhö ëlïmögï ëmïögï pwony me mëdö ï kom kwan na gïn tye ka nwongo ni	Pl enyodo k'epwonye bedo gïnï k'ëthïnö karë n'ethïnö tye pacö ëmïögï thama ëtwak ködgï karë na gïn cïdh ï cukul ï mene cïdhö ëlïmögï ëmïögï pwony më mëdö ï kom kwan na gin tye ka nongo n
spontaneous-speech-lth-30858.mp3	Ï karë më köth myero agwök del koma nongo aruko böng na jükö öö ngïcö böng onyo nïnö ï thë nët ëk kür ober okai më mïöni two	Ï karë më köth myero agwök del koma nwongo aruko böng na jükö ngïcö böng onyo nïnö ï thë nët ëk kür obero oka ï më mïöni two
spontaneous-speech-lth-30858.mp3	An amarö makö okone rwök ka an aromo kï ngat na nyen nwongo amïtö nï obed okona rwök mërë ka nwongo obedo ngat na kwö mërë bër Makö okone kï ngat na kwö mërë bër ënë pïrë tëk	An amarö makö okone rwök ka aromo ki ngat na nyen nwongo amintö nï obedo kona rwök mërë ka nwongo obedo ngat na akwö mërë bër makö okone kï ngat a kwö mërë bër ënë pïrë tëk
spontaneous-speech-lth-30859.mp3	Kwan mïö dhanö nwongo tic ëka më nwongo cïlïng më döngö dyekal ëka cülö ëthïnö nökënë ï cükül kï tero ëthïnö ï öd yath kï yübö jami më nënö nï kom ëthïnö obedo na bër kï pacö Obedo bër ka kwan	Kwan mïö dhanö longo tic ëka mëdö gupu më öö cïlïng më dögö dyekal a acülö ëthïnö nökedë ï cukul k otero ëthïnö öd yath kï yübö jami më nënö nï kom ëthïnö oyot kï pacö obedo bër ka kwan
spontaneous-speech-lth-30860.mp3	Pwonyere ka jö na döngö ökönya më röcö kwö ka jö më peci na papath pïën ömïö ryëkö më lengo ryëkö më cath ryëkö më tïmö gin na pol më döngö lobo	Pwonyere ka jö na döngö ökönyö më röcö kwö ka jö më peci na papath pïën ömïö ryëkö më lengo ryëkö më cath ryëkö më tïmö gina pol më döngö loboP
spontaneous-speech-lth-30861.mp3	Gin na myero ëcwö ötim ka winyo nï edhero ënë nï më acël mërë myëro öcïdh ölwökërë ökö Ka ölwökërë ökö obin onwong gin acama kï gin amadha ka otyeko nwongo öcak yaa më örwëë tyënë owowotha kür obed abeda kanya acël	Gina myero ëcwö ötïm ka winyo nï edhero ënë më acël më myero öcïdhö ölwökërë ökö ka ölwökërë ökö obino nwong gï ï acama kï gi amadha ka otyeko onwongo öcakö yaa örwër tyënëowotha kür obed abeda kanyacël
spontaneous-speech-lth-30862.mp3	kwan okelo ryëkö kï rïbërë kï tïc na tëk më tïö tic më opic na nwongo mïö cïlïng më tïö tic onyo më cülö kwan	Kwan okelo ryëkö kï rïbërë kï tic na tëk më tio tic më opici na nwongo mïö cïlïng më më tio tic onyo më cülö kwan
spontaneous-speech-lth-30863.mp3	Kwan ökönyö ï kom pacöna më mïö agam ï kom peki mökö na makö lwak calö ngölö köp ënë köp ï kom lara më ngom tye	Kwan ökönyö ï kom pacöna më mïaga ï kom peki mökö na makö lwak calö ngölö köp ënë ï kom lara më ngöm ka tye
spontaneous-speech-lth-30864.mp3	Ka örïö neki nyutho nï pii ope ï komi ëka ka dwoni thüö athüa naka naka nyutho nï pii ope ï komi ëka ka dhogi thüö na tar atara	Ka örïö neki nyutho nï piiope ï komi ëka ka adwo nï thwö athwö naka naka nyutho nï pii ope ï komi akaka dhogi thwö na tar ataraK
spontaneous-speech-lth-30865.mp3	Ee an agwökö cïlïngna ï bank ceng mökö thon agwökö ï mëna wan ebedo ïë n'ekobo nï bol nï cup ni ënë wan thon ëgwökö cïlïngwa ïë	Ee an agwökö cïlïngna ï bank ceng mökö thon agwökö ï ïmëna wanebedo ïë n'ekobo nï bolï cup ni ënë wan hon agwökö cïlïngwë ïë
spontaneous-speech-lth-30866.mp3	Modho pii na reco mïö two kölëra podho ka an pii nön cwök kï coron onyo tye kanya ba leng	Modho pii na rëcö mïö two kölëra podh ka pii nön cwök kï coron onyo tye kanya ba lengM
spontaneous-speech-lth-30867.mp3	Cukul cwakö ëthïnö na görü kï mïögï kwan nono ëka mïögï buk kalam më nono	Cukul cwakö ëthïnö na görü kï mïögï kwan nono ëka mïögï buk kalam më nono
spontaneous-speech-lth-30868.mp3	Tuko kanya ba leng na cïlö tye ïë kelo kudi na rëcö ï kom ëthïnö ënë mïö nwongo gïnï kit two n'obedo kömanön	Tuko kanya ba leng na cilo tye ïë kelo kudi na reco ï kom ëthïnö ënë mïögïn nwongo gïnï kï two n'obedo kömanölT
