audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana ger akul ya akil ya yote kalam ayan milan wu akil gijib akila fi bara barau al gi jibu ayan fi gildu ase akil al ana ger aku ana ger akul akil al bijibu afiya yan al ma gi jib na ana ayan yote fi gildu jayan skilyatu ayan al gi jibu gi amru a gi nens afiya tai al gi jibu gildu ma i kun kwes yan gildu kun taban zaman kulu akil al bi kun taman fa ya akil al tenna al min jidi jide tena kan yamda gi wenena akil al gi tala fi shamba akil al ma gi tala fi al gi adul ma ida akil yan al gi tala fi shamba tenna ta min jidijide tenna
spontaneous-speech-kcn-22127.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	Teriga al kues yata ulan akul akil al ba au gid to yan akil al mabi jimno ayan barabarau al bija jim no yani shida fa ajusto tatinim yaakutum teriga yandi ligo sokol al saba kana u ja ajus gija au no faajusto yan namna yatu ya kuu sokol yatu al gi jimno gurush al saba kanau bi ja ajuse guruse bija nafo faajusto al bija selo fi mustash fa al bi auno mayal ab gisa maru af madrusama yal al figaa garadya
spontaneous-speech-kcn-22154.mp3	Al milan tomon ma endis kubaniya kalam fi umma nas sia yan ya azol seme anas milan ma aju neta mandeleo yani seme ya kubaniya fi umma milan tomon gi aju ita logo ita endis kan youm ab rabbana nongus min ita kalasi te kun sunu batal yani gi aju ita fi saa al ta fi batal Kan fi rabbana fata neta le uwo fata neta ja munu jibu Kalam milan ya wai min sabab al gi nongus kubaniya fi umma taki tai	a milan te man nang kubaniya kalam fu umma na sia ya agaajwe na azol sene nasa milan maajuni ta mandelo yan sene ya kubaniya fi umma milan toman gaajita loge tende kan yoma arabana nongusu minita kalash te kun sun batal yan giajita fi saa al ta fi batal kan rabana fatane ta lee u fataneta jata munu jibu kalam milan yaa wai mi sabab al gu nongusu kubania fu umma takt
spontaneous-speech-kcn-22169.mp3	Barnamij ta alim anas kubar awun waze fi aruf stamil me sim mon saade agder wonus me yala tomon fi be te bara	soka g al ka tire ana sowa yani abusu boda min aji ana fi zama galm ya l gugo dawa ama yani gavumenti men na terega ta abusu boda ya aj mina mosketanet yan katimba al ga abusu boda min gal gal al fugo dawa na gavumenti ki togolaa kalas ya anamna al ana gena abu somo boda min aji ana zaman talom
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	libu ali al gi ala fuma tai libu al g ans bad ma terebiya tomon yani ma terebiya tomon madasur tomon yan l libu al gira alimumon terebiya tomon esumiya ajif terebiya tomon terebiya tomon gi gi raba kefin ma hafiz lib al gijib al gu weri na ma hafiz terebiya tomon madasur tomon umma tomon
spontaneous-speech-kcn-22227.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	adib ayal bal labea ya kelilga ab fa kede azon soo kede ke al baawul men mashake yan adibiyal ban nabe weli noman sonia man aju suniya fa al saba bijarabomon ma usra al bija gidamuman
spontaneous-speech-kcn-22260.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Madrasata mahal am bar nam de taalim athar too jib geeru yani jib geru fikira taanas yan badul fikira taanas min kun f awiri ar jumal fi fi nuru yan min amru guma min duluma jima finuru deya athar ta m amas ta bal fi umma
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wesif teriga ta akil ta al ita gi fedhu ya akile yote al gaun nafsi taki gi mabi jimne ta madhara yote ama bijime ta ayan fi gildu ama bijime ta ayan yote al bi ji problem ne ta fi gildu yaani akil al gaun afiya taki al ma bi jimnesa asal al batalAA
spontaneous-speech-kcn-22307.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	a taalim girababe giji fahmana muji tafi mujtamiya muj tamiya yan giraba anas anas giwasa fikira al ma giraba anas fikira al garji anas wara yani gi amur gi anas min fikira taawiri gwed anas fikira al gidam al biraba anas al biraba bene a biraba
spontaneous-speech-kcn-22386.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	Ai ana di ham kalam alim terebiya barabara gweri nana suni ya ana aruf suni ya ana arufu ma usuniy aba aju ka ana amurugu usun ya abaaju ka ana zidu ana ba arufma ana kabila kam barau barau ma terebiya tomon fi belaalano fogo
