audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Aiem sa aioxo da iapay da ñocpita naxa so lomaxaqui lapaxaiq cataq iamaxaso laraxaic iataqta ñoqpita	Aýem so aýogo da ýappac da ñiqopitalo naxa som ilomaxaqui lapagaxaic qataq aso ýamaxaso lairaxaic ýataqta yiqopita
spontaneous-speech-tob-34712.mp3	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Na l-lla na'a'q natauo ýaýamaxatta'aguet cha'aye ñiqo'ona ca hiqaýañicpi maye qoýoqta yiueta'a ñamaqtac
spontaneous-speech-tob-34713.mp3	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye	Qom aýem ýi nache sauotaique ñimatik ñi so'oñi cha'aye som eso ionataxanaxac ýataqta sapatta som pa'atrec vi'iyi
spontaneous-speech-tob-34714.mp3	Aýem da huo'o cam iqataxat taia cam eca ñauochaxaua da qoýoqta ca hueta'a nache onaxaic da ýaýamaxaañi ca luennataxa	Aýem da huo'o cam iqataxac tayac cam eca ñauochaxaua da qoýoqta ca hueta'a nache onaxaic da ýaýamaxañe ca luennataxa
spontaneous-speech-tob-34715.mp3	Aiem iataqta ram era lapaxaguenataxanaxac aso iate'e ra auque'e ishet ra hua'auñi ra auioi na arhuaxaye era lapaxaguenataxanaxac	Aýem ýataqta dam eda lapaxaguenataxanaxac aso ýate'e da auque ishet da hua'auñi da avioi na' aduaxa'aye eda da lapaxaguenataxanaxac
spontaneous-speech-tob-34716.mp3	Som iqueroxonecpi ýapi' qataq aso icote aýem ýapaxaguenec hua'auchiguiñi ra l'enaxat aso la'añaxashe lashe	So miquedoxonecpi iapi' qataq aso icote aýem ýapaxaýanec hua'auchiguiñi da l'enaxat asa'aso lañaxashe lashe
spontaneous-speech-tob-34717.mp3	Aýem yiqopita aso ýiua cha'aye can cheta'ague sauatton ñaq qa'añolou qataq onaxaale qaq nagui ñaq eetalec yiqopita	Aýem yiqopita aso iuaa cha'aye can cheta'ague sauatton ña'axa qañolo qataq onaxa l-le qaq nagui ña'axa eetalec da yiqopita
spontaneous-speech-tob-34718.mp3	Va na ma iactaqa sachexotaie na iatee itaa iape iqome enauaq na ioquiaxaneqpi ye sobactaa	Hua'a na maiche ýi'aqtaxa aýem sacheguata ýilo na ýate'e ilta'a ýapi ýagome' enauac na ýaqaianicpi yim souaqta'a
spontaneous-speech-tob-34719.mp3	Se'eso na'a'q ýoqta yiqopita da so'onataxaatapigui som n'omaxa taq so l-lla eeta' latomaxa cha'aye qalota na ishet da au'ot na maiche yi'oqchihui ad'onatacpi	Se so na' iqta ñoqopita da sonataxatapigui som nomaxa taq sallia da latomaxa cha'aye qalota na ishet da auot numaiche yoqchigui nga do'onatacti
spontaneous-speech-tob-34720.mp3	Hua' saxat so yo'oqchigui intesoqo' ra so na'aq ra ivita ra aiem nsoq nache iapaxaguenec ra qañipiaxac ra selaqaique na mañec cha'aye nachera ra onolec ego' qaro'onataxanaxac ra qomi' nsoxopi	Hua' nsaxat so yiqchigui ntesoqo da sona da vita da ýi'ensoc nache ýi'apaxaguenec da qañipiaxac da selaqaic na mañec cha'aye nache da da onolec eco' qadonataxanaxac da qomi' nsoxopi
