audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wesif teriga ta akil al ita gi faidha ya akila yote al gi awun nafsi taki gi ma bi jib neta madhara yote ama bi jib neta ayan fi gildu ama bi jib neta ayan yote al bi jib problem neta fi gildu yani akil al gi awun afiya taki al ma bi jib netha al bi jib problem neta al bi jib problem neta
spontaneous-speech-kcn-22127.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana agder akul ya akil yoyote kalam ayan milan wu akil gi jib akil la fi bara barawu al gi jib ayan fi gildu ase akil al ana agder akul ana agder akul akil al bi jibu afia na ma gi jib naana ayan yoyote fi gildu jaa ensi kila yatu ayan al gi jib gam ruwa ab gi no misan ena
spontaneous-speech-kcn-22154.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	Taalim gi raba be gi jib fahamana mujtavi mujtamia mujtamia yani gi raba anas anas gi wasa fikra al ma gi raba anas fikra al gi arija anas wede yani gi amurugu anas min fikra taawiri wede anas fikra al gidam al gi raba anas al gi raba bene ah ah al gi raba
spontaneous-speech-kcn-22169.mp3	Ana ma gi hafiz gurus tai fi bank yani sabab to gurus tai bank ah fogo rufa ta maisha dukuru ah deen ab tai ma gi rudu rufa yani ta sun ya gi zidu fi ras ta ya gurus ab tai ana gi hafiz fi bank ma	Ana ma gi ajol gurush tayi fi bank yani sabab to gurush ta bank ah fogo urushwa jam marushwa dukuru adi naf tayi mo gi rudu urushwa ana saa sunu kede zidu furash gurush tayi ya gurush ab tayi ana gi afidh fi bank kaman
spontaneous-speech-kcn-22190.mp3	Lib al yal gi alab fi ummah tayi libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasturi tomon yani lib al gi alim omon terebiya tomon sun ya aju fi terebiya tomon terebiya tomon gi raba kefin ma hafiz lib ab gi jib hafiz terebiya tomon ma dasturi tomon fi ummah tomon	Libu al yal gi ala fi ma tai libu al gi amsuku badu ma terebiya tomon yani ma terebiya tomon ma dasur tomon yani li libu al gi alimu tomon terebiya tomon like sunia ajib terebiya tomon terebiya tomon gi raba kefin ma hafiz libu al gi jib al gi weri na ma hafidh terebiya tomon ma la hafidh
spontaneous-speech-kcn-22227.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	Teriga al mo yatu ta gi gai madrasa fi kariya tai saab yal ya yani amurugu zaman milan mon gai fi kid fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi ayalim terebiya yatu yatu gi kutu no yatu min agara deeni tomon min gi kutu nomon
spontaneous-speech-kcn-22260.mp3	Kalam al kubarin te deen soo fi umma tena taulan raba deen tomon deen tena tomon tena me te anas kulu ta tinin ya geeru fahma yan amurugu fahma tena min fikira ta al kan te awiri arija fahma tena fi sokol al adil ma aruf sabab sunu ya ina fifi duniya in me sabab sun ya jib ina wu saba nare na fi wen wu saba ne gi rua wen wu ina gi rua kefin	Salam al kubar ta umma ta ya ta aulan raba gi dini tomon gi dini tena tomon tena ma ta anas tena ya geeru fahma yani amrubi fahma tena ma fi kala ta al gi an ta weri ja fahma de na fi sika al ajol ma arufu sabab sunu ya ina fi fahma ya ina fi abidu falas tomon tena ya gi kelem sabab al agder ta wedi ja fahma de ina fi sika al ajol ma arufu
spontaneous-speech-kcn-22290.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	Taalim taalim ta yani ta daktar yani mustashtfa gi weri ja kumba ja gal bada min shi bal mahal gi ligo bal na shar talata ama aruba shar talata ama shar aruba mara wai kulu abidu hafidh nafsi to yani hafidh nafsi de gi afin kulu abidu hafidh nafsi to yani ma dastur buja fi hafidh nafsi de gi afin kulu abidu nafsi to yani ma dastur buja fi nafsi to
spontaneous-speech-kcn-22307.mp3	Agder tamli ta awun yani teriga ta awun nafsi taki min muswiba ta prostate ya abidu tamam nafsi taki bediri ke ta aruf afiya taki gi doru kefin sun ya aju uwo wu kanb ta bi ligo kan te endi sun ya neta soo kabla uwo raba uwo jibu mustakbal tan ama uwo jibu ayan al ma bi agder tib uwo de ya teriga te awun ta min musi muswiba ta prote ta prostate	Agider ta hawi ta awun yani kinga awun nafsi taki min musiba ta prostate yaa abidu tamam nafsi taki bediri ke taruf afiya taki gi doru kefin sun ya aju wu kan ta bi ligo kal te endi sun ya aju keta soo abidu tamam nafsi taki min musiba ta prostate ya
spontaneous-speech-kcn-22386.mp3	Stamil simu ana gi stamil simu mar milan ma wai ma tinin yani milan mar milan	Ahh stamil simu ana gi stamil simu mar milan ma wai mati myan milan mar milan
spontaneous-speech-kcn-22429.mp3	Taulan ah taalim jibu no uwo nongus miskin fi usra tai kefin wa taulan ya faham ita ya munu sun sun ya aju ke ta soo wu sun ya bi amurugu ita fi hal al ta fogo de ja yatu je namna al taulan ya rudu badu ma kila fikra al gi awun yan program al government gi jibu te endi te amsuku mo badu fa tinin je namna al governmenti gi jib nena Parish development model pdm te talata yani ja government jib nena NAADS al kede geeru fikira kede hel geeru hal tai usra tena ya amsuku badu mo	Taulan ah taalim jibu ungu unu nongus miskin usra tai kefin wu taulan ya faham ita ya min sun suniya aju keta soo wu suniya bi amurug ita fi halu fogo de jaya tu je nam mal taulan ya rudu Badu ma kila fika au mma taulan ya gi soo fi kalam taulan ya faham sun ya bi amurugu ita
spontaneous-speech-kcn-22446.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	Ayi ana endi ham kalam alim te rubiya bara bara gu weri nana sunu ya ana aruf sunu ya ana aruf ma wa sunu ya abajuku ana amurugu sunu ya abajuku ana zidu ana bi aruf ma ana kabila kam bara barau ma terebiya tomon fi bela al ana fogo
