audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Jo mana nuk kena nuk di gja asht nuk kena jo nuk nuk ken asw gja pwr zoti uk kena jo duke di Ca edi por nuk e kuptoj ke gja nuke pwr zotin Ca pe thaltashluke ashtu po jo luke kuptoj luke kuptoj
spontaneous-speech-aln-44300.mp3	Kopshtin e mbolla kopshtin e kam mbjell domata mallator speca do qep m pwlqen kopshti me kallzu t drejtwn por edhe ktu n Greqi kam ndreq jam n shpi private e baj nji kopsht t vogwl e baj do mallator do speca i baj	Kopshtine ma kopshtine kam lell do mallatar do s peta do Cqep m pwlqen kopshti me t ka tu tetw edhe ktu n Greshi kam ndres jam shpi pwr vate e bajnoj i kopsh vogwl e baj do maldhatar do s peta do gjana i baj..
spontaneous-speech-aln-44301.mp3	Un pwr zotin me thwn tw drejtwn shqetsohem shqetwsohem i emi asht ma i madh si me ta shpjegu ti kur s kam nonjw gja pwr shembull kam nonj problem nonjw gja shqetsohem shum edhe nuk m pwlqen pwr shembull kur kam probleme e gjana shum...	Un pwr zotin me kwnswldrewn hshetsohem setesohemsh jemi ash maj mad si me tash mwrgoti kur s kam nonj gja pwr shembul kam nonj problem nanj gja shetsohem shum edhe nuk m pwlqej krur shembul kur kam pwroblem e gjana shum pwlgja
spontaneous-speech-aln-44302.mp3	Po kur isha i vogwl m pwlqejshin kang dhe ashtu kang dhe kukllash kuklla kang kshu pwr fmij kto m pwlqejshin ma shum kang e fmijve t vogla ashtu kuklla	Po kurisha e vokwl pwqeshe kanghe ashtu kange kuklash kukla ke kang shu pwr fmi to pwlqeshi mashaa kangde tmi vet vogla o kukla
spontaneous-speech-aln-44303.mp3	Po nuk jan t kwqia micat na pwlqejn si s na pwlqejn micat Po kur ish njw her njw mic shum e bukur me t kallzu tw drejtwn micat shum nuk jan t kwqia po na pwlqejn na pwlqejn micat shum po na pwlqejn po po po	Po nuk jan qia micat mir jon na pwlqen s a pwlqen micat po kur ish i her nw mie iher njw mica shum e bukur me ka tu dretwnao micat shum nuk jan qia po na pwlqejn na pwlqejn miCat shum po na pwlqejn po po po po
spontaneous-speech-aln-44304.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	gja jama bukur kam shum gjana se jan keshpi me mira po kam bufene kam televizorin e friferet e pwr shembul kam komodina cw ulen karri kam blena dy karrikat bukura
spontaneous-speech-aln-44305.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	Pwr zoti kataku gjame me pas pwr avokat asnjwdhonj gjaje se nuk kam probleme me njerzit e nuk ndohen gja avokat po kur du nonj avokat futm e ma gjojn njerzit tupit me t njerzit akdik se kur nuk kam ndoj problem me avokat
spontaneous-speech-aln-44306.mp3	Po makinws di me i dhwn se s kish nga me msu kam marr patendwn e kam marr n Greqi patendwn ka nanj tet vjet qw e kam marr patendwn po di mir me i dhan makins mirboll mir por ruhem di me i dhan makins po po	Po makinwt dimi dhan q qesha kam su kam marr patentn kanaj CCesha kam marr n Greqi patente kanatet vjet se kam marr patetwn po dimi i grem makins marbold jo kr mer po ruhem dimi dhan makinws po po
spontaneous-speech-aln-44307.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	Jorws n tatwr s ka nuk kam hik se nuk kena pa satwr ther m shqipwri Cash kam mar un a dy vjet kam mar se ka mar m Gresi dy vjet kam s e Gresiun at-he kena pasnojn fshat to punus jam pri fshati tun katwr thw nand veC e to pri fshatit katwr thw nand veC
spontaneous-speech-aln-44308.mp3	Po kujdesem pwr Parlamentin kujdesem se Parlamenti asht qeveria jon a kupton Parlamenti i mir merr venime t forta pwr Cdo gja pwr ne i merr vendimet a kupton po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen n Greqi m pwlqen se ktu n Greqi jam tu jetu	Po kujdesin po parlamentin kredesn se parlamenti a Cveria ju na kupton parlamenti mir meme rrvwnnimet t forta pwr Cdo gja pwr pwr ne me rrvwndnime a kupton po mu duk m pwlqen parlamentin shqi pre pwlqen n Grehi m pwlqen se tu n Gresi jam tu jatu
