audio_file	reference	hypothesis
spontaneous-speech-lth-28172.mp3	An agöö bul më wer ï Church	An agöyö bur më wer ï cac
spontaneous-speech-lth-28440.mp3	Nywakö Jami na thïnöthïnö calö olyedi köbö two cïlïm i kom dhanö n'ope ködë	Nywakö jami më tïnöthïnö calö olyedi köbö two cïlïm ï kom dhanö ma pe kwede
spontaneous-speech-lth-28489.mp3	Kwan öwëkö dhanö ngeo cobo pëkö na tye ï kin-gï	Kwan öwëkö danö ngeo copo pëkö na tye ï kin-gï
spontaneous-speech-lth-28491.mp3	Kwan ömïö ngec na bër bothwa më cobo nenowa	Kwan ömïö ngec na bër pötwa më cobo nenowa
spontaneous-speech-lth-28550.mp3	An amarö tic më kanica kï könyö gwökö lengo më pacöna	An amarö tic më kanica k'ekönyö kwakö leo më pacöna
spontaneous-speech-lth-28559.mp3	Cukul më kabedona ömïö kwan nono both ëthïnö n'ayagï görü ï yoo më cülö kwan	Cukun na ï kabedona ömïö kwan nönö both ëthïnö na yagï görö ï yoo më cülö kwan
spontaneous-speech-lth-28566.mp3	An amarö camö öranga kï böö	An amarö camö möranga kï böö
spontaneous-speech-lth-28570.mp3	An amarö lëga kodiko cön na pod aco acoa kï yaa malö më lwökö laka kï wanga	An amarö lëga kodeko cön na pwodo aco acoa kï aa malö më lwökö laka kï wang
spontaneous-speech-lth-28576.mp3	An amarö winyo wer lëga	An amarö winyo wer lëga
spontaneous-speech-lth-28592.mp3	Kwan mio rïbërë kï wörö jö më pacöna	Kwan mïö rïpe kï wörö dhanö ï macina
spontaneous-speech-lth-28614.mp3	Leo jami tye na bër ï kin peci na tye ï ngeta	Leo jami tye na bër ï kin paci na tye ï ngera
spontaneous-speech-lth-30854.mp3	Ee an acidho ï lobo na path acidho ï Austrolia	Ee an acïdhö ï lobo na path acïdhö Australia
spontaneous-speech-lth-30854.mp3	Ee an acïdhö ï lobo na path acïdhö Australia	Ee an acïdhö ï lobo na path acïdhö Australia
spontaneous-speech-lth-30855.mp3	Mïtö ebed na bor kï ngat nön ëka kür ënywakö jami më cem më modho pii	Mïtö bed na bor kï ngatön ëka kür ënywakö jami më cëm më modho pii
spontaneous-speech-lth-30856.mp3	Myero acïdh ï öd yath naka naka më nënö yot koma	Myero acïdh ï öd yath naka naka më nënö yot koma
spontaneous-speech-lth-30857.mp3	Ka athïn kome tïdï ëka ka nen na two	Ka athïn kome tïdï ëka ka nen na two
spontaneous-speech-lth-30858.mp3	Ëcwö myero opimere nïnö kï nïnö kï ï kom two cükarï	Ëcwö omyero opimere nïnö kï nïnö kï ï kom two cükarï
spontaneous-speech-lth-30858.mp3	Ëcwö myero opimere nïnö kï nïnö kï ï kom two cukari	Ëcwö omyero opimere nïnö kï nïnö kï ï kom two cükarï
spontaneous-speech-lth-30859.mp3	kwan okelo ryëkö kï rïbërë kï tïc na tëk më tïö tic më opic na nwongo mïö cïlïng më tïö tic onyo më cülö kwan	Kwan okelo ryëkö kï rïbërë kï tic na tëk më tio tic më opis na nwongo mïö cïlïng më tio tic onyo më cülö kwan
spontaneous-speech-lth-30860.mp3	Modho pii na reco mïö two kölëra podho ka an pii nön cwök kï coron onyo tye kanya ba leng	Modho pii na rëcö mïö two kölëra podho ka pii nön cwök kï coron onyo tye kanya ba leng
spontaneous-speech-lth-30861.mp3	Ï karë më köth myero agwök del koma nongo aruko böng na jükö öö ngïcö böng onyo nïnö ï thë nët ëk kür ober okai më mïöni two	Ï karë më köth myero agwök del koma nwongo aruko böng na jükö ngicö böng onyo nïnö ï thë nët ëk kür obero kai më mïöni Thur
spontaneous-speech-lth-30862.mp3	Bedo abonge tic mïö dhanö cïdhö ï madhö köngö dhanö cïdhö ï madhö jaï dhanö tïmö tic na ba bër	Bedo abonge tic mïö dhanö cïdhö ï madhö köngö dhanö cïdhö ï madhö jay dhanö tïmö tic na ba bër
spontaneous-speech-lth-30863.mp3	An adhongo cïnga këkën gin më agöa ope	An adhöngö cïnga këkën gin më agöö ope
spontaneous-speech-lth-30864.mp3	Kwan mïö ryëkö ëka yabö anyim ka jö më pacöna më nënö nï obedo gïnï na bër	Kwan mïö ryëkö ëka yabö anyim ka jö më pacöna më nënö nï obedo gïnï na bër
