audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	I vd ben arfnndn sI s  ben I wnlsbtnat wls bnt m onprfnans g wtprtn tsIrdnt  r tn wdin  arsind v astgt bt an wdt prn t  wn s n m fr s ha  m astits thestmas g an a dos n bl bsnsds  dsittgntm he es rt wtssws rfnnnrsms Ia d r  lft d  lisss w  gthefs oe gitnrsswasd  l mtfsgnint thsbpt brnrn ramplnsm ot h rntninstsfllsdlfinn slan  h r ltnint h bpattflin wasgton tatn rs mn frstwsl r v th plsn ws at asgrtgthat lbrsrnt
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Ibst l tvvr bnn  wasininlnI in b tffinlininbrt lrg tsn mwplsant was sth mpsflin rlain  a was mar vls thmsrlatsin  t vvr bnn  winrlin nttnst mrltntr ln tthingevst Isn h bnsbrln rlin w dt ls inbdft ibas thsn fr an m wnt sfinan  wastn n mdl thsbffrsn lmnstntsvindrssfinannvr bn mrtpsmm llI
spontaneous-speech-sco-31055.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	IIbdfr mss wtsinransins Ifrn nn nan nsl ht mfat pfr an mat tod frn msI mn w rn ono gt tImsl fatt onl  mrginsrs ml wsnpafrtin anno on t rans wsolrn rstr anin o gt st rprtnn somtinthin Imstln an st br w thme ma sv nn a asti m bs tus on mdin thatt I rn t t s npart b thimin rn a b ot on t srl llst ththmtsbn w r randtthsnoprsr  thr  n rtsreat pas ma tad
spontaneous-speech-sco-31061.mp3	I like to try and save some money on things that are- like say for example eh heating’s very expensive the noo but I just feel I’ve got a big onesie I’ve got jogging troosers with fur inside Do you know that way I know it sounds crazy but I just feel- Also I think people go over the top buying too much I always say less is blessed so I’m very economical that way And I think a- again it’s because when you’ve been brought up with a big family you’ve had a big family you appreciate the small things in life so I’m quite good at saving	II liktinssmmnnthinsat rlisfrisamtns vsbnsin hh btIdsf  af gt I bi  winsIm gtd gdtsa s rfrstoat wInlt snsrsbat IdssI  inppfrl ttbnt mt wslsspls  Imbrn  mthat w n thin Inits bs mn  bwn brt t  w bfaml  f a th bifaml a  hs mfinsn lamitgdt sI
spontaneous-speech-sco-31069.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Ims prnn mgtrt sgtrv ant ins was  wbm bfra btntvrrsmnvnt  tsrnin mplsbttfrsfr mtrt brthn wpls wn bt I mn an  thtmmt mson bt hattrfrm nts wot  dindrprs ths wtin rn bl msn m swsbrn indn nats wnting wrd rn bningt bw bt hattr sbt ffl tpls msn ansgt l sint mnt  ls wlas mpl btt frs
spontaneous-speech-sco-31073.mp3	Worst technological advancement or piece of technology I would say is these daft smartwatches or smertwatches if you’re being funny Smartwatches that eh tell you how you’ve slept cause what a load of keech that is a load of keech and folk buy them and think its dead important to ken how you sleep and ken if you’re getting a good rest and a’ that well what- what do folk do with that information after that ken what I mean it tells you didn’t sleep well last night and then that reprogrammes folk’s minds and they think right well I’ve no slept well so I’ll be tired the day rather than just seeing how they actually feel for the day So smartwatches load of keech	Irstit nldlnd ans mn rpstt n was hasmart ts rsmrtsIve wn rns mart ats tttl  awevlttaswt ld as ld an fobthmin  think natstdnmrt ntan hwsl bwngn ver gtn  g rstin thatwl wtdm d f  t wet nfr mnfthratm mntts   dinslt wllsti n han that rrgramnsfs min an tinr w lv nos lit  w ls l btrtddtr tinsn h tslfl fr the  ssmar atsldI
spontaneous-speech-sco-31076.mp3	One of my favourite books I loved was The Astonishing Powers of Emotions My doctor recommended it years ago and one of my daughters found it for me We couldnae get it but she got it on Amazon Once again thanks for the internet Anyway this book was priceless She says to me “the book’s for you mum and only you” ‘cause when I read a book it’s no aboot the person that I- that I’m putting up that’s wrote the book it’s aboot I get the person ‘cause they understand how I’m wired And The Astonishing Powers of Emotions it’s upstream come downstream and float your boat	I wan  maff frt psrdwstIasnsnavwrsmnsm dttrmnd dit sg n n mdt rs f dit frn m bni bwasgrt n I masnwnstignfin hintrninw tsbwsplsstm  bs br  mninn l o  oas wn r bs no btt thprsn  thitmt ntts rot th b is  bt g th prsnasndstan  aman tsns prs msinisitssrmmdinsmin lt r bt
spontaneous-speech-sco-31080.mp3	AI’s- what’s my thoughts on AI It’s a good ain ‘cause eh- it’s taking over the world and abody’s feared of it and I dinna think really there’s anything to be feared of Folk are like scared of haeing Alexa devices in their hoose and that ‘cause she’s aie listening well of course she’s aie listening but what’s anybody saying in their hoose that’s interesting enough for Mr Bezos and the rest of them to listen to and get your- what are you up to ken what I mean what’s folk up to that they think’s so interesting that Bezos or the rest of them are going to- are going to gie a hoot ken what I mean So AI that’s the way it’s going bring it on let’s do it if you cannae beat them join them eh	Its mttsn gdinststan wr th wrn an a tes fr tow din intrs t n anrlt wfrr lisr I  n ls  th ssn thr sin at  assltnin rss lstn bwt wtsan bwrsnn thr stsnt str anfr mstr bssn hrst tmtlsnangt r wt tm mn wot r wtsfpt tt th thinsintstin tht bsrsr thrstmr gonr gon g mt mn thats to wt asgnbringt nlitsttfan btmn thmI
spontaneous-speech-sco-31124.mp3	The job I’d really like to have where I’m at just now is- over all my experience over the years you know I’ve got so many skills but the main thing for me would be helping people mentally that cannot let go of things Like I’d be a declutterer expert put it that way ‘Cause I’ve always- I’ve always hated clutter I think it’s a statement of mind and I know people struggle with it and it can cause depression and different things but I would love to have a group- a team of people ‘cause I’m good at delegating to help them to help people that cannot um declutter They’ve just got clutter in their life	Ihe ba drllith av wr a mats nhsfr mibns v h snowfgts man sgsbit th mnthinfr m wr blpanppnl thitan nt litthingslikabadltrrspbrtprt ha  w s wsIs tlrI thingis st n I m n no bsrwat  ns dprnin dfntinsbitIwd l avgrtrmapp s in g t dltnt  thmt pp thitrnnmtr the tsgoitat r n thrl
spontaneous-speech-sco-31127.mp3	The skill I would maist like to learn would be just to be a mechanic that’s what I would like to d- to ken athing there is to do with cars athing there is to do with motors ‘cause I seem to aie just be spending millions of money millions and millions of money on my motor and eh there’s aie stuff going wrong with it and then you’ve got to book it tak it to the garage and then they charge you through the nose for a’ the work that needs done to it And I just think if I could do this myself I’d save millions of time and millions of money so that’s what I would like to- that’s the skill I would like is to- to ken athing that there is to ken aboot motors Basically be a mechanic	Isl w ms liktln wd b jstb man ats wt  wa lik t  dttn han hrst dwr an hers t  w mt arsssm  sbsbninmnsmnnsn mns mn n m m mt r harsstfgn ran wtn thinef got abntittthigrnntrthrthnsfr th orns tn  an s thin Ivds msl r mnstmin mns mns tatwt  w lit thatsthsl w liks ttn an ththrsttan bt mt rsbstlbmanaI
