audio_file	reference	hypothesis
spontaneous-speech-top-21770.mp3	Nak kin pulataman pulux nachu lilakgapaskan muxusipi xtachiwin luwan Polutla lakgachixkuwikán sikulán tapakuwi La Asunción nikula kilhtsuku ja[UNK]e tamaxtumit paxkua ne talakatitayana nak pusikulan takpuxkún tsuku tapukipula tumin nak chiki pulataman nachuna taputsa tinakakgetaya sikulan ne nata natamakgtayanan la xanat chu pala natlawakán pinila mole wanikan xtachiwin luwan laktsiyunajli lakgpuskanitni ta[UNK]an taswakga pin limakxtun chu natsukukan ta tamuju chow kamawikan lakchixkuwin ne ta tawali tsukswit wama tsukswit likaxtlawanankán xlakakilhtin sikulan na chuna ana ni ya sikulán tsukukan putsakan ne chixku nalhkuyu limapankgan ama cohete na putsakan tinatatlakgnan wa chima lax xtalakgati lajkgolon makgán música de viento na wilapá tatantlí lakga lakgtsitsekge tantlin uyu takgchokgonankan ankan tiyakan sikula nán nak tun chiki xlakata natakgchokgonan liputum pulataman tlakgtiyakan nama sikulan nalinkan chi nak pusikulan nachu an ti ama tlawa ama xtachiwín es dios wa chi padre putsakan ti ama akpuxkun xakata na lhawan li lanka pulataman nachu tamaxtumikan xalakatunu ne kilhsu kilhtsutalamana wakg ta'an limakxtum uyu xlismalankgan tawila este tatsalanan kawayu takgamanan wakax chu tlakgnamaka xli stiswanitachi wi tlakgnanin xlakata titanputum tatantli lipaxaw na lakgachixkuwimaka sikulan akxn chi chamajá est este stiswankgonit uyu lakgaxkgakgama tsukukán tlawakán lhkuyukán amá wanikán torito uyu tsuku laktsalanantapuli nak ana chi pupaxialhni nak Polutla xlakata lipaxaw na lakgo ja[UNK]e paxkua ixpaxkua sikulan La Asunción	nak kin pulataman pulux nachu lilakgapaskan muxu sipi xtachiwin luwan polutla lakgachixkuwikan sikulan tapakuwi lasuncion nikula kilhtsuku aa tamakxtumit paxkua ne talakatitiyana nak pusikulan takpuxkun tsukuta pukipulatumin nak chiki kpulataman nachuna taputsati na kakgetaya sikulan nenatamakgtayanan la xanat chu pa talhawakan pinila mole wanikan xtachiwin luwan laktsiyunajni la puskanit ta'an taswakgapin limakxtun chu na tsukukan ttamujuchuw kamawikan lakchixkuwi ne ta tawalitsukswi wama tsuksi likaxlawanankan xlaka kilhtin sikulan nachu naniya sikulan tsukukan putsakan ne chixku nak lhkuyu limapankgan ama kuete na putsakan ti natatlakgnan wachi ma la xtalakgatilajgol makgan musikade biento nawilapata tantli lakga laktsitsake tantlin u yu taakgchokgonankan ankan tiakan sikulanak aktun chiki xlakata nataakgchokgonan liputun pulataman lekgtiakan ama sikulan nalinkan chi nak pusikulan nachu an tiama lhawa ama xtachiwin dios wachi padri putsakan timakpuxkun xakata nalhawan lilanka pulataman nachu tamakxtumikan xlalakatunu ne kilhtsu kilhtsutalamana wakg taan limakxtum u yu xlismalankgan tawilat e tatsalanan kawayu takgamanan wak chu tlakgna maka xlitsiswanit achi t witlakgnanin xakata ti tanputun tatantli lipaxaw na lakgachixkuwi makasikulan aknichi chamaja titsiswankonit u yu lakgaxakama tsukukan lhawakan lhkuyukan ama wanikan torito u yu tsuku laktsalan tapulinak anachi kpupaxalni nak polutla xlakata lipaxaw nalakgo jae paxkua ixpaxka sikulan laasuncio
spontaneous-speech-top-32451.mp3	Akit kuentaja kimakni akxni kmakgpaxa xlakata tlan ninakinchapa tatat nachuna ktakuentaja lata kgota chuchut xlakata ninakinchapa tatat nachuna tu katsuntin la ju´u akin makgalaya nipxi kgoxkgewa manta chu lakchajan akxni ta´an nak katukuxtu akxi chi ana nak katukuxtu xkgajkgonita chipina nak akgxtakga makgpaxa makxapakana xlakata pala ya skgatinat o la laktlawana nak tsujtijia tawilana kitsistankanin la wakax akgchinchi tawila nama wanikan xkapa para namaktayayan chi nama xkapa pus namakgpaxkan xlakata nitu nachapayan laktsu tasapulit nachuna kakxila para kalhtukunin nani kama´an xlakata nakilhtuku nila nakmakla chu akit kuentaja ki makni	akit kuentaja kimakni akxni makpaxa xlakata tla ni nakinchapatatat nachuna kuentaja latajkgota chuchu xlakata ni nakinchapatatat nachuna tu katsuntinwaya lajuu kinmakgalaya nipxi uxkewa mata chu lakchajan ta katukuxtu achi ana katukuxtu xkgajkgonita chipia nakakxteka makpaxa makxapakan xlakata palayakskatinal o la laktlawna laktsu ktijatawilana kitastankanin lawakax akchinchi tawila namawanikan xkapa para namaktayan chi ma xkapa pus namakpaxkan xlakata nitu nihpiyan laktsu tasapulit nachuna kakxila para kalhtukunin na ni kama xakata nitu nakilhtuku ni nilanakmakla chu akit kuentaja kimakni
spontaneous-speech-top-32454.mp3	Akit akxni kamajaxa pues pala kamalatahuila pues pus kan nak kin corredor nak kin sillon nak pulatawuilh entonces kama tahuila chi gkama kgotnan chi quin chuchut pala wi xa limunax pala wi xa laxis xa papaya xa tutawui o tamahuanit nachu kama tlahua kin chuchuth pala senama o loknan y kama haxa nak kin putama mapasi kin pulakahuan y kama akshila kin programa ne ma kit lakathi y chipala lhkakanan snun latahula nak kiltin y kotnan chi chuchut laxhis o limunash chu chu akit jaxa o kama lhtata chu akit haxa	akit akxni kamajaca pus para kamalatawila pus pus kan nak kin korredor ak kin siona kin pulatawil entonces aa kamatawila chi a aamaakamakgotnan chi kin chuchut para wi xalimunax para wi xalaxix para wi xapapaya xatutawi u xatuta ktamawanit pus nachu am lhawakin chuchut  chi para nojnan o chi para senama  kamajaxa chipus pus tanu chi na kin putama mapasi chi kin pulakawanpuain machikin prorama nema kit klakgati y chi para pus lhkaknan snun pus klatawilanajkilhtin  ete para kamakgotnan chipus para wi xa chuchut limux para wi chi para xachuchut laxix xatutawi xatuta ktamawanit pus u hi jaxakit latawila o para kamalatapun su nachu kit pus jaxma
spontaneous-speech-top-32455.mp3	Akit klakgati tawa wanikan wati putsakan xpakgen sekgna nachuna xaliwa paxni skitit pakglhcha tinipin xpupukan xa sekgna witi lapu chu lakchukukan laktsu laktsu lakglhkgomakan min skitit chu makchaya min tinipin pakglhcha xlakata naswakgakan chu lakglhkgomakan xatalakchukun liwa xapaxni makgchikan makatunu uyu tankapikan xatlamank chu talhkgoyokan akgtun hora akxni lakakatsiya chanita tlana makutukan Akit klakgati snun xatamakchichin	akit klakgati tawa wanikan wati putsakan xpakgen sekna na chuna xaliwa paxni skitit paklhcha tinibin xpupukan xasekna witi lapu chu lakchukukan laktsu laktsu laklhkgomakan min skitit chu makchaya min tinibin pakglhcha xlakata nasuakgakan chu laklhkgomakan xatalakchukun liwa xapaxni makgchikan makatunu uyu tankapikan xatlama chu talhkgoyokan akgtun ora akxni lakakatsiya chanita tlanamakutukan akit klakgati snun xatamakchichin
spontaneous-speech-top-32457.mp3	Akgchuchutstapu takgxuyujun taswakgestapu tachula lhkakastapu taswakgeakunkalin nachuna taswakge talhse paklhchapin taspuyujun xaskun tamakgnin pinila wati puxwekg talhtsila xamaklhtukuniwa chu xastapu pulaklh xa malhat chu xa stapu papukgo nachuna klakgati xpakglhat nipxi chu lakgchilix	akchuchut xtaput takgxuyujun taswakga stapu tachula kakastapu tasuakga akun kali nachuna tasuakga taltsi pakglh chapin taspuyujun xaskun tamakgnín pi nila wati puxwek talhtsila xamaklhtukuniwa chu xastapu pulaklh xamalhat chu xastapu papoko nachuna lakgatiwa xpakglhat nipxi chu lakchilix
spontaneous-speech-top-32458.mp3	Ana´ nik lakltlawan kin pulataman lan tijia katilanka tayana lak lanka kiwi nachu lata ktlawama kakxila ixpipelekg skgawit tuta chu katilanka nachu wilapa akgtun ktsutijia ana´ nitanu putlaw wata talaklh tlawan wata ti kgalhi akchinchi chu xtakgatkga nak ama tijia mas skgawiwi wima tawilana kgiwi ni ni lakgakganankanit wili lanka kakiwi nachu tasikgo pupunu	anani klaktlawanakit kin pulataman lan tijia katilanka taya nalaklanka kiwi nachu lada ktlawama kakxila xpipe lek skgawi tuta cu katilanka nachu wilapak tun tsu ktijia anani tanu putlaw wata talaktlawan titakgalhix akgchinchi chu xtakgatakga nakamaltijia mat skawiwi wima tawilanama kiwi ni ni laakganankanit wili lanka kakiwi nachu tasikgo pupunu
spontaneous-speech-top-32460.mp3	Jé kinliktsu xaklakgati kakxila nikula matlawaninankan chu katsinilh nachu kgalhiya kin putlaw najkatsinilh matlawani bibivleta moto chu autobus lan takatsi	je kinliktsu xaklakati kakxila nikula matlawaninankan chu katsinilh nachu kalhiya kin putla naj katsinilh matlawani bisikleta moto chu awtobus lan takatsin
spontaneous-speech-top-32461.mp3	Pus akit kamputum alakatanu este paxi akgnán kamputun lakapaxnán kamputun nikulá ama para tantasi niku kamputun porke akit wata lakatum tanuma tanputum nak me tutu nak metro lakgalhna nikulá ma amá tasi para lan	usakit kan puton alakatanu aste paixanan kan puton lakapasnan kan puton nikulama paraan tasi niku kan puton porke iatalaatun tanuma kan puton na me u na metro lakapasna nikulama ama tasi paralan
spontaneous-speech-top-32462.mp3	Akxni kin laktsu xwanitaw ix akxila nak kin pulataman xlakata xwi lhuwa kiwin laklanka kiwin takuxtu xtatlawa lajgkgolon niti ix mawaka ama´ wanikan xkapaxikan xawat lajgkgolon xtalakgkuxtunan xtamakala manta nak katukuxtu nachu nix wi lhuwa putlaw nak tsu ktijia ix laktlawankan witi ix kgalhi ix akgchinchi xlin nak ix katukuxtu nak ix chiki o tu xlin nak akgxtakga ti sakgnan ana xmawakga nachu wilapa ti´ix chitnankan xtakgalhi puchitni xchankan chankat chi kin pulataman tunuta tuta wija lhuwa putlaw wi laklankga tijia nachu kgalhiya pupaxialhni wilakaja tilankga chu laktsukaman yan tachiwinanputun kintachiwinkan la ja´e tutunakú wakg ti talila nama laktsu likan laktsu puchiwin chi tunu kakilhtamaku la'e tamakgastakgnama lakchajan lakchixkuwin sokg tatamakgaxtokga niti nilakatitun talamana wachi makgan xakakxila lipaxaw xtalatama lajgkgolon chu litalakgapasni chi lilakgaputsa lata tastakmana laktsukaman	akxni kin laktsu xwanitaw jakxilanaj kin pulataman xlakata wi lhuwa kiwin laklanka jkiwin takuxtu xtalhuwa lajkgolun niti xmawaka ma wanikan xkapaxikan xawat lajkgolun xtalajkuxtunan xtamakalama tanajkatukuxtu nachu ni xwi lhuwa putlaw nak tsuk tiji xlaktlawankan witi xkgalhi ixakchinchi xlin nak nak ixkatukuxtu nak ixchiki o tu xlin nak akxtaktisaknan xmawaka nachu wi lapatixchitnankan xtakgalhi puchitni xchankan chankat chi kinpulataman tunuta tuta ija lhuwa putlaw wi laklanka tijia nachu kgalhia pupaxalhni wi lakjati lanka chu laktsukaman yan tachiwinan putun kin tachiwinkan lajae tutu naku wak talilanama laktsulikan laktsu puxiwin chi tunuka kilhtamaku lai tamakgastaknamana lakchaja lak chixkuwin soktatamakgaxtukga miti nilakatitun talamana wachi makgan xakakxina lipaxaw xtalatama lajkgolun chu litalakgapasni chi lilakaput salatastakmana laktsukaman
spontaneous-speech-top-32464.mp3	Ana´ niklama tayana tluwa kiwin nelan tastaknit lakgmakgan ama´ akit ne kakxilhnit ju´u nechankan laktsu puksnankiwi lhkakankiwi talaxkga nachu kakxila ana nitawakga xipa ixkiwi chalankan lan tastaka nachuna wi matlukg nawilapa wanikan kapulin kgalasni chu nawilapa wanikan chirimuya nachu makgalakan ne kiwin tayana o ne likuchinankan tasun nachuna wi tunu ne lakati litawaka xanat kgeskga wachi litasputla skururujaka chalankan tastaka nachu wi skururujaka wilapa akgxixitjaka lankgajaka y tu akin namakalaya matakuxtunanin ne lanka tastaka chalanka kukalhilh nachu este wilapa tapakuwi lhpaw y katuwa laktsu tawaka smukukanchaw wachi ama´ tapakuwi ix tachiwin luwan mango	anani klama tayana lhuwa kiwin nelantastaknit lakmakgan ama kitne kakxilnit ju'u nechankan laktsu uksnan kiwi lhkakan kiwi talaxkga nachu kakxila anani tawaka xipa ixkiwi chalankan lantastaka nachuna wi matluk na wi lapawanikan kapulin kalasni chu na wilapawanikan chirimuya nachu makgalakgkan ne kiwin tayana o nelikuchinankan tasun nachuna wi tunu nelakgati litawaka xanat keska wachi litasputa lan skuru jaka nachu laklanka chalankan tastaka nachu wi skuru jaka wilapa akgxit jaka lanka jaka  tukinnamakgalia juma takuxtunin nelanka tastaka chalanka kukalhil nachu st ilapa tapakuwi lhpaw  katuwa laktsu tawaka laksmujukancha wachimawanikan xtachiwin luwan manwa
