audio_file	reference	reference_raw	hypothesis
spontaneous-speech-led-64034.mp3	A dho ley nyi vi tsì ya nyi ni dhi nà ya ngǎ nyi nì dhi nà a dho ley nyi vi tsì nyi ra mí nga à dho ley nyi vi tsì nyi njǎ ŋangá à sà ndèy mí nga nyi ra thì ŋǎchú nyi dho tsònì njuw ŋǎchú nyi dho rà ddawa dzà nyi nì nyi njey ŋachú fú nì wá nì ndèy nyi dhokpa ley mí lò ò	Uganda ó màdhó silimu mí nyádha rr ŋǎchú à kà mà bbǎ sádyì ní ddiy lidha mà kà ó	À dha la nyi dí tsìa nyi nì dhi nà ya ngǎnyi nì dhi nà a dha la nyi dí tsì nyi rǎ mínga nydala nyi dí tsì nyi njǎ ŋanga à sà ndè mí nga nyi dho thì ŋǎchú nyidho tsòw nì njúw ŋǎchú nyi dho rà ddǎwà dzà nyi njěy ŋǎchú fú nì wádi ndèy nyì dtey nì wá fú lòkò
spontaneous-speech-led-64042.mp3	Ma dzz nì ru ddey ma ró ma dzz nì zǎ mà njúw nì mà tsò ddìnga mà nyu nì nyû mà ra nì Ddra dza ndèymí ngís-djú-nga nà mà njúw nì mà tsò ddìnga ó mà dzz nì soddà mà mà mbr nì	Ya nyi nì ngǎ nyùdha ní ddiy nà cha ŋà ndèy kâ nì nyi njey ní ddu ma bbi nì nza	Ma dzz nì rù ddey ma ro ma dzz nì zǎ mà njúw nì mà tsòw ddìnga mà nyǔ nì nyû mà ra nì Ddrà-dzǎ ndèymí ngís djú nga nà mà njúw nì mà tsòw ddìnga mà dzz nì sódda mà mà mbr nì
spontaneous-speech-led-64044.mp3	À léy mà chuw mbr à léy màdhí nzòw somú ddí ney màdhí nzòw déy nyǔ'wiy nà à déy nyǔ'wiy mbr chùwdha mî nà à léy mà dhí nzòw mà ddí mà déy lǎní mà dhí nzòw nà wá à lêy mà dhí bbakà ó nga à dhiy mà ss mà dhí bba kà ó nga gbè njàddí ndrǔ dhí bbakà ó nga ní chú gbè à lêy mà dhí mà déy mà thíy nà lǎní déydha ngéy ní nà	Tsùwdha ngǎjìní njuwdha mí lidyási kà ó nì mí lò dhó nà ŋá ngǎjì ní nga mbà màdhí bba ó à dho gbu nya màdhí bba ó	À léy mà chuw mb à léy màdhí nzòw so ddí ney màdhí nzòw déy nyǔ'wiy nà à dhéy nyǔ'wiy mb chùwdha mí nà a léy màdhí nzòw màddí mà déy lǎní màdhí nzòw nà wá à léy bbakǎónga à dhiy mà so màdhí bbakǎónga gbè njàddí ndrǔdhí bbakáónga níchú gbè à léy màddí mà déy mà thíy nà lǎní déydha nga
spontaneous-speech-led-64045.mp3	Ma dho tdrà nzǐ fú ndrǔ ddá ì zz̀ má ì chùw nì ma dho tdrà fú ndrǔ rǎ ddǎwà ì ddey ndaní fú ndrǔ tsǐ fú bǐy ná thǐ ma dho tdrà njǎddî fú ndrǔ pbǒ yadha cha ka tdrà fú ndru dhò fú pbǒ nì ndeyró lò ka dey ngǎ fú ddiy dzzdjú	Mbwa mí lò tdrǎdha ndeyli dhò ndeyli mbǔ ndèy ŋǎchú ndèymí à dho ndèyli thíy mí nga ddéydha pèy ŋǎchú? À dho li ndòdha mbà fú ndeyli mà kàó	Ma dho drà nzǐ fú ndrǔ dda ì zz̀měì chùw nì ma dho Ddrà fú ndrǔ ra ddǎwà ì ddéy ndey ro fú ndrǔ tsǐ fú bǐy ná thi ma dho drà djàddî fú ndrǔ pbǒ yadha cha ka Ddrà fúndrǔ dho fú ndrǔ pbǒ nì ndey ro lò ká déy ngǎ w ddiy dzzdjú
spontaneous-speech-led-64046.mp3	Klǎklǎ ní tuw à léy nì nzǐ mùtùkárì bbiynì lǎní tuw ó à léy nì bbalè déy nì grr̀ nà à léy nì à ji nì bbalè wá nì dèy kass̀ tsò ró bbalè thó ì jaket nà rain kòt na à léy nì bbalè rónga déy nì shú à léy nì dhi ddí nyá nì fú ji mí sâ nà à léy nì malaria ddí nyá nì fú ji mí	Li gwíydha mí lǎní nga ní ddu nyìdhí bba ó? à léy nì nga dhiy nì ndèymí à léy nì bba ó nzòw nyú pu nì ndèy	Klaklǎ ní thuw à léy nì nzǐ mùtkarì bbiy nì lǎní à léy nì bbalè déy nì gr̀nà à léy nì jì nì bbalè wá nì dé ka sstsòró bbalì tho ì djǎket nà nyù rěy ní kot nà à léy nì bbalè rónga dé nì shú à léy nì dhi ddí nyá nì fú dji mí sâ nà à léy nì màlária ddí nyá nì fú dji mí
spontaneous-speech-led-64047.mp3	Ndaní à léy mà déy lǎní mà làyi nà ndaní à léy mà déy bbalè mà kǎ ddiy ddí zž ney ndaní mà rř mà ndaní mà déy màtsò gba ddǐngǎ dhi mí sâ mà nà ngǎ ngǎjìní lò déy ngǎ mà déy mà rř ney mà njúw mà tsò ddí ngǎ lò ní nzǐ à mbǎ ngéy ní lò jì ngéy ngéy ní mà mà kàó fú lò chú léy nì mà déy lǎní bbalè ní mà kàó	Mà dhó njí njèy ŋǎchú intànèt nà màdhí njanja nì déydha ó? À ka mà déy wánì nga nà MB léydha nà màdhí sǐmù ó	Ndaní à léy mà déy lǎní mà ley nà ndaní à léy màdé bbalè mà kà ddiy ddí zz ney ndaní mà rr mà ndení màdé mà tsow gba ddǐnga dhi mí sâ mà nà ndéní ngǎ ngǎjìní lò déy mà kǎ màdéy mà rr ney mà njúw mà tsòw ddí ngǎ lò ní nzǐ à mbǎ ngéy ní lò jìngéyngéy ní nì mà kà ó fú lò chú léyà nì ji mà déy lǎní bbalè ní mà kà ó
spontaneous-speech-led-64048.mp3	À ji à nyǔ djǔrúgi kàlangà nà nì à ji à nyǔ bbì cha ngǎsíya ní a ji à nyǔ shu cha ddí ka rì kàlangà nà nì à ji à nyǔ ǒw těy bbiy	Nyi ní ddu nà bbǔbbúnga mí chǎy mbr̀dha dho kwíy ndèymí làli	À ji à nyǔ zǔwrúgi kalanga nà nì À ji à nyǔ bbì cha ngǎsía ní à ji à nyǔ shú chaddí ka rè kàlǎnga nà nì à ji à nyǔ ǒw tey bbiy
spontaneous-speech-led-64049.mp3	À dho ley bbalè dho klǒwklǒw ní dza ss̀ à dho ley bbalè dho ìdhí nzòw cho sùkúl ò à dho ley nga nyùdha ddí dho dey lǎní dzakǎ à dho ley njàli dho tdiytdiy ní lò jì njèy ndèy bbá	Nyi njey ní ddu nyi dhí déydha mí sâ ó ma nja nì filimu ndèymí ma bbíy nì	À dho ley bbalè dho klǒwklǒw ní dzáss à dho ley bbalè dho ìdhí nzòw cho sùkúl ò à dho ley nga nyòdha ddidho dey lǎní dzakà à dho ley njǎli dho tdí ddíy ní lòjhì njèy ndèybba
spontaneous-speech-led-64050.mp3	Ndaní à bbíy mà ró djùw ò lǎ ní nzǐ ma chǔw dhi ngengéy ní dhi jì nì ney fu ndèynì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mbř fú dda à kwó mà ró jùw tsò lǎní ya nyi nì ney ngengéy ní dda jì nyâ ddrǒ à nì jǐ màtsǐ ŋánì cha màdho mbr nì ndèydho màró jǔw ó nga kwo lǎní mà kà ó nì	Nyi njey ní ddu ya nyi nza ro? Ma gbú nì marónga ndèymí ma hiy nì	NDaní à bbíy mà ró jùw ò lǎní nzǐ mà chǔw dhi ngéy ngéy ní dhi jì nì ney fu ndèy nì fú dda ò luw nì ndaní nzǐ mà chǔw fú dhi mà mbó fú dda à kwó mà ró jǔwtsò lǎní ya ney ngéyngéy ní dda jì nyá drǒ nì ji mà tsǐ ŋá nì cha màdha mb nì ndèydho màdho mà ró jǔw ónga kwa lǎní mà kà ó nì
spontaneous-speech-led-64051.mp3	À léy bbalè sà ì ngǎ njí nì ddiy dho à léy bbalè ngû gbúdjá ní à ley bbalè ngû njày ddá ní à lêy ngǎ njí nì ddiy dho à ley bbalè sò ddí nzá ngǎ bbalè nì nyǔ'wiy nà bbalè nì dey ddíyà nú fǔchú fǔchú ngǎ njí ní fúddiy chú sà bbalè vǐy ddí yà ngǎ ngǎ fú ndrú vi njèy nì lò nì ndèy fú ro	Ddudhò à ní lǎní kpaní ndrǔ dhò ndèymí dhì ní ndrǔ nà wá ndrǔ ddéy ì silímù róddù? Ndaní ndrǔ tsǐ ì za ónga nì ŋǎchú ddiy	À lêy bbalè sà ì ngǎ njí nì ddiydho à léy bbalè ngû gbú dyá ní à léy bbalè ngû njèy ddání à lêy ngǎ njí nì ddiydho à lêy bbalè sò ddí nzá ngǎ bbalè nì nyǔ'wiy nà bbalè nì deydíyà ní fchú ftú ngǎ njí ní fúddi chú sà bbalè vǐ ddíya ngǎ ngǎk dí vi njèy nì lò nì ndey fú
