audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sering membace atau mendengarkan sejare-sejare pahlawan-palahawan kité maupun nasional maupun yang orang-orang betawi yang dalah dahulu-dahulu kité ymaperjuangkan bangse negare indonesia ini cukup dan cukup menyentuh hati kité sebagai penerus-penerus-bangsenye Jangan sampé keluar dan ga mau tau sejareh-sejare untuk bangsa-palan-pahlawan kité kadang-kadang pada dijama sekarang hari ini banyak banyak orang yang gak mau tau dengan sejare Dari dulunye ingga sekarang kita ini sampa sekarang ini kita bisa begini Kaan karna anak sekarang a mau tau dan memikirkan diri sendiri siape kité dan dimana kité dan tanpa perjuangan mereka kité juga nga akan bisa seperti ini ga bisa akan merdeka dan pada dahlupa dahulu kité lah yang membawa kemerdekaan indonesia dan lebih maju lagi
spontaneous-speech-bew-20805.mp3	Kalo untuk pemudé zaman sekarang mah parah Kenapa parah mungkin engga dalam 100[UNK] itu mungkin yang engga mau tau bahasé atau tentang budaye itu mungkin sekitar 90 orang yang 10 orang itu tau dengan budaye selingkungan kite Karena ape sekarang sudah banyak media-media kaya permainan-permainan ini itu makanyé pemudé zaman sekarang engga kaye zaman dulu Zaman sekarang mah kita mau beli ape-ape aje udah tinggal di HP mau apé-apé ajé tinggal di HP kalo kaya dulu kan engga Kalau kite mau belanjé kite ke pasar dulu karena pemude zaman dahulu itu sangat tau dan mengerti untuk bahasé-bahasé Bétawinya Untuk semuanya juga sekarang mah pemudé sekarang udeh engga mau tau dan gak mau kenal dengan budayénya sangat engga mau tau deh	kalo untuk pemudé jaman sekarang mah parah dikanakan apa parah mungkin ngga dalam 11 persen itu mungkin nyang ga mau tau bahasé atau tentang budayé itu mungkin sekitar smbdahp orang yaya s0h orang itu tau dengan budayé selingkungan kité Karna apé sekarang sudah banyak media-media kaya permaenan perimainan ini itu akanyé pemuda jama sekarang mah ga kaya jaman dulu jamah sekarang mah kita mau beli apé-apé aja udah tinggaldi hap mau apé-apé ajé tinggali hapé kalo kaya didulu kan ngga kalo kita mau belanjé kita kepasar dulu karena pemudai jaman dahulu itu sangat tau dan mengerti untuk bahasé-bahasé betawinyé dan untuk semuanyé juga sekarang mah pemudai sekarang dagamau tau dan nga mau kenal dengan budayényé sangat ngamau tau dah
spontaneous-speech-bew-20807.mp3	Kalau untuk pendidikan itu penting banget kalau untuk kité yé kérna apé Pendidikan itu memang yang dicari kalau di zaman sekarang ini Memangnya zaman dulu Kalau zaman dulu mah kité cuman baca nulis ajé udéh hebat gitu sekolehnyé juga kita umpét-umpétan dulu kalau zaman dulu Tapi kalau zaman sekarang Emang harus penting dan sangat penting karena sekoléh itu memang satu untuk pegangan buat kité nuntut ilmu untuk apé ajé itu penting apalagi buat kité kerjé itu sangat penting jangan sampé éngga sekolê di zaman sekarang ini rugi rugi banget kalo untuk kalau bagi ayé méh	Kalo untuk pendidikan itu penting banget kalo untuk kité yé karena apé pendidikan itu memang yang dicari kalo dijaman sekarang ini memang nyé jaman dulu kalo jaman dulu mah kité cuman baca nulis haja dahudah hebat gitu sekolehnyé juga kita umpet-tumpetan dulu kalo jaman dulu tapi jaman sekarang Memang harus penting dah sangat penting karena sekoleh itu memang satu untuk pegangan buat kité untuk ilmu untuk apé ajé itu penting apalagi buat kita kerjé Itu sangat penting Jangan sampé ngga  sekoleh dudi jaman sekarang ini rugi rugi banget utuk kalo bagi ayé mah
spontaneous-speech-bew-20809.mp3	kégiatan anak muda sekarang ya paling kalo gadé kérjaan nyé ya begitu maén gitar bégadang toh bagiannyé cowo kalo yang bagiannyé céwé paling juga mondar-mandir naék motor jalan kesono jalan kemaréh dari sono dari kemaréh emang gitu-gitu doang itu éntar dié ngumpul ngumpul sama temen ntar kadang-kadang ngerujak baréng kadang-kadang dié makan baso bareng terus kalo buat yang rémaja ya itu paling maén-maénan masak-masakan maén bonékaan kalo émpat tali kadang maén umpét-umpétan apa ajé yang kiré-kiré dia senang hatinyé	Kediatan anak muda sekaran ya paling kalo aga ada kerjanya ya begitu maén gitar kegadan tuh bagiang cowa kalo yang bagiang cw ya paling ya begitu mundar mandir tnaik motor jalan sonoh jalan kemalé rarik sono dari kemar yaamana kpuan begitu tah dia mauber rme-temen-temen ta kadangkada di ngerujak bareng kadang kadang dia makan baso bareng Trus kalo yang buat termaja ya itu paling pada maen maénan maen ansakan maén bonekaan tala mpat tali kadang-kadang dia maén mpet umpétan apa aja dah yang kira-kira dia senang atini
spontaneous-speech-bew-20811.mp3	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk karena kegagalan èntu melangkah kitè lebih maju lagi dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui tètèp semangat untuk menjalani hidup ini jangan takut hidup kitè èntu ngga sendiri sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga tètèp semangat semangatt	untuk kegagalan kité jangan merasé diri kita terpojok  terfuruh kemungkinan kegagalan itu melangka kita lebih maju lagi dan untuk belajar lebih semangat lagi untuk dari kegagalan-kegalan yang sudah kita lalui tetap semangat untuk menjalani hidup ini jangan takut hidup kité itu ga sendiri sekeliling kita banyak kaon-kaon kita dan yang telah menciptakan kité juga tetap semangat
spontaneous-speech-bew-20813.mp3	Asal muasalnyé itu orang tue (bapak) ané yaitu orang Jawa Ibu ané yaitu orang Bétawi nenek ané yang dari laki-laki juga dari Jawa Jadi kita lahir di daerah Bétawi jadi sampe sekarang ini berbahasa Bétawi dan orang tua pun sudah ikut jadi orang Bétawi	Asalmu asalnye itu orang tue ané ya itu orang jawa ibu ané ya itu orang Bétawi ane ané yang darilaki-laki juga dadi jawa jadi kita lahiri di daerah Betawi jadi sepé sekarang ini berbahasa Betawi dan orang tua pun sudah ikut jadi orang Betawi
spontaneous-speech-bew-20814.mp3	Jeruk salak apel terus nanas apa itu salak itu gocéng sepanggulan maling apé Semua tu kebuagian tetangge-tetangge sodare sodare juga anak juga emang itu dicari-cari kan lebih murah kan lebih enak kan jadi kebagian semua kan kalo orang kampung mah kalo jalan-jalan emang begitu bawanya yang banyak yang murah biar tetangga-tangga pada kebagian anak pada kenyang makannya kan enak tu kan jadinya	jeruk salak atel terus nanas apa itu salak itu w boceng sepanggulan maling apé semua tuh kebagian tetangga tanggé sudahara-sudahara juga anak juga emang ian dicari-cari kan lebih murah kan lebih banyak ènak jadi kebagian semua kan keorang kampung ma kalo jalan-jalan emang begitu bawanya yang banyak yang murah biar tuh tetangge-tanggé kebagian anak pada kenyang makanê kan enak tuhya kan jadinya
spontaneous-speech-bew-20816.mp3	Kalo ngurangin sampeh ya biasa itu kita gali dulu tu tanah digali Nah tanah digali kan jadi lobang tuh nah sampehnya tuh kita kumpulin nah setelah sampeh kita kumpulin kita bakar abis bakar yaudah begitu Ya biar sampeh itu ngga kabur-kaburan setelah ada angin kan kalo gitu kan enak tuh jadi keliatan bersih jadi sampeh-sampeh plastik tu ngga berserakan di mana-mana apalagi plastik tuh kalo ada angin udah mau kabur aja jadi gegara tuh halaman kita	Kalo ngorangyan sampe ya biasa itu kita gali dulu tuh tanah digali nah ditanah digali kan jadi lobang tuh nah sampenya tu kita kumpulin a setelah sampe kita kumpulina kita bkar abis bakar ya udah begitu iar tu sampé itu ga kabur-kaburan setela ada angin akan kalo begitu kan enak tu jadinya keliatan bersih Jadi sampe-sampe plastik tu ga bersyarakan di mana-mana apalagi plastik tu kalo ada angina udah me kabur ajir jadi bala tuh  halaman kita
spontaneous-speech-bew-20817.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	hemat liburan ya itu kita bawa dari rumah kita beli dirumah jadinya tu kita hemat kan kalo beli di tempat liburan kan banyak itu ya mahal mahal jadinya kita olok Namakana kita beli di rumah tuh seperti kaya cemil-cemilan tom terus alma pokmi tuh bawa datuh aér panas paké termos kalian bawa nasi bawa launya bawa tiker dari pada dusua tempat liburan kita bayar nyewut main kita buat jahajan yang laén
spontaneous-speech-bew-20817.mp3	Barang yang saya beli di onlen si itu paling yang muréh-muréh yang ayé beli kuota aja bayar yang terutama ya itu ayé cari gratis ongkir biar lebih muréh yang saya beli si biasanya baju baju daster yang mureh-mureh aje ibu-ibu méh ya kadang-kadang lipstik kadang-kadang handbody ya kadang-kadang apa ajé yang muréh déh kalau beli di online méh yang penting kita bisa bayar	Barang yang saya beli di onlen si ya itu paling yang mura-murah yang ayé beli nyan kuataya bayar ya tru pertama ya itu ayé cari gratis onkir biar lebih mureh yang saya beli sia biasana tuh baju bju daster yang murah-murah aja yangmenyiba ibumah ya kadang-kadang lapstik kaya kadang kadang embodi akadang-kadang yang apaaj yang murah deh kalo dibeli di onlen mah yang penting kita bisa bayar
