audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Jo mana nuk kena nuk di gjaqa ashta Ca nuk kena jo nk nuk kenasw gja pwr zotin nuk kena jo nuk e di Ca eli por gj nuk e kuptoj ket gja nuke pwr zotin Cape thaltashuke ashtu po jo luke s kuptoj nuke kuptojet
spontaneous-speech-aln-44300.mp3	Kopshtin e mbolla kopshtin e kam mbjell domata mallator speca do qep m pwlqen kopshti me kallzu t drejtwn por edhe ktu n Greqi kam ndreq jam n shpi private e baj nji kopsht t vogwl e baj do mallator do speca i baj	Kopshtin kopshtin kam ledh do maldhatar do speca do qep m pwlqen kopshti me ta utet p edhe ktu nGreshi kam jam shpi pwr vote e bajnoj i kopsh vogwl e banj do moldhatar do speca do gjana i baj
spontaneous-speech-aln-44301.mp3	Un pwr zotin me thwn tw drejtwn shqetsohem shqetwsohem i emi asht ma i madh si me ta shpjegu ti kur s kam nonjw gja pwr shembull kam nonj problem nonjw gja shqetsohem shum edhe nuk m pwlqen pwr shembull kur kam probleme e gjana shum...	un pwr zotin me t kwntwtene shetsohem shetwsohemsh jem jash mai madh s mtash mpwr goti kur s kam nonjw gj pwr shembul kam nonj problem nonjw gja shetsohem shum edhe nuk m pwlqe kur shembul kur kam problem e gjana m pw shum pwgjo
spontaneous-speech-aln-44302.mp3	Po kur isha i vogwl m pwlqejshin kang dhe ashtu kang dhe kukllash kuklla kang kshu pwr fmij kto m pwlqejshin ma shum kang e fmijve t vogla ashtu kuklla	Po kurisha e vogwl pwqeshe kang dh ashtu kang de kuklash  kukla ke kang kshut pwr fmi to pwqeshe mashaa kang de tmive t vogla o kukla
spontaneous-speech-aln-44303.mp3	Po nuk jan t kwqia micat na pwlqejn si s na pwlqejn micat Po kur ish njw her njw mic shum e bukur me t kallzu tw drejtwn micat shum nuk jan t kwqia po na pwlqejn na pwlqejn micat shum po na pwlqejn po po po	Po nuk jan qia micat mir jon na pwlqen  a pwlqen micat po kur ish i hern imi sihern i mic shum e bukur me t twntw drejtwnao micat shum nuk jan qia po na pwlqen na pwlqen miCat shum po na pwlqen po po po o
spontaneous-speech-aln-44304.mp3	gjaja ma e bukur ka shum gjana si jan te shpia ime t mira po kam bufen e kam telvizorin e frigoriferet e pwr shemull kam komodinat... qw ulem karriket kam ble nja dy karrika t bukra...	gjoja ma bukur kap shum gjana si jan kishpiaime tmira po kam bufen e kam televizorin e friferet e pwr shembull kam komodina se ulen karri kam lena dy karrikat bukura
spontaneous-speech-aln-44305.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	pwr j zotin s kataku gja me pas pwr avokat aswdhonj gjae se nuk kam probleme me njerzit e nuk duet gja avokat po kur du nonj avokat futw emagjon njerzit tupit me pit njerzt akdik sekur nuk kam ndoj problem me avokat
spontaneous-speech-aln-44306.mp3	Po makinws di me i dhwn se s kish nga me msu kam marr patendwn e kam marr n Greqi patendwn ka nanj tet vjet qw e kam marr patendwn po di mir me i dhan makins mirboll mir por ruhem di me i dhan makins po po	Po makinwt dimi dhan  esh e kam su kam marr patet kanjCashe kam marr Greqi patete kanatet vjet qe kam marr patedn po dimi i grem makins merboll jo k mir po ruhem dimi idhan makins po po
spontaneous-speech-aln-44307.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	ores n taatwr s ka nuk kam hik se nuk kenae pasaatwr ther e m shqipri sjash ka marr unnady vjet kam mar se nga marr  nGreqi dy vjet kam s je nGreqion at-hea kena pastojn fshat tu punus jan prejfshati ton katr thenand veC e tot  prj fshatit katwr thnandt ves
spontaneous-speech-aln-44308.mp3	Po kujdesem pwr Parlamentin kujdesem se Parlamenti asht qeveria jon a kupton Parlamenti i mir merr venime t forta pwr Cdo gja pwr ne i merr vendimet a kupton po mu nuk mw pwlqen Parlamemti n Shqipri nuk mw pwlqen n Greqi m pwlqen se ktu n Greqi jam tu jetu	Po kutdeswn po parlamentin kudeswm se parlamenti as Cvria ju na kupton palamenti mir merr merrvendime t forta pw Cdo gja pwr pwr ne merrvendimet a kupton po  duk mw pwlqen parlamentin shqiprin m pwlqen nGreqi m pwlqen setu nGreqi jam tu jatu
spontaneous-speech-aln-44309.mp3	Po C tw... si me ta shpjegu tash pallati pallat ka Cdo lloj pallati e kupton tet kat llogarite qw nw Shqipri ka pallate peswmbwdhjetkatshe Cdio lloj pallate jan shum t mira	Po ash sqimenda pegut wsh pallati allat ka zelloj pallati kumton pallatim wsht pes kat ka pes tet kat dhgojtwn Shqipri ka pallati pespes ma t kat qa zelloj pallati n shum  mira
spontaneous-speech-aln-44310.mp3	Ca do msoj do msoj n pun do msoj avash avash pwr shembull nwse tw pwlqen me msu diCka Ca do mwsoje Pwr zotin msojm po e msojm pwr s mbari msojm gjana msojm gjana t vogla gjana t mdhaja po po mwsim po po	Ca do msojn tw msojn pun tw msoj m avasha vash pwr shembull ne Cd tw pwlqen m m diskpCa msj pwr zotin msoj pwrsmoj msoj n gjana msoj m gjana t boge ja j po o si msi m po po
spontaneous-speech-aln-44311.mp3	un me ta thwn t drejtwn nuk m pwlqen jo jo nuk mw pwlqejn qent as mocet djal i vllait ka qen nuk m pwlqejn qent jo me thwn tw drejtwn As qent as macet	Mul me t katu drejtwn nuk m pwlqejn sejt nuk jo nuk mw pwlqejn ejt as macat se gjali i vllajt kaash qen nuk m pwlqejn nuk mw pwlqejn sjt jo me kwntu drejtwn as sejt as macat jos nuk mw pwlqejn me folkot
