audio_file	reference	hypothesis
spontaneous-speech-aln-44299.mp3	Jo pwr nder nuk kena nuk di gja C asht ai nuk kena jo nuk kena asnjw gja pwr zotin ju nuk e di Ca wsht fjala po nuk e kuptoj kwt gja pwr zotin Ca me t than tash nukw ashtu po po jo nukw s e kuptoj nuk e kuptoj...	Jo mena nuk kena nuk di gja asht nuk kena jo nuknuk kjens gja pwr zoti uk kena jo nuk e di Ca se por nuk e kuptoj kegja nuke pwr zoti Cape thal shuke ashtu po jo luke kuptoj nuke kuptaje
spontaneous-speech-aln-44300.mp3	Po tashti qw ma thon ti deti ka ngjyrwn blu un mendoj se asht blu se sa her shkoj ke deti e shikoj duket se ka ngjyrwn blu Cashtu mendimi im a kupton mendimi im asht Cashtu po se ngjyra wsht blu	Potashqi m tat se deti deti ka gjyrwne blu pwr ket punn me loj s a blu se ksa jert shkojki deti eshi goj duket se ka t gjyrwn blu se shtu me menimi im pupto mnimi masoshtu po se ka gjurwn xjyrwn blu
spontaneous-speech-aln-44301.mp3	Festat e mia jan Krishtlindjet dhe Viti i Ri mw pwlqen shum tana festat mw pwlqejn edhe Pashkt tani qw vjen Pashkt me pjek nji gic me hangwr mish me ba qef me shok shoqe	feste timia jan keshlinjet e vi tiri pwqejn shum tana fezwn m pwqejn edhe pasht kani qantoar pasht me pjek ni kiC me hangwr mish me ba qef me shok shoqe
spontaneous-speech-aln-44302.mp3	Po nuk jan t kwqia micat na pwlqejn si s na pwlqejn micat Po kur ish njw her njw mic shum e bukur me t kallzu tw drejtwn micat shum nuk jan t kwqia po na pwlqejn na pwlqejn micat shum po na pwlqejn po po po	Po nuk jan qia micat mir jon na pwlqen w  pwlqen micat po kur ish i her nimi is i her n i mice shum e bukurmettwntw dretwna micat shum nuk jan qija po na pwlqen na pwlqen miCat shum po na pwlqen po po po po
spontaneous-speech-aln-44303.mp3	Pwr zotin s mw ka taku me pas pwr avokat edhe njw gja aht se nuk kam probleme me njerzit e nuk dua gja avokat po kur du nanj avukat futem e ma gjwjn njerzit tu pyt me pyt njerzit se kur... nuk kam nanj problem me avokat...	Pwr izotes  kata ku gjae me pas pwr avukat as idhonj gjae se nuk kam probleme me njerzit e nuk mdoat gja avukat po kur du ne evukat fut ema gjojn njerzit tu pit me pit njerzt akdik se kur nuk kam doj problem me avukat
spontaneous-speech-aln-44304.mp3	Jo ore n teatwr nuk kam ik se nu kena pas teatwr ater n Shqipri Tash kam ardh unw n Greqi dy vjet kam qw jam n Greqi un ater kena pas ndenj n fshat tu punu jam prej fshatit un katwrdhet e nant vjeC mw bwri fshati katwrdhet e nant vjeC	Jorntaatwr sk nuk kam hik se nuk kena pa saatwrt-her m shqipri  ash ka mar unna dy vjet kam mar se ka mar ngreqi dy vjet kam sem nGreqiun at-he kena pason fshat to punu jan pri fshati tun katwr the nand veC e tot n pri fshatit katwr thenand t veC
spontaneous-speech-aln-44305.mp3	eee filmat e mia q jan t preferume Ca t thom tani kush jan t preferume filmat si preferoj preferoj shum filma... me t thw tw drejtwn Cdo lloj filmi un e shof nuk kam nanj lloj filmi t preferum film Ca t jet	e filmat emin ja jan preferue Cat thom ta kusan preferu jn filmat se pwrferojn pwrfrojn shum filma met khun tw dretwn zedoj filmit une shaf nuk ka nonj film pwreferu film Cat qet
spontaneous-speech-aln-44306.mp3	po letra luj po jo me lek a kupton luj letra luj Cdo lloj letwr po jo me lek e kupton luj pwr kam pas luj me kalu orwn po luj letra po jo me lek se lek nuk jan mir me luj me lek se msohesh pastaj dhe bwhet smun-je	po letra luj po jo me leke umton luj letra luj zellhoj letret po jo me lek ushun lujp kam pas luj me kaluorwn po luj letra po jo me lek se lek nuk jan mir me luj me leksimsosh pastaj edhe bet smun-je
spontaneous-speech-aln-44307.mp3	po e pwrdori... nuk pwrdori kompjuter s di nga kompjuter un telefonin pwrdori ma shum kompjuterin nuk e pwrdori se nuk e disha punwn... po kompjuterin nuk e pwrdori shpesh jo jo nuk e pwrdori shpesh me thwn tw drejtwn kompjuterin jo kompjuterin jo	Po e pwrdori nuk pwrdori kumpjutin s di bej kmp telefoni pwrdori ma shum e ma se kompjutin nuk e pwrdori s nuk e disa telefonin okmpjutin nuk e pwrdori shpesh jo joe pwrdori  shpesh e detwn kompjuten jo kumpjutin jo
spontaneous-speech-aln-44308.mp3	Shpresa ime ma e madhe mw t ardhmet asht t jem mir pwr fmijt t kem mir jetwn mos smurem C tw m pwlqej ma shum e madhe me thwn tw drejtwn... mos smurem mos bahem po po	shpresa ime me madhem tarme t asht kjem mir fhmijt kjem mir jetwn mos fmuhem Cto m pwlqejn ma shum e madhe t kwn tw drejtwn pos bo mos bajo
spontaneous-speech-aln-44309.mp3	Po edhe telefonin nuk e pwrdori iC djali i vllait e pwrdor telefonin djali i vllait se e kam si meqen djalin tem e kam djali i vllait kam djalin e vllait qw ka njw ai fon edhe ktu se un telefonin e kam pa asnjw send telefon kshtu t thjesht kam po e marr me e pa	pwr met telefonin nuk e pwrtori i gjali e vllajt e pordor telefonin gjali hllajt se e kam simi qwn gjolin tem e kam gjoli e vllajt kam gjolin e vhllajt se kae nianj fon errejtu s un pwrvjet e kam telefonin pa kamwr pra se sen telefon shut tisht kam pa mar me e pass
spontaneous-speech-aln-44310.mp3	Po ka nevoj vendi si s ka nevoj vendi ka shum po ore ka nevoj vendi si s ka nevoj vendi pwr fmij shum po si s ka po ka shum nevoj vendi pwr ashtu ...	Po ka ne voj venti si s kae voj venti ka hum por e ka ne voj vendi sw s kane voj vendi pwr fmi shum po si ska po ka shum nevoj pwr venti pwr ash
spontaneous-speech-aln-44311.mp3	Ka vene si nuk kap telefoni pwr shembul kur t shkoj nw njw mal nuk kap telefoni n male malet nuk m pwlqejn malet nukw nuk kap telefoni nuk nuk kA sima nuk ka hiC boll me nodh me ashtu me kap val po nuk kap val	Po ka vene se nuk kap telefoni pwr shembull kutshkoj nanj mal nuk kap telefoni malet malet nuk m pwlqe malet nuk e nuk m kap telefoni nuk nuk ka shima nuk ka iC boll meno me shtu me kap val po nuk kap val
spontaneous-speech-aln-44312.mp3	Po tani asht ashtu e veshtir po un nuk e kam ndwrmend me shku n ven tim kam shtru punwn ktu n Greqi edhe s du me hik vet edhe me m than nuk hik un se kam tre fmijt e mdhej un jam tu u ba gjysh tani...	Po tani ash e kshtu veshtir po nuk e kam nemen me shkum vet tip jam kamshtru punen tu greqi dhe zume hik vet edhe me m than me uhiku se kam trefmi tem nddoj un jam tu bo gjishtani
spontaneous-speech-aln-44313.mp3	ushqimi jem kur isha i vogwl pwr zotin s'kena pas ushqime atere se ushqim ater ka qwn nuk kishim sa m ushqimi si fukaraj buk e lakna hashna lakna t regjme ashtu lakna buk e lakna hashna zushna lakna hashna po po po kena qen i vogwl ater	ushtim em kur isha i vogwl pwr zoti kna pas ushtim athera se ushtim at-her ka qon nuk kishe qam ushtimi s i hfukaraj buke lakna hashna lakna trreqim ashtu lakna buke lakna hashna zyshna lakna hashna po po po kanaqwn i vogwl at-heret
spontaneous-speech-aln-44314.mp3	po ka raste qw ham mir ham shum ka raste qw ham dhe mw pak tani kot e fundit ha ma pak nuk ha si ma pwrpara ha ma pak se nuk ban mir natwn me hangwr	po ka rrase se ham mir ham shum ka rrase ham pak po tani kot e funit ha ma pak se nuk hak pwrparama pa ma pake edhe nuk bon mir natwn na hange
spontaneous-speech-aln-44315.mp3	Po tash na bahen nuk jena t sigurt pwr jetwn ton jo pwr bamzwn a kupton s kena Ca me t than pwr pun t bamwz t sigurta kush ke gja t sigurt soot n jetwn re sot s dihet gja Ca bahet sot je neswr s je	Potashna bang nuk jenknuk inat sigurt pwr jetwn ton jo pwr bango a kumton skiraqe  Camet than p pun bangs sigurta ku i kes gjat sigurt sot njjetre sot xie gjaCa ba sot je nese sie
spontaneous-speech-aln-44316.mp3	Durt tona i lajm se duhet me i pas t pastra durt a kupton po s i lave durwt durt lahen gjith kohwn pas bukws kur t mbarojsh bukwn se pastwrtia duhet t jet tan kohwn e mir	durt tala i lajp se do t mi pas labet durta kupta durt pasi lavet duret durt lahn dt kon kurt ha buk ku kur t aresh bukwl se pastia dursh do t qet tatkone mir
spontaneous-speech-aln-44317.mp3	Ajo qw mw shqetson Cdo gja mw shqetson politika nuk ka politik t mir nuk ka shtet shteti edhe mw shqetson shum mw shqetson Pwr kwt pun nuk ik u anej nuk m pwlqen t ik pwr Shqipri nuk ka shtet	ko jo me shetson Cdo gja me shetson politika nuk ka politik mir nuk ka shtet shteti edhe nuk mw shetson shum shetson pwr ket pun nuk hiku ani nuk m pwlqen tiks pwr Shqipri nuk ka shtet
spontaneous-speech-aln-44318.mp3	Po kur kam ditlindjen un nuk kam Ca me bo Thash jam shtatdhet vjeC nuk baj ma ditlindje nuk baj ditlindje kalamajve jua kam pas ba kur kan qwn t vegjwl nuk bwj ditlindje... pwrpara asnjwher un pwr vete s e kam bo asnjwher po kalamajve jua kam bo...	Po kur kam deline nuk kamqe me tashu atoe tje m boj mati linje a nuk pajn de line kala maj deu kam bata kur ka qwn velgwlnuk paj de ine metkudojtn pwr para fu vele nu kam bau kalamani ka kanta
spontaneous-speech-aln-44319.mp3	Po shkolla ktu m pelqen se nuk wsht pwr shembull ktu njw jav pwrpara kur kan qwn nw shkoll s etani nuk i kam ma n shkoll mw kan pas than se shkoll wsht e mir thosha un s kam qwn nw shkoll ktu asnjwher me thwn tw drejtwn po	po shkolla ktu m pwlqen se nuk wsht pwr shembullt un mia pwrpar ku kan pa qwn m shkoll se tani si kam mat shkoll km kan pas son se shkolla wsht e mir mse oshe u s kam qwn shkoll tuasni her me tkw tw drejtwn po po
