audio_file	reference	reference_raw	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	Δυστυχώς εν γνωρίζω τι προγράμματα πρόνοιας προσφέρει η κυβέρνηση αλλά που τα λεγόμενα του κόσμου ξέρω ότι έννεν' πολλά ευχαριστημένοι.	Εποψήμου η τεχνολογία την τελευτία δεκαετίαν αναφτίχθαι κι ν ασκετάσι σημίον που μπορεί να βελτιώσει την καθημερινή ζωή των πολλών ξεκινοντας που την ηατρική μαζί με τις διάφορες μυχανές που παίνουν μόνον οι πελόνα μέσα στον άνθρωπο χωρίς να θειαστεί κάποια ατέμβαση τζ̆αι φτάνοντας μέσα στο σπίτιν του καθα ενός για παράδιγμαν οι συσκεβές που καθαρίζουν μόνες τους ή γνωστή αλέξα που αν έσ̆ι στην κατάλληλην επένδηση σε έξυπνες στα ισαγωγικά ελεκτριές συσκεβές μπορεί να τες λειτουργίσει να πλατηφωνίσου ή ακόμασι βιομηχανίες όπου εργασίες φαγιά έπρεπεν να γίνουν του έναν άνθροπο πλίον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλίωρα που απλάν μιαν μυχανή το οποίο νομοσφέρνει μας τον κινδίον της τεχνολογίας ο οποίος είναι η μίωση ανθρώπινου δυναμικού σε χώρους εργασίας έναν αρκετά καθημερινών ται συχνον παράδιγμα εν' οι τράπεζες που κάθε εβδομάδα κλίτζ̆αι άλλι
spontaneous-speech-el-CY-37434.mp3	Πραγματικά εν ι-ξέρω κατά πόσον οι τράπεζες όντως κρατούν τα λεφτά ασφαλισμένα διότι υπήρχαν περιπτώσεις όπου έκλεισεν μια τράπεζα τžαι στην ουσίαν τα λεφτά των ανθρώπων εχαθήκασιν εχτός αν την είσ̆ εν αγορ΄άσει μια άλλη τράπεζα τžαι τότε εμεταφέρουνταν οι λοαρκασμοί των ανθρώπων που την μιαν στην άλλην αλλά γεννικά αν δεν κάμνω λάθος οι τράπεζες γυρίζουν τα λεφτά των ανθρώπων εννοώ γυρίζουν τα κάμνουσιν αγοράζουν μετοχές εννοώ έτσι φκάλλουν τž' οι ιδιοι λεφτά με το να έχουν τα λεφτά τα δικά σου κρατούν κρατημένα μέσα	Προσωπικά αρέσκουν μου τα ρούχα τα οποία κάμνουν με να νιώθω άνετα. Συνήθως τούτον περιλαμβάννει κάποιον παντελόνιν τžαι μιαν λλίον πιο μεγάλην κοντομάνικην ή μακρομάνικην φανέλλαν.	πραγματικά ν ξέρω κατα πόσον οι τράπεζες όντος κρατουν τα λεφτά ασφαλισμένα δι ότι υπήρχαν περιπτώσεις όπου έκλιξεν μια τράπεζα τζαι στην ουσίαν τα λευτά των ανθρώπων έχαθύκασει εχτώς αν την ίσ̆αιν αγοράσει μια άλλη τράπεζα τζ̆αι ττε μεταφέρουν ταν ηλο αρκασμοί των ανθρώπων πούτιν μια στην άλλη αλλά γενικά δεν κάμνουν λάθος οι τράπεζες γυρίζουν τα λεφτά τον ανθρώπων ενώ γυρίζουν τα καμνυ σιν αγοράζουν με τοχες ενώ έτσι φκάλλουν τζ̆αι ίδι λεφτά με το να έχουν τα λεφτά τα δικάσουν κρατούν κρατιμένα μίσα
spontaneous-speech-el-CY-37442.mp3	Στον τελευταίον εργασιακόν χώρον που εδούλευκα εκάμνασιν εκστρατείες μιαν φοράν κάθε εξάμηνον ή μια φοράν κάθε τρίμηνον όποτε εχρειάζετουν τέλος πάντων τζ̆αι επηαίννασιν σε δημοτικά ή κυρίως νηπιαγωγεία τζ̆αι εκάμνασιν ανακαίνισην των αίθουσων στο κτήριον τζ̆αι εχρειάζουνταν εθελοντές κάθε φοράν οπότε είχα δηλώσει συμμετοχήν τζ̆αι επήαμεν εφκάλαμεν ούλλα τα έπιπλα που την αίθουσαν διδασκαλίας των μωρών τζ̆αι εκάμαμεν την ανακαίνισην του χώρου με την βοήθειαν τους	(Σ)τα γενέθλια μου όταν ήμουν πιο μιτσ̆ιά εκαλούσεν η μάμμα μου τους συγγενείς μας σπίτιν για να φάμεν, αλλά που μιαν ηλικίαν τζ̆αι μετά, εμ, εγιόρταζα τα μαζίν με φίλες ή απλά εν έκαμνα τίποτε.	στον τελευτίον εργασιακό χώρον που ε δουλευκα εκαμνασην εξτρατίες μιαφωράν καθε εξάμινον ι μια φοράν καθε τρημινον όπότε χρειάζετον τελοςπαντον τζ̆αι επιαννασει σε δημοτικά η κυρίοςνη πιαγωγία τ̆αιεκαμνασην ανακινήσην τον έθουσον στο χτηρίο τζ̆αι χριάζονταν εθελοντές κάθε φορά πότε είχα δηλώσει συμμετοχή τζ̆αι έπια μεν φκαλαμενουλετα επιπλά που την έθυσα δηδασκαλιας τον μορών τζ̆αι έκαναμεν πρίτηνα ανακενήσειν του χόρου με την βοήθειαν τους
spontaneous-speech-el-CY-37445.mp3	Προσωπικά αρέσκει μου πολλά το χρώμαν πράσινον μια συγκεκριμένη απόχρωση του πράσινου το κυπαρισσίν το οποίον χρώμαν αρέσκει μου παραπάνω να το βλέπω ή να αγοράζω αξεσουάρ με το χρώμαν τζ̆είνον Όσον αφορά για άλλα χρώματα που μ' αρέσκει να έχω στον προσωπικόν μου χώρον αρέσκει μου το καφέ το μπες̆ εεε τζ̆αι το μαύρον Αυτά	Εν μπορώ να φανταστώ για ούλλες τες επιχειρήσεις τι δυσκολίες ή προκλήσεις εννά αντιμετωπίσουν όταν εννά ξεκινήσουν μιαν επιχείρησην εεεμ αλλά για παράδειγμαν όταν εσ̆ει να κάμει με φαΐν τούτη η επιχείρηση σίουρα εν' ούλλες οι άδειες που πρέπει να φροντίσουν να φκάλουν πριν αννοίξει το εστιατόριον ή η καφετέρια επίσης ένι το να έβρεις προσωπικόν, το προσωπικόν το οποίον να μπορείς να εκπαιδεύσεις τζ̆αι να δουλεύκει έτσι όπως το θέλεις εεεμ τα έξοδα που εννά 'ν' αρκετά δύσκολον να, αν δεν έσ̆εις κάποιον κεφάλαιον ήδη, μαζεμένον ενν΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄΄α 'ν' πάρα πολλά δύσκολον νομίζω να επιζήσει η επιχείρηση. 	προσωπικά άρέστηκι μυ πάρα πολλά το χρώμαν πράσινο μια συγκεκριμένη απόχφρεση του πράσινο το κιπαρσίε το πιο χρώμαν αρέστικι μου παραπάνα το βλέπω ή να αγοράςζααξεσουάρ με τα χρώμαν τζ̆ίνο όσον αφορά για άλλα χρώματα που μαρέσκει να έχως στον προσωπικον μοοχωρον αρέστηκε μου το καφέ τον πέσ̆ τζ̆αι τον μάδρο στά
spontaneous-speech-el-CY-37447.mp3	Οι πλείστες δυσκολίες που ήβρα στην ζωήν μου ήταν οικονομικές τžαι ένι Εεεμ το πώς τες εξεπέρασα νναι αναγκάστηκα να δουλέψω σε μιαν πολλά πιο μικρήν ηλικίαν που τους υπόλοιπους συνομήλικους μου εεεμ νναι τžαι απλά επροσπαθούσα να φκάλω αρκετά λεφτά για να μπορώ να καλύψω τα προς το ζην μου	Να μάθω να παίζω κάποιον μουσικόν όργανον, απλά δυστυχώς εν έτυχεν ποττέ. Το μόνον πιο κοντιν΄ον πράμαν που έχω σε τούντον τομέαν εν' το ότι τραγουδώ κάποιες φορές στον ελεύθερον μου χρόνον.	ι πλιστες δυσκολίες που η βρασιζωη μου ήταν ικονομικές τζ̆αι ένι εμ το πώς τες εξεπέρασαν ναι αναγκάστηκα να δουλεψστω σε μια πολλά πιο μικρηνηλικίαν που τους υπόλουπους συνομιλικούς μου εμ ναι τζ̆ι απλά προσπαθούσα αν φκαλώ αρκετά λεφτά για να μπορα καλύψω τα προστο ζην μου
spontaneous-speech-el-CY-37461.mp3	Το πιο μεγάλον δώρον που μου έκαμεν κάποιος το οποίον ήταν τζ̆αι το πιο πρόσφατον ήταν όταν έφυα που τον τελευταίον μου εργασιακόν χώρον Εκάμασιν στην ουσίαν μιαν φωτογραφίαν που αποτελείτουν που πολλές φωτογραφίες που ούλλους τους ανθρώπους που εδουλεύκαμεν μαζίν τζ̆αι ήταν οι πιο αστείες μας στιγμές που είχαμεν περάσει τζ̆αι θεωρώ οτι ήταν το πιο ωραίον τζ̆αι το πιο μεγάλον συναισθηματικά δώρον που έλαβα ποττέ που κάποιον	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών, ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός. Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες, στα εισαγωγικά, ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου, ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν, το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας. Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη.	το ποιο μεγάλο δρον που μέκαμεν κάποιος στο οποίον ήταν τζ̆αι το πιο πρόσφατο ήταν όταν έφια που τον τελευτίο μου εργασιακό χώρο ε εκάμασην στην ουσίαν μια φωτογραφίαν που αποτελείτουν πο πολλές φωτογραφίες που ούλους τους ανθρώποες που δουλεύκονμεν μαζί τζ̆αι ήταν οι πιο αστίες μα στιγμές που έχαμε περάσει τζ̆αι θεωρταν το πιο ωρέον τζαι το πιο μεγάλοσσείναι συστηματικά δόρον πυ έλαβα απο τε που κάποιον
spontaneous-speech-el-CY-37464.mp3	Στην Κ΄ύπρον τžαι ειδικότερα στην Λευκωσίαν εν εσ̆ιόνισεν καμιάν φοράν πολλά βαρετά γεννικά σ̆ιονίζει πολλά σπάνια Ο πιο βαρετός σ̆ειμώνας που είχαμεν ήταν πριν αρκετά χρόνια που είσ̆εν σ̆ιονίσει έναν μεσημέριν αλλά εν εχρειάστηκεν να παρτούν κάποια μέτρα επειδή εν υπήρχεν κάποιος κίνδυνος λόγον του κλίματος στην Κύπρον	Ως, εν ι-μπόρω να απαντήσω σε τούντην ερώτησην, διότι εν πληρώ τις απαιτήσεις λόγον του ότι εν έκαμα ακόμα οικογένειαν.	στην κύπρον τζιδικότερα στη λευκοσιαν εν εσ̆ιονισεν καμια φωράν πολλά βαρετά γενικά σ̆ιονιζει πολλά σπάνια ε ο ποιο βαρετός σ̆ιμονας πίχαμε ήταν πριν αρκετά χρόνια που ισ̆αε σ̆ιονίσει έναν μέση μέρι αλλά εν χρειάσικαι να παρθουν κάποια μέτρα επιδή εν υπήρχεν κάποιος κηνμίνος λόγον του κλήματος στην Κύπρο
spontaneous-speech-el-CY-37468.mp3	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικίαν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον εεε με το βιβλίο «το ημερολόγιον ενός σπασίκλα» αλλά στο γυναικείον δηλαδή ήταν το ημερολόγιον μιας κοπέλας εεε ή διάφορες εγκυκλοπαίδειες αυτά	Η αγαπημένη διασημότητα τον τελευταίον τζ̌αιρόν εν' η Μαρίνα Σάττι, ο λόγος που μ’ αρέσκει ένι διότι συνδυάζει διάφορα είδη μουσικής στην δισκογραφίαν της, τζ̌αι γεννικά νομίζω λόγον τούτου έσ̆ει έναν τραγούδιν για τον καθέναν μας.	που η μου μιτσ̆ά περίπου στην λικιαν του δημοτικού αρέσκε μου να θκιαβαζώ πιδική λογοτεχνία συγκεκριμένα είσ̆εν μια συγκραφιαν η οποία αρέσκε μου πάρα πολλά η οποία έγραφσεν κάτι παρόμιον με το βιβλίον το ημερολόγιον ενώς παθίκλα αλλά στο γινικίο πράταν το ημερολόγιον μιας κοπέλλας ε ι διάφορες υνκικλοπαίδιες αυτάν
spontaneous-speech-el-CY-37469.mp3	Το online banking θεωρώ ότι ευκόλυνεν τες ζωές των πολλών πλέον απλά εσ̆ει τζ̆αι το αρνητικόν του ότι λόγον του online banking πλέον κλείουν οι τράπεζες εν χρειάζεται το ανθρώπινον δυναμικόν τζ̆αι επίσης οι άνθρωποι οι πιο μεγάλοι ηλικιακά ε δυσκολεύκουνται ακόμα να προσαρμοστούν σε τούντην αλλαγήν	Που ήμουν μιτσ̆ιά, εεε, περίπου στην ηλικίαν του δημοτικού, άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν, συγκεκριμένα είσ̆εν μιαν συγγραφέαν, η οποία άρεσκεν μου πάρα πολλά, η οποία έγραφεν κάτι παρόμοιον, εεε, με το βιβλίο «το ημερολόγιον ενός σπασίκλα», αλλά στο γυναικείον, δηλαδή ήταν το ημερολόγιον μιας κοπέλας, εεε, ή διάφορες εγκυκλοπαίδειες, αυτά. 	το ονλιν πανκινκ θεωρώ ότι ευκόληνεν τες ζωες τον πολλών πλέον απλά έσ̆ιζ̆αι το αρνητικόν του ότι λόγον του ονλιν πακινκ πλίον κλείουν οι τράπεζες ε χρειάζεται τ ανθροπινον δυναμικόν τζ̆αι επίσης οι άνθροποι πιο μεγάληλικιακά δυσκολεύκονται ακόμα να προσαρμοστούν σε τουν την αλλαγή
spontaneous-speech-el-CY-37470.mp3	Τωρά όσον αφορά ραντεβού με γιατρόν αννέν' κάποιος ειδικευμένος γιατρός πρέπει πρώτα να μιλήσεις μαζίν με τον προσωπικόν σου γιατρόν αννέν' μέσον του ΓεΣυ Αν δέννεν' μέσον του ΓεΣυ πιάννεις απευθείας τον εξωτερικόν γιατρόν αλλά στην Κύπρον πρέπει να επικοινωνήσεις πρώτα μαζίν με τον προσωπικόν σου γιατρόν να πάεις να σε δει τžι αφού σε δει τžι επιβεβαιώσει ότι όντως έσ̆εις κάποιον θέμαν το οποίον εν ι-μπόρει να λύσει ο ίδιος τότε γράφει σου παραπεμπτικόν τžαι πάεις στον γιατρόν που θέλεις	Την τεχνολογίαν βρίσκουμεν την παντού. Εεε, εγώ προσωπικά χρησιμοποιώ πιο συχνά το κινητόν μου ή κάποιαν άλλην συσκευήν με μιαν πιο μεγάλην οθόνην για να μπορώ να θκιαβάσω για το Πανεπιστήμιον ή μπορεί να χρειαστεί να μαειρέψω κάτι μαζίν με κάποιαν έξυπνην συσκευήν ή ν' ακούσω μουσικήν, αυτά.	τώρα όσων αφορά εραντεβου με γιατρών αν νεν κάποιος ειδικευμένος γιατρός πρέπει προτά μιλήσεις μαζη μεν προσ επικόςτ̆ι γιατρών αν ναιν μέσον του γεσι α δενεν μέσον του γεσι κι αν νείς απευθίας στον εξωτερικό γιατρό αλλά στην κυπρόν πρέπει να επικινωνήσεις προταματιςμον προς επικόςτσ̆ι γιατρό να πάεις  να σεδί τζ̆αι αφού σεδί τζ̆αι επιβεβιώσει ότι όντος έσ̆εις κάποιο θέμαν το οποίον ενιν μπορείν να λίσει ο ίδιος τότε γραφείς ου παραπαεμτικόν τζ̆αι πάεις στο γιατρόν που θέλεις
