audio_file	reference	hypothesis
spontaneous-speech-lke-30007.mp3	Nsobola okuwona nti indwanisya embera mu'kusaba no kuyimbya nabakulembeze abandi oba tebakulembeze ne'bantu abalina endoboza ensa mukitundu bayinza okunyamba ne endoboza eyindi awo nisobola okulwanisya ebizibu nga ebyo kale awo endoboza nga eyo nensobola ebyo nsobola okulwanisya ebyo mubulamu bwange nadala okuyimbya na'bamumaka bona oluisi ekizibu ekyo kiza nga ninze omweiza zenka	Nsobola okubona nti nwanisya mumbere yowo okusaba nookuyimbya nabakulembezi abandi bati bakulembezi nabantu aba bandi bona balina endolozi ensaba mukitundu bayinza okunyamba ne ndowozi yindi awo ninsobola okulwanisya ebizibu nga ebyo kalawo mbere nga eyo ninsobola okukola ebyo nsobola okulwanisya nga ebyo mubulamu bwange nodala okuyimbya nabamaka bona olisi kiwozi ekyo kiza nga ninsomunizenka
spontaneous-speech-lke-30008.mp3	Nsobola okwelowozaku okutyama nga nelobozaku okubona nti nsobola okulowaza nti natandika ki lero oba mbera yakufuna emere oba kulowoza ku byakukola kaisi zena ntindikire awo oba kuwujula ku ndola oba nakolere ino nimpumula ku endolo kale awo kiba kinyamba ino mukifo kyasirikirira mba nga nsirikirire ndina okulowoza kyakukola	sobola okwerowoza ku kutyama nga nerowoza ku okubona nti nsobola okulowoza nti natandikira ti lero oba mbayokufuna emere oba kulowozaku ebyakukola kaisi zenantandikira awo oba kuwomulaku ndolo oba nakolere ino nempumula ku endolo kale awo kiba kinyamba ino omukifo kyakusirikirira mba nsirikirire anga lino kulowoza kyakukola
spontaneous-speech-lke-30009.mp3	Okusoma kuwaire amaka gaisu okuba nga balimu abantu abalina amagezi abantu aba abalina ekitiwa era nga bayamba ekitundu kyaisu kubintu ebyenkulakulana era ekyo kuwaire nga abantu mukitundu kyaisu nga bataka ino abamemba abomaka gaisu okuba bakulembeze	Okusoma kuwaire amaka gaisu okuba nga balimu abantu abaalina amagezi abantu aba abalina ekitibwa era nga abayamba eino ekitundu kyaisu okubigamba ebyenkulakulana era ekyo kiwaire nga abantu omu ekitundu kyaisu nga bataka ino abantu abamemba muamaka gaisu okuba abakulembeze
spontaneous-speech-lke-30010.mp3	Ekisoka amaka gasobola okwekuma ku poison nga batereka kusa obulezi obusobola okuleta okufa kuteka mukitundu abana abatasobola okutuka ekyokubiri enyumba epoison oweri oweri nga atleast nga batekamu kofulu nga baigala omulyango abenyumba eyo	Ekisoka amaka gasobola okwekuma kupoisoni nga batereka kusa obulezi obusobola okuleta okufa kuteka mukitundu abaana tebasobola okutuka ekyo kubiri enyumba oepoisoni bweri obweri nga tilisitinga batekamu abakufulu nga baigala omulyango aba enyumba eyo
spontaneous-speech-lke-30011.mp3	Okusoma kwa bawala kukyukire ino mukyalo kyage abawala abangi basobweire okwaba okusoma primary nebeyongera okusoma kusi kusinya ate nebeyongera mumaiso okusoma muyunivasiti abandi nibayaba mu institutions nebafuna yo ekosi ejebabesya wo so abawala bangi eino basobweire okufuna okusoma okusa	Okusoma kabawala kukukiire ino omukyalo kyange abawala abangi basobere okwaba okusoma ku praimare nibeyongera okusoma kusikusiniya ate nibeyongera omumaiso okusoma ku univasiti abandi baba kupaka mu institutions nibafunayo ekosi ejibawesa awo su abawala abange ino basoboire okufunira okusoma okusa
spontaneous-speech-lke-30012.mp3	Omulimu ogusobola okuwa amaka okulankulana ekisoka nikwo okulima no kusoma ebyo ebintu busobola okuwa amaka okulankulana ne bizinesi yona amafactory kubanga omuntu asomere aba namagezi era asobola okuba omuntu agankulakulanya nebizinesi aba asobola okola mu factory	Omulimu ogusobola okuwa amaka okukulankulanya ekisoka niyo okulima nokusoma ebyo ebintu bisobola okuwa amaka okulakulana ne bizinesi yona namafaktori kubanga omuntu asomere abanamagezi era asobola okuba omuntu akulyankulana bizinesi aba asobola okukola mufacitori
spontaneous-speech-lke-30013.mp3	Okusoma kuwaire amaka gange okuba gamani kubanga amaka gange gasoboire okuba nga oku okulima okusa okulima ebintu nga enyaya kabeji era nga biwaire amaka gange okubanga galana amani mukitundu kyange	Okusoma kuwaire amaka gange okuba gamaani kubanga amaka gange gasoboire okuba nga gasobola okuba bokulima okusa okulima ebintu nga nyanya kabeji era nga waire ino amaka gange okuba nga galina amaani mukitundu kyange
spontaneous-speech-lke-30014.mp3	Okusoma kunyambire inu okuba namagezi nokuba okutegeera engeri enjensobola eyokwebeesuawo nga nkozessya ebintu ebyendina owaika omukitundu ekyendi era nga ekyo kimpaire inu okubanga nsobola okubaawo nga tikumbeera embibi	Okusoma kunyambire ino okuba namagezi nokuba okutegera engeri ejensobola okuwebesya awo nga nkozesya ebintu byendina eweika mukitundu kyendi era nga ekyo kimpaire ino okubanga nsobola okubawo nga timba kumbera embibi
spontaneous-speech-lke-30015.mp3	Nti eisomero nga lili wala ino abaana tebasoma kusa kuba batuuka kwisomero leti ate owebatuuka kwisomero leti batuuka nga bakowi buti ekyo tusaba gavumenti bazimbe amasomero kumpi mukitundu olwo kuyamba abaana kubanga omwana owabanga atambula ntambula inene omwana atuka kwisomero leti akowere biki biki buti awo kitaka bazimbe amasomero	Ntesomero nga libiwala ino abaana tibasoma okisano kuban batuka kwisomero leti tebatuka kwisomero leti batuka nga bakowi kutiekyo tusaba gavumenti bazimba amasomero kumpi omukituntu ola okuyamba abaana kubanga omwana owaba nga atambula tambula inene no omwana atuka okwisomero leti akowere bikibiki kutawa kitaka bazimba amasomero
spontaneous-speech-lke-30016.mp3	Ekisoka kiyinza okubanga nfuna omumaka oyinza okuleta obutafunira omwana emere aye ekindi kiyinza okubanga buluwaire oluiso omwana muluwaire endwaire endwaire etamisimira okuliya emere ensa nemere yona erimu egindi egitawa omwana appetit eyokuliya emere	Ekisoka kiyinza okuba nga nfuna umaka na eyinza okuleta obutafunira omwana emere ayo ekindi kiyinza okuba nga bulwaire olwisa omwana omulwaire enwaire emusimira okulya emere ensa nemere yona erimu egindi egitasobola okuwa omwana apetaiti yakulya emere
