audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana ger akul ya akil ya yote alam ayan milan wu akil gi ji akil a fi bara barau al gi jibu ayan fi gildu ase akil a ana ger akul ana ger akul akil al bi jib afiyayan al ma gi jib n ana ayana yote fi gildu jyanskil yatu ayan al gi jib giamru gi nis afiya tai al gi jibu gildu mai kun kwes yan gi ldu kun taban zaman kulu akilal gikun tamanfa ya akil al tena al min jidi jide tena kan yamda gi wenena akil al gi tala fi shamba akil al ma gi tala fi al gi adul ma ida akil ya algi tala fishamba enna tamin jidi jide e
spontaneous-speech-kcn-22127.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	Aerga al  aiga l madrasa kaya taadu yali yaa yani amur gu zama al milan mon gai fi kii fagala madrasa mon gi agala din tomon wu fi deini de yaza tu gi alim teebiya yatu yafa keb yan gi ai mo kede ishi mo fi be fi mu jitamiya mo fi bele ani madrasa gi fata muk giamur jitami kalam al batan gi ita fi kalama al nesiya kalaa kan ta arufu ma ta gi aruf kalammal kan ta gi sof arufu ma gi awun ta te gi soso no ta gi wasa mi no
spontaneous-speech-kcn-22154.mp3	Teriga al kwesi ya saa kulu nyereku ama yal kede kun gu gi num tete ta mosquito net yani yani tibu ayan de fi kila wakati ma doriya wedi yala fi mustashtfa kila az kila ayan siya wedi uwo fi mustashtfa kalam mustashtfa naa ya fogo teriga kul al bi awun fi nongus ayan ta malaria fu kulu ya sunu ligo mosquito net kede yala kul gi num tete ta mosquito net	Aeria alkues ya sa kulnyereku ammayal keende kungu gi numtete ta muskitonet yan yani tib ayan de fi kila wakati madoriya wed yala fi mustashfa kila kila ayan siya wede wfi mustashfaa kalam mustashfa na yaa fogo teriga kul albawun fi nom gus ayan ta maleria fi kul yasonu ligo moskitonet kede yala kul gi num ete ta moskitonet
spontaneous-speech-kcn-22169.mp3	Barnamij ta alim anas kubar awun waze fi aruf stamil me sim mon saade agder wonus me yala tomon fi be te bara	Aoa alkake ana so yani abusu boda min ai ana fi zama galm yaigugodawa ama yani gavimenti  mna teriga ta abuso booda yaaji mina moskotonet yani katimba al gi abusu boda min ga lgal al fgodawa aagavimenti iogola kalas ya anamna alana ger abus mo boda min ai ana zaman talum
spontaneous-speech-kcn-22190.mp3	Libu ab yal gi ah al yal duga gi alab fi umma tai ya libu al gi al gi alimu omon namna ta rakabu namna te chunga be namna tee kuruju nasi namna te gai ma yal te keni ya libu al mon gi alab al na gi ayin lib al mon gi alab mon gi nutu nutu mon gi soo mon gi nutu nutu mon gi nutu labili mon gi gai kan kalas mon gi alim tarabiya te nas dofuru me nas	Aib abyal gayalyal duga gi ala fi ummata ya libu al gial al gaali mon namna tarakab namna te chunga be namna te kuruju nas namna te gaima yal te keni ya libu al mon gi alab alne gayin libu al mon gi alab mon gi nutunutu mon gi so mon gi nutunutuunsu labi mon gi gai kan kalas mon gi alim tarabiya tenas do formnas
spontaneous-speech-kcn-22227.mp3	De wai min sokolin Al hatarvta ligo musiba ta HIV Ta aulan joozu ta Al maa tim Al raba ta tinin jurub Yani asurub bangi asurub merisa yaani asurub sokol Al muku taki Kun jevta langaba ya gi jibu musiba ta ligo hiv	Awai mi soonaal ta ta ligo soo ra musiba ta hijayi fi ya taulan jowoju al mafa ayin alma tim ta tinin an juru asumo bangi as merisa al an timya sokoloju al ligeru fikrataki al fi giji fikera taki kon je talamjaba misoto ya gil jita kalam fi ligo musuba ta heyie
spontaneous-speech-kcn-22260.mp3	Akulu tai fi youm mar talata yan taulan min saba yan breakfast ta tinin ahhh min nahar dukur ta talata ya gada yani min saba asiya asa dukur gada mar talata fi youm	Akul tayi fi yom mar talata yan taunan min saba yan bekfas ta tein minahar gu ta talata ya gada yan minsaba ashiya ashadikur gada mar talata fi yom
spontaneous-speech-kcn-22290.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	Aakti tayi te foraj ana gasma bisan aju num ana bada akul kalanaju num wanaju gum kan ana num kal anaju kana so sente kana so tujar tai kalam kade ana ligo sente keja kum be sente na anas na yal tai wu kaman ana gi fiker fikir al kebirfi uma m yal tai
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safir bele barau barau bele tawul anya ana rafi nairobi belel ta tinen ana rafi tanania yan bele barabu bele tilin doli  azad an rafogo ma fi sudan al sababb to jeregusu maisha al bi geeru halt tayi ma anas tai ba lna be
spontaneous-speech-kcn-22386.mp3	Ayan ta TB al gi jib ya ta awulan waskan ta tinin wedi yan ruwa fi mushtashfa mma dukur abus to ya ruwa fi mushtashfa ligo matibabu to ya bi abus	Awayan tel tibie sukal gi jibiya taulan waskan tatinin wedi yan we ruafi mustashfa ma bukuru abusu to yaa ruafi mustashfa kede ne legu mati bi ab ta ya bi abus
