audio_file	reference	hypothesis
spontaneous-speech-lke-30007.mp3	Nsobola okuwona nti indwanisya embera mu'kusaba no kuyimbya nabakulembeze abandi oba tebakulembeze ne'bantu abalina endoboza ensa mukitundu bayinza okunyamba ne endoboza eyindi awo nisobola okulwanisya ebizibu nga ebyo kale awo endoboza nga eyo nensobola ebyo nsobola okulwanisya ebyo mubulamu bwange nadala okuyimbya na'bamumaka bona oluisi ekizibu ekyo kiza nga ninze omweiza zenka	Bnsobola okuvona nti banis bera kusaba no kuyimbia nabakulembezia bandi batibakulembez nabantu adi balna ozesa bamukiton bainza oknyamba ne ozeindi awa nesobola okulwanisa ebingevyoala wombera ngeyo nsobola okolaevonsobola okulwanisangebyo bulamu bwangi ala kwyimbia nabamakabona olisi kyizanga nmzenka
spontaneous-speech-lke-30008.mp3	Nsobola okwelowozaku okutyama nga nelobozaku okubona nti nsobola okulowaza nti natandika ki lero oba mbera yakufuna emere oba kulowoza ku byakukola kaisi zena ntindikire awo oba kuwujula ku ndola oba nakolere ino nimpumula ku endolo kale awo kiba kinyamba ino mukifo kyasirikirira mba nga nsirikirire ndina okulowoza kyakukola	Bsobola okwerooozaku tama nganeroozaku kbona nti nsobbla kulooza nti natandikira lero oba ufuna emere ba kulooza byakukola aisena tandikiraooba kumulaku endolo oba nakolera ino nefumulaku endolo kale awo kiba kinyamba ino krmba nsirkrga nokulooza kyakukolauuuuuuuuuuuuuuuuuu
spontaneous-speech-lke-30009.mp3	Okusoma kuwaire amaka gaisu okuba nga balimu abantu abalina amagezi abantu aba abalina ekitiwa era nga bayamba ekitundu kyaisu kubintu ebyenkulakulana era ekyo kuwaire nga abantu mukitundu kyaisu nga bataka ino abamemba abomaka gaisu okuba bakulembeze	Okusoma kuware amaka gaisu okuba ngabalima abantu abali na magezi abantu aba abal kitva era nga bayamba eino ekitundu kyaisu kubigamba bkulaakulana era kiwaire nga abantu mukitundu kyaisu ngabatakaino abantu abamemba maka gaisuokuba ba kulembeze
spontaneous-speech-lke-30010.mp3	Ekisoka amaka gasobola okwekuma ku poison nga batereka kusa obulezi obusobola okuleta okufa kuteka mukitundu abana abatasobola okutuka ekyokubiri enyumba epoison oweri oweri nga atleast nga batekamu kofulu nga baigala omulyango abenyumba eyo	Bkisoka amaka gasobola okwekuma poisonnga batereka kusa obulezi oasobola okuleta okufa kuteka mukitundu abana tebasobolaokutuka ekyokubiri enyumba poisonbeli obweringa tlistinga bateka mu abuflunga baigala mulango abaenyumba yo
spontaneous-speech-lke-30011.mp3	Okusoma kwa bawala kukyukire ino mukyalo kyage abawala abangi basobweire okwaba okusoma primary nebeyongera okusoma kusi kusinya ate nebeyongera mumaiso okusoma muyunivasiti abandi nibayaba mu institutions nebafuna yo ekosi ejebabesya wo so abawala bangi eino basobweire okufuna okusoma okusa	Okusoma kawola kukyukire ino omukyalo kyange abawala bangi basobere okwaba okusoma kupulaimare nibayongale okusoma kukusinia ate nibayongara mais kusoma novati abanbaba kupaka musonbafuna kosi jbabsawo sabawala bange eino basovere okufunaa okusoma okusa
spontaneous-speech-lke-30012.mp3	Omulimu ogusobola okuwa amaka okulankulana ekisoka nikwo okulima no kusoma ebyo ebintu busobola okuwa amaka okulankulana ne bizinesi yona amafactory kubanga omuntu asomere aba namagezi era asobola okuba omuntu agankulakulanya nebizinesi aba asobola okola mu factory	Omulimu ogusobola okuwamaka kulakulanya kisoka niyokulima nokusoma ebo ebintu bisobola okuwa maka okulankulana nebisnes yona amafaktori kubanga omutuasomere aba namagezi era sobola ouba omuntu kulakulana bisnes abasobola okla mufaktori
spontaneous-speech-lke-30013.mp3	Okusoma kuwaire amaka gange okuba gamani kubanga amaka gange gasoboire okuba nga oku okulima okusa okulima ebintu nga enyaya kabeji era nga biwaire amaka gange okubanga galana amani mukitundu kyange	Okusoma kuwaire makaganga okuba gamani kubanga makaganga ggasobeire okubanga gasokuba kulima okusa okulima bintunga nyanya kabeji eranga kuware nomakaganga okubanga galina mani kitundukyange
spontaneous-speech-lke-30014.mp3	Okusoma kunyambire inu okuba namagezi nokuba okutegeera engeri enjensobola eyokwebeesuawo nga nkozessya ebintu ebyendina owaika omukitundu ekyendi era nga ekyo kimpaire inu okubanga nsobola okubaawo nga tikumbeera embibi	Okusoma kuyambire no okuba namagezi nokuba kutegera engeri jnsobola okebesawo nga nkozesa ebintu byendina ka mukitundukyendi eranga ekyokimpaire no okubanga nsobola okubawo ngatimba kumbere embibi
spontaneous-speech-lke-30015.mp3	Nti eisomero nga lili wala ino abaana tebasoma kusa kuba batuuka kwisomero leti ate owebatuuka kwisomero leti batuuka nga bakowi buti ekyo tusaba gavumenti bazimbe amasomero kumpi mukitundu olwo kuyamba abaana kubanga omwana owabanga atambula ntambula inene omwana atuka kwisomero leti akowere biki biki buti awo kitaka bazimbe amasomero	Bsomero nga bwala ino abana tibasoma ksano kubabatuka kwsomero leti eatuka kwsomerleti batukanga bakowi butekyo kusaba gavumenti bazimba masomero ompikiuol kuyambabana kubanga omwana babagatabula ntambulaneomwana tuka kwsomero leti aowereawakitaka bazimba basomero
spontaneous-speech-lke-30016.mp3	Ekisoka kiyinza okubanga nfuna omumaka oyinza okuleta obutafunira omwana emere aye ekindi kiyinza okubanga buluwaire oluiso omwana muluwaire endwaire endwaire etamisimira okuliya emere ensa nemere yona erimu egindi egitawa omwana appetit eyokuliya emere	Eisoka kinza okuba nga nfuna maka yinza okuleta tafunira omwana emere akindi kiynza okuba nga bulware luis omana mulwaire gwaire etamsimira okula emere nsa nemere yona erimgindi egitasobola okuwa omwana apett a kula emere
