audio_file	reference	hypothesis
spontaneous-speech-el-CY-37427.mp3	Η άποψη μου η τεχνολογία την τελευταία δεκαετίαν αναπτύχθηκεν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινήν ζωήν των πολλών ξεκινώντας που την ιατρικ΄ην μαζίν με τες διάφορες μηχανές που μπαίννουν μόνον η βελόνα μέσα στον άνθρωπο εεε χωρίς να χρειαστεί κάποια επέμβαση τζ̆αι φτάννοντας μέσα στο σπίτιν του καθενός Εεε για παράδειγμαν οι συσκευές που καθαρίζουν μόνες τους ή η γνωστή Αλέξα που αν έσ̆εις την κατάλληλην επένδυσην σε έξυπνες στα εισαγωγικά ηλεκτρικές συσκευές μπορεί να τες λειτουργήσει με απλά την φωνήν σου ή ακόμα σε βιομηχανίες εεε όπου εργασίες παλιά έπρεπε να γίνουν που έναν άνθρωπον πλέον γίνουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλήορα εεεμ που απλά μιαν μηχανήν το οποίον όμως φέρνει μας στον κίνδυνον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας Έναν αρκετά καθημερινόν τζ̆αι συχνόν παράδειγμα εν' οι τράπεζες που κάθε εβδομάδαν κλείει τζ̆' άλλη	Εποψην μου η τεχνολογία την τελευταίαν δεκαετίαν αναφτήκθαι για έν αρκετά σε σημείον που μπορεί να βελτιώσει την καθημερινή ζωήν των πολλών ξεκινώντας που την ηατρική μαζί με τες διάφορες μηχανές που μπαίνουν μόνον ι πελώνα μέσα στον άνθρωπο  χωρίς να θιαστεί κάποια ετέμβαση τζ̆αι φτάννουντας μέσα στο σπίτιν του κάθ ενός  για παράδειγμαν οι συσκευές που καθωρίζουν μόνες τους ή οη γνωστή αλέξα που αν έσ̆ει στην κατάλληλην επένδηση σε έξυπνες στα ισαγωγικά ελευτρικές συσκευές μπορεί να τυς λειτουργήσει να πλατηφωνίσου ή ακόμα σε βιομηχανίες  όπου εργασείες φαγιά έπρεπεν να κινουν που έναν άνθρωπο πλέον κινουνται πολλά πιο αποτελεσματικά τζ̆αι πολλά γλίορα  που απλάν μιαν μηχανή το οποίο νόμος φέρνει μας των κινδήον της τεχνολογίας ο οποίος είναι η μείωση ανθρώπινου δυναμικού σε χώρους εργασίας έναν αρκετά καθημερινόν τζ̌αι συχνόν παράδιγμα εν' οι τράπεζές που κάθε εδώματα κλείτζ̆αι άλλι
spontaneous-speech-el-CY-37434.mp3	Κάποτε ακούετουν ότι εθέλαν να χορηγήσουν ούλλους τους μαθητές μαζίν με έναν ττάπλετ το οποίον ττάπλετ εννά αντικαταστούσεν ούλλα τα φυσικά βιβλία που μας εδιούσαν στο σχολείον τζ̌αι επίσης εννά εμπορούσεν ο μαθητής να το χρησιμοποιήσει τζ̌αι σαν τετράδιον εχτός του ότι εν θα εχρειάζετουν να τυπώννουνται τζ̌είνα ούλλα τα βιβλία τζ̌αι να καταϊσ̆έφκουνται τα δέντρα εεε νομίζω εννά έκαμνεν τζ̌αι πιο εύκολην την εκπαίδευσην εννά εμπορούσεν βασικά ο δάσκαλος να παρουσιάσει τες ίδιες πληροφορίες με έναν πολλά πιο ενδιαφέρων τρόπον λόγον της τεχνολογίας εμμ τζ̌αι εννά ‘ταν πολλά πιο εύκολο να 'ν' ούλλα μαζεμένα σε έναν τόπον για να 'ν' τζ̌αι πιο εύκολη η οργάνωση για τους ίδιους τους μαθητές	κάποτε ακουίτουν ότι έθελαν να χωρηγήσουν ούλλους τους μαθητές μαζί με ένα taπleτ το οποίο taπλετ εννα αντικαταστούσεν ούλλα τα φυσικά βιβλία που μας ιδιούσεν στο σχολείο τζ̆αι επίσης ενναν μπορούσεν ο μαθητής να το χρησιμοποιήσει τζ̌αι σαν τετράδιον εχτός του ότι ενθα χρειάζετουν να τυπώνουνται τζαι να ούλλα τα βιβλία τζ̆αι να κατασ̆έύκουνται τα δέντρα νομίζων να κάμνεν τζ̆ι πιο εύκολην την εκπαίδευσην να μπορούσεν βασικά ο δάσκαλος να παρουσιάσει τες είδιες πληροφορίες με έναν πολλά πιο ενδιαφέρον τρόπον λόγον της τεχνολογίας μ τ̆αι να τάν πολλά πιο εύκολον ναν ούλλα μαζε μενάσι έναν τόπο γιαναν τζ̆ιο πιο ευκολοη οργάνωση για τους είδιους τους μαθητές
spontaneous-speech-el-CY-37442.mp3	Σίουρα οι ανθρώποι διαφορετικών ηλικιών χρησιμοποιούν την τεχνολογίαν διαφορετικά λόγον του ότι όταν είσαι πιο μιτσής εν έσ̆εις τες ίδιες ευθύνες ή επίσης εν ι-ξέρεις πώς να λειτουργήσεις μιαν συσκευήν πιο προχωρημένα εμ νναι συνήθως σε πιο μικρές ηλικίες χρησιμοποιούν την τεχνολογίαν για πιο χαλαρές δραστηριότητες όπως τα παιχνίθκια τζ̆αι σε πιο μεγάλες ηλικίες νναι μεν μπορεί να παίζουν πάλε παιχνίθκια εεε αλλά επίσης χρησιμοποιούν τες για να μπορούν να πληρώσουν λοαρκασμούς ή για να ενημερωθούν για διάφορα νέα κουτσομπολιά εεε και τα λοιπά	Σύγουρα οι ανθρώποι διαφορετικών ηλικιών χρησιμοποιούν την τεχνολογίαν διαφορετικά λόγον το ότι όταν είσι πιο μιτσίς εν εσ̆ις τες ιδίες ευθύνες ή επίσης εν ι-ξέρεις πως να λειτουργήσεις μια συσκευήν πιο προχωρημέναν μ ναι συνήθως σε πιο μικρές ηλικίες χρησιμοποιούν την τεχνολογίαν για πιο χαλαρές δραστηριότητες όπος τα παιχνίθκια πζιαι σε πιο μεγάλες ηλικίες νναε μεν μπορεί να παίζουν πάλλο παιχνίθκια  αλλά επίσης χρησιμοποιούντες για να μπορούν να πληρώσουν λο αρκασμός για να ενημερωθούν για διάφορα νέα κουτσον πολιά αι ταλπά
spontaneous-speech-el-CY-37445.mp3	Η κοινωνία μπορεί να βοηθήσει τους ανθρώπους που έχουν ανάγκην είτε με το να τους δώκουσιν παλιά ρούχα σε εντάξει κατάστασην εχτός που ρούχα παπούτσια ή γεννικά προσωπικά αντικείμενα τα οποία εν' σε καλήν κατάστασην τζ̌αι εν χρησιμοποιούνται πλέον εεεμ επίσης εν' οι εισφορές με φαΐν φαΐν το οποίον εν θα χαλάσει όπως μακαρόνια ρύζιν φασόλια τζ̌αι διάφορα είδη της ίδιας μορφής	Η κοινωνία μπορεί να βοηθήσει τους ανθρώπους που έχουν ανάγκιν είτε με το να τους δόκουσιν παγιά ρούχας εντάξι κατάστασην εχτος πουρούχα παπούτσια ή γεννικά προσωπικά εντη κειμένα τα οποίαν ες σεκαλλήν κατάστασην τζ̆αι χρησιμοποιούνταιν πλέονμ επίσης ννίς φορες με φαΐ φαΐν το οποίον ενθα χαλάσει όπως μακαρόνια ρίζι φασόλια τζ̆αι διάφορα είδή της ίδιας μορφής
spontaneous-speech-el-CY-37447.mp3	Στον τελευταίον εργασιακόν χώρον που εδούλευκα εκάμνασιν εκστρατείες μιαν φοράν κάθε εξάμηνον ή μια φοράν κάθε τρίμηνον όποτε εχρειάζετουν τέλος πάντων τζ̆αι επηαίννασιν σε δημοτικά ή κυρίως νηπιαγωγεία τζ̆αι εκάμνασιν ανακαίνισην των αίθουσων στο κτήριον τζ̆αι εχρειάζουνταν εθελοντές κάθε φοράν οπότε είχα δηλώσει συμμετοχήν τζ̆αι επήαμεν εφκάλαμεν ούλλα τα έπιπλα που την αίθουσαν διδασκαλίας των μωρών τζ̆αι εκάμαμεν την ανακαίνισην του χώρου με την βοήθειαν τους	στον τελευταίον εργασιακόν χώρον που εδουλεύκα έκαμνασιν εξτρατίες μιαφοράν καθε εξάμινον ή μιαφοράν καθε τρήμινον οπότε χρειάζετον τελοσπάντον τζ̆αι πιανναση σε δημοτικά ή κυρίος νη πηαγωγία τ̆αι έκαμνασην ανακενήσιν των έθουσον στο χτηρίο τζ̆αι χρειάζονταν εθελοντές κάθε φορά οπότε είχα δηλώσει συμμετοχή τζ̆αι πιαμεν φκάλαμεν δούλετα επιπλά που την έθυσαν διδασκάλειας των μωρόν τζαι έκαμαμεν πλητην ανακενήσιν του χώρου με την βοήθειαν τους
spontaneous-speech-el-CY-37461.mp3	Το πιο μεγάλον δώρον που μου έκαμεν κάποιος το οποίον ήταν τζ̆αι το πιο πρόσφατον ήταν όταν έφυα που τον τελευταίον μου εργασιακόν χώρον Εκάμασιν στην ουσίαν μιαν φωτογραφίαν που αποτελείτουν που πολλές φωτογραφίες που ούλλους τους ανθρώπους που εδουλεύκαμεν μαζίν τζ̆αι ήταν οι πιο αστείες μας στιγμές που είχαμεν περάσει τζ̆αι θεωρώ οτι ήταν το πιο ωραίον τζ̆αι το πιο μεγάλον συναισθηματικά δώρον που έλαβα ποττέ που κάποιον	Το πιο μεγάλον δόρόν που μου έκαμεν κάποιον στο οποίον ήταν τζ̆αι το πιο πρόσφατον ήταν όταν έφια που τον τελευτίον μο εργασιακόν χώρο  έκαμασιν στην ουσίαν μια φωτογραφίαν που αποτελεί τουν που πολλές φωτογραφίες που ούλους τους ανθρώπους που δουλεύκαμεν μαζίν τζ̆αι ήταν οι πιο αστίες μα στιγμές που έχαμεν περάσει τζ̆αι θεωρώ ήταν το πιο ωραίον τζαι το πιο μεγάλοσίνι συστηματικά δώρον που έλαβα ποτε που κάποιον
spontaneous-speech-el-CY-37464.mp3	Στην Κ΄ύπρον τžαι ειδικότερα στην Λευκωσίαν εν εσ̆ιόνισεν καμιάν φοράν πολλά βαρετά γεννικά σ̆ιονίζει πολλά σπάνια Ο πιο βαρετός σ̆ειμώνας που είχαμεν ήταν πριν αρκετά χρόνια που είσ̆εν σ̆ιονίσει έναν μεσημέριν αλλά εν εχρειάστηκεν να παρτούν κάποια μέτρα επειδή εν υπήρχεν κάποιος κίνδυνος λόγον του κλίματος στην Κύπρον	Στην Κύπρον τζαι ιδικότερα στην Λευκοσιαν ενσ̆ονισεν καμιαν φοράν πολλά βαρετά Γεννικά σ̆ονιζει πολλά σπάνεια ο ποιο βαρετός τσζ̆αι μόνας που ήχαμε ήταν πριν αρκετά χρόνια που είσ̆ε σ̆ονίσι έναν μέσημέρην αλλά εν χρειάστικει να παρθούν κάποια μέτρα επειδή εν υπήρχεν κάποιος κιμμίνος λόγόν του κλήματος στην Κύπρον
spontaneous-speech-el-CY-37468.mp3	Που ήμουν μιτσ̆ιά εεε περίπου στην ηλικίαν του δημοτικού άρεσκεν μου να θκιαβάζω παιδικήν λογοτεχνίαν συγκεκριμένα είσ̆εν μιαν συγγραφέαν η οποία άρεσκεν μου πάρα πολλά η οποία έγραφεν κάτι παρόμοιον εεε με το βιβλίο «το ημερολόγιον ενός σπασίκλα» αλλά στο γυναικείον δηλαδή ήταν το ημερολόγιον μιας κοπέλας εεε ή διάφορες εγκυκλοπαίδειες αυτά	που ι μου μιτσ̆ιά περίπου στην ιτικίαν του δημοτικού άρέσκεν μου να θκιαβάζω παιδικήν λογοτεχνία συγκεκριμένα είσ̆εν μια σύγκραφίαν η οποία άρέσκε μου πάρα πολλά η οποία έγραφεν κάτι παρόμιον  με το βιβλίον το ημερολογίον ενός παθίκλα αλλά στο γυνικείο πλαραν το ημερολόγιον μιας κοπέλλας  ι διάφορες υγκεκλοπαίδιες αυτά
spontaneous-speech-el-CY-37469.mp3	Εν θεωρώ ότι εν' εύκολον να ξεκινήσεις μιαν επιχείρησην στην Κύπρον ε λόγον του ότι εν' μια χώρα που οι Κυπραίοι εν έχουν μεγάλον κεφάλαιον εν' κυρίως οι ξένοι που έρκουνται τζ̌αι μεινίσκουν στην Κύπρον που έχουν τα λεφτά τζ̌αι κάμνουν επιχειρήσεις τζ̌αι μετά αννοίουν επιχείρησην της επιχείρησης τζ̌αι πολλαπλασιάζουν τα λεφτά τους αλλά κυρίως οι Κυπραίοι 'ντάξει πολλά δύσκολον να μπορέσεις να ξεκινήσεις μιαν επιχείρησην θέλει πολλύν πείσμαν	εν θεωρω ότι εν' εύκολο να ξεκινήσεις μιαν επιχείρηση στην Κύπρο λόγον του ότι εν μια χώρα που ι Κυπρέοιεν έχουν μεγάλον κεφάλαεοεν' κυρίως ι ξένει που έρκουνται τζ̆αι μνίσκου στην Κύπρον που έχουν τα λεφτά τζ̆αι κάμνουν επιχειρήσεις τζ̆αι μεταννείουν επιχείρησήν της επιχείρησης τζ̆αι πολλά πλασιάζυν τα λεφτά τους αλλά κυρίως ι Κυπρέι ντάξει πολλά δύσκολον να μπορέσεις να ξεκινήσεις μιαν επιχείρησην θέλει πολλήν πλήσμα
spontaneous-speech-el-CY-37470.mp3	Εν θα έλεγα ότι υπάρχει άχρηστον ζώον σίουρα ούλλα τα ζώα συμβάλλουν με τον δικόν τους τρόπον εεεμ στην τροφικήν αλυσίδαν τζ̆αι γεννικά στο οικοσύστημαν της φύσης εεεμ το πιο άχρηστον ζώον εννά έλεγα ότι ίσως να 'ν' εν ι-ξερω ή... τα πάντα τα πάντα το ζώον	Εν θα έλεγα ότι υπάρχει άχριστο ζωο σύγουρά ύλλα τα ζωα συμβαλούν με τον δικόν τυς τρόπο  στην τρόφικήν αλησίδαν τζ̆ιι γεννικά στο οικοσύστημα της φύσης μ το πιο άχριστο ζώ να έλεγα ότι ίσως ναν εν -ξέρωή τα πάντα τα πάντα το ζωο
