audio_file	reference	reference_raw	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Maana tepɨyekɨka San Martín, eh, eh, camióntsie, tren manuyeyeikatsie tepekɨká Zapopa pai tɨ, paɨ tepɨtekɨkɨka.	Ne nemaamatukarimaya'a 'aixɨ nepɨreka 'eriatɨya nepenekatemaawiatɨya ne haitɨa ri pe meɨkateeuhukai  'arikeikeri 'ikɨ kiakari ya'a ne mepɨti'atɨa hikɨ yaa tepieuhuhikɨ tukari tepuweewixɨaxɨ
spontaneous-speech-hch-31313.mp3	Ne neki nepɨtaweewieni waɨká pɨtiuyɨne ʼɨxá nemɨtihuná haku nemɨkɨʼɨni nemɨ... nemɨranakawɨtɨ́axɨani maana nepɨtakiní ʼenepɨreuteeré Paɨ xeikɨ́a	ʼUuwa pɨkatixuawe, eh, takie timieme, ʼuuwa tepɨtehayeʼeriwa, eh, te... te... te... te... paapá, ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa, eh, pɨkatixuawe ʼuuwa, pɨtiumawe. Paɨ xeikɨ́a, ejem.	Ne neki nemɨtaweewieni waɨkapɨtiuyi ne xa nemɨɨtihuna aku nemɨkɨ'ɨni nnemɨranakawutɨaxuxiani maana nemɨtakini anepɨreutere paɨxeikɨ
spontaneous-speech-hch-31314.mp3	Ne xewítɨ nemaré pɨtitiweewiwakai tuupiíte ʼɨɨrɨɨ́te pɨtitiweewiwakai mɨɨkɨ kɨmaana pɨtikumɨnékai mɨpaɨ pɨtikuhariupanekai	Hɨ, tepɨkatemate teiwari mɨtiweewie, eh, mɨɨkɨ, taweewiya rixɨ́a tepɨteʼakumaté, eh, ne nepɨtimate ʼetsiwa, ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe. Paɨ xeikɨ́a, ejem.	Nexewitɨ nemare titiweewiwakai seupite  ɨrɨteptititiweewiwakai mɨɨkɨ kɨmana pɨtikumɨnékai mɨpɨ ti ti kwaritipɨtikwariupaneka
spontaneous-speech-hch-31315.mp3	Ne neteukari pɨnetsiʼukahauxi mɨpaɨ waníu tiuheinɨka tiutahɨawarieka ˀayumieme Xaureme pɨnetiuterɨwáxɨ waníu nemɨkatikuuyenikɨ waníu ʼaixɨ nereuʼeríetɨ nemuyeikanikɨ	Kwiniya puxuawe, hiikɨ taʼiwaáma tepɨwatɨmaiya, mɨɨkɨ, eh, tepɨkate..., eh, heuʼeríetɨ tetekwatɨ́ kwiniya pɨtatsikuwiwiya, keʼuxa tep... tepɨkakwaʼá, mɨɨkɨ, eh, pɨtiʼuayetɨkáikaku. Paɨ xeikɨ́a.	Neneteukari netsiukaauxi mupaɨ waniu tiuheinɨka tiutaɨwariekɨa 'aimime xaureme pnetiuteruwaxɨ waniu yeemɨkatikuyenikɨ waníu 'ari nereu'erietɨne nemuuyeikanikɨ
spontaneous-speech-hch-31316.mp3	Ne ʼikwai pɨnetsinake nekie timieme ʼaixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe naakarite kéʼuxate keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ́	Ne nekie nepanutɨa, eh, ʼixɨarari nepekuweewíetɨya muuwa, nepeneʼiiriki, eh, eh, ranierekaku, 'ayumieme tepɨteʼayeʼatɨwa. Paɨ xeikɨ́a.	Neʼikwaipi netsinake nekietimieme aixɨ mɨɨkɨ ptiwaɨriya nekie mɨrexuawe nakari te keeʼuxa te keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ
spontaneous-speech-hch-31317.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	Hu, méripaitɨ ne, ejem, ne... nepɨyɨwekai, ne... ne... ke nemɨtiuyurieni, hiikɨ rikɨ ri nepɨkayɨwe, eh, kwiniya pɨtatsikuwiwiya waʼaátɨ ʼipaɨ ʼi ʼi, eh, 'ayumieme, ejem, tepɨkayɨwawe ri. Paɨ xeikɨ́a.	ʼuuapɨ katixuawe  takie timieme 'uua tepɨtayu'eriwa e ttetepapá  'ikupapayari mɨkɨtete tepayɨ'eriatɨkɨɨka pexu'uua e katixuawe 'uuwa tiumawe kaɨxei
spontaneous-speech-hch-31318.mp3	Xɨari ri tepɨkateʼayexeiyani ʼaana hipátɨ mepɨtehatɨtɨmaiya ri ʼipaɨ waʼaátɨ pɨreuyewexime ri takiekari paɨ xepɨkaʼaneni hiikɨ tɨɨrí xemunúnuiwa xetenayexeiyani Paɨ xeikɨ́a	Ne watsu pɨnetsinake haxu watsuyari, haɨtɨtɨ ha mayemaka, mɨɨkɨ 'ayumieme pɨnetsikunanake.	xɨariritepɨkateayexeiyani 'aana hipátɨ mepɨtetɨtɨ maiari paɨ hu'atɨ reuyeweximeritakiakari paɨxepɨka 'aneni hikɨ tɨrixe mɨnunuiwa xe tenayexeyane paɨxe
spontaneous-speech-hch-31319.mp3	Kɨxauri panuxiteni ha maana pukatuaní eh xeitɨkaari puyurieni panukupɨné maana ʼaana ke pepenatiwiwieni ʼaana ke ri ha maana pepɨkatuaní Paɨ xeikɨ́a	Wixáritaari memɨkaʼukuxɨriwanikɨ, eh, waɨká pɨreuyewetsé, eh, tepɨkaʼanutiyɨwawe ri tumiinikɨ, pareewiya heuyewetɨ́ payeika.	Kɨxauri panxiteni hamaana pɨkatuani xeitɨkari kɨyuurieni panukɨpɨ nemaana naanaki pepenatiwiwieni 'aanakera hamaana pepɨkatuani paɨxeikɨ
spontaneous-speech-hch-31320.mp3	Ne nemanukatsie naitɨ pɨrexuawe naitɨ pɨretuiya yekwá haxi keʼuxa weuráixi mepetuiya tixaɨ pɨkareuyewetsé	Mmm... Ne ʼinɨari nepetima, eh, mɨpaɨ, eh, neʼikuxexeiyátɨ ke mɨreukuʼutɨká, maana ʼetsiwa nepeitima ʼinɨári.	Ne nemanukatsie naitɨpɨrexuawe naitɨpɨrétuiya yakwa haxi kiaʼuxa wauraixi mepeatuiya ixɨapɨka reuyewetsie
spontaneous-speech-hch-31321.mp3	Mɨɨkɨ puyupápatutɨani mmm maxa xeeníu mɨɨkɨ pemɨti... pemɨtiweiyawenikɨ ʼeetsiwa ʼipaɨ pemɨrakumaikákɨ pemɨtiheinɨwenikɨ mɨpaɨ	Mmm keʼuxa ʼitsaariyari ne... nepɨweewíwe, mɨɨkɨ, eh, ʼaatsí pɨkaʼuyɨne mɨɨkɨ, hakɨɨxari ta xeikɨ́a peikayení maana, eh, ta tsɨ ri pepɨtikwaʼá. Paɨ xeikɨ́a.	Mɨɨkɨ huyupapátutɨani  maxaxeniu mɨɨkɨ pe pemɨti pemɨtiweiyáwenikɨ etsiwaipa xemrakumaikákɨ pemɨtiinuwenikɨ mɨpa
