audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	Ay Id I loved to bein a professional gimnist I used to  when I was yong do flips but in kat wels bit mo you know professional and years ago we the opportunities ore different newersas you know we dinta have these kind of or classes to go to but anyway I did take the opportunity when I was in my forties I gymnastic coc e the kid’s told me as yho go to an adolt class in belahustin So I dids I decided to go and then there was a great we coach hazel she was professional and she encouraged me as I tolder Id livt it flips she says whell youv got the fisike you get the inergy so she was so good it helpe me to visualise gininto this bullpit wer on a trampling so’me jump ing the trampling shes dis visualise Adolphin and it helpd she flip into the so your flitting into the bulpit what I feeling she was so good you know that encouragement and first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	best holiday Ive ever been on was in finland I went up to finland in february couple of year ago to see animy pals and e it was just the mist peaceful and relaxing oh it was marvelloss the mest relaxing holiday I’ve ever been on wo went curlin and it terms wat them brilliant at curlind I think of your scuatshes and the bons ay Eh Brillient at curlind with didl os o hikin bot difficult ty hite because of the sna of course eh and then we went ice fishing and I was certing in the middle of the spig frozeng lak minus twenty-seven degrees ice fishing and I’ve never been merte pacing my hol life
spontaneous-speech-sco-31055.mp3	A typical day for me is- so I watch the grandsons every noo and again and honestly they keep me fit So I get up every day and what a typical day for me is- I’m in a wee routine you know I get up I keep myself active you know I’m an organiser so I’m always on top of everything And then I’ll go and get the grandkids fae school or nursery and then I’ll go to the skateboard park and then I sometimes think I’m still twenty and I skateboard with them- gave myself concussion the last time I was there so I’m no doing that in a hurry And I go to the swing park with them and I run ab- y-you know it’s really lovely just to have the- the time to spend with your grandkids that there’s no pressure You’re there and you’re at ease you’re at peace So that’s my typical day	I Typical day for me is So I watched the grandsons Iveryding ron again and honestly they keep me fat So I got up everyday and mat a typical day for me is I minyw e rotin you know I got up I keep myself active you know I’m ar organiser So I’m always in to opa everything and eno going to get to grandcads for school or nosery and ena go at te scapeboard park and ana sometines think I’m sol tinto and a scapeboard we them gave myself congretuling the last time I was ther’s on mo doing that ny borry and I go at the sing park with them and a runabt  you know it’s really lovly just if the the time to spend with your grand cads tat there’s no pressure you’re there and you’re at east you’re at peace so that’s my typical day
spontaneous-speech-sco-31061.mp3	I like to try and save some money on things that are- like say for example eh heating’s very expensive the noo but I just feel I’ve got a big onesie I’ve got jogging troosers with fur inside Do you know that way I know it sounds crazy but I just feel- Also I think people go over the top buying too much I always say less is blessed so I’m very economical that way And I think a- again it’s because when you’ve been brought up with a big family you’ve had a big family you appreciate the small things in life so I’m quite good at saving	I like to try an t save some money on things that are like safe for example Eh heatin’s very expensive tin but I just feel I’ve got a big onse I’m get jogon tosins wa foresta do that way I know hat te sons crazy but I just feel also I think people go for the tolp biind to much I always say less is blessd so I’m very economical that way and I think you again its because when you’ve been brought up with a big family and you’ve had a big family you appreciate the small fings in life so I’m quite good at the safe
spontaneous-speech-sco-31069.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis prechus object e own is e ina my guitar’s it’s u as a guitar Ive want id since I was a wee boy Eh eh maybe for about twenty-five year or someony Ive wanted this guitar and e in  my pal’s bought it for is for my thertith party inaf my pal’s one about a money and he thought kae want I’m just going to bea that guitar for him and that’s what he did surprised is we it and I couldna believe my is Eh and if my hooste was bun and doing that’s the one thing I would run back and and get would be that guitar it’s beautiful it plays amazing and it’s goght a lot of centi mental value as well ‘cause my pal bought it for is I
spontaneous-speech-sco-31073.mp3	Worst technological advancement or piece of technology I would say is these daft smartwatches or smertwatches if you’re being funny Smartwatches that eh tell you how you’ve slept cause what a load of keech that is a load of keech and folk buy them and think its dead important to ken how you sleep and ken if you’re getting a good rest and a’ that well what- what do folk do with that information after that ken what I mean it tells you didn’t sleep well last night and then that reprogrammes folk’s minds and they think right well I’ve no slept well so I’ll be tired the day rather than just seeing how they actually feel for the day So smartwatches load of keech	What’s technological advancement or peeceof technology I would say as these dufd smart watches or smartwatchers ife you’r been funny smart watches that e tells you how you’ve slept ‘cause wat lo o kich that is a Lo do kih and folk ba them and no think o no it’s dead important to ken how you sleep and ken if you’re getting a good rest and a that Well What modo folk do with information after that comet a mean it tells you you didn to sleep well last night and then that re programms folk’s minds and no think right well ’ve no slep well so o’ll be tired the day rather than ju seeing how to actually feel for the day So smart watchers Lo d a kich
spontaneous-speech-sco-31076.mp3	One of my favourite books I loved was The Astonishing Powers of Emotions My doctor recommended it years ago and one of my daughters found it for me We couldnae get it but she got it on Amazon Once again thanks for the internet Anyway this book was priceless She says to me “the book’s for you mum and only you” ‘cause when I read a book it’s no aboot the person that I- that I’m putting up that’s wrote the book it’s aboot I get the person ‘cause they understand how I’m wired And The Astonishing Powers of Emotions it’s upstream come downstream and float your boat	onof my favourite books Ilofd was the astonishing powers of emotions my dochtor recommended it years ago and onof my doughter’s found it for ma we couldna get it wi s go rot on amazone once again fhanks wel en tin it anyway this book was placeless she says to me the books for you mum and o lo you ‘cause when I read ha book it’s no about the person that I’m putting up it’s wrote the book its about a get the person ‘cause they understand how I’m wild and the astonishing powers of emotions that’s upstream come downstream and flot your bot
spontaneous-speech-sco-31080.mp3	AI’s- what’s my thoughts on AI It’s a good ain ‘cause eh- it’s taking over the world and abody’s feared of it and I dinna think really there’s anything to be feared of Folk are like scared of haeing Alexa devices in their hoose and that ‘cause she’s aie listening well of course she’s aie listening but what’s anybody saying in their hoose that’s interesting enough for Mr Bezos and the rest of them to listen to and get your- what are you up to ken what I mean what’s folk up to that they think’s so interesting that Bezos or the rest of them are going to- are going to gie a hoot ken what I mean So AI that’s the way it’s going bring it on let’s do it if you cannae beat them join them eh	Eh ay’s What’s my thoughts on Aay it’s a good in cause e it’s tacking over the world and have these far do it I dina think theres anything really to be farte folk ar like skarto a heing aleci devices in their host ing that ‘cause she’s ay listning we of cours she’s ay listning but what’s anybody sayn in their host it’s intrested enough for myster basos in the rest of them to listen to and get your what you up to cume it mean what- what’s folk up to that they thinks so intresting that basos or the rest them are going to r going to ge you a hoot cume it mean So Ah ay that’s the way it’s going bring it on let’s day it if you can a bet them join them meh
spontaneous-speech-sco-31124.mp3	The job I’d really like to have where I’m at just now is- over all my experience over the years you know I’ve got so many skills but the main thing for me would be helping people mentally that cannot let go of things Like I’d be a declutterer expert put it that way ‘Cause I’ve always- I’ve always hated clutter I think it’s a statement of mind and I know people struggle with it and it can cause depression and different things but I would love to have a group- a team of people ‘cause I’m good at delegating to help them to help people that cannot um declutter They’ve just got clutter in their life	The job Id really like to have wery much is ne is overolm experience over the years you know I’ve got so many scows but the main thing for me would be helping people mentally that cannot let goo things like I bea declutterer expert purt it that way ‘cause I’ve always I’ve always hade clutter I think it’s a statement of mind and I kno people strucgl way and they can cause depression in different things but I would love to have a group a teamaf people ‘cause I’m good a delegating to help them to help people that can not em declur te’ve dis goot clatter in the life
spontaneous-speech-sco-31127.mp3	The skill I would maist like to learn would be just to be a mechanic that’s what I would like to d- to ken athing there is to do with cars athing there is to do with motors ‘cause I seem to aie just be spending millions of money millions and millions of money on my motor and eh there’s aie stuff going wrong with it and then you’ve got to book it tak it to the garage and then they charge you through the nose for a’ the work that needs done to it And I just think if I could do this myself I’d save millions of time and millions of money so that’s what I would like to- that’s the skill I would like is to- to ken athing that there is to ken aboot motors Basically be a mechanic	Skill e wod mis like to learn would be just to be a mecanic That’s what I would like to dit to ken ahind the res to day wee cars ahind the res to day we mot ors ‘cause I sit m y just be spending millions of money millions an millions of money on my motor Eh there’s ie stoff going rong with it and then you’ve got a booke in tackit to the garedge and then they charg ou through the nose for athe wort kins done it and I just think I wekodo this myself idsave millions of time an millions of money So that’s what I would like to eh that’s the skill I would like is to to ken ahind tit the res to ken a boot mot ors basically be a mecanic
spontaneous-speech-sco-31137.mp3	I’ve aie wanted to be retired eh this business of working does my nut in really I’m no interested I’ve not got drive like other folk do eh I jus- I used to spend a lot of time at my gran’s and I thought this is a braw life she’s got ken doesnae do much nips doon to the shops comes back watches Trisha if you’re old enough then you’ll ken what Trisha is watches Jeremy Kyle watches a bit of Countdown and that’s her makes her tea and that’s it simple life and I thought that would be braw ken just to take it easy so I’ve aie wanted to be retired and I cannae wait just aboot another thirty year and that’ll be me	Eve y wanted to be retired Eh Thi’s business o working does ma not ind really I’m no inrest e devno got drive like other fout de Eh I  used to spend a lot of time at my grands and thought this is a bra life she’s got kin deesnta day much sneps do in o the shops comes back watches trushe if you’re eld enoghing you’l km what trashe is watches Jeremy cil watches bit a count down and that’s har maxor te and that sits simpa life and I thought that would be bra kin just to taget easy so ey wanted to be retired and I cana wait e stid bit another thegty year and that ’ll be me
spontaneous-speech-sco-31142.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	my favourite films chicking run and hive you disagree with that and there’s somene ing with you ‘cause it’s quite clearly the best film in the world hive you asked me animate o chickins I mean what else what else could you ask for that’s just fantastic it’s artman that do it so kin them that they um walls and grom at and e it’s the struggle the strife and struggle it is chickins that are a cooped up and how they want to escape and and hve freedom and love their best lives and I just think it’s absolutely marveloss So eh that’s my favourite
