audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	Kmmmmmmm    aaiamm   a mmmmmmi
spontaneous-speech-rwm-57262.mp3	Guba kokowa na mwani abhuyambi bhakpa nanga bhatandiki sasula fizi ndia bhaniki ndiabho ka masukulu bhabhasumbi dhudhu ndiekina kandi bhakpa bhaliki ndabho ndia abhongili kimui	Km           m m mm mmmm mam m          aio
spontaneous-speech-rwm-57264.mp3	Bhaki takatakana bizibu bia nabho bhaki lwalaga ndyala njo kadi nadwali njo bhaki kabhaga	m a    mmmmo
spontaneous-speech-rwm-57265.mp3	Ka ngongwa mbili ndiasu kalibe bizibu na moti ndia bhakali na bhasika ndia bhakikoliliagaku nanga bhakali na bhasika kikilikaga imamoti ka sidha sidhana kandi na bhakali nabho bhakiyaga ka gulupu sa bisa na kwehoza	Ka a  a a   ammmamamimmmmmmmmiammi
spontaneous-speech-rwm-57266.mp3	Bhaniki ndibhasu egesabho sa asili kibhupesiage nsimo na mulingo nesi koliliagaku pesiana nguko ngenyabho na bhangbheku	m      mmmmmmm m mm i
spontaneous-speech-rwm-57267.mp3	Ndia akidhuwa muikili mabhonga abhuokanyia ndiabha abhuikilia ali zibe eti aibi bizibu ndiabho kandi atunge nesiyo nesi akitoka konyelabho ka bizibu ndiabho njo dumbi okana abhe bei sobhe sobhe saki nabho	K            m ia   a mi
spontaneous-speech-rwm-57269.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	m  mmmmmm    mi
spontaneous-speech-rwm-57270.mp3	Bhakoli ndibhakikolaga ka ka kima sabwomezi bizibu ndibhakyenaga ndia keteketa bhakpa bhakibikaga bhesiyabho nibhamadha na ndibhekina kidia bhakikoliliyaga mubazi ndibhakitugaga akibhaga ndia kamadhi na ndiakina namikia sente ndibhakibhupesiyaga kamadhi	Kma a  mm mam m am m am min aa a      aa   i
spontaneous-speech-rwm-57273.mp3	Bhakilikaga nabho imamoti kandi ali buzunanizibwa ndiabho yambako nanga bhakilikaga Imamoti	B      mmmmi
spontaneous-speech-rwm-57303.mp3	Nikiyaga ka ima nihumuleku dakika mamadha busumi ndiekina nikiyaga aa ka kinabilo nioge aa busumi ndiekina dhe nikidhetaga	m    a mmmmmmmn      mmmi
spontaneous-speech-rwm-57315.mp3	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	K    i     a  m  a mm  na        ai   mmi
spontaneous-speech-rwm-57321.mp3	Ndie nkikolaga nkiyaga ka tiko nibala ndie nkisobola hongelaibe niya ka katale na mikia sente ndiamo nisumba lieli ndie nkitoka bisaibe hongela muhendo ndia akitota dhakia emi na bhaniki ndibhamo	K       a m mmmmmmmmmamm a    ia  mmmi
spontaneous-speech-rwm-57353.mp3	dhakiabhle bizibu ndiasu makanga tongana akyetagua lika nikikibuduabe bangbeku ndibha bhakitoka hanulilasu na bhesu nikiki bhuhanulilya kizibe eti kiokania andulu bizibu ndia kigodilia inji inji injo ingililiasu sini	K  a  i     aii aaaaamam  mmm mm   a a   mi
spontaneous-speech-rwm-57361.mp3	Ka kweyambiya lieli ndia kudhedhi sini-sini osemelelu ziba eti osemelelu sukusa kindia okweyambilia kandi otungi libho magenenuka kandi owambili ka kikalo mabhonga andulu ozibe eti lieli injo kabidha akukudhedha kandi nawe oliye nosemelelu	K i ai a ai a     a   a  i   immm mama a i    i
spontaneous-speech-rwm-57367.mp3	Nesiyo ndia nkpa asemelelu okiliaku makulu kedha kima poni ndia aleukanio asemelelu abhe na nkia kalediyo nkia lediyo ndiaki akintoliaga ndiaka kona-na-kona poni kedha aiba kima poni ndia aleukanio ka nsi poni	K       ammmmmmmmmmn        i
spontaneous-speech-rwm-57373.mp3	Hhh ndiadhu bhakpa biabho bhakakozese nguwa ndia alibe sebhalisiyo ndia kateketa atembia ndia kebhali ekietagisibwa lika nolia kucajinga masnalaji buli ka kyalo poni kaliku	B    a aaammmm m mm mm   am  mio
spontaneous-speech-rwm-57374.mp3	Mbula ka dhaka tolo poni ndie kikolga nkiesaga ka inji nilika na bhaniki ndibhamo dumbi kiamba mikia lieli ndia ali ka inji dumbi kilia imamoti lindua mbula nasi	K  ia  aammma am mi
spontaneous-speech-rwm-57383.mp3	Humahuma kenge kutukembe subha ndabho ndyako ndyokuteketagha kolai ali teketa saabha kudhakiya ku saabha dhumbi yohoga keiso bhenjo ndibhali na ndabho ndyabho ki ndia bhakinyelaga bhateteka yeyambabhe bhanyela	K   a a   a aaammai m m m m m mm   a m     mmmmo
