audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	Mbulu ndie nkiguba ka tiko ndiamo ali mucele gbebhe konje bhitakuli na kokowa Ati ka sizoni kabika kikibalaga kiguba lieli ndia akibikisaga kasu sente sente injo andu ndia sa sasulilia bhaniki yabho ka sukulu injo bhesu kyepesieku bhesu poni bhuebale sini-sini	Mbolu ndie nguba ka tigo ndiamo ali mucele gbebhe konje bitakuli na kokoa ati ka sizoni ka bika kikibalaga keguba lieli ndie kisukisaga kasu sente sente injo andumbi akisasulia maniki yabho ka sukulu injo bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhesu poni bhes
spontaneous-speech-rwm-57262.mp3	Mbamba kindie kikiongiliaga lika nabhongi akietagisa kibhebe na libho na kakaka kilike nikikikomba naogusai buli nkpa mindia akiogiliagabe ontolie eti abhongosie kikalo injo abhe bhinjo	Mamba kindie kikiogiliaga lika nabhongi akietagisa kibhebe na libho na kakaka kedha nikikomba na ogisai kima injo abhi alike nabhongi buli nkpa mindia akiogiliaga koko ntoli eti abhongosi kikalo injo abhebe
spontaneous-speech-rwm-57264.mp3	Ndia kidhuwa bazongo babuhegesebhe ndia bgananibhe na ndwali sya kabhondo ali nti kabhondo ali ndwali ndia kali na mubazi toli bazongo bakisikiyaku ndobho endindi ati no kesi babuhegese keka mwamrmbe nkali batekete ba nkebhele kabale eti akibhala zeni akozesage kapila dumbi injo akibha dumbi akimuyamba ndulu	Ndiakidhuwa bhajongo bhabhuwegesebe ndia agbebe kabhondo ali ndwali ndiakanamubazi toli bhajongo bhakisikia kondili bhoye nindi hati no kisi bhabhuwegese kekame tentamuame mbhe nkali bhatika eti bhankebele kabale eti akibala zeni akizisage mikia kapela dumbi injo akibha dumbi akimuyamba dumbi
spontaneous-speech-rwm-57265.mp3	Baniki banikyekali ka kyalo ndyasu alibhe kima bhiyai ndyabhakifeluwaga kolai nanga bhakiyaga bha bga liki kebhakaduwembe mwakasi sa bga limi bhaya bhagodha ka group ndyakakisobola meisabho nandibhekina bhaka kibhuidaga ka sukulu injo andi bizizbu ndyabhakikolilyaga ku	Bhaniki bhenike kali ka kyalo ndiasu alibe kima biai ndia bhakifueliaga kolai nanga bhakiyaga bhagbhalemi kebha ka dhuembe muaka sa gbhalemi bhaya bhagodha ka gulupu ndia kakisobola meisabho nandi bhekina bhakakibhuisiaga ka sukulu injo andi bizibu ndia bhakikoliliagaku
spontaneous-speech-rwm-57266.mp3	Keisa kima ndia madhiku sukali Ali samugaso nanga sukali Ali zidhi kakozua nkpa akipaga ndwali ndiakali namubazi ndi bha giaga ku ngu sukali sukali Mubazi kalibhe	Keisa kima ndia madhiku sukali ali sa mugaso nanga sukali ka madha sini ka kozo nkpa akimpesiaga ndwali ndia ka na mubazi ndwali injo bhakigia sukali sukali njo mubazi bhakalibe ndia bhenki keise mulingo injo akibha nokumotisa bwomezi ndiako
spontaneous-speech-rwm-57267.mp3	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	Kikili na beni okwetagisa uogisage na libho mabho mabena kodhakia ogisai obise ome ogole na pasi kodhakia golai obise kulungi toli ololage dou moti keny dou bhali andulu endului ndie kina
spontaneous-speech-rwm-57269.mp3	Likilia zomba ka uganda kabhongi nanga akiluzaga mbinduka sa bwile bie eyo mani ka zika akisa bwile mazamba mbula kekasokembe nahabweki dumbi lieli na kima ndietolo ndie kikibala kakisobola enikanai kowasu	Likilya zomba mili ka Yuganda kabhongi nanga akiluzaga mpinduka sa bwile bheyo mani kaziga akisa bwile mazamba mbula kiekaso kembi dhabhoiki dumbi lieli na kima ndie kinili kibala ka kisobola ehh enikanai kowasu
spontaneous-speech-rwm-57270.mp3	Ka miaka tano ndia akibha na kibhika injo akietagisa emi nibhe ninilialiki ndabho mabhonga hoteli ninili nai nini bisi mikia sente ndia akibheisabe nisumbe matoka dumbi nibhelie menjo nemi nibhe na bwomezi mabhonga	Ka miaka tano ndia akibika njo akietagisa emi nibhe nili aliki ndabho mabhonga oteli ninai ninibisi mikia sente ndia kindia bheisiabe nisumbe motoka dumbi nibhe liye menjo nibhe na bwomezi mabhonga
spontaneous-speech-rwm-57273.mp3	Bhakpa ndibha kali na kima ka ngongwa mbili diasu kikibhuyamba bhiyo lika ekabho ka sidha sidhana sa kubheisabe bhagodhe gulupu andia akisobola bikisa kabho mbagana anisabho kima ndia akisobola yambabho ka tolo ndia akibika	Bhakpa ndia bhakali na kima ka ngongwa mbili ndiasu kikibhuyamba bhiyo likehekagabho ka sidha sidhana sa kubheisabe bhagodhe gulupu ndia kisobola bikisa kabho mbagana anisabho kima ndia akisobola yambabho ka tolo ndia akibika
spontaneous-speech-rwm-57303.mp3	Ali sa mugaso nkpa na amani na nkpa moti nanga bhobhalili bhakigbanana bhia nkpa moti nanga Bbaibuli nau akigia eti moti kobisabe moti ali nkpa moti nahabweki bhakpa bhakabha bhebhali bhakibha nkpa moti kandi ndia bhakikola bhakolilie imamoti ngenyaiabho	Ali sa mugaso nkpa na mani na nkpa moti nanga bhabhalilia bhakpa ndibha nali bhia nkpa moti nanga bhaibu ndia akiogaga eti moti bhusebe moti ali nkpa moti na bwiki bhakpa bhakabhabe bhali bhakibha nkpa moti kandi ndia bhakikolo bhakpa kolilai imamoti ngenyabho
