audio_file	reference	hypothesis
spontaneous-speech-ttj-59754.mp3	Abantu ab'omu kicweka kyange obu barora obaisiki rundi omwisiki ajwaire empale y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka ei twakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omuleme ogwaizire abaana nibajwara empali nk'abasaija kandi nibagenda omu muhanda omu noobasanga n'omu tauni abandi nibazitwara n'omu ma caaci mu makanisa okugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra kugarukayo kwegesa engeso yaitu ey'enzarwa ngu omwana owa Tooro rundi omwana ow'obwisiki ajwara ati ajwara ati	Abantu b'omu kicweka kyange obu barora abaisiki rundi omu isiki ajwaire empale y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka egitwakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omulembe ogwaizire abaana nibajwara empali nk'abasaija kandi nibagende o muhand omu abasanga n'omu tauni abandi nibazitwara n'omu macaaki mu makanisa genda kusaba kandi ekitali kirungi eki nikitwoleka nguntusemerera agarukayo kwegesa engeso yaitu ey'enzaarwa ng'omwana oatooro li omwana w'obwisiki ajwara ati ajwara ati
spontaneous-speech-ttj-59755.mp3	Ah omuzaire asemeriire kuba n&'obugabe n&'abaana be kandi obu naabafoora banywani be naabaha obwire naatungaga n&'omwanya naabaza nabo nabo naabahuliiriza ensonga zaabo nibaikarraaga nibaikiranganiza ha biki ebiraabaga bitahikire nukwe abaana basobole kubeetegereza abazaire n&'abazaire beetegereze abaana baabo abazaire kakuba otaha omwana obwire omwana ogu naagenda obwire naabwiha omu banywani be kandi nibamuha amagezi amabi	Aomuzaire asemeriire kuba n'obugabe n'abaana be kandi obu naabafoora banywanibe naabaha obwire naatungaga n'omwanya naabaza nabo nabo naabahuliiza ensonga zaabo niboikarraaga nibaikiranganiza ha biki ebirabaga bitahikire nukwo abaana basobole kubeetegereza abazaire naabazaire beetegereza abaana baabo    abazaire kakuba otaho omwana obwire omwana ogu naagenda obwire naabwiha mu banywanibe kandi nibamuha amagezi aibi
spontaneous-speech-ttj-59758.mp3	Abaana abanyakwina obulema ha mibiri yabo nitusobora kubakoonyera omu masomero omu mulingo nka gunu okwegesa abaana bataahi baabo okubakoonyera nambere barukuba balemerirwe kandi n'ebiikaro byabo ebi barukugenda kweyambiramu nibisemerra kuba by'embaganiza kuruga ha biikaro eby'abaana abanyakuli boomeezi nukwo nabo basobole kwegonza barole ngu bantu b'omugaso mu ihanga	Abaana abanyakwine obulema amibiri yaabo nitusobora okubakoonyera omu masomero omu mulingo nka gunu okwegesa abaana bataahi baabo okubakoonyera nambere barukuba balemeriirwe kandi n'ebiikaro byabo ebi barukugenda kweyambiramu nibisemerera kuba by'embaganiza kuruga ha biikaro eby'abaana abanyakuli b'oomeezi nukwo nabo basobore okwegonsa barole ngu bantu b'omugaso mu ihanga
spontaneous-speech-ttj-59761.mp3	Abeebembezi b'amadiini bakozere omulimo gwabo omu kicweka kyange okutebeza ekigambo kya Ruhanga n'abantu okurora nibahinduka okuruga ha mitwalize rundi emigendere embi ei babaire nibagyaamu ba kagaruka ha muramwa okuserra amaiso ga Mukama habwokuba nibatebeza mbagamba ekiro kiri haihi kuhika tweteekanize tutegule abantu nibalengaho okuhindura engeso zaabo nibagaruka h'okukuratira Mukama waabu mbaserra amaiso ga Mukama	Abeebembezi b'amadiini bakozire omulimo gwaabo omu kicweka kyange okutebeza ekigambo kya ruhanga n'abantu okurora nibahinduka okuruga ha mitwalize rundi emigendere embi ebabaire nibagyaamu bakagaruka ha muramwa okuserra amaiso ga bukama habwokuba nibatebeza mibagamba ekiro kiri haikuhika tweteekanize tutegule abantu nibalengeho okuhindura engeso zaabo nibagaruka okukuraatira mukama waabo baserra amaiso ga mukama
spontaneous-speech-ttj-59762.mp3	Obuleemeezi obu abalimi omu kicweka kyange obu barukutangatangana nunkwo okw'ebirimwa okugura sente ntaito noosanga omuntu akozeseze sente nyingi muno mu kulima kubyaara kwombera kugesa baitu hanyuma y'okutahya ebyokulya omu ka noosanga kilo y'ebicooli naagitunda siringi rusanju siringi bitaano kandi noosanga sente ze ezi tiirukurugamu noosanga omusuubuzi owaakumuguraho ekyokulya eki uwe nakigoba okukira owaanyakukirimire	Abulemeezi obu abalimi omu kicweka kyange obu barukutangatangana nukwo okw'ebirimwa okugura sente entaito noosanga omuntu akozesezeesente nyingi muno omu kulima kubyara kwombera ukugesa baitu hanyuma y'okutaaha ebyokulya omuka noosanga kiro y'ebicoli naagitunda siringi rusanju siringi bitaano kandi noosanga sentezi ezitiiru kurugamu noosanga omusuubuzi owo arukumuguraho ekyokulya eki huwo naakigoba okukira owanyakkirimiri
spontaneous-speech-ttj-59764.mp3	Omulingo ogutusobora kukora kuyamba abantu abataruku kwesobora omu kicweka kyaitu nukwo okuteeka enkurato abantu abo tukabeegesa ngu nibasobora kugenda omu bitebe eby'okwimukyangana nukwo nabo basobole kutunga kiki ekyokukora omuntu obu arukuba ataine sente naagenda mu ki mu kitebe ekitebe nikimukwatiraho naatunga akasente naatandikira ha ka bbiizinesi akataito ha kumalirra noosanga afookere muntu w'embaganiza	Amulingo ogu tusobora kukora kuyamba abantu abatarukuskwesobora omu kicweka kyaitu nukwo okuteeka enkurato abantu abo tukabeegesa ngo nibasobora kugenda omu bitebe eby'okwimucangana nukwo nabo basobole kutunga kiki eky'okukora muntu obu arukuba taine sente naagende muki mu kitebe ekitebe nikimukwatiraho naatunga aka sente naatandikira akabizinesi akataito ha kumalirra noosanga afookere muntu w'embaganisa
spontaneous-speech-ttj-59769.mp3	Omu kyaro kyange obu haali hatakagwireyo enjura okumara akaire akaraihire nkasobora okuba nyina amaizi gange agarukumara hakuba nkaba ndegeze amaizi nyahwire mu bupiira nyahwire mu tanka omu nju okurora ningakwata kurungi kumpikya ha kasumi ako nambere enjura eriba neeyongera kugwera hanyuma omu by'okulima oteekaniza kara amasinde gaawe ogaleka aho olindirra enjura h'erigwera nukwo osoble kubyara ebirimwa b	Amu kyaro kyange obu aali hatakagwireo enjura okumara akaire akaraihi nkasobora okuba nyine amaizi gange agarukumara hakuba nkabandiegeza amaizi nyahwire mu bipiira nyahwire mu tanka omunju okurora ningakwata kurungi kumpikya hakasumya ako nambere enjura eri baneeyongera kugwera hanyuma omu by'okulima uteekaniza kara amasinde gaawe ogalekaaho olindirra enjura ha erigwera nukwo osobole kubyara ebirimuabi
spontaneous-speech-ttj-59776.mp3	Abakyara nabo baine kwetaba mu by'endema omu ihanga lya Uganda habwokuba omwebembezi omukazi n'omwebembezi omusaija boona nibasobora kukora ekirukusisana nikyo okurorra na president waitu wa Uganda nakira muno kwebembeza omukyara na habw'eki nikyo nibasemerra kugendera mu bwebembezi	Abakyara nabo baine kwetaba mu byendema omu ihanga lya Uganda habwokuba omwebembezi omukazi n'omwebembezi omusaija boona nibasobora kukora ekirukusane niky'okurorra na purezidenti waitu wa Uganda naakira muno okwebembeza omu kyara nahabweki nikyo nibasemerra okugendera mu bwebembezi
spontaneous-speech-ttj-59785.mp3	Omu kulima nyeyambisa enfuka nka butoosa ezi tukozesa n&'okukozesa ebikozesa ebya buli kiroo kusika ebinyansi n&'okukozesa ebisalizo obu okuba olimire ebitooke kurora noobirolerra kurungi n&'ekipanga okusalirra obu okuba oinee ekipanga kyawe nookikozesa wenka habwokuba endwaire y&'ekihuka kikaija kihotoka erukusiisa ebitooke	Amu kulima neeyambisa enfuka ngabutoosa ezitukozesa n'okukozesa ebikozesa ebyabulikiro okusika ebinyansi n'okukozesa ebisalizo obwokuba olimire ebitooke kurora n'obirolerra kurungi n'ekipanga okusalirra obwokuba ineekipanga kyawe n'okikozesa wenka habwokuba endwere ey'ekihuka kikaija ekihotoka erukusiisa ebitooke
spontaneous-speech-ttj-59788.mp3	Engeso y&'okutamu abantu n&'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooleza hamu nk&'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky&'okukoora kweyuna abantu abakuru n&'ebi bakukugambira	Angeso y'okutamu abantu n'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooreza hamu nk'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky'okukora kweyuna abantu abakuru nibakkugambira
