audio_file	reference	hypothesis
spontaneous-speech-ukv-31397.mp3	kenda na tinda ŋutu' koŋon ama nagon koŋon na nagon ŋutu' aje pu na ŋutu' ŋaŋarakindi jur lo yi parik yi kulya ti kelen ŋutu bubulö tukurukindö koko kulya ti kelan	kenda na tinda ŋutu koŋon a ma na gon koŋon na gon ŋutu a jo pu na ŋutu ŋarakindi jur lo ka parik i kuya ti kelan ŋutu bubulo tukurukindyo koko kulya ti kelan
spontaneous-speech-ukv-31402.mp3	kenda na a ŋarakinda mede niyo' na yi diniki' na ŋariyesi' kaŋ gboke ni nagoŋ to'durönikin jur a tikinda ŋutuu kulo kuwe gboke ni a den lilija na ŋo' na 'but ko naron ko kikolin kade kade' logoŋ ŋutu rugini kulya yi gboke lwölwöŋ mörö	kenda na a ŋarakinda medeniyo na yi diniki na gayeresi kaŋ gbokeni nagon to'durönikin jur a tikinda ŋutu kulo kwe gbokeni a den dilija na ŋo na'but ko naron ko kikolin ka'de kade logon ŋutu rugini kulya yi gboke lölöŋ mörö
spontaneous-speech-ukv-31412.mp3	banjajin na 'di'dik na nyöee yi tuwo'yo'yo' ŋarakinda wate ko gurusutöt nagoŋ koko suluji tujar nase ko yeyeesi' na lolorok nagoŋ koko to'durjiri tujar nase na a koko gbe'de gboŋ ko liweesi' gbeŋge wate a koko nyököddi' ribe	panjajin na'di 'dik na nyöye i tuŋo yo yo ŋarakinda wate ko gurustat nagon koko suluji tujar nase ko yeyesi na ko lorok nagon koko to'durjiri tujar nase no a koko gwe'de gboŋ kata ko liwesi ko'börik beŋge wate a koko nyöködi ribe
spontaneous-speech-ukv-31421.mp3	ŋojik nawate kune a pujö yoyoŋesi i kulya ti konda na kitajin jore lukata na 'baŋ a tindi koko bgoŋ ko diŋit na'dit i kulyabti kenda ama kine kitaesi jore nagon ko ko kokon kine a tiki i ŋara ko ŋojik luwalian	ŋojik na wate kune a pujo byo yoŋesi i kulya ti konda na kitajin jore i lukata na gbaŋ a tindi ko ko gboŋ kodiŋin na'dit i kulya ti kenda ama kine kiteesi jore na gon ko kokokon kine a tiki i ŋara ko ŋojik luwaliyan
spontaneous-speech-ukv-31446.mp3	'bulit na kenda tikinda keriyat kaŋ ti mede kulo i puputur kobgoŋ kenda na tikinda ŋutu gele geleŋ dende wurjö ko kenakinda na 'borik ama ŋutu lo kenda lo bge ko pusok na wurjö na keri lose lo mede a nyakwerat katumalu ko puji	bulit na kenda na tikinda keriat kaŋ ti mede kulo e puputuru kogboŋ kenda na tikinda ŋutu gele geleŋ de neden wurjo ko kena kinda na 'börik ama ŋutu lo kenda lo gbe ko pusök na wurjo na keri lose lo mede i anyakweret katu ma luko puji
spontaneous-speech-ukv-31448.mp3	ŋo narok nagoŋ ŋutú pupu i ŋarju na torob́o gboso lelekesi kune a pujä na reto katekate logoŋ ŋutú lo tokitaju kilo toro'bo kulo gboŋ ko se ret gbeŋe so'bi ŋutú weweja pundä i 'biyet na ŋutú lo gboŋ ko i lo ret	ŋo narok nagon ŋutu upupuyi ŋarju na toro'bo boso leleŋesi kune a pujö na ritu kade kade logon ŋutu lo tokitaju kilo toro'bo ku logboŋ kose rit beŋge so'bi ŋutu eweje punde 'biyet na ŋutu logboŋ koyi lu rit
spontaneous-speech-ukv-31449.mp3	gboke liyaŋ lo ŋarakinda ŋojik ko kukuwesi' tinda na töyili yi kenda ko midijin kase kune yi tinda na ŋojik lo kekenda kulo diŋit nogoŋ koko kendiri bukan kase ko ŋarakinda na ŋojik ko ŋo' kase ti sukulu lo 'de'dekurikin gboso bukan galaman	gboke lieŋ lo ŋarakinda ŋojik ko kukuwesi i tinda na töyili kenda ko midijin kase kune i tinda na ŋojik lokekenda kulo diŋit na gon ko kendiri bukan kase ko ŋarakinda na ŋojik ko ŋo kase ti suukulu lo'da 'dekurikin gböse bukan galaman
spontaneous-speech-ukv-31460.mp3	ŋojik lo'di'dik kulo bibiryö a koko konye' lalaju könin a koko nyesi' ŋo' lo nyönyöi ko ilo könin logoŋ a lut kilo a tikindi' kilo kuru yi yeŋaddu yi moyit di wulek yi ŋojik lo'di'dik nye na jowunda ret lo 'bulötö	ŋojik lo'di'dik kulobi birö a koko konye lalajukönin a koko diesi ŋo lo nyenyeyi ko kilokönin lokon na lut kulo a tikindi kilo kuru yi yeŋadu yi moi di wöleki ŋojik lo'di'dik nyina jonda ret lo'bulutö
spontaneous-speech-ukv-31479.mp3	kenda a lwogu i jonda na moret ko toyiŋakin kayaŋ i gboke ni kogboŋ ŋutu lo kenda kulo deneden ŋo na'but ko ŋo naron a koko 'dok gbe kata ko yeiyesi ti ponda pirit nageleŋ i gboŋ ko petesi na'but na to'duröni jur ko gboke lose lo	kenda na a logu i jonda na moret ko toyiŋa kin ka ya ŋi gbokeni kogboŋ ŋutu lokenda kulo deneden ŋo na 'but ko ŋo naron a ku ko'dok begboŋ kata koyeyesi i pondo pirin nageleŋi petunda na petesi na 'but na tu'durönikin jur kode gboke loselo
spontaneous-speech-ukv-31508.mp3	a kayuŋwö kuwe kulo kekenakinda ŋojik 'bulit na kenda na ko a nyo ko tojuwesi' nagon kule' ŋutuu logon ake kenda ko gboŋ dinyo tomurek kayuŋök kulo e ŋo ti sukulu logon ŋojik kulo mimindi ti koko galaki galakin ŋo gboŋge bukan	a kayu ŋa kuwe kulo kekena kinda ŋojik 'bulit na kenda na ko anyo ko tojuwesi nagon 'do kule ŋutu logon na ke kenda kogboŋ dinyo to more kayu ŋa kulo e ŋo' ti sukulu logon ŋoji kulo mi mindi ti ko ko gala ki galaken ŋo gbeŋge bukan
