audio_file	reference	hypothesis
spontaneous-speech-pne-15186.mp3	Keh neh ngan kelunan yah tuai tong daleh amik tuai mapun amik ponan setu'ek ireh idun ireh kinak ireh orang putih ireh ineuk pegosak pilipen semua kelunan juk labuh ireh tuai ngan amik sete'uk keh	Kainan kelunan eh tuai tong daleh amik tong mapun amik Ponan sitouk ireh idun ireh kinak ireh orang putih ireh inouk kik masak Pilipin semua kelunan eh jin daleh juk la pun ireh tuai ngan amik sitouk
spontaneous-speech-pne-15191.mp3	Owk pun suket pun tosog nak ireh nouk ireh jau ireh tamen amik ngan amik sau tentang kayau tong jah adui ireh padui ireh kelunan mukun sau Jah akouk yeng ingat eh konak akouk juk barak eh kelak kerk...konak piak kik juk tosog eh kelak ngan ireh anag ngan ireh kelunan kik Ineh tuwerk kojam kik akouk ingat pun tamen tinen tosog eh keh ngan kik sau	Owk pun suket pun tosog nak ireh nouk ireh jau ireh tamen amik-amik sau tong tang kayau tong jah adui ireh padui ireh kelunan mukun sau jah akouk yeng ingat eh konak akouk juk barak eh kolak konak piak kik juk tosog eh kolak ngan ireh anag ireh kelunan kik ineh tue kojam kik akouk ingat pun tamen tinen tosog eh keh ngan kik sau
spontaneous-speech-pne-15193.mp3	Owk yeng akouk mojam barak konak konak dalem masalah konak itouk dalem piak itouk nak konak konak peh ireh tinen tamen amik ukun amik sau tuwerk mojam lobih jin akouk	Owk yeng akouk mojam barak konak konak dalem masalah konak itouk dalem piak itouk Nak konak konak peh ireh tinen tamen amik ukun amik sau tue mojam lobih jin akouk
spontaneous-speech-pne-15197.mp3	Dalem kojam kik dan konak ireh idun ireh kinak tuai lak daleh amik ireh pakey pasport ireh ayuk erei surat permit Dan amik Ponan kurang lobih eh keh bi kek amik ayuk ineh Jah jah surat jin ukun amik jau amik konak tog ketua kampung Ineh dalem kojam kik	Dalem kojam kik ineh konak ireh idun ireh kinak tuwai lak daleh amik ireh pakey pasport ireh ayuk surat permit dan amik ponan kurang lebih eh kebi ke amik ayuk ineh jah surat jin ukun amik jau amik konep tong ketua kampung ineh dalem kojam kik
spontaneous-speech-pne-15200.mp3	Akeuk pongah maneuk beg pongah maneuk bukui Bukan naneuk kik tinen kik maneuk Akeuk suma manyam Keh kek borat keh kek taleik beg ineh abin vey beg vey bukui ineh pongah nanyam kik pongah neuk kik	Akouk pongah manouk beg pongah manouk bukui maka nanouk kik tinen kik manouk akouk sumah manyam keh kek borat keh kek talik beg ineh abin vei beg vei bukui ineh pongah nanyam kik pongah nouk kik
spontaneous-speech-pne-15202.mp3	Akuek pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk ineuk Jah yah boken konak tok solar ineh semua Yah ineh bii pongah ayuk kik	Akouk pokeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk spekau ayuk inouk jah eh boken petog sola ineh semu- eh ineh bi pongah ayuk kik
spontaneous-speech-pne-15202.mp3	Akouk pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk inouk jah eh boken Konak tog solar ineh semua Ineh bi pongah ayuk kik	Akouk pokeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk spekau ayuk inouk jah eh boken petog sola ineh semu- eh ineh bi pongah ayuk kik
spontaneous-speech-pne-15207.mp3	Kelunan eh koluk tan kik tong tv Siti Nurhaliza Yeng pun yah boken yeng pun yah mokeh jin ineh Jah yah tue koluk tan kik Nak pun peh jah keluak yeng akouk mojam ngaran neh	kelunan yah koluk tan kik tong tv Siti Nurhaliza yeng pun yah boken yeng pun yah mokej ineh jah yah tue koluk tan kik nak pun pe jah keluak yah akouk mojam laran neh
spontaneous-speech-pne-15211.mp3	Seritak koluek tan kik seritak gangter malaysia irei ineh koluk tan kik koluek naek pah avik kik pun seritak pegau kolak ineh jul tan kik avik pah-pah lomah pak avik akuek konak kek koluk kek piak puas juk nat ireh mau kik nat	Seritak koluk tan kik seritak gangster Malaysia erei ineh koluk tan kik Keluak konak nat pah avik bi avik pun seritak ineh musit pengawu kolak ineh juk tan kik pah komah Pah avik akouk konak kerk konep kerk puas menat edah ineh baruk kerk monat
spontaneous-speech-pne-15218.mp3	Yah koluk tan kik tong lagu um Baby Shima rawah Siti Nurhaliza Tajak rawah ineh koluk tan kik tong lagu Jin piak jiak avik menat rawah jiak Ineh ayuk kik koluk	Yah koluk tan kik tong lagu Baby Sima rawah Siti Nurhaliza Tajak rawah ineh koluk tan kik tong lagu Uji piak jiak Abin menat rawah jiak Ineh ayuk kik koluk
spontaneous-speech-pne-15222.mp3	Akouk lobih koluk piak melayu rawah piak inggeris sebab- dekuk neh piak- duah duah piak itouk ineh koluk akouk mauk koluk akouk berajan Kerana piak itouk ayuk amik pani ngan kat kelunan yah tuai jin daleh boken Avik peh yah tong daleh kik sedirik konak tog bahasa melayu Malaysia Ineh dekuk kik koluk bahasa duah itouk	Akouk lobih koluk piak Melayu rawah piak Inggeris sebab dekuk neh piak duah duah piak itouk ineh koluk akouk mauk koluk akouk berajan Karna piak itouk ayuk amik pani ngan kat kelunan yah tuai jin daleh boken Avik piak itouk daleh kik sedirik konak tog Bahasa Melayu Malaysia Ineh dekuk kik koluk Bahasa duah itouk
spontaneous-speech-pne-15223.mp3	Owk yeng- kalau ineh yeng akouk mojam barak eh Konak piak kek sap piak itouk Akouk sumak sap yah eh kojam kik sap kojam kik barak tue Ineh kojam kik peroti akouk barak Yah itouk mani map yeng akouk peroti eh	Owk yah kalau ineh yeng akouk mojam barak eh konak peh kek sap yah itouk akouk sumak sap yah eh kojam kik sau kojam kik barak tuek ineh eh kojam kik kelonti awu barak yah itouk manouk mauk yeng akouk peroti eh
spontaneous-speech-pne-15226.mp3	Akouk kira'k yeng yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh mipe eh menyuk eh tai sekulah perajin eh sekulah berajan ineh baruwk neh mojam ineh baruwk neh rajin yeng eh jah barang lobuk	Akouk kirak yeng- yeng kat barang lobuk sukat manouk kelunan bawai sekulah tetap eh pun jin tinen tamen neh eh miper eh menyuk eh tai sekulah berajin tai sekulah berajan ineh baruk neh mojam ineh baruk neh rajin yeng eh jah barang lobuk
spontaneous-speech-pne-15230.mp3	Yeng niah peh pun neh pun peh tv pun ineuk ineuk barang lobuk eh penolek inuek dukuk barang lobuk dukuk neh penolek kalau yeng keroja yeng manuek adui tok bet bukui borat ayuk oleuk pejuan ayuk juk alek barang ineh ineuk guns barang ineh dan neh yeng manuek ngan borat ngan bukui ngan beg	Yeng niah peh pun ijin mopuk pun tv pun... Inouk inouk lah barang lobuk eh penolek Inouk dekuk barang lobuk itouk eh molek dekuk neh penolek Kalau yeng keroja yeng manouk adui konak towk beg bukui borat ayuk pejuan ayuk jale barang ineh Inouk guner barang ineh dan neh yeng manouk ngan borat ngan bukui ngan beg
