audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	Aa  love o bein a profesonal janas I used to e when I was soung to flaps but anart weal’s bit mo you know profesional and yers a go with the oportunites o dfrinee you know we dinnae have these kind of alasies to go to ut anyway I di take the ouportunity whn I was in my fortise a jimnastic cout hf the kids tolld me aI shuld go to an auo clas in bala hostn So I did ecided to go and then the was a great we coth hso she was profeasional and she ncouraged me Is- I told har I’d love to te flap she sas we you’ve got the fasic you’e got the nerg so she was so good at helpet me to fisiaise gt into thiesbalpat with on a tramplin so I’m jumkin the tramplin she’s disfeialise adolfin and e help sho flap in o the- so  fluting into the bolpat what I feelin she was so god you know that encouragement h first I was all over the polace Aanyway so that was great to get that oportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday I’ve ever been on was in finland I went up to finland in feburary coupleof year ago to see a  my pals and eh It was just the mist peaceful and relacian oh Iit was marveolos the mist relactin holaday I’ve ever been on we went courlin and it turns ot n brilliant at courlin I think if your shua ashes in the bons ai Eh broliant at corlin wih dalas a higken bougt dificult af higt because of the sna of cours eh an then we went ice fishing and I was siting in the midl of this bigfrosen lake minus twentyseven degrees ice fishing and I’ve never been ma  pain my o life
spontaneous-speech-sco-31055.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	Wone ofthe stresfho things a with the experience and I work plase n i my jobs sco was ho people speake to echother you know the stress that people would fel because heha this feare f like a bos coming toworse them or people in a differnit pousition they oud just croumble and thei- I would be stress for thes young people so I would go an chalonge them Id think it was un necessary I fo don’t treat sombody ho you don’t like treat yourself o ainul iId ’d always have that corage and places a wark where I just fo no nobody’s treaetind somebeodiy like that and I could not talerat i so but it was tressful because ou were taking resst as well
spontaneous-speech-sco-31061.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis prechious oubjec h own as eh ino my gitars it’s um Iis ae gitar I ’ve onted since I was a wee boy Eh ah maybe for abo twentyfive year or so man ’e wanted this gitar and uh in my pal’s bog- foras for my thirt irta in my pals I on abo o mone and he thought ke  ’m jus’s gona biy that gitar for m an that’s what he did surprised as wee and I couldnae belive my as eh and if my hos was born in doing tht’s the on thing I wold roun back in an t wold be that gitar Ia’s beautiful it plays amaszing insco a lot of say n oemental valu as wewl s my pal bog foas a
spontaneous-speech-sco-31069.mp3	I’m proud of my weans See my kids they have done theirself proud and me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no been easy Especially the education that they got Um they were up against a lot of different classes in life And to fit in and to pr-pretend that you’re this person that you’re no And they had to face that in life and that wasnae easy so I could not be more prouder than what I put my kids into and they taken it on board and um they have achieved so much	I’m prod of my wins Ss my cus they have dono say pra n me prod They have wrised up of so many chilenges in life and onestly it bos my mind because it’s no ben easy especally the education that they gogt u they were up against a lot of diferent clases in life and to fin and to prpreteaend that you’re ths person that you’re now and they had to faa in life and that was no esy so I could not be mor proudoer than what I put my cis into and they takn on boord andeh they have acheved so much
spontaneous-speech-sco-31073.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	Ilo- I wakt in this hotel eusgco and onestly it was amazing It as my people person and it was so lafe gioven  me Eanyway the thing I really love ti but it was you know youus seen people hapy you eet in f goods but  the the other saied wat I dinnae like was people that you warkd with yo the emploees som ofthem had these tigtls right and they woild abus it it was like powr trappers and I wod al wi child thingse I wold lok at for the young and he unte dog and that’s the thing I really daid not like they we people for tha co treat people because they had this power ‘cause I sa  ’m stats to the tal of the job
spontaneous-speech-sco-31076.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	My favourite foud is munstras o you dinna ck at but what you do is you tak yourself into the shop get a bug anyf thye bags it sas eh mor a shar on it wel it’s meair for me to stuf in my pous ‘cause I’lnow be shure that we ned theou so get a big bag of them eh get a twa pinter of bl milk ‘cause you ne o wah doan atha f choclet with milk qse mlk ’s go be cs mlk and eh just gt nice incom fae say ou watching the t whatever it is and just start batter in your pus we a’ thes muonstrals and eh doning the milk basicaly So it’s nae a cokin but just maximum enjoiment
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	May favourite film’s checken roun and Iif ou dis agre with that then her’soeing nong with ou ‘cause it’s quikte clar  the best film nth world hv you asked me aamat of checkens I mean what else what eals could ou ask for that’s just fantastice it’s artman that do it so kn them that they um walis an groma and uh it’s the strugl the strif and strugl of thes checkens that are a’ coped up and how they want to escap and and ho fredom and love their best lifes and I just think it’s absolutely marveolous So hah ht’s my favourie
spontaneous-speech-sco-31124.mp3	Best- that’s a good question how do I try and save money the best way for me to try and save money is to no go to Starbucks so my pal got us recently well last year a couple of year ago maybe into coffee I’ve never bothered aboot coffee I would just waken up in the morning and that’d be me didnae need a kick of energy or nothing like that he got us into the iced coffee and eh that’s been me hooked absolutely hooked and so it was Starbucks is what he introduced to us and that’s where I’ve been going and that’s where I’ve been spending a’ my money So to save millions of pounds I just dinna bother going to Starbucks anymair	Best that’s a good question how do I tryi an save money the best way for me o try and save money is to no go to star boks So my pal got is recently well last year a couplof yer ago maybe into cofe Ih’venever bothed aboo of cofe I wouls just waken up inthe morning an a b me didna need e a kick of  energy or othng like ha he got s in of the is cofe and eh that’s wn me hokd absolutely hokd and so I o starbos is what on justto ts and that’s wh I’ve been going an that’s whi Ive ben spending a’ my money so Ia save milions of pounds I just tha bother gointo star bogs anymai
spontaneous-speech-sco-31127.mp3	One thing I wish I’d done that I’ve no done yet but I definitely will do is eh go to Prince’s hoose Prince is my favourite singer and his hoose is in Minnesota in America and eh you could- you could bide in- he had the film Purple Rain and you could bide in the hoose that was in Purple Rain and then go to his actual hoose where he bed and eh you get a big aboot three or four hour tour eh which would be immense and then just be fully immersed in a’ the Prince stuff for the day that would be- that would be dreamboats	Won thing I wish I don that I’ve no don you but I definitely we do is ah go o princes hos prine is my favourite singr and his hoses in minasoa in america and eh you kould- you kcold bit oan - e had the film porpal rain and you could bit an the hosethit was in porpal ran and then go hais actual hos w h baid and eh you get big  thre or four aou tor euh whach would be imense and then just be fully mased in a the pin stuf of thae day  I would be- Ia It would be dreamboars
