audio_file	reference	hypothesis
spontaneous-speech-ttj-59754.mp3	Abantu ab'omu kicweka kyange obu barora obaisiki rundi omwisiki ajwaire empale y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka ei twakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omuleme ogwaizire abaana nibajwara empali nk'abasaija kandi nibagenda omu muhanda omu noobasanga n'omu tauni abandi nibazitwara n'omu ma caaci mu makanisa okugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra kugarukayo kwegesa engeso yaitu ey'enzarwa ngu omwana owa Tooro rundi omwana ow'obwisiki ajwara ati ajwara ati	Oabantu bumu kiwekakange ob barora basiki rundi omwsiki ajware empali abasaija hati kikaba kijwaro kankablikirbaitukara ituemyaka ituakuliremu tali ntumanya ngwabakazibajwali tetei kandibajwara neskati baituhati omulembo ogwizire abana nibajwali empali nkaabasaija kandi nibagendi muhando mabasanga ntauni abandi nibawara nmmacai makanisa genda kusaba kandi kitali kirungi ekinkitwolekanunisemera garukayo kwegesa engeso yaito yenzarwa gw mwana atoro omwana buobwsiki ajwaratiajwarai
spontaneous-speech-ttj-59755.mp3	Ah omuzaire asemeriire kuba n&'obugabe n&'abaana be kandi obu naabafoora banywani be naabaha obwire naatungaga n&'omwanya naabaza nabo nabo naabahuliiriza ensonga zaabo nibaikarraaga nibaikiranganiza ha biki ebiraabaga bitahikire nukwe abaana basobole kubeetegereza abazaire n&'abazaire beetegereze abaana baabo abazaire kakuba otaha omwana obwire omwana ogu naagenda obwire naabwiha omu banywani be kandi nibamuha amagezi amabi	E omuzare asemerire kuba nobugabe naabaanabe kandi obu nabafora banywanibe naabaho bwre naatungaga nomwanya naabaza nabo nabo naabahulize ensongazaabo nibikarraga nebikeranganiza habiki berabaga bitahikire nukwe abaana basobole kubeetegereza abazare naabazare beetegereza abaanabaab abazare akuba otaho omwano obwire omwano ounaagendo obwire naabwiha banywanibe kaninbamuhamageziaire
spontaneous-speech-ttj-59758.mp3	Abaana abanyakwina obulema ha mibiri yabo nitusobora kubakoonyera omu masomero omu mulingo nka gunu okwegesa abaana bataahi baabo okubakoonyera nambere barukuba balemerirwe kandi n'ebiikaro byabo ebi barukugenda kweyambiramu nibisemerra kuba by'embaganiza kuruga ha biikaro eby'abaana abanyakuli boomeezi nukwo nabo basobole kwegonza barole ngu bantu b'omugaso mu ihanga	Obaana abanyakwineoblema amibiriyabonitusobura kubakwonyera om masomeroommulingonkau okwegesa abaana batahibaao okuba kwonyera namberebarukuba balimeriro kandinibikaro obyabo ebi barukugenda kweyambiramo nibisemerra kubabyaembaganiza kruga habikaro ebiabaana abanyakulibomesi nukwnabo abasoboe okwegwnsa barweli angubantu bomugasomuhag
spontaneous-speech-ttj-59761.mp3	Abeebembezi b'amadiini bakozere omulimo gwabo omu kicweka kyange okutebeza ekigambo kya Ruhanga n'abantu okurora nibahinduka okuruga ha mitwalize rundi emigendere embi ei babaire nibagyaamu ba kagaruka ha muramwa okuserra amaiso ga Mukama habwokuba nibatebeza mbagamba ekiro kiri haihi kuhika tweteekanize tutegule abantu nibalengaho okuhindura engeso zaabo nibagaruka h'okukuratira Mukama waabu mbaserra amaiso ga Mukama	Obebe mbese bamadini bakosero mulimu gwabo mkiweka kange okutebeza ekigambo kiarohanga naabantu okurora nibahinduka okuruga hamitwalize runi mgendere embibabaire nibayamu baka garuka hamrama okuserra amaiso garukamhabwokuba nibatebeza mbagamba ekiro kirihaikhika tweteekanize tutiagule abantu nibalenga hkinulya ngesozaabo nibagaruka okuratira mukamawabo serra amaiso gamukamu
spontaneous-speech-ttj-59762.mp3	Obuleemeezi obu abalimi omu kicweka kyange obu barukutangatangana nunkwo okw'ebirimwa okugura sente ntaito noosanga omuntu akozeseze sente nyingi muno mu kulima kubyaara kwombera kugesa baitu hanyuma y'okutahya ebyokulya omu ka noosanga kilo y'ebicooli naagitunda siringi rusanju siringi bitaano kandi noosanga sente ze ezi tiirukurugamu noosanga omusuubuzi owaakumuguraho ekyokulya eki uwe nakigoba okukira owaanyakukirimire	Oblemezi ob abalimi mkiwekakyangi ob barukutangatangana nukw okwebrimwa okugurasente ntaito nosango omuntuakoziisesente enyingi muno mukulima kubyara kwmbera kugesa baito animayokutasa ebokuli omuka nosanga kiloyebisoli naakitunda seriengi rusanju seriengi bitaano kandi nosanga sentezi etirukurugamu nosango subuzi obarukumuguraheki okulieki uwa naakigoba okukira oanyakirimiri
spontaneous-speech-ttj-59764.mp3	Omulingo ogutusobora kukora kuyamba abantu abataruku kwesobora omu kicweka kyaitu nukwo okuteeka enkurato abantu abo tukabeegesa ngu nibasobora kugenda omu bitebe eby'okwimukyangana nukwo nabo basobole kutunga kiki ekyokukora omuntu obu arukuba ataine sente naagenda mu ki mu kitebe ekitebe nikimukwatiraho naatunga akasente naatandikira ha ka bbiizinesi akataito ha kumalirra noosanga afookere muntu w'embaganiza	Omuligo ogutusobora kukora kyamba abanto abaarukushesobora omikiweka yaitu nukwo okuteka ynkurato abanto abotukabegesa angunobasobora gendo mbitebe ebyokkyangana nukwo nabo basobole kutunga kikiekokukora munto warukubatainesente naagendemukimikitebe ekitebe niki mukwateraho natunga akasente naatanikira akabizineseakataito hakumalirra nosanga afkere muntu embaganiza
spontaneous-speech-ttj-59769.mp3	Omu kyaro kyange obu haali hatakagwireyo enjura okumara akaire akaraihire nkasobora okuba nyina amaizi gange agarukumara hakuba nkaba ndegeze amaizi nyahwire mu bupiira nyahwire mu tanka omu nju okurora ningakwata kurungi kumpikya ha kasumi ako nambere enjura eriba neeyongera kugwera hanyuma omu by'okulima oteekaniza kara amasinde gaawe ogaleka aho olindirra enjura h'erigwera nukwo osoble kubyara ebirimwa b	Omkyarukyange obale hatakagwire enjura okumara akara karinkasobora okuba nynaamaiziganga garukumara akuba nkabande geza amaizi nyahwire mpra enyawire mtanka munju okurora ninkakwatakurungi kikya hakasumyakwanaamberi enjurirebanyngera kugwera hanyuma ombyoklima teekanizakaramasindegawe ogalekahou oli ir enjura herigwera mukosoboli kubyare biimwabi
spontaneous-speech-ttj-59776.mp3	Abakyara nabo baine kwetaba mu by'endema omu ihanga lya Uganda habwokuba omwebembezi omukazi n'omwebembezi omusaija boona nibasobora kukora ekirukusisana nikyo okurorra na president waitu wa Uganda nakira muno kwebembeza omukyara na habw'eki nikyo nibasemerra kugendera mu bwebembezi	Ebaukyara nabo bainokwetaba omu biendema omihanga lya ganda habwokuba omwebeembezi omukazi nomwebeembezi omusaija bwona nibasobora kukura ekirukossan nikyokurorra na prezidentaitu wa ganda naakiramuno okwebeembeza omkyara nahabweki nikyo nibasemirrakugendera mu bwebeembezi
spontaneous-speech-ttj-59785.mp3	Omu kulima nyeyambisa enfuka nka butoosa ezi tukozesa n&'okukozesa ebikozesa ebya buli kiroo kusika ebinyansi n&'okukozesa ebisalizo obu okuba olimire ebitooke kurora noobirolerra kurungi n&'ekipanga okusalirra obu okuba oinee ekipanga kyawe nookikozesa wenka habwokuba endwaire y&'ekihuka kikaija kihotoka erukusiisa ebitooke	Omukulima nyyambisa enfuka nkabutosaeitukozesa nokozesa bkozese ebyabli kiro kusiki ebinyansi nkozesa bisalizo obokuba olimir ebitke kurora noobirolerra kurungi nekipanga okusalirra obwokuba neekipanga kyawo nkikozesawenka habwokuba endwre yekihuka ekikaija ekiotoka rikisisa ebtki
spontaneous-speech-ttj-59788.mp3	Engeso y&'okutamu abantu n&'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooleza hamu nk&'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky&'okukoora kweyuna abantu abakuru n&'ebi bakukugambira	Eengeso youtamu abantu nebintuekitinesa neesobora kwegesebwa etiabana rundyaabantu kubasoroleza hamukom maramizo mu masomero mukabakunganya mukasobora kubegesa kiki ekyokukora kweyuna abantuabakuru nebakugambiraEEE
spontaneous-speech-ttj-59794.mp3	Nitusobora kusagika abantu abanyakwina akahuka ka siliimu kubeekambisa kumira emibazi yabo obu bakuba bagitungire rundi kuguma nitubakoonyera kubabaliza ebigambo ebiraabagarra mu bwomeezi oburungi kutali kubacumanga na kubeesiitaza	Enitusobora kusagika abantu abanyakwini akahuka kasilimukubekambisa kumira embaziyabo bawabagitungiri rundi kuguma nitubakonyera kuba baliza ebigambo ebirabagarra mubomeziyo burungi kutali kubacumanga nakubesitaza
