lang,name,n,p5_sec,median_sec,mean_sec,p95_sec,p97_5_sec,max_sec
aln,Gheg Albanian,1367,2.06,23.4,23.47,36.21,38.86,73.37
bew,Betawi,1175,11.74,25.02,28.27,61.14,70.47,157.0
bxk,Bukusu,2542,5.58,17.86,17.31,27.11,29.27,72.18
cgg,Chiga,2625,3.85,12.28,13.84,28.46,34.11,86.98
el-CY,Cypriot Greek,1150,8.28,25.69,29.39,65.73,79.43,271.08
hch,Wixárika,1317,8.6,16.74,21.89,55.09,70.46,114.3
kcn,Nubi,2369,4.61,17.28,18.68,41.06,50.22,104.44
koo,Konzo,2889,6.18,16.67,16.64,27.4,31.86,112.97
led,Lendu,2576,11.3,19.01,19.09,25.74,26.64,54.04
lke,Kenyi,2408,4.68,17.1,16.07,25.24,27.53,47.74
lth,Thur,2880,6.16,17.17,17.42,24.41,28.3,1324.08
meh,Southwestern Tlaxiaco Mixtec,819,9.03,29.52,37.24,90.02,118.16,234.86
mmc,Michoacán Mazahua,682,7.89,39.6,50.13,129.44,144.61,332.82
pne,Western Penan,2267,11.45,16.42,16.73,21.74,24.19,36.32
ruc,Ruuli,2597,8.13,20.7,22.29,44.7,54.37,130.54
rwm,Amba,2103,8.76,20.27,20.43,31.78,36.59,94.43
sco,Scots,569,20.76,48.53,54.26,116.5,129.64,298.66
tob,Toba Qom,1255,5.87,15.7,21.3,51.59,59.55,191.92
top,Papantla Totonac,289,27.84,90.22,104.92,212.39,253.01,499.0
ttj,Rutoro,2741,10.01,18.65,19.21,28.8,32.31,82.08
ukv,Kuku,2109,6.52,16.96,17.26,28.82,33.85,114.77
