audio_file	reference	hypothesis
spontaneous-speech-sco-31044.mp3	Aye I’d’ve loved to have been a professional gymnast I used to when I was young do flips but- and cartwheels but no you know professional And years ago we- the opportunities are different nowadays you know we didnae have these kind of a classes to go to But anyway I did take the opportunity when I was in my forties A gymnastics coach of the kids told me I should go to an adult class in Bellahouston So I did I decided to go and um there was a great wee coach Hazel She was professional And she encouraged me- I s- I told her I’d love to do flips She says well you’ve got the physique you’ve got the energy So she was so good at helping me to visualise going into this ball pit- we’re on a trampoline so I’m jumping the trampoline and she's just visualise a dolphin and it helps you flip into the- so you’re flipping into the ball pit What a feeling She was so good you know that encouragement At first I was all over the place Anyway so that was great to get that opportunity	Ay d I loved to bein a professional gimnas I used to e when I was yung do flips but an cat wells bet mo do you know professional and years ago we the opportunities or different never tas you know we dina have these kind of our classes to go to but anyway I did take the opportunity when I was in my forties I gymnastic cochof the kids told me a she got an adolt class ind belahustin So I dids I decided to go and tem there was a great wee coach hazel she was professional and she encouraged me as- I told har I’d lifde the flips she says whell youv got the fhisice youe got the inergy so she was so good it help me to visualise geninto this bullpit wirh on a trampling so ’me jumping the trampling she’s dis visualise adolping and it help she flip ing to the- so you’re flitting into the bullpit what I feeling She was so good you know that encouragement an first I was all over the place anyway so that was great to get that opportunity
spontaneous-speech-sco-31052.mp3	Best holiday I’ve ever been on was in Finland I went up to Finland in February a couple of year ago to see ain of my pals and eh it was just the maist peaceful and relaxing- oh it was marvellous The maist relaxing holiday I’ve ever been on We went curling and it turns oot I’m brilliant at curling I think if you’re Scottish it’s in the bones aye eh brilliant at curling we did loads of hiking but difficult to hike because of the sna’ of course eh and then we went ice fishing and I was sitting in the middle of this big frozen lake minus twenty-seven degrees ice-fishing and I’ve never been mair at peace in my whole life	Best holiday Ive ever been on was in finland I went up to finland in february a couple of year ago to see inimy pals and eh it was just the mist peaceful and relaxing oh it was myreless the mest relaxing holiday I’ve ever been on wI went corlin and at tirms wo tem brilliant at corlind I think of your squotishes and the bons aie Eh brilliant at corlind with didl was a hie kin boght difficult ty hite because of the sna of course eh and then wi went ice fishing and I was certainy in the middle of the spig frozeng lake minos twenty-seven degrees ice fishing and I’ve never been merat pesing my hell life
spontaneous-speech-sco-31055.mp3	One of the stressful things I would experience in a workplace one of my jobs years ago was how people speak to each other You know the stress that people would feel because they had this fear of like a boss coming towards them or people in a different position- they would just crumble and that- I would be stressed for these young people so I would go and challenge them I'd think it was unnecessary I thought don't treat somebody how you don't like treated yourself So thankfully I did always have that courage in places of work where I just thought no- nobody's treating somebody like that- I could not tolerate it so- but it was stressful because you were taking risks as well	one of the stressful things I wid the experience and I work place butn emagin ears ago was how people speak to each other you know the stress that people would feel because they dis fear ar you like a bose comming towards them or people in a different possession they woul jist crumble and that that I would be stresse for these young people So I would go and challenge them I think it was unnecessary I thought don’t treat somebohyng how you don’t like treeteg yourself So thankfl ak I d always have that courage and places I work where I just fought no- noboldes treating somebothyng like that a I could not tolerate it so but it was tressful becaus you were taking rest as well
spontaneous-speech-sco-31061.mp3	Maist precious object I own is eh ain of my guitars it’s um it’s a guitar I’ve wanted since I was a wee boy eh maybe for aboot twenty-five year or something I’ve wanted this guitar and eh ain of my pals bought it for us for my thirtieth birthday ain of my pals won a bit of money and he thought ken what I’m just going to buy that guitar for him and that’s what he did surprised us with it and I couldnae believe my eyes eh and if my hoose was burning doon that’s the one thing I would run back in and get would be that guitar It’s beautiful it plays amazing and it’s got a lot of sentimental value as well ‘cause my pal bought it for us aye	Mis presius object e own is eh ina my guitar’s it’s um as a guitar Ive wantid since I was a wee boy eh eh maybe for aboot twenty-five year or somethiny I’ve wanted this guitar and um in my pall’s bout it for us for my thirtieth birthy in a my pall’s one abot a money and he thought ken wat I’m just going to be that guitar for im and that’s what he did surprised is we et and I couldna believe my is eh and if my hoost was bunn and doing that’s the one thing I would run back and an get would be that guitar it’s beautiful it plays amazing and e’s got a lot of centimental value as well ‘cause my pal bought it for is I
spontaneous-speech-sco-31069.mp3	I’m proud of my weans See my kids they have done theirself proud and me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no been easy Especially the education that they got Um they were up against a lot of different classes in life And to fit in and to pr-pretend that you’re this person that you’re no And they had to face that in life and that wasnae easy so I could not be more prouder than what I put my kids into and they taken it on board and um they have achieved so much	I’m proud if my wans see my cids they have done therself prouda an me proud They have rised above so many challenges in life and honestly it blows my mind because it’s no beeng easy especially the education that they got Um they were up against a lot of different classes in life and to fit in and to e pretend that you’re this person that you’re know and they had to face that in life and that was no easy so I could not be more prouder than what I put my cits oun to and they taken it on board and em they have achieved so much
spontaneous-speech-sco-31073.mp3	I lo- I worked in this hotel years ago and honestly it was amazing ‘cause I’m a people person and it was so life-giving Anyway the thing I really loved aboot it was you know you’re seeing people happy you’re making them feel good But th- the other side what I didnae like was people that you worked with the employees Some of them had these titles right and they would abuse it It was like power trippers and I would always challenge them ‘cause I would look oot for the young and the underdog And that’s the thing I really did not like the way people thought they could treat people because they had this power ‘cause of some status to their title of the job	I lot I waked in this hotel years ago and honestly it was amazing because I mI people person and it was so life given anyway the thing I really loved a but it was you know yous seeing people happy yound maettin feel good but the the other side what I dinna like was people that you wat to wa o the employees some of them had these titles rigt and they would abuse it it was like power trippers and I wuod al wichan tings I would look it for the young and the under dog and that’s the thing I really did not like they wae people fought they to treat people because they had this power ‘cause you some statis to the tipe of the job
spontaneous-speech-sco-31076.mp3	My favourite food is Minstrels so you dinna cook it but what you do is you tak yourself doon to the shop get a bag any of they bags that says “more to share” on it well it’s mair for me to stuff in my pus ‘cause I’ll no be sharing it with naebody So I get a big bag of them eh get a twa pinter of blue milk ‘cause you need to wash doon a’ that chocolate with milk coo’s milk it’s got to be coo’s milk and eh just get nice and comfy set up watching the TV whatever it is and just start battering your pus with a’ these Minstrels and eh dooning the milk basically So there’s no cooking but just maximum enjoyment	My favourite food is minstrows So you dina cook ut but what you dois you tak yoursel donto the shop get a bag any of the bags it says eh mort a share on it Well it’s mere for me to stuff in my puss ‘cause I’l no be sharing tat we need to So get a big bag of them eh get a twe pint ar a blue milk ‘cause you needte wash donaf that choclet we milk coose milks got we coose milk and eh just get nice and cume fa set up watching the tVe whatever it is and just start battering your pus we are these minstrows and eh doning the milk besit le So it’s no cook in but just maximum enjoyment
spontaneous-speech-sco-31080.mp3	My favourite film’s Chicken Run and if you disagree with that then there’s something wrong with you ‘cause it’s quite clearly the best film in the world if you ask me Animated chickens I mean what else what else could you ask for that’s just fantastic it’s Aardman that do it so ken them that dae um Wallace and Grommit and eh it’s the struggle the strife and struggle of these chickens that are a’ cooped up and how they want to escape and- and have freedom and live their best lives and I just think it’s absolutely marvellous so yeah that’s my favourite	My favourite film’s chicking run and ive you disagree with that an there’s somehin ning with you ‘cause it’s quite clearly the best film in the world ive you ask me animat o chickins Imean what else what else could you ask for that’s just fantastic it’s artman that do it So ken them that te um walls and grom it and eh it’s the struggle the strife and struggle it es chickens that are akoped up and how they want to escape and and have freedom and love their best lives and I just think it’s absolutely marvellous So eh that’s my favourite
spontaneous-speech-sco-31124.mp3	Best- that’s a good question how do I try and save money the best way for me to try and save money is to no go to Starbucks so my pal got us recently well last year a couple of year ago maybe into coffee I’ve never bothered aboot coffee I would just waken up in the morning and that’d be me didnae need a kick of energy or nothing like that he got us into the iced coffee and eh that’s been me hooked absolutely hooked and so it was Starbucks is what he introduced to us and that’s where I’ve been going and that’s where I’ve been spending a’ my money So to save millions of pounds I just dinna bother going to Starbucks anymair	But that’s a good question how do I trying save money the best wife or mee o trying o save money is to no go to starbox So my pal got as recently well last year a copl of year ago maybe int o coffee I’veng ever bothered a boot coffee I wold just waking up in the morning and that od bee mee didnae need a kick of energy or nothing like that he got is int of the ice coffee and eh that’s ween me hooked absolutely hooked and so I wos starbox is what he introduced t is and that’s where I’ve been going and that’s where ’ve been spending a my money So I save millions of pounds I just in a bather goin to starbox any mere
spontaneous-speech-sco-31127.mp3	One thing I wish I’d done that I’ve no done yet but I definitely will do is eh go to Prince’s hoose Prince is my favourite singer and his hoose is in Minnesota in America and eh you could- you could bide in- he had the film Purple Rain and you could bide in the hoose that was in Purple Rain and then go to his actual hoose where he bed and eh you get a big aboot three or four hour tour eh which would be immense and then just be fully immersed in a’ the Prince stuff for the day that would be- that would be dreamboats	one thing I wish had done that I’ve no done yet but I deferently welld day is eh got o princes house princeis my favourite singar and his houses in minesota ind america and e you could- you could buidin e he had the film purble rein and you could bidon the hose thit was in purble rein and then go to his actual hose were he bid and e you get big boot three or four hour to er eh which would be imense and then just be fully imersed an a the prince d uff of the day that would be- hat would be dreamboats
