audio_file	reference	hypothesis
spontaneous-speech-lke-30007.mp3	Nsobola okuwona nti indwanisya embera mu'kusaba no kuyimbya nabakulembeze abandi oba tebakulembeze ne'bantu abalina endoboza ensa mukitundu bayinza okunyamba ne endoboza eyindi awo nisobola okulwanisya ebizibu nga ebyo kale awo endoboza nga eyo nensobola ebyo nsobola okulwanisya ebyo mubulamu bwange nadala okuyimbya na'bamumaka bona oluisi ekizibu ekyo kiza nga ninze omweiza zenka	Ouaa a a a a a nn a a a aba ababa aba aba ba akaba a na a u anan nana anan nba a ba ana nann na a a a a a ba a aba ba ba nnnnnann ga ta a unnnnnnnnnnnnn aba ba ana nna ana a n nla aga aba a aba nb nn nn nnnnnn n a a a a a a a aaaaa
spontaneous-speech-lke-30008.mp3	Nsobola okwelowozaku okutyama nga nelobozaku okubona nti nsobola okulowaza nti natandika ki lero oba mbera yakufuna emere oba kulowoza ku byakukola kaisi zena ntindikire awo oba kuwujula ku ndola oba nakolere ino nimpumula ku endolo kale awo kiba kinyamba ino mukifo kyasirikirira mba nga nsirikirire ndina okulowoza kyakukola	Oua a a a a a a a a a a a aba bba akaba aba ba aba a a a aba ba ba aba a a a a nan anuga n uba akba kaba nba la nananan ba a kaba ba kuba ba a a a a a a a a a aaoaoaoaoauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauauaua
spontaneous-speech-lke-30009.mp3	Okusoma kuwaire amaka gaisu okuba nga balimu abantu abalina amagezi abantu aba abalina ekitiwa era nga bayamba ekitundu kyaisu kubintu ebyenkulakulana era ekyo kuwaire nga abantu mukitundu kyaisu nga bataka ino abamemba abomaka gaisu okuba bakulembeze	Oka a a a a a a a a a a a a abakuba aba ba a aba kaba a aba a a aba ba nnanban nan b ba a aba a a a aaa
spontaneous-speech-lke-30010.mp3	Ekisoka amaka gasobola okwekuma ku poison nga batereka kusa obulezi obusobola okuleta okufa kuteka mukitundu abana abatasobola okutuka ekyokubiri enyumba epoison oweri oweri nga atleast nga batekamu kofulu nga baigala omulyango abenyumba eyo	Oua a a a a a a a a a a a a ba aka kba akba a ababa ba aba ababba a nana ba nan nab nba na aba nabaaa aaoaoaoaoaoauauauaua
spontaneous-speech-lke-30011.mp3	Okusoma kwa bawala kukyukire ino mukyalo kyage abawala abangi basobweire okwaba okusoma primary nebeyongera okusoma kusi kusinya ate nebeyongera mumaiso okusoma muyunivasiti abandi nibayaba mu institutions nebafuna yo ekosi ejebabesya wo so abawala bangi eino basobweire okufuna okusoma okusa	Oka a a a a a a a a a ba ba ba ba a a aba ba ba a n n na nga nanana ba a ba a ba nan nanba naba aban ngan nuba an bakba aba ka bba uba b a
spontaneous-speech-lke-30012.mp3	Omulimu ogusobola okuwa amaka okulankulana ekisoka nikwo okulima no kusoma ebyo ebintu busobola okuwa amaka okulankulana ne bizinesi yona amafactory kubanga omuntu asomere aba namagezi era asobola okuba omuntu agankulakulanya nebizinesi aba asobola okola mu factory	Okaaa a a a a a a a a a a ab aba ba a ba aga aba baba na ba aba aka a ba ubaba aba a a uba akba aa na a a aba a a ba aka akaba aaoaoaoaoaoaoaoa
spontaneous-speech-lke-30013.mp3	Okusoma kuwaire amaka gange okuba gamani kubanga amaka gange gasoboire okuba nga oku okulima okusa okulima ebintu nga enyaya kabeji era nga biwaire amaka gange okubanga galana amani mukitundu kyange	Oka a a a a a a a a a a a a a a aba a aba ba aba ba a nanan aka nba akaba ba a aa
spontaneous-speech-lke-30014.mp3	Okusoma kunyambire inu okuba namagezi nokuba okutegeera engeri enjensobola eyokwebeesuawo nga nkozessya ebintu ebyendina owaika omukitundu ekyendi era nga ekyo kimpaire inu okubanga nsobola okubaawo nga tikumbeera embibi	Ouaa a a a a a a a a a a ka aba ba kaba ba aba ba aba naaba a iban aban anba n ba ababa ba a ba nba a aaaoaoaoaoaoaoaoaoa
spontaneous-speech-lke-30015.mp3	Nti eisomero nga lili wala ino abaana tebasoma kusa kuba batuuka kwisomero leti ate owebatuuka kwisomero leti batuuka nga bakowi buti ekyo tusaba gavumenti bazimbe amasomero kumpi mukitundu olwo kuyamba abaana kubanga omwana owabanga atambula ntambula inene omwana atuka kwisomero leti akowere biki biki buti awo kitaka bazimbe amasomero	Oma a a a a a a a a ba aba aba akba uba a ba ba na nanana aba aba aba uba aba nanan nana a ba a a a a a ba a aba aba an abna ba ba auta ana a ba b kuban ubaa
spontaneous-speech-lke-30016.mp3	Ekisoka kiyinza okubanga nfuna omumaka oyinza okuleta obutafunira omwana emere aye ekindi kiyinza okubanga buluwaire oluiso omwana muluwaire endwaire endwaire etamisimira okuliya emere ensa nemere yona erimu egindi egitawa omwana appetit eyokuliya emere	Oua a a a a a a a a a a na uka aba akba ka la a ba ba akuba ba a aba nbna nnnnnnnanga aba aba aka nga a uka ba a a bnbaaoaoa
