audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sring mombac atomegarkan sejar sejare balhwan palahwan kit mapu nasonal mapun yang orang- orang betawi yang dala daldalu kite ymp-juangkan bangsen gare indonesiaini cukup dan cukup mnyantu hati kite sbga ponrus pns bangsnye jangan samp kluar damaotau sejar sejare moto bangsapalaan palhawan kite kadangkadang pada ijama skarang hari ini banyak banyak orang yan gmatau dangan sejare dari duluny ina sekarang kitan sa sekarang ini kita bisa bgini kaan-kana na skarang amaotau da momkirkan diri sendiri sap kite dandimana kit dantampa p perjuangan reka kite juga gakan bsaspertini gabisa akan mrdeka dan pada dalu padahlu kit ah yang mombawa kodekan nsa dan leb majulag
spontaneous-speech-bew-20805.mp3	Kalo untuk wisate kita sih kemane aja sih udêh seperti kayak Cibodas terus ape namenye daerah-daerah Bandung terus daerah-daerah pantai Daerah mana aje yang penting buat nyénéngin hati Untuk wisaté kita harus bener-bener mempersiapkan diri untuk perginya Banyak wisata di sini apalagi di jaman sekarang ini wisata-wisata itu memangnya kita harus datengin dan harus tau Paling kebanyakan wisata di sini mah di Bekasi juga ade banyak dan bagus-bagus itu	Pal onte wisate kit kman ajé s udeptikayaibodas ts panameny dadaera bandung tos daera dara panta dara mane ajé yannting botnya angin hati otowisate kita harus ben bener maposyakandiri motok orginya banyak wisat di sini aplagi ijamaskarangini wisatawisatai tuh mmagnye kita harus da tangen dan haus tau tuh palingk banyakan wisata di sini mah dpkasi juga d wisate banyak dabags bagustuh
spontaneous-speech-bew-20807.mp3	pendidikan itu sangat penting nantikan kalo kité udéh sekoléh kan bisa baca tuh bisa tulis jadi kalo kita kémana tuh jadi kita tau oh ini nih kité mao késini nih naék mobil ini jurusan ini térus kité kalo mau beli barang-barang ini nih oh ini ni sekian hargényé sekian terus kita kalo mau jalan-jalan oh ini nih wisata ini nih itu tu kan begitu mangkanyé penting kité sekoleh ya begitu ya mangkanyé itu anak dari sekarang tuh dari kecil-kecil kita sekolahin dari SD SMP SMA apélagi kité kalo bisa punya duit ampé sekoleh perguruan tinggi tuh biar anak kité jangan kayé kité nih sekoléh cuma SD doang yang taunyé cuman bangku sekolahan SD doang itu éngga tau pengalaman ini itu	i ldikand sekola sang pnting tian kalo kita sekolakan isabacato isatoli adi kalo ktakamaamanat yadi kita tau o in kita ma kasini ak mobil n jurusan in ts kita mabli-baranin o inne harkenskian hakenskian tus kalo kita m-jalanjan o ine wta in  ne jyadi kita begit mangkanya ponting kita sekola ya begittu mangkanyét anak dari skorag tari darikcl kita skolayng dari d p  apla kalo kita spunya dtp sekola pkruanting t br ana kita jaga kaya kite i sekolan cuman  da ta cuman bangku sekolan  dang   taupangalaman in t
spontaneous-speech-bew-20809.mp3	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk karena kegagalan èntu melangkah kitè lebih maju lagi dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui tètèp semangat untuk menjalani hidup ini jangan takut hidup kitè èntu ngga sendiri sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga tètèp semangat semangatt	ntuk kegagalan kit jangan maras diri kita tarpo-jokttarfuru kmunkina k gagalan tuh malangka kit lb majulag da untuk blajar lb smangat lagi ontuk dari kgan galan yang suda kit lal ttap smangat ntuk monjlanhdupini jangan takut dup kit tuh gasen dii sklin kite banyawon awn kit dan yangtla onciptakan kit jua ttap semangat smangat
spontaneous-speech-bew-20811.mp3	Permasalahannya biasa itu ibu-ibu pada berantem berantem masalah anak anak-anaknya pada berantem ibu-ibunya pada berantem Apalagi kalo tuh denger berita maling weilah ibu-ibu ibu-ibu mah langsung pada nyumpahin maling tega amat tuh maling ngambil itu Padahal jangan diambil tuh nggak punya apa-ape itu Emang dasar maling mampus dikatain nyumpah-nyumpahin dah tuh Jadinya ibu-ibu emang kerjaannya begitu kalo udah begitu dia mah emang begitu uplek kongkow dah tuh bareng-bareng jadinya nyeritain maling nyeritain temen berantem nyeritain anaknya berantem	p masalahy basa tuh b ib pada brantam brantem masala anak anak pa yang-brantem bu b pada brantem aplag klnga u brit mali a b bubo molangsogatu paa nympan malingtgma tu mli pa ambl tu pada halyibel tngapunya pap tu ma doasaram malin mam pusp pyyompanympayi datu jadinnya bb man karjan begit kalodaanga ud dima begitu pla konkda barang bren jadinya diten maling tenta brantem iten anak brantem
spontaneous-speech-bew-20813.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	mat liburan i tuh kita bawa da ruma kita blidi ruma jadinyatu kita hemat ka klo blidi pat lburankan bnyatu mah maha jadiny kita olok na mangkay kita blidi ruma tuh sepotiky cemlcemielan tum trus ma pomi th bawadatu ar panas paket termos kalian bawa nas bawa lanya bawa tiker reparid s at liburang kita bayarnye wmaning kita bat ja jaya layen
spontaneous-speech-bew-20814.mp3	Mendidik anak di rumah tuh ya itu biasê kalo orang kampung mah ibu-ibu Satu ya bangun pagi-pagi suruh sêkola Pulang sêkola makan Habis makan tuh istirahat Biarin dêh tuh dia main sebentar Habis pulang maén kita suruh ngaji tuh habis johor dia ngaji siang Habis ngaji siang nah baru dia main lagi dêh tuh sono dêh Namanya orang tua mah biarin dêh terserah anak yang penting dia udah ngaji sekola udah dilakuin ya udah dêh	mannik anak derumay i tuh bas kalorang kampung may bbu satu  bangon pagi pagsuro- sekola a pulang sekola akan b makan tuh istirahat biarin de di man t sbenta bs plang maen la kita srongaji this cohor bngaji san abes ngaji sang adi brn d maen agideksn deh  aanya orang t mah biarin de tra anak monting de dngaji sekola gi lakinya de d
spontaneous-speech-bew-20816.mp3	Jambu aér jambu biji salak trus buah nangka semangka melon banyak déh buah-buahan di sini yang sering dimakan tapi tu yang yang buah buahan yang dulu itu tuh yang sekarang udéh suseh juwêt juwét sekarang nyarinyé susah banget jaman dulu wéilêh juwét banyak bener itu tinggal mungutin doang di kebon orang dikantongin dêh ampê padê gêtaan ituh	jambu ar jambu bj salak trus banangka semangka melon banyak d bban si yan srigmakantapituyanyang jam ayang bobayang dulu u tuh yang sarad susa juet juat karang aring susa bangt jaman dulju banyak benrip tuh dinggaltin duang dika bonorang dikantongin pepa getaan tuh
spontaneous-speech-bew-20817.mp3	Buah yang sering dipaké di masyarakat salak pisang yang murêh-murêh itu biasanya nyari yang murêh yang banyak isinya kan biar kêbagian semua Kayak semangkê tu mureh tu cuman sekilonya goceng Salak apalagi tu seiketnya cuman goceng sêpanggulan maleh Orang kampung mah begitu emang nyari yang murêh banyak yang penting kebagian semuanya Kan enak tuh jadi tetangga-tangga kebagian ngerasain	b yangselm pake di masyaraka salak san yamur muret bsanyari yamur banyak isin k bark bagin sm ka smangk tu mur tuh maskelony goceng salakplagtu s iketnya mang goceng pangulan maling orangkamo git yma nyari yamur banyak ik bagien semonya kan enatdenyttank bagian rasain
spontaneous-speech-bew-20817.mp3	Kalo untuk masyarakat untuk mendongkrak atau membangkitkan êêê usaha-usaha kita memang harus guyub dan bersama Usaha apa yang kalo kité tidak lakuin bersamé itu nggak akan bisé Dikarnakan itu butuh kekompakkan	Kalo untuk masarakat untu mendonrak atombangkitkansa us kitaaangharus ky dan bersama usahpa yang kalo kit ti da lakin bersa ytgaan dise dikarnakan ytu butu kkompakan
spontaneous-speech-bew-20818.mp3	biasanya anè kalo bepergian kemanè ajè itu pakè motor biasanya mah yahh paling jauh juga yaa paling jauh ya paling yaa ke bogor kita naik motor ajè karena apè ya motor lebih simpel dan lebih irit	biasanyane angkalo pepe gian keman ajetuh ake motor basanyam ya palin jau jugayangga tny palin japalin- yak bogor tank motor ace kanabpe motor to b simpel anlb irit
spontaneous-speech-bew-20820.mp3	Kalo untuk ngingetin di setiap lingkungan ya ané paling ngajak ngobrol bareng ngopi bareng ngobrol-ngobrol gitu ngingetin supaya lingkungan kita terjagé dari kotor supaya lingkungan kita terjagé selalu	Kalo n tu ingtin istia plingkungan ye an palingga ajakgobrol bareng ngopi bareng obrongobrol tg ingatin spayal inkan kita trjagé dari kotor payal inkan kita trjagé slalu
spontaneous-speech-bew-20822.mp3	Yé paling di masa depan ééé orang-orang itu ya lebih suka ya tinggal kemungkinan di perkampungan ajé tempat tinggal dié sekarang ini Nggak mungkin énggak mau ke mané-mané udéh	y balin mas depan orang-orang tu ylbisuka y tingkal omunkina dip kampungan ajé p tingkal yskarangini a mukin ga maman ma de
spontaneous-speech-bew-20823.mp3	Kalo untuk olahraga kité yé paling ya seminggu dua kali lah Untuk berlolahraga supaya badat kitè harus pit dan harus sehat	Palo onto kolaraga tya paling ys minggu duakalila tobralaraga spaya majag badan kit harus pit en harus ht
spontaneous-speech-bew-20825.mp3	Ya kalo untuk bahasé mah kita sering memangnye bahasé kite sehari-hari itu yang kita paké Sering untuk ngobrol kita pake bahasa-bahasa Bétawi	kalo ontbahas mah kt sring memangnya bas kit skai sehari harituy kita pak sring ontobrol kta pak bas bas botawi
spontaneous-speech-bew-20827.mp3	Yeh namanye kite orang Bétawi ya lancar lah kan gitu Bahkan kita namanya banget dan banget banget	y maon kit orang betah wi lancara ngitu bakan kita ma mongya banggt dan bangt banget
spontaneous-speech-bew-20829.mp3	tau tu masih kécit ané itu ané mau jadi tentara pas udah gédé ya gatau lah ya namanya kita cita-cita dari masih kécit kan punya cité-cité cuman kalo udah gédé yaudah beda lagi ya kenapé ané pengen jadi tentara karena tentara itu kalo di dalém diri ané itu sangat berharga dan untuk membela negaré terutama buat keluarga kité yé untuk ngébangkitin untuk derajat orang tué yah itu karena tentara itu kalo ané liat untuk béla negaré itu emang bener-bener kalo tentaré yé ya kan ngga pandang bulu untuk ke masyarakat pun udéh bagus gitu itu kenape ané punyé cite-cite jadi tentara	ato masikeci an ytu an pengen jaditentara jadi tentara asdegde ga tale  namany cita cita cit di masike-cikan punya cit cit tm degd dbdelagiy kanape ane pngn jadi-tetar kna tentara tuh kalo didelamdr ané ytuh sangat brharga danotokmobla gare  ttama ga arga kite y oo bangketin ontja orantw ya ytuh kana tentara yétuh kalo anlat ponto blanegare ytuh emang bener bener kalo dotara y kannga pandanggulu otu okmasara katnypun ude bagus tuh ytuh kanap ane punya citect jadi tentara
spontaneous-speech-bew-20832.mp3	Kalo menurut ané itu untuk masa depan di kampung ané yé khususnya itu memang èèè ke depannyé paling juga iya memang dari dulunya kita nyawé terus pertani kemungkinan ya dari dulu hingga sekarang ya kayaknyé begitu-begitu ajé gak ada pengembang lain Seharusnya kan ada untuk kegiatan lain èèè dari sampingan untuk usaha èèè utama itu Paling ke depannya ya mudah-mudahan ada èèè orang yang ingin bekerja sama atau bikin apé ajé yang penting masyarakat-masyarakat yaitu atau kampung kité bisa diangkat derajatnya gitu	alo monorotan kytu tok masadpan di kampung aney ksusny t mmang kdepany palinumang dari dulnyaktnyaw trus prtanikina y dari dulinga saarang y kayany begtu bgitu aje ga ada pnpng-banglain shrsnyeken ada toka gatanlain to disa dari-sampingen okusah utama tu tpaling kdepalny ymu mudahan ada orang yang ngin bokrj sama ato bikin ap j yang benting mas masarakat yaitu ato kampung kite bisa yangkat drajatnya tu
