audio_file	reference	hypothesis
spontaneous-speech-bxk-47921.mp3	A eliwo bitima birambisyibwa nende kamani ke inchini yani kamafura aa chabawo chi chindika necho chabombile ebyo nabyo byosi bikhola biryo sikila binyala khucha mubyalo khungila chintiti esi emotoka ekhaba taa pili sekenyikhana yanyola batecha bakali neya niyarura musifwo taa wakhaba mulala nekhusuta mala yasuta nebisu bisutwa byowo	B b b b k bk bna bnn kakniii k b na b i k kkik nnii na k na k k kh bkiakii bkk k k kaiiina na kkka ka k kkiiikkkk bii  bk k ba
spontaneous-speech-bxk-47928.mp3	Byakhulya byosi aa chisiku chino bichilakho nende chikemiko sikila byekhulima bikali sana bikendela khufwatilayisa nende chikemiko chekhufuyilakho chechindwale Abundi kenyikhana bulayi nokhatekha taa basingakho bulayi sana mala belakho aa nekhutekha khwosi watakhulya bibisi taa	B k k k k kk k k k kki knankkana ka kak kiiiiik k k bikk kkka kki n ka kkkka k ka k kb k ka
spontaneous-speech-bxk-47933.mp3	Babandu baba nende buri mubandu oba burye mubandu babanabo khubakhongelesya khwabakhola busale ngawabakholele busale mala wabakhola baba nebumanyilifu nine omundu niye babane nabo balimo nekumwiyikino ari babandu abobo nga sekhubarafwirakira tawe khubakelesyila busa kalaa khukhwola nga nibamanyila	Bba ba ka baba kl baba k ba bl klba bin kii bba ba na blba b kaikikkak kiiiiii kaba ka kakaa baka k kba kn kn b k n ka
spontaneous-speech-bxk-47955.mp3	Bya soshyo midiya biyushanga bukhwale chisiku chino ndi bakhasi balekha khula khufwayo babami babwe nebabana bebilila bye munju balabilila-balondelela chisiimu bela khulusiimu bebilila byomwana	B bk knikbkkiiii kkiiiii bna k kbkkkkibi nl bl i ka na k k l b nb bkka
spontaneous-speech-bxk-47959.mp3	Omusali womwana ofwana aryo emulanga imuwa kamakesi indi alole bakansala bayete omwana omusoleli wewe nakhalolile bakansala taa ayile omwana yuno mwisikuli sye aleyi amurusye busa mu mu mubikosi bisyalimo bisyamanyanile ninabyo	Bk knb n k n ni b k niiiib k knka k na kk kana na b ba kb nii ka bak na  na na nk b kna k k kknk b kk b ba
spontaneous-speech-bxk-47967.mp3	Bukosi bwekhungudo papa serekari mukhubirira mubasikari babwe ba trafiki sebakholanga lelo ekasii bulayi tawe bandu batrafiki bano yani kasita obanyolila kitu kidogo omundu okhali treyinidi khulukuto yani kakhakhola kamakoso ata sebaa seba mudisipulina tawe	Kbkaka bkikii ka kknknkbii kana kka ka kakkkiiikak kna baa k ikna kkkkiiab na kkkakiii knkka
spontaneous-speech-bxk-47971.mp3	Kwancha okhoya waba ofunikha mala warekeresya nisyo owasyowo akhuloma obata mwarebana mularebana kasita mwaba mukanikhana nemufukilisyana yani elomo komyunikesyoni komyunikesyoni enamala yakhalikha aba butinyu bwecha	Bkk ka kabiinikk kkkn k k k kiiknkkna nninikak niinnk na nn kii ka bkaa bkiiiia
spontaneous-speech-bxk-47978.mp3	Engeli endayi yekhurumikha yekhurumikhila intanenti mushalo indi iye khu yi ye khuyima embuka khwakipa tayimu khwalondelela embuka bulayi nono khwayenjelakho bibindu byekamasomo kenyikhana khuendelee khuryena nekhwacha intanenti yino lakini bibindu byatikitoko bino birareranga kamakhuwa mungo	Kknk niii n k a kha kha kha bhaa bana nla k kh kk ka a kh n k k kkhiina k k kkh nk k kna nk bk k khkhbkka n khna kh ka kh kki
spontaneous-speech-bxk-47983.mp3	Khubayanga chimbusi khubayanga chikhafu khubayanga kamakhese khubayanga chipuusi khubayanga chimbwa nende chingokho nende kamapata nende bibindi bikali sana	Bk kl k kkii kkkk b b n bl k nbka
spontaneous-speech-bxk-47994.mp3	Khawukha khamuniafu Aa khakhoya bandu belinda nga bubwiyikinwa esi bayesanwa babwe pili bandu baba nebepimisya buli nyinga yembuka fulani ili bamanya sitatasi chabwe	Bkkk kakik  kiikkak niikkkkbk k k k a
spontaneous-speech-bxk-48047.mp3	Munjju mwange nenyikhana embune neye mala esiimule nekamechi nesabuni nga namalile khusimula ne kamechi nende sabuni nengonangona mungaki muno nendushamo lububi bindu byosii bibingilamo bikhali bilayi taa nekhupaka lufumbi neruramo munjju mwange mwarama mumiliyu nekhala nga nasangalile	Bii nnka k c na nak bka nnnaka nn n k k na nak kibna b  bkk ka bk kkknkkk nakbana kbkkknkk nkn nn k n k kk n na
spontaneous-speech-bxk-48061.mp3	Omundu wekumutambo nowenya khumuyeta onyala wakhunga babandu khusyalo niyokhwikhale mala baa bachanga bachangila omundu oyo chisendi nomundu oyo anyola khu anyola buu bubwangu	Bkki k kakki bnk kkiiik k kni kna kka k k kiiiiin k kabka
spontaneous-speech-bxk-48070.mp3	Khwenyikhana khwara chiretyo mubirekere byefwe wakila babekhali bamanya bibilikhuchililila mubyalo nende musibala syosichana kakila norawo eretiyo basakhulu nebalosi bosi balasa balawulilanga baloba busa khunywa kamalwa nebamela taa mala barekeresya bili khuchililila musyalo	B kan kana kiik kk b kk kknk knk k blk k bk khanab knkias biii i ka  bk ka na  na bab kkkn bkibiban kkbkkkka
spontaneous-speech-bxk-48121.mp3	umwami yesi kenyikhana warekeresha babandu bewe sikila niye aaa obarangilila ari noharekeshe tawe aba somanya nibo orangirira tawe sikila nibo orangilila benyikhana bakhubolera newamanya ubayeta oryena butinyu siina nibwo bali ninabwo	Bkk b ki k  ka naa n kn ka b bk bina kka n k kk bii bi n na na bknbi b  kk k bak n k n a b b n ba
spontaneous-speech-bxk-48127.mp3	umwami ali nende khurekeresha babandu bewe sikila kenyikhana amanye chishida che babandu bewe musisinja shewe nyo siisi sikile abayete kila chishida chabwe	Bn k kh na na kh kha kl k k ki iii biki ka k k ki ba
spontaneous-speech-bxk-48137.mp3	Chingelo chichindi chiyusya babana bubwongo bwaba nga bwibasya extra mayindi bebasya bulayi baba bancha khubona bibindu bye-aleyi oba bakombeya byasayi nende bibicha ebweni mala babana bachowa bulayi mala limenya nelicha bulayi	Bknki k  k k kna kha bkib ba kkkki nn b bckk na ba bana ba kh kk ka k n ka kkkka
spontaneous-speech-bxk-48143.mp3	Bukali bwe khukhwiyakhila aaa epipiliya ekhubolela erii khwiyakhila kimilundu musanvu kimilundu musanvu kimilundu musanvu yani Aaa aba bulinyinga okhoya weyakhila	B kkka na klkhinnn kbniiiiiiii k k k b k ka
