audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	Ne ne ne e ne ne e eei
spontaneous-speech-hch-31313.mp3	Ne heiwa nekie neheyaka nepeuyewe eh yeikaametsíe neʼika neheutihɨaka pero kauka xeimetsíe neneyɨanékai xaɨtsíe pɨta nepeʼatɨarie muuwa ke ta ri nemetinuitɨ́arie nekie nepɨʼatɨarie	Ne ne ne ne ne e nei
spontaneous-speech-hch-31314.mp3	Takie waɨkawa pɨreuyewetsé Ha xɨka xuawenike ʼaixɨ tepɨteheukutenikeyu waɨkawa tepɨteʼuuximayákakeyu eh xɨka takɨxeeme tixuawenike ʼaixɨ tepɨteheukutenikeyu	Ne e ne me e me mei
spontaneous-speech-hch-31315.mp3	Mɨɨkɨ tuurutsiixi wahetsie mepuʼeximekai méripai kiekátaari eh mɨɨkɨ wahetsíe mepɨteʼuuximayákai muurátsixi wahetsíe puuxúri wahetsíe mɨpaɨ mepɨte... mepɨte'uyumiximekai Paɨ xeikɨ́a	Ne nene meee neeeia
spontaneous-speech-hch-31316.mp3	Ne haxu xakɨyari pɨnetsinake mɨɨkɨ ah porque ha haɨtɨtɨ maana mɨyemaka mɨɨkɨ maana 'ayumieme mɨɨkɨ pɨnetsinake maana mɨɨkɨ ne... taweewíya mɨɨkɨ pɨhɨɨkɨ Paɨ xeikɨ́a	Ne ne ne e me ne me ei
spontaneous-speech-hch-31317.mp3	Takie pɨremawe mmm ˀayumieme tepeyekɨka tetekwaikutɨ ʼuuwa kiekaritsíe naitɨ pɨtixuawe naitɨ pɨtituiya takie xɨka ha hexuawenike muuwa tepeʼuuwanikeyu Paɨ xeikɨ́a	Ne e ne ne ne e ne mei
spontaneous-speech-hch-31318.mp3	Ne neteukari pɨnetsiʼukahauxi mɨpaɨ waníu tiuheinɨka tiutahɨawarieka ˀayumieme Xaureme pɨnetiuterɨwáxɨ waníu nemɨkatikuuyenikɨ waníu ʼaixɨ nereuʼeríetɨ nemuyeikanikɨ	Ne  ne me ne ne ne ne nei
spontaneous-speech-hch-31319.mp3	ʼUuwa pɨkatixuawe eh takie timieme ʼuuwa tepɨtehayeʼeriwa eh te... te... te... te... paapá ʼik... ʼik... ʼik... ʼikú paapayari mɨɨkɨ te... tepayeʼeríetɨkɨka pero ʼuuwa eh pɨkatixuawe ʼuuwa pɨtiumawe Paɨ xeikɨ́a ejem	Ne eee me emneeiaia
spontaneous-speech-hch-31320.mp3	Mɨɨkɨ méripai tɨ tumiini mumawekaitsie mɨpaɨ mepɨteyuparewíekai meuʼuuwátɨ kiekaritsie waɨríyarika mepuʼuuwákai meteyupatsiríetɨ mɨpaɨ mepɨteyumikwakai	Ne e ne ne e ne nei
spontaneous-speech-hch-31321.mp3	Méripai tɨ kiekátaari muxá ʼɨkariyari mepɨweewíekai kamixayari memɨteweewíekai ʼaana mɨɨkɨ mepɨteʼanakapitɨkatéi paɨ mepɨʼánenekai ʼaana Mɨpaɨ	Ne ne ne ne me mei
spontaneous-speech-hch-31322.mp3	Mɨɨkɨ tsɨ eh teteʼuuximayátɨ eh teneyɨa tepɨtehetimamateke ʼetsiwa tetetuátɨ ya tetenetapareewie Mɨpaɨ xeikɨ́a	Ne ee te ee meee nei
spontaneous-speech-hch-31323.mp3	Méripai tɨ tihaɨtɨriyaame pumawekai hiikɨ ri pɨxuawe muuwa pemɨtiʼatiʼɨnieni pɨyɨwe tihaɨtɨme pemɨtikwaká pepɨtiʼaxeeriríeka hiikɨ naitɨ pɨtixuawe	Ne neeee ne ne meeepi
spontaneous-speech-hch-31324.mp3	Ne méripai tɨ nepɨtikuʼeriwákai nepɨtinetaʼɨ́kitɨanikekai pero nepɨkaʼuyɨwekaxɨa maana nepaapa tumiini pɨkaʼuyemanakai 'ayumieme ri nepɨkatiunetaʼɨ́kitɨa Mɨpaɨ xeikɨ́a	Nene ne ne ne ne nei
spontaneous-speech-hch-31325.mp3	Waɨríyarika ʼuuximayátsika pukaxeiya teiwaritɨ́a eh xapáte pɨtiyukuʼíwawa ʼɨ́kiyate mɨɨkɨ ʼaana ke ri eh ʼaana ʼuuximayátsika pepɨxatɨ́arieni pepɨtitaʼiiwa	Ne ne e ne nei
spontaneous-speech-hch-31326.mp3	Ne nekɨpáte peukunexɨa taamámata ʼauxuwime wiyari nehexeiyatɨ naitsarie peukunexɨa kauka ri ʼukiratsi nenehɨɨkɨ paɨ nepɨtiutiʼeri	Ne ne te ne nei
spontaneous-speech-hch-31327.mp3	Ne heiwa meteʼuyuatɨkaime nepɨwaruxei eh neheutahaka muuwa paɨ pɨtiyɨanékai pɨtiyúkwinekai muuwa ne nepɨranuyemie waʼaatɨ ˀayumieme neʼutimaaka nepɨwayetɨa	Ne ne nee ne ne nei
spontaneous-speech-hch-31328.mp3	Ne heiwa yeʼɨ́ neputaaráxɨ neʼanutiharénike nepɨkaʼima nepixuawáxɨ ʼariké ke nepunetiheiweri Paɨ xeikɨ́a	Ne nene ne e ne ei
spontaneous-speech-hch-31329.mp3	Ne nemaama nepɨtiutinanairi kémarieya kaakaíya xikurieya nepɨtitinanairi mɨpaɨ	Ne ne nee nei
spontaneous-speech-hch-31330.mp3	Méripai kiekátaari ʼaixɨ mepɨteʼuhukai ʼaana tepɨtaʼiwaatákai Hiikɨ ri paɨ mepɨkateʼuhu Mɨpaɨ ri tepɨkayɨa hiikɨ Paɨ xeikɨ́a	Ne  nee nep e nei
spontaneous-speech-hch-31331.mp3	Ne xewítɨ tikuxatame nepuʼeni yukiekaritsie waníu naitɨ mɨtixuawenikɨ 'ayumieme ne nepɨkahetɨmaiyawe	Ne  ne ne ne nepi
spontaneous-speech-hch-31332.mp3	Ne heiwa ʼuuximayátsika nepukaxei neˀutaʼinieríeka ʼitsaanarikɨ maana ʼeetsiwa wakuruuxi nepuʼɨitɨ́arie paɨ nepɨtiuʼiiwaxɨ Paɨ xeikɨ́a	Ne ne neeeene nei
spontaneous-speech-hch-31333.mp3	Ne heiwa tewi pɨrepi nepiini kename netipitɨani haitɨ pɨtiukɨyɨ ri rapiitɨ patɨa ri mɨɨkɨ tawaarí hawaikɨ nepɨkaheixei ri paɨ xeikɨ́a maana puyeʼatɨya	Ne  neeeei
spontaneous-speech-hch-31334.mp3	Ne heiwa kɨtsiuri nepumikie ʼaixɨ nepɨrekaʼerietɨya nepekawaɨrétɨya nemikutɨneni mɨixa wiyaari Paɨ xeikɨ́a	Ne ne ne nei
spontaneous-speech-hch-31335.mp3	Ne muxá ʼɨkariyari pɨnetsinake muhaɨtɨnitsie mɨɨkɨ nepikakerɨma Mɨpaɨ xeikɨ́a	Ne ne ne ne nei
spontaneous-speech-hch-31336.mp3	Xukuuri maʼɨ mɨɨkɨ kaakaɨyarita pɨranutuayá mɨɨkɨ tahetsíe mieme tukaari mɨɨkɨ kuwaunétɨ mɨɨkɨ paɨ pɨtitewá mɨɨkɨ paɨ pɨ'ayumieme Paɨ xeikɨ́a	Ne neee meeei
spontaneous-speech-hch-31337.mp3	Maana tepɨyekɨka San Martín eh eh camióntsie tren manuyeyeikatsie tepekɨká Zapopa pai tɨ paɨ tepɨtekɨkɨka	Ne ne ne neei
spontaneous-speech-hch-31338.mp3	Ne nemukaʼuuxípiwetsie tukaarikɨ maana nepɨtiutiʼuuximayáta nepɨtiutitsaatsawe tsikɨri xupureeru nepɨtiutitsaatsawe Paɨ xeikɨ́a	Ne  ne ne nei
spontaneous-speech-hch-31339.mp3	Ne méripai tɨ nepɨwaruʼuayemaximekai xɨka ʼuhakwitani ʼuxukikɨ hayéwaxi xawaarikɨ mɨɨkɨ nepɨwaranuʼitɨwakai Paɨ xeikɨ́a	Ne nee nei
spontaneous-speech-hch-31340.mp3	Méripai tɨ paɨ tepɨkaʼánenekai tepɨkateuʼutɨkatei hiikɨ ri ya mepɨʼánene teemari mepɨteuʼutɨká mɨɨkɨ ʼaixɨ pɨkaʼaane Paɨ xeikɨ́a	Ne nei
spontaneous-speech-hch-31341.mp3	Ne maana Tonalá nepɨkahetaʼaxe tenaweméte mepɨkahetixuxuawere 'ayumieme maana nepɨkahetaʼaxe Mɨpaɨ xeikɨ́a	Ne  ne ne ee
spontaneous-speech-hch-31342.mp3	Takémarite temɨtetinawetsie waɨká tepitixɨxɨtɨwa taʼikwaitsie maana waɨká pɨtixɨriwe Paɨ xeikɨ́a	Ne neeenea
spontaneous-speech-hch-31343.mp3	Ne neteukaríma nepɨwaruxei ʼemepɨteuteeríxɨ ʼaana kwiniya pumawekai hiikɨ ri kwiniya kwinie pɨtiʼane waɨká mepeuyewautse Paɨ xeikɨ́a	Ne  neei
spontaneous-speech-hch-31344.mp3	Ne netataatsi niukieya nepaʼeriwa ke mɨnetixaxatɨwákai ke mɨtiyaxikitɨre neunetakitɨaka maana nepuka Paɨ xeikɨ́a	Ne  ei
spontaneous-speech-hch-31345.mp3	Ne waɨkawa mɨrewatuiyatsíe muuwa nepɨtitínawekai kaaruúte ʼunáte muuwa xeikɨ́a nepɨrayetɨkɨkai Paɨ xeikɨ́a	Ne  neie
spontaneous-speech-hch-31346.mp3	Takie mɨrawɨtɨka takɨxeéme taha waɨríyarika teteuʼiiwatɨkaitɨ tepɨtetakutuaya Paɨ xeikɨ́a	Ne tei
spontaneous-speech-hch-31347.mp3	Maatɨari tiyutɨkɨmetsíe nemanutiya nepanútawai ʼimaatɨrieka nepekahayamɨkatɨya Paɨ xeikɨ́a	Ne neeiei
spontaneous-speech-hch-31348.mp3	Tɨɨrí memɨteʼɨ́kitɨarie peuyewetsé waɨkawa yukiekari memɨpareewienikɨ ʼuxaʼáwaarie Mɨpaɨ xeikɨ́a	Ne  nei
spontaneous-speech-hch-31349.mp3	Ne heiwa paɨ pɨnetiuyuri netumiini nepeuyéwiwi neʼienetɨ waɨkawa Paɨ xeikɨ́a	Ne  nee
spontaneous-speech-hch-31350.mp3	Ne heiwa yeuta neʼumietɨ tuixúri newaranukunakeka neputíma nepɨkaratɨmaiyawe Mɨpaɨ xeikɨ́a	Ne nei
spontaneous-speech-hch-31351.mp3	Ne teiwari kémarieya pɨnetsinake xɨka nereuʼuuximayátamieni nepenakatɨkɨ Paɨ xeikɨ́a	Ne  neieiei
spontaneous-speech-hch-31352.mp3	Ne nepaapáma mepɨnetsiʼɨhɨritaxɨ meuyuʼaitayuka kaakaɨyarita eh tahetsíe mieme tatuukari meheuwautɨkaitɨ́ mɨixa neputíhui 'ayumieme	Ne ne nee e ne neei
spontaneous-speech-hch-31353.mp3	Ne ʼikwai pɨnetsinake nekie timieme ʼaixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe naakarite kéʼuxate keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ́	Ne ne ne nee nene neepi
spontaneous-speech-hch-31354.mp3	Hɨ tepɨkatemate teiwari mɨtiweewie eh mɨɨkɨ taweewiya rixɨ́a tepɨteʼakumaté eh ne nepɨtimate ʼetsiwa ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe Paɨ xeikɨ́a ejem	Ne ne ne ne ne e menei
spontaneous-speech-hch-31355.mp3	Nepaapa xaweeri pɨmatekai mɨɨkɨtsie pɨtiukayuitɨwakai eh pɨtitiweewikai ʼɨparíte xiirate pɨtimatekai paɨ pɨtiyuparewiekai Paɨ xeikɨ́a	Ne ne neeeei
spontaneous-speech-hch-31356.mp3	Taxaɨtá tepukutetɨkatei méripai tɨ hiikɨ ri ʼaxeikɨ́a tepukutetɨka kiekari teutawauxɨaka hiiki ri maana niuki tepexeiya ri hiikɨ paɨ pɨtiʼane hiikɨ	Ne e ne e nee nei
spontaneous-speech-hch-31357.mp3	Wixárika pɨyutaʼɨ́kitɨani kaakaɨyarita kuyeikátɨ tiheinɨwetɨ payaní ʼanawietɨ waʼutɨma eh ʼutatuunuwatɨ payaní Paɨ xeikɨ́a	Ne ne enee nene nei
spontaneous-speech-hch-31358.mp3	Takie 'uuximayátsika pumawe wixárika ʼikuwaunétɨ ʼuuximayátsika kiekaritsíe ri pɨyuhayewa xɨka takie xuawenike ʼuuximayátsika ʼuuwa tepuʼuuwánike	Ne e e ne ne e ei
spontaneous-speech-hch-31359.mp3	Xɨari ri tepɨkateʼayexeiyani ʼaana hipátɨ mepɨtehatɨtɨmaiya ri ʼipaɨ waʼaátɨ pɨreuyewexime ri takiekari paɨ xepɨkaʼaneni hiikɨ tɨɨrí xemunúnuiwa xetenayexeiyani Paɨ xeikɨ́a	Ne ne nee neeei
spontaneous-speech-hch-31360.mp3	Wixáritaari memɨkaʼukuxɨriwanikɨ eh waɨká pɨreuyewetsé eh tepɨkaʼanutiyɨwawe ri tumiinikɨ pareewiya heuyewetɨ́ payeika	Ne nee ne ne nei
