audio_file	reference	hypothesis
spontaneous-speech-mmc-21692.mp3	À jñíñi mí b'üb'ü ná ná ndíxu ñe ná b'ë̌zo yá mí xîrabi mí sìpji ná xútǐ'i pézheji k'e nú b'ë̌zo jyâsm'a má mâ'a k'o k'a të́jë mí pá'a dyá tjǜ'ü zà'a k'a rá dyä̀t'äji ngǔm'ü jé mí pë́pji k'a të́jë Nú ndíxu mí kjë́jmé à k'a ngǔm'ü mí 'ä̀t'ä jñôna mí pà'a k'a ndáreje pa pédye b'íjtu pero 'ë́jë ná pá'a k'a mânk'a nú b'ë̌zo rá mâ'agö k'a të́jë rá má pë́pjigö pero rí né'egö rá... rí pó't'ü rá ñgôñi rá ndájmé k'a rá síbi má yá sä̀kjü rá jñônabi k'a nà xí'i k'a nú ndíxu já'a má pë́pji 'e rá jó'o rá pó't'ü nú ngôñi 'é gó 'ë́jë k'a nú pá'a dyá k'o jyâs'ü gú kjö̌gü dyéje ndíxu k'o mí pá'a k'a ndáreje má pédyebi k'a ná xí'i k'a nú ndíxu jmó'o k'a ndáreje má péjñi b'íjtu k'a nà mâ'a k'a nú ndíxu nú b'ë̌zo í'o dyá rá mâ'agö tä̂'tk'o jñôna porque rá 'éñi xí'i rá mí jñôna Mójo nà ndájme dyá rá mêts'i kjâ'a ná... má nú ndíxu pero dyábi mbó'te k'a nú ngôñi k'a ró jyês'ü k'a ná jyês'ü k'a nú síbi k'a nú s'ä̌b'ä k'a ná só'o k'a ná móji k'o yó mí ri xúdyo má péjñí k'a ndáreje ná rá mój 'ë́je k'a nú ndíxu gú chó'tk'a nú s'ä̌b'ä dyábi dyábi ñéjme porque nú jñóna gú síbi gú ñó'o k'a má ndá nú ndíxu Ah pjéxôra ngó dyá 'íxi rá má sä́jä dyá 'ṓjtjō nú ngôñi k'a ró pó't'ü jé gó máma k'e mí né'e rú sà'a nú ngôñi ngék'o rá pó'tp'ü nú ngôñi Ná ngá'a ná ngá'a nú xé'xo rá kjâ'a dyá k'a pjéxora 'ùña má rá sä́jä rá sângü rá mbéjkue pjék'o rá xípji k'a ná má'a nú ndíxu k'a ná ch'éch'e nú jñá'a k'a nú tíjue'e k'a mí b'ǚb'ü nánk'a k'a rá mbájtu k'a nú tíjuezhi pjék'e xêr k'a ñé'e pa xá'a 'éjk'e í í ndzhôñi k'a xêmpk'e í séñi nânk'a nú ndíxu dyábi sígö ná jó'o mó'ne 'o dyójpjk'ü nú ndôñi k'a nú tíjué'e xípji s'óstü pa ín ndzôñi ngék'o rá 'éjpk'e í jñí'i k'a rá jñé'e gá xútǐ'i gú ngós'ü k'â'a nú zák'a nú ndôñi nú jñǘ'ü nú mó'n'e núx... ndíxu dyójk'ü nú ndôñi nú nú tíjué'e k'a ná jyês'ü k'a ná jyês'ü k'a síbi para que dyá ró mbǘtji nú jmó'o nú tíjué'e para que ró 'ù'u k'a nú sódya ró sí'i Má mú sä̀'ä k'a nújnú b'ë̌zo k'a nú xîra nú juíñi yó 'ùnga nú jmó'o kja ná xípji jñôña mientra rá má ndûgö ó ndéje k'a méje dyá rá méts'k'o porque 'ṓjtjō ndé k'a rí sí'i nú ngé já gú dyä̀tk'ä k'a nú ngé'e k'a nú mójmo k'a nú mbéjchin'ü o mbǚrü rú ñônk'a nú b'ë̌zo nânga jó'o gá nú tíjué'e pjé 'ṓjtjō jânga mâ'a nú ndó'o jā́ndā mâ'a k'a ngôxti nânk'a mânk'a k'a nú b'ë̌zo 'ṓjtjō k'a ín ch'íjué'e xé gá má dyá dyá bá kích'i rá ñôjmé Nánga kjâ'a nú xânga nú b'ë̌zo né'e ró ñójk'a nú ngé'e k'a ná máma Pájpa jé mbǚrü b'ǘnk'o má'a tá'a dyá gí ñójk'o züngü ñes'k'o ín ch'íjué'e k'a ná jyó'o k'a nú tíjué'e nú b'ë̌zo jyés' k'a nú jmó'o gú jyôd'ü k'a ná'a dyá gú chójt'ü dyá rú mbára ngé k'a nú tíjué'e k'a dyábi 'ùnü rá mǜ'ü rú zí'i Kja ná mújte k'a nú b'ë̌zo ró jyón'i k'a nú ndíxu o pójtk'a nú ndíxu gó mâ'a k'o dyájtk'a nú ndzhôgü mí xíbu mbári jângé rá mbá'a jé go jók'ü të́'ë k'o mí jôrü para pjék'o gú mbéx k'a nú ndíxu 'ú jmá'a k'a nú ndíxu nú k'a gú chôjtji gú 'ṓjtjō dyájkja gú chôjtji k'a nú ndíxu Ngéjnu jñá'a k'a pézhi à jñíñi k'a nú jñá'a e Juliana	N jñíñi mí b'ǚ b'ü ná ndíxu ñée ná b'ë̌zo rá mí xírabi mí sípji ná xútǐ pexeji k'e n b'ë̌zo jyês má mmá k'ok'a téje mí pa jyt'ü s'a k'a rá dyä̀t'ä ji ngǔm'ü émi pë́pji k'a të́je nú ndíxu mí kjèjme à k'a ngǔm'ü mí 'ä̀t'ä jñôna mí pá k'a ndárej mi pa pédy b'íjtu pero 'ë̄̌́jē ná pá'a k'amâka nú b'ë̌zo rá mág k'a téje rá má pë́pjigö perorí né'egö rá rí pótjü ná ngôñi rá ndájme k'a rá síbi má dyá rá z'orá ñônagi k'a ná xí k'a nú ndíxu jâ'a má pë́pji yé rá jô rá pótü gó nú ngôñ n gó 'ë̄́jē 'a nú pá y k'o jyäs'ü  k'ôü dyé ndíxu 'mipáaa ndárró má pédyebi k'a ná xíj k'a nú ndíxu mójk'a ndárej   péi bíjtu k'a ná má'a k'a nú ndíxu nú b'ë̌zo yá dyá rá má' gö k'a 'ä̀tk' jñôna porque rá i xíra rá mí ñôna mójo ná ndájme dyá rá méts'i kja ná m nú ndíxu pero yá bgi mbótjü k'a nú ngôñi k'a ró jyäs'ü k'a ná jyäs'e k'a nú sí'i k'a nú zä̌b'ü kja ná zó'o ka ná móji k'o yómíí x'i má péñi k'a ndáreji n mámu 'ë́jē k'a nú ndíxu gú gúch'ôtk'a nú zǚb'ü yábi yá bi ñéjme porque nú jñôna gú sípji yó yó'o kja ná máa nú ndíxu àaí pjéxo rá 'ùng yá  xí rá  rá sä̌jä yá 'ö́jtjo nú ngôñi k'a ró pótü ngégó mámá k'e míné'e rósá'a núngôñi ngék'o rá pót n ngôñi nângá mâgá únd xéxo rá kjâ yá pjéxo rá 'ùña pá rá sä̌jä rá zǎngü rá mbéjkue pjék'o rá xípji k'a ná má nú ndíxu k'a ná ch'êdhe gú jñânk'a nú tije k'a mí b'ǚb'ü nângá ka n mák'a nú tipja xípji k'e xëka ñé ma xaek'e ííi ndzhôñi rá xí k'e í séñi nánk'a nú ndíxu yá bi síbó rá gó ná jó mon'e gó dyók'ü n ndôñi k'a nú tíje xípji ts'ost'üá í ndzhôñi géko rá 'ëjk'e íí ñí'i kja ná dyägaú xúti gú ngós k'a zák'a nú ndôñi gú jñü nú m'n'e núxndíxu dyójk'ü nú ndôñi ú ú tije k'a ná jyê̌s'ä k'a ná jyés'ü k'a síbi para que dyá ró m'ütji gú mbónú típje para que ró 'ùnk'a ú só'dya rú sí'i má nú sǚ' k'a núnú b'ë̌zo 'a nú xîra gó juiñi gó 'ùnk'a nú mójü kja ná xípji ñôña mentra 'e rá á túgó ndéji kja mëje dyá rá méts'k'o porque 'ö́jtjo ndéje k'a rí sí'i nâgá gó jñûtjü k'a nú ngékja nú mojü k'a á mbǚb' k'a n mbéjch'i ó mbürü ú ñôn k'a  b'ë̌zo nângá jô ka n tje 'ṓjtjō jân ngá má núó jânga má k'a ngóxti mângá mák'aú b'ë̌zo 'ṓjtjo k'a ínchíje xé bá má dyá dyá b'a kíc'i rá ñôjmé nângá kja nú ñnú xëka  b'ë̌zo né'e ró ñójka nú ngé k'a ná á̄má papajé b'ürü b'ǘk'o b'átá'a dyá rí ñójk'a ́ngésk'ó í ch'íje kja ná jyôn k'a nú tíjé ka ú b'ë̌zo jyés k'a nú mójü  jyôrü k'aná dyá g ch'ö̌t'i dyá gó mbára ngék'anú tíjje k'a yá bi 'ùnü ró mojü ró sí'i k'a ná jmüjtü té k'a ú b'ë̌zo ró jyô'i k'a nú ndíxu kó 'ójk'a nú ndíxu bá mátk'ü dyájk'a gú ndzhôgü íxi gúmbári jange á má'a gé gójôk'ü të́' k'o mí jôrü pára pjéko úmbéxk'a n ndíxo  má k'a nú ndíxu  k'a r ch'ôtji gú 'ṓjtjodyájkja gú ch'ötji k'a nú ndíxu ngé nú ñá'a k'a píxi à jñíñi k'a ú ña uliana
spontaneous-speech-mmc-21716.mp3	Hângé gá yët'ji nú séncho k'a síjàjñini 'ät'i kjṓ'ō ndécho k'a ná s'íb'órëcho ñé'e k'a ná ndzíró's'a chámbaji 'ötü rá ts'âpji rá tedyü dyà m'ará të́'ë yó dyü'ü 'éxíspjiji jiâsmaji 'ispiji ndéje para t'ë'ëza kídyü'ü Ke se té'e k'o rá dyù 'ët'ëji k'a jiârü dyàm'a nòdya hó'o dyéró ngünüji dyá ró jiês'eji ná xôma pa ji'ó'o nájp'a hök'ü zájk'o 'ngóraji para que ná ndárajo m'ayájtja ná hó'o yágá kjíjmi yágá yá n'êrází yó té'e dyàró mbás'äji k'a 'añéjp'üji nú tújk'ünú k'a ná té'jto k'a rá t'á'a nú kjára ts'âpji yó 'íxpji kjonújiârü Dyàm'ará xí'ichi k'a mügü séncho k'a yándá'a rá ts'âpji rá ts'âts'aje rá së́dyi	Nânge gá dyä̀tji nú séncho k'a síji à jñíñi 'ä̀t'i k'o ' ndëcho k'a náts'íb'ö̌rexho ñé k'a ná ts'írósa ch'âmbaji ótü rá ts'ápji rá të́'ë yó dyä'ü dyá m'a rá të́'ë yó dyä̀' eh xíspjiji jyás ma xíspjiji ndéje para te szakü yó dyǜ'ü des'e k'o yá ró dyä̌t'äji kja jyârü yáma rá yöä ná jó'o dyá ró ngünüji yá ró jyês'eji ná xôm'a pá jia nájp'a jók'ü sák'o 'oraji para que rá ndá'a ná jó'o má dyátá'a ná jó'o dyá gá kíjmi yá dyá né'e r s'íyo të́'e yá ró má dyá gó mbás'üji rá rá ñǔpj'üj nú tjū̌k'ü nü k'a té tjo k'a yá tâ'a nú k'a rá ts'ápji rá 'íxk'i k'o nú jyarü dyá m rá xích'i k'a nú séncho k'a yá ndá'a rá ts'ápji rá ts'áts'ëje ná sëzhiN
spontaneous-speech-mmc-21720.mp3	K'á jñíni b'ǚb'ü ó lugar kò sagrado pa ndá ó pa xôrüji nú ts'ák'á'a k'a níts'imi 'ö̀ngéje k'a o ts'ícapilla 'ä̀tp'äji yó mbáxua ñéhe jângó pë̀dyëji yó b'íjtu yó sí'iño b'ǚb'ü ná jó'o juájm'a k'a pë́s'e ndéje... dyà hë̌si rá sí'i ó animále k'a ndéje 'ok'ejo k'o rá para m'ámbíño b'íjtu nâxto yó b'íjtu yó siño gó p'émbeji m'ádyagúzü yó mbáxbaji Ñéje k'a b'ǚb'ü ná të̌hë k'a 'ä̀t'i nîxa 'ë́ñë pa 'ö̀rüji pòho k'a dyàra xū̀'ūt'i yó porque 'éñe míxi ró 'ö́ndéje para ngó nú téje m'áráxû'u mbéje nú dyä̀rä rá pjántëjë gó m'ajñíni ñë'ë rá ts'ǜntü yó të'ë ngéko 'ä̀tp'äji nú míxa míjingóme 'ä̀t'pjüji k'a mí k'ǜgü pero gúdyà dyàjk'a 'ä̀t'äji porque tu mirá juínch'i ngéka m'ajñíni dyàjk'a rí mângo dyàjk'a rá pö'ö ndéje k'a ná p'ônkü	Nkja jñíñi b'ǚb'ü 'ó lugark'o sSagrado jâgo ndá pa xôrüji ts'ák'a k'a níts'imi ó ngéje k'a 'ó ts'i capidya 'ä̀ttp'äji yó mbáxua ñéje jângo pédyeji yó b'íjtu yó síño b'ǚb'ü nájó'o juā́jmā k'a pés'e ndéje dyá jês'i rá sí ó animále k'a nú ndéje ó k'éjo ko rá má mbéño b'íjtu ñâxto yó b'íjtu yó síño k'o pémbeji má yá gú sé yo mbáxuaji ñeje kja b'ǚb'ü ná të́jë k'a pa 'ä̀t'äji míxa eñe pa 'óri pójo k'a yá rá xǘ'ü nú të́jë porque ñé  míhi 'ó  ndéje kja nú mbônú të́je má rá xǘ'ü ndéje nú yä'ä rá rá pá nú ndéje gá má jñíñi ñé rá ts'ǘnt'i yó të́'ë ngék'o 'ä̀tt'äji nú míxa mí jíngua mí 'ä̀tpj'äji yá mí k'ǚgü pero núyadyájk'a ndá 'ä̀tp'äji porque komo yá juí̌nchi ndé k'a má jñíñi dyá jk'a rí mângo yáj k'a póo ndéje k'a ná pǔnk'ü
spontaneous-speech-mmc-21721.mp3	M'á kjá mí t'síjkegö m'a rá kjá gó í bëts'a é rá kajma k'óyó juítjo e máko ts'íretazo í pònk'ü hângo mí juë̌'ch'i... eh... rá tsündk'o rá tungu yá 'ögü m'a kja mbö́rü pjam'a pjórü ndë̌ch'i Rá juë̌zhi yá nujmu ná mbürü dyé rú síjke ya mbàra mí ts'unt'a torga jüngü ngépjo para que rá xônda juë̌zhi rá... rájmü kja rósa k'o mí pjörü rá m'ákja mṑ'ō eh... nú mbàra m'amborá zângo mbora xískome ná mbéts'a kja rí tojtje k'a rígö y m'éphi yó rí 'ät'ä mbéske ga mbé'em'agö ígö dyajk'a rá sögü Ts'akjama mí jatk'a ngéko dyàró xôrü dyà kja xút'i'igö kja ro xôrgö dyà m'âno kju'ugö mayàbi mí jä'ä töpjü para juntu ts'ájíñi 'unt'u k'o rá gú págo ngérá kjo í mbéts'a kjo mí kjârá ts'íjke	Nmá kja mí ts'íjk'egö má rá kjâ gó í méts'a rá campggo yó b'íjtu e máma k'o ts'íre tázu k'o mí pǔnk'ü jângo mí jué̌jch'irá rá ts'ṓntkorga tunk'o dyá g á má kja b'ö̌rü rá má pjôrü ndë́ch'i rá juë̌zhi dyá nú rá jüngo rdyé p dü si k'e rá mbára  máma mí ts'ṓntātorga jüngo yá ko paa que rá xô'ü rá juë̌zhi rá jünü gá mák'a rosa jângo mí pjôrü gá má k'a mu'u pero má rá mbáre mámá mbó rá zango mó ra xíts'k'o mí ná b'ëts'a mé k'a yá gí tjȫjtk'ü yá yó í mépjio rí 'ä̀t'ä vesk'e gá mérmagó ímíjtu ñyájk'a rá sójtjü ts'ák'a má mí mák'a ngék'o dyá ró xôgo má k'a mí xúp'i gö kja ró xôrgo má yá má nökjügö má yá mí mí jû̂'u tòpü para tö ma ts'áje ímíjtu k'o rá upágö ngé dya k'o í méts'a k'o mí kjâ má k'a mí tsík'egoN
spontaneous-speech-mmc-26534.mp3	K'á nájo ka ri mbèñe go ngéka ko híts'i mi nána ro jñâtjo jñâtjo ngéko ri pára ra jñâtjo jñâtjo y ri ñángistia ngéko ri jích'i yo yèjio té'e ñěe ka ro xö̂ri mi máma mi ch'èb'e mi ch'èb'e yo b'ítu yo a San Mateo y ndèro xö̂ri ye káro teb'e yo b'ítu ri mbèñe ka mi nána ka mi p'èch'i ngéko mi nájo'o ka ri mbèñe ka mi p'èch'i yo b'ítu nde ngéko ndéro xö̂ri ri ch'èb'e y ri jñâtjo jñâtjo ñěe ka ri něme pa sóra ma yǎrgo něme ko ri mbèñe mi nána ka mi p'èch'i ndèxi yágo	Nk'a ná jó'o k'a rí mbéñegö ngé k'a k'ojíts'i mí nána gó jñátjo jñátjo ngéko rí pâra rá jñátjo jñátjo y í ñângestia ngék'o rí jích'i yó dyéjyo të́'ë ñe k'a ró xôrü mí māma mí ch'ä̈̌b'ü mí chä̌b'ü yó b'íjtu y yó à San Mateo y ndé ró xôrü dyá k'a róró tä́b'ü yó b'íjtu rí mbéñe k'a mí nána k'a mí pjëjch'i ngéko mí ná jó'o k'a rí mbéñe k'a mí pjëjch'i yó b'íjtu rá ndé́mb'ü ngé ko ndé ró xôrürí chǚb'ü í rí rí ñátjo jñátjo ñé k'a rí nêm'e pastora má dyargó né'me dyá k'o rí rí mbéñe mí nána k'a mí pjëch'i ndéxe dyák'o
spontaneous-speech-mmc-26535.mp3	Yó ndä̂jnä k'o té à jñíñi ngéjo... ó alcatraz ñéjo róxaxí de Castilla ñeje ná k'a xîji mûxa ndä̂jnä Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo la kja yó tjí'i kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño ngéko té à jñíñi k'o yó ndä̂jnä	Nyó ndä̂jna k'o të́'ë à jñíñi ngéj à ca tras ñéjo o ró xaxi de castillia ñéje ná 'axíji müxa ndä̂jnändé të́o ó kjṓntjo k'a ngǔmü k'a ná jó'o para 'üpjejme dyé má gí sémpío ngék'o të'ë nú à bǘnk'o yá té́' k'o ndéjm'e  ó radiola k'a yó kji'i k'a yó tūjmuji k'a nú tjǐ'i para yó gást'o ts'ëjeji k'a nti k'a siño ngék'o të́ë à jñíñi k'o yó ndä̂jnäN
spontaneous-speech-mmc-26537.mp3	Nú ñěch'e k'andàp'ágö àjñíni ngé nú kṑjtṑ k'a ná hó'o pára 'àñátja ñem'a senti kònája dyé má k'a mbéjkue mí nà 'üm'ü péjme Nú kás'ôra ndônt'i rá mbéye nú ts'írë̀jë k'a rá ndébiji 'ka ná xálo Máji yó rá jiës'eji yéré ná síji ts'ímp'a ngék'o rá jögü k'a nú pénk'aná'ü k'a náha Mi ná jó'o nú ñéch'e ñú'u 'ókṓtjō	Nú ñêch'e k'a ndá p à jñíni ngéj nú kjṓjtjō'o k'a ná jó'o para má jñátja ñé m'a senti yó k'a nája ñém'a k'â mbéjkue mí ná 'úno pjéme nú k'a sô'ö rá ndóntji ráráa mbédye nú ts'íreje k'a rá ndéb'iji k'a ná xálo má jiyó rá jyé̀s'eji rá síji ná ts'impa ngéko rá jögü k'a nú pé' k'a ná 'ǘ'ü k'a nája mí ná jó'o nú ñéch'e ñū kjṓjtjo'o
spontaneous-speech-mmc-26538.mp3	Jângé rí sä̀'t'ä àjñíni rë̌'ë té'gü ré ch'á'a zǐndzi gá m'ân'u àjñíni	Nangé rí söt'ä àjñíñi rí tâgä flecha dzǐndzi k'a m'ân à jñíñiYN
spontaneous-speech-mmc-26540.mp3	Yó b'íjtu k'o jë̂gi à jñíni jñō̂'ō China tóji à Bṓndo ngé à Xônxua eh... rá dyójki este... gá dyä̀tpjäji yó tíjmi ñé nú dyísk'a 'ä̀tpjäji k'aj jñó'o nó guénta eh... k'óspoji ná b'íjtu k'a mâño color ñéje k'a ná ngôspjüji xîk'a ndéxe ndé yá párte dya ró jmū́'ūji rá dyä̀tpjäji nú pjólsa rá dyä̀tpjäji nú gargantilla k'a nú tíjmi dya ró dyä̀tpjäji dyá ró ch'ë̌pk'iji nú... nú cinta k'a depende k'a ná nâ'a nójo nú të́'ë pero k'ospjaji xîk'a ndéxe ndéxe k'a nú tíjmi 'ä̀tpjäji nú khèzhe ñé' nú pájna ñé' nú delantal k'a nú delantal ndé ró jö̌spjüji xîji k'a dya ró dyä̀tpjäji yó ngúxa k'a nú ngúxa 'ä̀tpjäji ndé k'ö̌spjüji xîk'a jö't'a dyätji rá tándë̂'ëji yó jrú'u nújnù nú kjèzhe ñé' nú delantal ndés'e k'o dyá ró planchaji para que rá ñíts'e ná só'o jyá dyä̀tji k'o nú b'íjtu à jñíni	Nyó b'íjtu k'o jë́ji à jñíñi ñō̌'ō china tô̌ji à Bṓndo ó ngéja Xôxuóreh rá yókji este. rá dyä̀tp'äji nú tíjmi ñe nú dyís k'a 'ä̀tpj'äji k'a jñū'ō nú uelta eh kö̌sp'eji ná b'íjtu k'a náñó color ñéje k'a ná ngósp'üji xík'a ndéxe ndé tó́ji à parte yá ró jǔrüji rá yä̀tpjäji nú àpjolza rá dyä̀tp'äji nú nú gargantia k'a k'anú tíjmi yá ró dyä̀p'eji dyá ró chék'eji nú nújn sinta k'andepende k'a ná nójo nú të́'ë ero kösp'eji xík'a ndéxe ndéxe yó k'a nú tíjmi 'ä̀ttp'äji nú kjèzhe ñé nú pájna ñéjnú delanta k'a nú delanta ndé rá ngósp'üji xíka yá ró dyä̀tp'äji yó mbúxa k'a nú mbxa ndé 'ä̀tp'äji ndé k'ö̌sp'üji xíka ó t'a dyä̀tji rá 'nt' ndǘjiyó ú nújnú kjèzhe ñé nú delanta ndés'e k'o yá ró planchagöji para ue rá ñéts'e ná só'ojé gá yä̀t'i k'o yó b'íjtu à jñíñi
spontaneous-speech-mmc-26541.mp3	K'o jích'í yó xútǐ'i rá k'ǚn'üji ñájñú ti xë́dyi májñú tí xë́dyi ná xá kjâgü ñé k'o mi jǒtjo ná xînch'i ná ñúnú k'a ná mö̌gü Ñé kjâ'a jích'iji rá juë̌zhi rá dyä̀t'ä kjö́s'u rá dyä̀t'ä mândras'i xích'iji ná ndǜjnü ó xídyo ngéko má yá rá ts'íb'ùs'ü dyágí páraji k'e pjéko pjéko má... má ndágo kja 'í kja ngǔm'ü yó ndíxu Ngéko jích'i yó xútǐ'i ñe k'a rá xîño s'émiji pa yá nà xûndoñoji ná jö̌rga gá kǚnüji pa dyá rá ndó'iñíxtji pa ró kjǘ'ü jñé kjâ'a yó xë́dyi jích'i rí má mbéñoji tjúji rá péjch'iji mândago ó kjâ'a í k'a ngǔm'ü Nú k'ót'o k'a yó... yó nána rá jích'i yó xútǐ'i y yó tǐ'i ngéjnú t'ák'a rá xôrü rá má t'ū́s'á'a rá dyé 'ùndá para pë́pji k'a juā̌jmā ngek'o jích'i yó xútǐ'i ñéjyo tǐ'i kja jñíñi	N'o jíchiji yó xútǐ'i rá kǚjnüji rá jñúti xë́dyi  jñúti xék'o mí ná xá jâgü ñék'o mí jöto gá xíndzhi yó ñänü k'a dyá mögü ñe k'a jíchiji rá juë̌zhi rá yä̀t'ä kösü rá dyä̀t'ä mândrasi jích'iji rá ndǘnü  xídyo ngéko má ya rá ts'íbús'uji y gí pára ji k'e pjéko pjéko má mândago kjâ í ka ngǔm'ü yó ndínxu ngék'o jíchi yó xútǐ'i ñé k'a rá xíño s'éñiji pa dyá rá xúndóñiji ná jörga gá kjǚjnüji pa yá r ndóñisti k'a ó kjǘjnü ñé k'a xë́dyi jíchiji rá má mbéñe bíjtuji rá pëch'iji mândago k'o kjâ í kja ngǔm'ü nú k'ótjo kago yóyó nána rá jích'ii yó xúť'i íyó tǐ'i ngé nú t'a k'a rá xôrü rá má tuza'a rá dyé yúndá para pë́pji kja juā́jmā ngé k'o jíchiji yó xútǐ'i ñée yó tǐ'i k'a jñíñiN
