audio_file	reference	hypothesis
spontaneous-speech-meh-29383.mp3	Nuu vi sikaka ni kaa jika nuu ñu'un Ñu'un ni ini kaa ne vitan jiankani nuu kaa soma sikaka maa ni maa ja tyi ntuvi jen ña'nu sa nkajiene ñu'un ni ini kaa Yatin a iñɨ ni nɨɨ uxi uvi yu kuiya jen sa kajie'e ni kani ni kaa ve sa luli nityi ntuvi	Ntuvi sikaka ni kaa jika nuu ñu'un So ɨjɨn ñu'un ni ini kaa vitan jiankaa ni nuu kaa Soma a sikaka maa ni maa jatyi ntuvi Jen ɨjɨn ña'nu ni sa'a nkajie'e ni ñu'un ni ini kaa ya'a tyi ntu kaa ni kaa maa ni maa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa kaa jen kaa jen kaa kaa jen kaa jen k
spontaneous-speech-meh-29384.mp3	Da neyu sa'a ni tyi a viji kuni ni kuvi da neyu u'va tyi maa nee ñuu maa ja ne sikana o maa tyi tun ntu vi jen tɨɨn jɨ Je suviji sa'a o maa ja kuni ni so sa'a ni maa ja sa'a ni neyu u'va yukuan vi neyu vixin ka tyi ntu neyu kuii yatyi ka kuvi ji	Da neyu sa'a ni tyi a viji kuni ni kuvi da neyu u'va tyi maa nee ñuu o majan ne sikana o majan tyi tun ntuvi jen tɨɨn jɨn jen suu viji sa'a o majan kuni ni So sa'a ni majan nsa'a ni neyu u'va yukuan vi neyu viji ka tyi tun neyu kuii de yatyi ka kuvi ji
spontaneous-speech-meh-29386.mp3	Suu nasa kuaan viko kuvi neni iin da viko yukuan kuvi ji tyi tun viko viko ii viji de a viko santu ka'an dani maa ja E su... yo'o ita sa'a dani natyu'un dani sukun Santu natee dani nuu da santu yukuan detun viko sɨɨ vi tyi suu tee dani na natyu'un dani ita Tee dani da sukun na iin a kuvi ji na na yuku na yuku vii natee dani nuu nuu yu'u ve'i ityi kivɨ ñivɨ tun viko sa'a dani	Suu na sa kua viko kuvi ne ni'in da viko yukuan kuvi tyi tun viko viko ii viji de a viko santu ka'an dani majan suu yoo ita sa'a dani natyu'un dani sukun santu na tee dani nuu da santu yukuan Detun viko sɨɨ viji tyi ɨjɨn suu tee dani na
spontaneous-speech-meh-29387.mp3	Suu a no'o ni a no'o ni sa kivɨ xinañu'ni ve'i sukua'a a kuvi a Yu'vi ni kuaa ni nkanta ni nkuyati ni tyiji ñuu jen nkajie'e yu'vi ni kuvi ni kuna'yu ni tyi mantu viji ni ni navi tyiku'u ni ini ve'i yukuan ntu jini ni Katyi daja kɨ'ɨn nu sikua'a nu katyi daja nuu ni soma yu'vi tuni ni jen nkajie'e ni na nkuvi ni kuna'yu ni ne'ya ni Iñi ni yata ve'i nee jen sa nakajie'e ni nakaka ta ni kuaa ni jen nunu kanta ni kivɨ ni ini ve'i yukuan so nee ni suyu'vi ni maa ntu ka'an tee xine'e yukuan ntu ka'an ja tu'un ka'an ni tyi soo a tu'un ka'an jen tu'un stila ka'an jen yukuan vi nu Yu'vi ni ka'an ni a na'vi ka'an sukuan nkuka'nu ini o Ka'an ja ka'an ni ntu nkuka'nu ini ni na nkatyi ji soma Sɨɨn sukuan ni ña'an ni jen sa ne kivɨ uni kivɨ kumi jen sa nkajie'e nka'an ni Ña'an ni ve'i yukuan ve'i sukuan sikoo a ni	Suu a no'o ni a no'o ni sa tivɨ jinañu'u ni ve'i sɨɨ sukua'a kuvi a yu'vi ni kua'an ni nkanta ni nku yatin ni tyiji ñuu jen nkajie'e ni yu'vi ni kuvi ni kuna'yu ni tyi ma ntuvi jini ni na vityi kɨ'ɨn ni ini ve'i yukuan ntu jini ni katyi daja kɨ'ɨn nu sikua'a nu katyi daja nuu ni soma yu'vi tuni ni jen nkajie'e ni na kuvi ni kuna'yu ni ne'ya ni tyi yu'vi tuni ni jen nkajie'e ni na kuvi ni kuna'yu ni ne'ya ni
spontaneous-speech-meh-29388.mp3	Ta'an ini ni kaji ni nani titɨ vixin kue'e nuu titɨ vixin yaji ni Yaji ni jɨn... tinumi na'nu yajini tinumi kuatyi yajin ni ɨjɨn... nika yaji ni Soma ta'an ka ini ni kaji ni tinumi na'nu jen suu nkajini ntaka nuu ni sava iyo va'a ni ka'an ni	Ta'an ini ni kaji ni nani titɨ vixin kue'e nuu titɨ vixin yaji ni Yaji ni ɨɨ... tinumi na'nu yaji ni tinumi kuatyi yaji ni Nika yaji ni So maa ta'an ka ini ni kaji ni vi tinumi na'nu Sude a jini ntaka nuu ni sa va iyo va'a a nika'an ni
spontaneous-speech-meh-29389.mp3	Su a sa'a dayoo kuvi a katyi dayo nuu da sutyi kuatyi sava tɨɨn daja ityi ka'an va'a daja sava kunda'a daja jin ñivɨ ña'nu tyi a kuvi vitan vi a tyinoo daja yujin Ka'an vii ntu ka... ka'an daja jia'a daja nisukuan xi ɨjɨn jie da jinu da su nee ñivɨ ña'nu je ntu vityi a katyi dayoo nuu ñivɨ kuatyi kuvi ra tyu'un ityi daja sava kutuva'a daja ka'an vii daja jin da ñivɨ ña'nu	Suu a sa'a da yoo kuvi a katyi da yoo nuu da sutyi kuatyi sa va tɨɨn daja ityi ka'an va'a daja sa va kunta'a daja jin ñivɨ ña'nu tyi a kuvi vitan vi a xiin o daja yujin Ka'an vii ntu ka'an daja jia'a daja ni sukuan axin jɨn... jen da jinu daja suu nee ñivɨ sɨɨ va'a daja jen sa va kuvi katyi daja nuu daja
spontaneous-speech-meh-29390.mp3	Suu a sa'a dani kuvi a kɨ'ɨn o nenu ñu'vi ñivɨ Ntɨɨn koyo tɨɨn Yu'vi ti maa jaxii Na'in a no'o yukuan jen ntɨɨn kɨ'ɨn kue'i ñu'un ya'a maa jen kɨ'ɨn jin nee nuu no'o jo sun kuaan jen nake'en o jin ji kɨnakɨ'ɨn o ñu'un Ka'an o jin ñu'un yukuaa sava Nataji yukuan nuvi va'a ja Sukuan sa'a dani jiaa dani jin ñivɨ ku'vi A no a no'o a ntɨɨn kue'i ya'a maa ja de kuvi xii Jia'an dani jin jinee Nee nuu no'o sukuan te yukuan vi nuu na kɨɨn dani ñu'un maa kaa dani Jen ñu'un yukuan na kaa dani Ñuu neyu sava nivɨ nu'u a kumani yukuan tyi va iyo nankuvi va'a kajie'e kuvi sukuan jen Kuvi tyi jiyo nuvi ñivɨ sa'a Tun nkaje'e Ntu kuvi sukuan jen ka'aon jin nake'e o ñuu nuu viji	Suu jɨn a sa'a dani kuvi a kɨ'ɨn o nenu ñu'vi ñivɨ ntuun koyo tun yu'vi tii maa ja axin na iin a no'o yukuan jen ntɨɨn kue'i ñu'un ya'a maa ja jen ɨjɨn kɨ'ɨn o jin nenu no'o sukuan jen na ke'en o ñu'un jiji kɨ'ɨn o nuu ñu'un ya'a majan jen sa va kɨ'ɨn o nuu ñu'un ya'a majan
spontaneous-speech-meh-29391.mp3	Suu a kaji da yɨkɨn kuvi a sa'a o tyityiyo da yɨkɨn yute da naña yute da... jɨn... Naiin titɨ vixin naiin a vita de sa'a o tyityiyo jen... ɨjɨn tyu'un in ñejin luli de sia'a o nuu da kuatyi tun maa kuatyi vi de maa yɨkɨn vi detun a kuaan kue'e nuu kutyi... ɨjɨn suni saa ni sa'a o jen so sia'a o da titɨ vixin yukuan kaji i ɨjɨn nakete noo yukuan tyu'un o nuu iin ñejin luli jen yukuan Kunee kaji a ini ñejin a ini ko'o nasa kuaa kuvi maa a sia'a o nuu ju Suu jɨn... sukuan de ko'o va'a sava ntɨɨn kue'i maa ja	Suu a kaji da yɨkɨn kuvi a sa'a o tyityi'yo da yɨkɨn yute da naña yute da... na iin titɨ vixin na iin a vita de sa'a o tyityi'yo jen tyu'un o ini iin ñɨji luli de se'ya o nuu da kuatyi tu'un maa kuatyi vi da maa yɨkɨn vi de tun maa tyi'yo a sa'a o tyityi'yo da yɨkɨn yute
spontaneous-speech-meh-29392.mp3	Suu kune'ya da yoo nasa sa'a dayoo tyi xu'un de taxin jin soo kune'ya tuni'i ta'an o maa jen kunee o maa jini ñu'un ke'en o ntuvi ke'en o kaxi o maa sava jiankɨ'ɨ va'a ja Da kanta ja no'o jen tasa'a vi o maa ja yaku Kaxi o maa natañu'u jen tuni a koso jo so tyu'un a ta'an o maa sava kua'an jiankɨ'ɨ va'a ja tyi a ntu viyo koso tyi ntañu'u ni nɨ'ɨ jɨ sɨ Nuu koo kasa'a o sa'a o na iin tiñu na iin sava kanta tan xu'un jiankɨ'ɨ va'a ja iin nunu tyi nkuvi kuvi maa ku'un va'a ja vi'i soma suu kune'ya nasa'a o jen sava ni majan kuteku o	Suu kune'ya dayo nasa sa'a dayo tyi xu'un de taxin jin so ɨjɨn... tuni ita o maa jen su kune'ya o a maa jini ñu'un ke'en on ntuvi ke'en on... kaxin o maa sava jiaan nkuva'a ja tan kanta ja nuu o jen tasavo maa ya'a ku... kaxin o majan jen su ntu kune'ya da yukuan vi a sa'a daja majan jen ntu kune'ya da yukuan tyi naa jen su ntu kune'ya da yukuan tyi a ntu kune'ya da yukuan
spontaneous-speech-meh-29395.mp3	Suu jiani ni a kue'e tuni tiñu sa'a daja de jini ñuu daja jɨn... ñivɨ sa tyinei daja axin na'in xu'un sava ke'en daja na'in a ɨjɨn na'in tata jini ñu'un daja yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja Tyi jɨn... Iyo suku vi daja satiñu da jen ntuvi... ntuvi xu'un daa jen ntu kunei daja sa'a kue'e daja Itu ntu kunei da kaka kue'e daja Na tata ka... na tata kafe daa ɨjɨn... tikuitɨ daa nutyi suu kuvi daa sa'a daa maa tun ju Ntuvi xu'un jen ntu kuvi sa'a kue'e daa ma jen sava Suni kuaan sama iyo nuu ñu'un daa jen iyo kukue'e Savi kuun kukue'e tatyi kukue'e jen xinɨ'ɨ tuku a satiñu daja suu suu a maña'nu ka'vi maa xu'un de a iyo xu'un de sia'un nuu daa e tyinei daa tyinei xu'un a daa sava ɨjɨn... kaka kue'e daja itu daa suun nti'vɨ sava su kinoo tan yaku ka kuvi ni daja niñɨ kaji daa tyi suu maa... maa nuu ni vi a kuvi a jini ñu'un da je da nutyi va daa A yukuan vi a jini ñu'un da tun	Suu jianini ni a kue'e tuni tiñu sa'a daja de jini ñu'un daja ɨjɨn... ñivɨ sa'a tyinei daja axin na iin xu'un sa va ke'en daja na iin a ɨjɨn na iin tata jini ñu'un daja jini yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yukuan jen sa va ntuvi ni'i daja nuu ñu'un daja jen sa va ntuvi ni'i daja nuu ñu'un daja
