audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana ger akul ya akil ya yote kalam ayan milan wu akil gi jib akil la fi barau barau al gi jib ayan fi gildu asia akil al ana ger akul ana ger akul akil al bi jib afiya ayan al ma gi jib nana ayan y yote fi gildu jainskil yatu ayan al gi jib giamurub  gi nes afia tai al gi jibu gildu ma gi kun kwesi yan gildu kun taban zaman kulu akil al gi kun ta manfa ya akil al tenna al min jidi jide tena kan yamda gi wene na akil al gitala fi shamba akil al ma gi tala fi al gi adul ma ida akil yan al gi tala fi shamba tena t mingidi jide te
spontaneous-speech-kcn-22127.mp3	Ina endis te wedi te dawa dudu ne ya ne nyereku dawa dudu de na endis te wedi ne fi yal al duga yal al duga al min al yal ab duga lakin ina endis te wedi ne omon bada sha dawa de wai bada shar talata	Ina endis ta wedi dawa dudu ne ya me ne rukuka lakin dawa dudu den endis ta wedi ne fi yal al duga yal ab duga al min al yal abduga lakn ina endis ta wedi nomon badasha dawa de wai badashar talata
spontaneous-speech-kcn-22154.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	Teriga wal awun yae taalim awun fi namma te giru fikra yan mayindise to yal banna be fi umma ta tinin amurugu min umon fikra al barau bara kamon gi fikra al awaja ja umfanu ja kelengal a gavment al fi fi bambara de waji nama ya ni kutumon fi saakulu komon kun bize komon kun cratibe komon kun yan anasal gisosolu giso kalam a  wedi umon gidam al kede amru gi mon fikra barau barau
spontaneous-speech-kcn-22169.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Adib tayal balna be ya teliga ab a kede azol so kede me al biawul min mashakil yan adib yal ban na be wedi nomon suniya omon aju suniya afa al saba bija rab womon ma usra al bija gidam umon
spontaneous-speech-kcn-22190.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Madrasata mahal am barnam je taalim athar to jib geeru yani jib geeru fikra ta anas yani badul fikra te anas min kun fawiri arjumon fi fi nur yan min amur guma min duluma jima fi nur dea athar mamus tabal fi umma
spontaneous-speech-kcn-22227.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	Wakti tai te foraj ana gi asuma bisan aju num ana bada akul kal an aju num w an aju gum kana ana num kal ana ajuana so sente ka ana so tujar tai kalam kade ana ligo sente ke ja kum be sente na anas na yal tai wu kaman ana gi feker fikir al kebir  umma me yal tai
spontaneous-speech-kcn-22260.mp3	Gen madrasa geeru anas anas geeru fikira jibu change mindset te anas al kan aju kidima ma mon ligo kidima al kan gi num gum min num yani geeru fikira hal te anas tena fi umma tena	yan maza geeru al geere fi gayan jib kan ju maindisibuta anas al kan aju kidima ma en ligo kidima al kan ginum gumai num an geeru fita al temma fi umma tena
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	A akil wesif teriga ta akil ta al ita gi fedho ya akil yote al gi awun nafsi taki gi ma bi jib neta madhara yote ama bi jimeta ayan fi gildu ama bi jimeta ayan yo t al bi jib problem neta fi gildu yani akil al gi awun afiya taki al mabi jib nesa athar al batal
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safir bele barau barau u bele ta ulan ya ana rua fi nairobi bele ta tilin ana ruwa fi tanzania yani bele barau bele tilin dol yazali ana rua fogo ma fi sudan al sabab to jere gus maisha al bi geeru halt tai ma anas tai bal na be
spontaneous-speech-kcn-22386.mp3	Fi youm kidima ana gi soo saa aruba an gi tumiya saa aruba bada kidima ana endi te amula safa ana endi te akulu wu ana endi ta soo ibaada ta sidu tai al kalagu ana fi dunia	Youm kidima  soo sa alma umiya sa alma bada kidima an inta mulsafa an inta akulu wan in ta so ibada ta sidu tai al kalag ana fi dundia
