audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Emulhume amathahi omukalimughuma erighulhukyaliwe erikakeha eryo kandi eriyikal iwerikabya maigulhakulhana kandi omulhuma mathahaomukali mughuma obutheka ibwabobukaneebya mw obuholho semuliebya itsuru beitamaomulhumy mathahya abakali ibanene omwa butheke mukabyerihale kundi abakali ibakaabana mulhwa ibakalhora omulhunabandi ibalhoghana nabandi ibabibakaibabakatoka erilha erilabangania kw ebinywae erilekaleka obuma nobuholhu ibabulha omwamuyi
spontaneous-speech-koo-50680.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Emisabe oma mughulhu thukathungerisrusuthaomughulhu thukathunga esyonyhe yikathuwethikaya okwirihumul okwa humulikana emiyiyathuyathunga eritheka kandi ikawathikaya eriheghitha emiyomibi eyikabya eyiri omwa bandu omumulhubakathunga esyonyohe yikawathikaya nabandu ababi abakaletha esyonyuhe erithunga outhima oweriye subaoAEAEAEAEAEAEAEAEAEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBEBE
spontaneous-speech-koo-50681.mp3	Thwamabya ithukakolesaya eh intaneti okwilhalhania emyatsi ithwalhangira thuthi emyatsi eyathukalhalhanaya rundi eyathuka lebeka eyabya eyinendeke kandi iyanganalethera abandu bemitse emibuya Kandi iyaghana eribalethera akatabanguku ko mwaka Kandi siyiri mwa mabehi ekyindu ithwa ithwaghana eribya thukatheka mwa mabehi ekyi kyikendithuwathikya okwilhalhania emyatsi okwi intaneti emyatsi eyiri ndeke	Ehamabya ithukakolesaya eintaneithi okwilera ni myatse ithwala ngerathuthgenesya thukaeleenayalhulyethukalebeka iyabiyinendeke kandi iyanganaletherabandu bemitsemebuya kandi yani baletherakathabangoku ngomamakakandi siiri mwamabehiithwabithwan bithukathekamambiekyindu eyi kyikithuwathikya okulalhania emyatsi okohintenithi emtsegerindeke
spontaneous-speech-koo-50682.mp3	Abembembetya bathuhabulha okomibiri mibuya eyobuyitsotse nakutsibutsibu okunaba okubyala nesabuni ibathuhabula okubya thukogha nabandi bathuhabulha eribya thubirya amathala wethu nokuthakula obubbine omo miyi yethu	Ebembembethya bakathuhabulha okw emiebiri emibuya ebyobuyitsotse nakutsibutsibu okinabukw byara kwisabuni ibathuhabulha oknoku ebyithukowa nabandi bakathwuhabulha ok bithukabirya amathalha wethu nokwithakulha obubine omwaomwamiyiyethuauauAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAEAE
spontaneous-speech-koo-50683.mp3	Ngamabya isingali ahangakolera omwabuthuku bwayi obwa ngabya isingawithe omubiri owangakolha nganza ingabya ingane mulima omwa lirima lyaghe nerikolha ebindi bindu ebyosi ebyanganyikulhakulhania ngerikolha e buzinesi nuko nganasasathunga akandi kasente akakayongera okwa musara wayi	Egamambya isingaliahangakolera mabuthukubuy wangabisigawithamgubiri angakolha nganza ingabya ingana mulima omalirimalyaghe nerikolha ebinda ebindu ebyosi ebyangaenyikulhakulhanye ngerikolha eby zinese nuhunganasathunga aandikasenti ebikayongera oko musariwaghe
spontaneous-speech-koo-50684.mp3	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithendithunga amalhwere nge pressure rundi obulhwere obukalethebawa esukali eribya nyinene omwa mubiri neryo thukikalha ithunawithe amaghalha mabuya	Erikehya erinyw sukali omumalha withuikathuwathikaya okithendithungamalhwere ngepuresya thundi obulhwera obukalethebawa esukalyeriebya nyineno omamubiri nerithukikalha ithunawithe amalha mabue
spontaneous-speech-koo-50686.mp3	Kiwithe omubungo munene abambesa alerere irihiribwa omomandekero bakathunga amange nerithunga amalengekania mabuya okobikabya omokihoghu Kandi erisoma kikaleka ibashathunga emiri embere omokihogho	Eyiwithomwa bongo munene bambesabalere eriyiribwa mamathendekiro kubusana bakathunga amenge nerithunga amal ngekani mabuya oku bandu bukabya oma kyihuu kandi erisoma likasabawathikaya erisabane emibiri embere
spontaneous-speech-koo-50688.mp3	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eyeribya ithuka bahulikirira ebyabaka thuhana thwamabya thukahulikirira ebya bakathuhana ithukendibya ithwamabiribasikya kandi thwamabya ithukabaha ekyitsumbi kyabo ngabakulhu	Ebandu bakulhu omwa malhambo wethu ithukindibasikya thwamabya omwa miberieribaithukabahulekirira ebya bakathuhana thamaithukabulekiri eya bakathohana ithukindi byaithomabiribasikya kandi homaithukabahekitsuumbikyabu ngabakulhuAEAEAEAEAE
spontaneous-speech-koo-50689.mp3	Omundu amathebwa likaleka anasulusutha omwamalengekania wiwe kandi likaleka ebyalwe aka thekatheka ibyatengesibwa omwa malengekania wiwe	Emundu amathebwa likaleki inasuorosutha omw mala eyikanyia wiwekandi likaleka ebyalho nabiripulaninga undi byalhakathekathek ibya tengesibwa omamaliekieniawi
spontaneous-speech-koo-50691.mp3	Eripima akabonde okwa abandu abahikenye likawathikayabo erikalha ibanasene emibere eya oghundi ikaliremo okwa mibere eyo buyitsotse kandi kyikabawathikaya erithasya yirinda	Eripimakabundi abandu okwa bandu abahikeni likawathikayao erikalha ibanasene emiberi yaghundi ikaliremu okwami okwa mibere eyobuyitsotse kand yikaboethikaya eritha syayirindAEAEAEAEAE
