audio_file	reference	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	Nanisangukoka bhangakudi bhasalibetikibhilibiikkitinisa andiibhuokinda bhakionga kani ibhu duageii andulu kimanjonabho bha bhakie nabhali nagozasisinisi
spontaneous-speech-rwm-57262.mp3	Ka buyonjo bhalalemi ndibha ka ngongwa mbili ndiasu kalibe ndia bhakikolaga bhaitu bhabhi kibha nibhakibhueka bhakpa bha soloza buyonjo injo poni bhabhutolia bhakpa kima ndia bhagbokiliani kolai ogisa na komba na kima poni ndia akisobola telemisabe inji mabhonga	Nkabuonjobhalimindi akangogwa mbili niaskalibedibakolagabitu bhababiki bhanibhakibhokaa bhakpa hassolozabnjonjoponi babhautli bakpo di bhagbokiikolai gisa aakomba akimandiekisobla telimisabe ji mabhoK
spontaneous-speech-rwm-57264.mp3	Bizibu ndie nikoliliku koliliku kolisa dhetaga sa basi kedha takisi kowemi ali inja inja nanigbei kedha nyota nanigbei kedha nkya tabu nala nitinikiliagi dumbi nitekeleza nti nkya tabu yoho niki tunga bhoni	Nezibu ndi nikolilikukolisaidhtaga nisa asikidhatai kwemiali nja njoja nanib kedhanota nanibei kdhaiketabu nalanitenikiliagi klilika nabenti nikiatabungkitongabhukima mamulingolinjakidhuwaga itekelizakuisadhetaasa basinabntaK
spontaneous-speech-rwm-57265.mp3	Keisa kima ndia madhiku sukali Ali samugaso nanga sukali Ali zidhi kakozua nkpa akipaga ndwali ndiakali namubazi ndi bha giaga ku ngu sukali sukali Mubazi kalibhe	Neaima ndialdundia madikusukali lisa mugasonanga sukalikamadasinika kzankpaakibakipesiaga nduwali ndiakanamubaiidali njibakigiakauklisukaisunjomubazi abhakalibe nboki eis mulingonjoakibhanaknokuodia bhomezi ndiakoK
spontaneous-speech-rwm-57266.mp3	Ka ngongwa mbili ndiamo sa kisomo ndia aliku ali mabhonga ali nti kiliku na pulaimale nikikibhaku na sekendule nikikibhaku na sukulu nduetolo ndia bhakpa sa pulauveti na sa gavumenti bhaniki bhakiyaga ka suku kalibe mindia akiesaga ka inji	Nkangoa mbili ndiamoakisomo ndialik abhongalinti ilikunaplaimaliikibhoku nasekenduikikbaku aukulundiekini diabhakpasapeeti nasagaumetibhanikibhakiakasukukalbemliakaaakakiagakisagakai
spontaneous-speech-rwm-57267.mp3	Likilia zomba ka uganda kabhongi nanga akiluzaga mbinduka sa bwile bie eyo mani ka zika akisa bwile mazamba mbula kekasokembe nahabweki dumbi lieli na kima ndietolo ndie kikibala kakisobola enikanai kowasu	Nlikiliazombamilikauganda kabhongi nanga akiluzaga pnduka sablibieo ani kaziga akisaelimaambabula kikasokabiki dumbilieli niakimandikinedikibala kakisobula nikanai koasK
spontaneous-speech-rwm-57269.mp3	Kikunsumbiliagabho kima ma kozesa ka kilasi nga bitabo uniform aah kalamu kandi nkipaga na kikipagabho na liaga	Kkikusumbeliagabokimamabakozesaakilagabitabuo uniomo kalamundikikipga nakikipagabho naliaga K
spontaneous-speech-rwm-57270.mp3	Bizibu ndia bhakali na bhasika ndibha bhali ka ngongwa mbili ndia bhakikoliliagaku sini sini ali zibe eti bhakikoliliaga ka bizibu sa bhindagabho buli muluku ka nkoma kankoma muluku muluku acueku bhindaki kankoma muluku muluku acueku kolaki zidhi kedha olaki injo uponi andi bizibu ndia bhakali njo bhakikoliliagaku	Nzibondia bhakalina baska mahalikangongwagii di hakikoliagakusiisinialiibet bhakikolilagakabezisabhi ndagabho iomlukuka nkoma ankomamuluk mulukaakubindiakiankomamulukumulukaakuikolakizihikedholaknjopo niabezibu ni handi bhakalijo bhakikoliliagatK
spontaneous-speech-rwm-57273.mp3	Bizibu ndia bhanikiekali ndia bhakienaga ka ngongwa mbili kehe ali bizibu sa bhigingo hihihi bizibu sa bizibu sa mululu sa sente naga bho sente akibhaga nabhudhedhi atukiliaku bizibu sa ndwali tembabho bwango ka ngongwa mbili ndia ka kyalo kehe	Kzibo ni bhanikiakali bhakinaga kangowa mbililibizibusabhgingo bzibusamululu saasetinanga bhusentakpanabhuhi atukiliakuu bizi busa ndwali kiteabhobuango kangoga ndii niaka ndiaakialko
spontaneous-speech-rwm-57303.mp3	Gulupu sa luzuluzu akibhuluzilia bhaniki ndia agbbokiliani yabho ka kisomo nanga bhakibhupesia kima manuwai tabhi njemu mwenge na loki zidhi zidhi ndia akisobola luza bhaniki kebha kabhembe bhamgbeku	Nlu posaluzuluzakibluzilibhanikibabni babhokiana bokakisomonanga bhakibhupeisiakima ssanuabhia jemuenge nalukiiiii nibakiolauiabhanikibekbhakakibhakabhem akK
spontaneous-speech-rwm-57315.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	Kanga libho alibomezikandikalibhoalikukima ndiakiakiakiakibhaga iilindias kimanindiaki ambagabilindias akilikagakalibhoK
spontaneous-speech-rwm-57321.mp3	Ndia kidhuaga muhikili abhukonia bhakpa ndibhaki nanga akimpesia nguko iye dumbi na kindia alio ame kikalo injo abhe kulungi zibisa kindiekina azibe eti naye ndiaki kalizidhi azibe eti bhakpa bhe gbeisia	Kiduaikiliabhukonia bakpa ndibhaknagaakipesia gukoedumbi akindialio ekikalojo abhekulungiibisa kindiekina aie ntina diaki kalizdhi liatilimikulungi bakp beibesiK
spontaneous-speech-rwm-57353.mp3	Ka uganda kingililia ndwali sa kabhondo bhasemelelu okania ndia gavumenti abhutolio na ndibekina kokuyembe amana bhutekete bhukebeze kandi kaya kola zeni ke ima ozibe oti ololi mikia ka kapila	Naganda  kingilinidalisa kabhondo bhakoabholani kania ndiagamintiautoliandibekina ikuyembeamanabotiekitebhukebezkali mukayakolauznikeima oetlolimikia kal
spontaneous-speech-rwm-57361.mp3	Emi nikijagujaga kulisimasi ka ngongwa mbili ndiasu nikisumbaga liaga nisumba dhe kima manuwa ka ngongwa mbili ndiasu	Nminikijaguda kulisimasi kakongwabili ndianikosobga liaganisubakimamaala nisumbadie kima maia kaakongwambili ndia
spontaneous-speech-rwm-57367.mp3	Muhikili kaziba eti kibi kedha kizibu agodhi ka ngongwa mbili ndiasu agbokiliani aeke sidha sidhana ndia bhakpa dumbi asiebhe yegulu ka bhatua butoki	Nukilikabetbkdhakizibabi agolikangonga miindiasabokelini kil iia siiani niabhapa dubiakoliepoti sebhe yeguka bhatabutuK
spontaneous-speech-rwm-57373.mp3	Ka sukulu bhabhubhlisane bhaniki bhalema nabho soma kandi bhalike ndia akisobola dhayabho kedha simabho kedha dhayabho katukabho kindia bhakisobola kweyambilia	Nkasuklbabhubhalisani bhanikibhalemanabhosomakandi balike ndiekisubola yambabho adhayabo edha mabho nibhakatukabhukakilasi kia nibhakayabhokinibakiyambiliaK
spontaneous-speech-rwm-57374.mp3	Nintoliaga nkali nintoliaga bhaniki nintoliaga bhabhotu nintoliaga bhakpa mindiekina nikiya ka sipatala tungaku bujanjabi	Ntoliaga kali nintoliabhanikiitolia  bhabhtu intoliabhakpabiniekina nikia ka sipatala ungaku anja
spontaneous-speech-rwm-57383.mp3	Akiyagaku kola busubuzi akiyagaku tunga buheleliya mabhonga nga nali na na nalwali akiyagaku ziba aaa nti alikau kima mabhonga kuwo ka tauni	Nigakikola busiuzi akigakutungakuililia mabhonga nga nalnanaaluali akiyegaku zibati alika kimamabhonga ndia baga niza  katau
spontaneous-speech-rwm-57439.mp3	Bhabhotuami bhenjo emi nikitoliagabho nti mazima injo kabhongi emi nilikatukau ka gulupu emi nili katukaku kindianu nanga kima ndie bhulikatoliali kabhongi bba	Kbhabhotami benjoeikitoliagabho azimai ne nikigiatibanjokabhogi inika ukakagulundian milika tukakkindian nagaimamodikatoliaminjo njo kabhongibaK
spontaneous-speech-rwm-57459.mp3	Mugaso mindia aliku ali nti bhotuako minjo akizibaga ka nkpa mindya amwesigi sini sini kandi pli nkpa ali ka mulima ndiaki	Kgasualik lienti otakominjoziagakogakpa uniea amosigi sinisni kanbi likpali kamulimandiagK
spontaneous-speech-rwm-57476.mp3	tolo ndie nitungiliiaku simu nkutolia tolo injo anidhedha sini sini kandi yeniyaga nekpembgu nibhuanisa ndibhekina nabho nibhuyamba bhatelilabe simu ndiamo bhokiliabe laso ndia bhakpa ndibhekina ndibhali dhanga	Nolonde nitungiliakusimtoliakimanjonidhdhasinisnikandienigankpengo ni bhonisa ndibhekina nabho nimoyamba nabhobhabataliliabesimuniamu nabhokiliablasondia bhakpaibekinndi bhalidhaga
spontaneous-speech-rwm-57482.mp3	Toliagabho nti kima injo kabhongi bhadhuwe kola kima malujukana injo oibi kima malujukana injo kabhongi ka ngongwa mbili ndiasu bhadhue kola kima malujakana injo	Koliagabhotikmano kabhongi bhaduekola kima maluukananintikibha bhaluuka nanjo kikabhongikakongwambiiendiasubhadhuekola kima baluukana njoK
spontaneous-speech-rwm-57487.mp3	Mugaso ndia aliku bhakpa okubhutangiaga bhamamadha biabho ndibhekeni bhama mamoti bizibu ndia akibhagaku ndibhekina bhakakigbananga kikalo sa lika imamoti bhakibalaga bhakunduana bhakunduana	Kugasondialikbhakpokuibutangabamamada abho nibekina bamamamoiiziidiatibhagakekini bhakabhana nagababhakbkikalo salikaimamuti akibalaga babakunduana bhakunduaK
spontaneous-speech-rwm-57496.mp3	Ndie nkikolo ndabho ndiamo lika na beni bhakilikaga kombaiku bhabhongosia ne kpembu nantili na kakisika poni ehh lika eti alia nabhongi	Nndikikolagandabhondimo lika nabenibhakilikiliagakombaikubhabhongosanee kpenguantili nakakiska poililika ntianlia nabhogiK
spontaneous-speech-rwm-57508.mp3	Ka kyalo ndiasu ndiye kikolaga kikiyaga ka kanisa kisaba eti Mambombi obikise mbula kitodha kiya ka batwa asili kiti nabho bahonge na asili eti mbula abike	Nkialo ndiasudiekikolagakiagakakakanisakisabaimambobi oiimbulakitoakia ka bhatasilieinabho bhbhabhongi nasili bbulabiki
spontaneous-speech-rwm-57510.mp3	Babhotwako bakakubhisaku kola ngeso zidhi osemelelu obhudhuwe kobhotu njio akuwe kandi obhuduwe kola kutodha kubwe manamanija ondulu ozibhe oti otelekelele	Nbhabhutiakubhakakubisakukolangkesozdhosemilinduohuduekbhtunjakue anikuluktdhakibhemanamaniaandluzibeti otilikliK
spontaneous-speech-rwm-57513.mp3	Nkali mindia ali kilungisa agbokiliani lia lieli ndia bha bhantoli sini sini ndibha akikolaga ka bwomezi bantolie eti injo ogbokiliani ndlu liai toli okanie	Nkaimnialiakiougisia bokinelial lili ndiabaanbatoli sinisinindi bhakikolakabomezibantolietinja agbol nuliakandi okaniK
spontaneous-speech-rwm-57524.mp3	Ndiba kikolaga ka kitongole sa bwomezi bali na bizibu mabhika nanga bo ndwali poni akidwelilyanaga kowabo nabweki kekebe negendelezi okyetulakakaga na mgbei na ntei dumbi akuwa yahu	Nndi bha bhakikolagakaketonglisabumeibhali nabiziu mabika nangabhondwalipniakidelilanagakabhoabukikabhenge ndilzia kika nagb nantii dubiakuaaK
spontaneous-speech-rwm-57536.mp3	Kudhakia lia ndia tamabhugobhugo ndio okukolaga okuyaga kedha oyo oga kedha oya oanga	Ndhakialindieta mabhugobhugonokuklagakiagadhogakidhaoanga omolikana ndunliaganzo bakutendikiagaklungiki sako
spontaneous-speech-rwm-57544.mp3	Kisomo abhuyambi bhaniki ndibhekina bhatungi milimo nibha kialika bhanikia ndabho ndiabho nibhakikola sa busubuzi ka ngongwa mbili ndiasu	Nkisomabhuya mbibhanikinibhekinabhatungimuolimo bakialikamanikandabhondiabhondibakikolasabusubzi kangogwa mbili ndiasK
spontaneous-speech-rwm-57548.mp3	Ndia akidhuaga kiba kima ndia bhakpa ndibhetolo ka ngongwa mbili ndiasu ali pesia makulu ndia aleukani mehe nkpa aya pesia kindietolo makulu njo	Kdiakidhwagakibakima ndia bhakpabetolo kangongambini ndiaslipesia makulu ndialiukanime ikpamietolya pisiakindiatol aklnK
spontaneous-speech-rwm-57554.mp3	Yamba nkpa midia kali na mikia kima ka ngongwa mbili ali kawa bhenu ndibho bulibe nai yambaki nibhu kunkonyela na mikia kima sa kweyaba	Kambankamindiakali na ikiakimakangongaiindi ka bhni bobhulibenaini bhukumamba ni hukunkoilbukuisamiakmasakaK
spontaneous-speech-rwm-57564.mp3	Bitongole injo na gulupu ka ngongwa mbili ndiasu apesi bhaniki milimo apesibho mbangane apesibho sente pesibho kika mamdha kqndi okuzibaga nti kangombili akikolaga kima ka ziba nti nkpa famile ndiaki abhibe kulungi	Khtongolenjo naguluk kakogobili ndiasesibhanikindiasumilimo aisibhoangani apesibhoente apesibhokima mabhada kaindo kizibagantibuli pa kakongwambili kikolagamakazibantipamiliendiaki  bh k
