audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	da lqtaxanaxac so huoau qauquioloxonecpi eeta' taqta ndotec añaxaicpi qaica ca miiuettac qaica ca eta' sa non ndotec da lasapachaxa huo'o ye'na' qaiataiguet na nte' nache oxote nottashiguem na iamaxattac ýaiamatrapiguiñi na ldocuiaxanaqa'te lchequenec enauac nam l'onataxanaxatpiolec qaica ca llaqailaique ndotec na hualec na nonaxa shiguiiacpiolec qataq anapaxaguena na da huo'o ca daqtac nache yaqta am eesa oonolec laqtac som qaiatatalec nache ipacchigui qataq huo'o na qaiachiguiñi nache qanhuaachigui qamachaqcata' qaiachiguiñi ye'na' na llecolec qaq qaneclaxatchigui qaq machiguiñi huo'oda namaic ye'na' qaca sa qanauani aca lasheuoli qalaxaye danamai ca lta'araic huo'o
spontaneous-speech-tob-34712.mp3	'Aja' aso luaxai nche nacheso asa'aso nataq'en chec co'ollaxa na Qom asa'aso lqo qataq aso lacheugue nache lioxonaxaqui na alpi yi huaña da deioxon aso luaxai nche qaiauot cha' qaica ca yioqchigui aloq yi na'a'q nam Qompiolec	aja' aso lhuaxai che nachaso se'eso nataqa'en chec co'ollaxanaqoma sa'aso lqo qataq aso lachiugue nache llioxonaxaqui nam alpi yihuaña da dioxon aso lhuaxai che qaiauot che'na' cha'qaica ca loqchigui aloq nam qompiolec
spontaneous-speech-tob-34713.mp3	ra qainataxalec so nallec nache qainat asa aso ilotegue ñi nmenaxanaxaqui ra neguetoñe lasheue ra ila'a ra nalotalec nache iache enauac ca qaiuetaique yem lma' cam lhuenec ca nallec	da qainataxaalec so nallec nache qainat a sa'aso ilotegue ñim menaxanaxaqui da negueto ñi lasheue da ila'a da nalotalec nache iache enauaq ca qaiuetaique yim lma' cam lhuene ca nallec
spontaneous-speech-tob-34714.mp3	Hua' cam l-lla na'a'q huo' cam so'ot i'onatac cha'aye dam i'onataxanaxac naxa aýem ño'oxoosheguem na nma'pi noýicpi nacheda da ýi'onataxanaxac nache sehuatta'agueta que'ecaua na'axa'te da so'onataxan nacheda cam so'ot ýi'onatac	hua' cam llla na'aq huo'o cam so'ot io'onatac cha'aye dam io'onataxanaxac naxa aiem ñoxosheguem na nma'pi noiecpi nachera dam io'onataxanaxac nache seuatta'agueta que'eca ua na'axa'te da so'onataxan nacheca cam so'ot io'onatac
spontaneous-speech-tob-34715.mp3	Eye imaa que eca alo chetaague da roc o' nache huoo' ca l'lia lcalya la nohole lasoro co latee nache enaguaq na da cailotegue ca aca roc o' da qaica qamchaca nachalataxaq	yi ima' aca'aca alo da cheta'ague deco'o nache huo'a ca'aca llia lqaia lasoro lcote qo'olate'e nache enaua naua pa'aiguita da qailotague aca'aca alo da cheta'ague deco'o qailo'ogue da qaica ca machaqca dam nacha lataxac
spontaneous-speech-tob-34716.mp3	Da l'aqtaxanaxac som hua'au qadhuo'pi ecta' onoolec da látaq ñi'ñi qaiatalec nache qai'ot qatac qaica ca hua'axaia na doshe l'aqtaqa ndotec Qom	da laqtaxanaxac som huau qadhuo'opi eta' oonolec da laqtacñi' ñi qaiatalec nache qaiot qataq qaica ca huaxaia na doqshe laqtaqa ndotec qom
spontaneous-speech-tob-34717.mp3	Aýem yiqopita da so'ot que'eca noýic da ño'oxosheguem qataq onaxaic dam dam eda onataxanaxac cam eca noýic l'o	Aiem ye qopita da so'ot qu'eca noec da ño'oxosheguem qataq huonaxaic dam da me'eda huoonataxanaxac cam eca noiec lo'o
spontaneous-speech-tob-34718.mp3	Aiem ra io'ot ca ilagaxayec qataq samachiguiñi ra huo'o na io'onatac yo'oqchigui so'onataxatac cha'aye re'era ionataxanaxac ñaquittaguet ra huo'o ca saconguet anoq lasheue	Aiem da io'ot ca ilagaxayec qataq samachiguiñi da huo'o na i'onatac yo'oqchigui so'onataxatac cha'aye de'era i'onataxanaxac ñaquitta'ague da huo'o ca saconguet aanoq lasheue
spontaneous-speech-tob-34719.mp3	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye	qom Aýem ýi nache sauoteque ñimatic ñi so'oñi cha'aye som eso ionataxanaxac iataqta sapa'atta som patreq vi'iye
spontaneous-speech-tob-34720.mp3	Qom ivita da aýem ýi nache sauotaique da aýem qaiatalec nam souaqta'a qadma'	qom ivita da aiem ie ye sauotaique da aiem qaýatalec nam souaqta'a qalma'
