audio_file	reference	hypothesis
spontaneous-speech-hch-31312.mp3	Ne nemaama tukaarieya mayéʼa ʼaixɨ nepɨrekaʼerietɨya nepenekatemaawíetɨya haitɨari paɨ mepɨkateʼuhukai ʼariké ke ri ʼiikɨ kiekari ya ʼaneme pɨtiʼatɨa hiikɨ ya tepɨteʼuhu hiikɨ tukaari tepuweewíxime Paɨ xeikɨ́a	N maamatukariemayaʼa ʼaixɨ nepɨrekaʼerietia nepenekatemaawiatɨia ʼaitɨa repameɨkateeuhukai   ʼarikeikeri ʼikɨ kiakariyaʼanemepɨtiʼatɨa hikɨ yatepeeuhuikɨtukari teweiɨ  a
spontaneous-speech-hch-31313.mp3	Mɨɨkɨ tuurutsiixi wahetsie mepuʼeximekai méripai kiekátaari eh mɨɨkɨ wahetsíe mepɨteʼuuximayákai muurátsixi wahetsíe puuxúri wahetsíe mɨpaɨ mepɨte... mepɨte'uyumiximekai Paɨ xeikɨ́a	N turutsixwaetsimpuʼeximekai meripai kiekatari mɨɨkɨ wayetsi mɨteʼuximayakai muuratsixwaitsi puxuriwayetsi mɨpɨ mete  meɨteuyuixɨ  e
spontaneous-speech-hch-31314.mp3	Ne ʼikwai pɨnetsinake nekie timieme ʼaixɨ mɨɨkɨ pɨtiwaɨriya nekie mɨrexuawe naakarite kéʼuxate keri mɨɨkɨ ʼaixɨ pɨreuʼerieka paɨ petikwatɨ́	N kwapinetsinakenekietimieme ʼaixɨ mɨkɨtiwaɨria nekiemɨrexuawenakarite keeʼuxate keri mɨkɨ ʼaixɨwreuʼerieka  a
spontaneous-speech-hch-31315.mp3	Hɨ tepɨkatemate teiwari mɨtiweewie eh mɨɨkɨ taweewiya rixɨ́a tepɨteʼakumaté eh ne nepɨtimate ʼetsiwa ʼɨpari nemutaweewíeni nepɨyɨwe y luego kuuka nemutatsaaní nepɨyɨwe Paɨ xeikɨ́a ejem	N tpɨkatemateteiwari mɨtiwewier mɨkɨtaweewie ɨrixɨtepɨteakumate nenepɨtimateetsia ɨpari nemutawewie newyɨwet eruaupuka nemutatsanine ie
spontaneous-speech-hch-31316.mp3	Taxaɨtá tepukutetɨkatei méripai tɨ hiikɨ ri ʼaxeikɨ́a tepukutetɨka kiekari teutawauxɨaka hiiki ri maana niuki tepexeiya ri hiikɨ paɨ pɨtiʼane hiikɨ	N tatepukuteatɨka teimeripaitɨ hikɨri ʼaxeikɨtepukuteatɨka kiakariteutawauxɨaka hikɨrimana niukite tepexeiariikɨpɨɨ na
spontaneous-speech-hch-31317.mp3	Kɨxauri panuxiteni ha maana pukatuaní eh xeitɨkaari puyurieni panukupɨné maana ʼaana ke pepenatiwiwieni ʼaana ke ri ha maana pepɨkatuaní Paɨ xeikɨ́a	N panɨxiteni  hamana pɨkatuani  xeitɨkaari piyurieni pankɨpɨnemana maana kepepenatiwiwieni ʼaanakeira hamana pepɨkatuani nie
spontaneous-speech-hch-31318.mp3	Mɨɨkɨ puyupápatutɨani mmm maxa xeeníu mɨɨkɨ pemɨti... pemɨtiweiyawenikɨ ʼeetsiwa ʼipaɨ pemɨrakumaikákɨ pemɨtiheinɨwenikɨ mɨpaɨ	N   hɨyupapátutɨani maxaxeniumɨkɨ pe ppemɨtiweyawenikɨ etsiuaipaɨ pemɨnakumaikakɨ pemɨteinɨwikɨ e
spontaneous-speech-hch-31319.mp3	Ne maana pɨkanetsiʼunakixɨ ʼeena nepukatei Zapopan meteʼuterɨwátɨ naitɨ pɨkatixuawékai eh kwinie pɨrayeʼatɨkatéi hayumieme pɨkanetsiʼunakixɨ	N apɨkanetsiʼunakixɨ ʼena nepukatei sapaupamɨteɨteruatɨ naitɨ pɨkatixuawekai   pwiniwɨxayʼatɨkatei ʼaimime   ie
spontaneous-speech-hch-31320.mp3	Méripai kiekátaari kiekaritsíe pai mepɨteʼaxɨxɨawiwakai wahuyé pukuhapanekai ʼaana mɨɨkɨ puuxúri mewaruhapatɨ muuwa pai mepɨtehayutɨkiriwákai yukémarite yuʼunáte muuwa pai mepɨtehatɨkɨkai Paɨ xeikɨ́a	N kaakiakaritsie paimitaxuxa wiwakai wauyepukuapanekai ana mɨkɨ puxurimewaruapatɨ muapaimitayɨtɨkiriwakai yukiamariteʼunate muapamɨɨɨ n a
spontaneous-speech-hch-31321.mp3	Méripai kiekátaari ʼaixɨ mepɨteʼuhukai ʼaana tepɨtaʼiwaatákai Hiikɨ ri paɨ mepɨkateʼuhu Mɨpaɨ ri tepɨkayɨa hiikɨ Paɨ xeikɨ́a	N emareyateʼupekatei etsiwuapɨ netsikupari ewiwakai neʼauneniumiekɨ nepemana nepetaʼaxekai ʼaimieme eie
spontaneous-speech-hch-31322.mp3	Xiimeri ne nepɨkeekaríkai nepɨneʼinɨaritɨ́akai eh xewá ʼanatineyu nepɨyemie ri ta tsɨ ri hawái pai nepetáriyarie Paɨ xeikɨ́a	Ne nnepɨkiakarikainemɨneʼinaritɨakai xewaʼanatineyu newiemieria tatsɨ ʼawaipai nepautariari  i
spontaneous-speech-hch-31323.mp3	Ne watsu pɨnetsinake haxu watsuyari haɨtɨtɨ ha mayemaka mɨɨkɨ 'ayumieme pɨnetsikunanake	N watsu pɨnetsinake    ʼaxuwatsuyari hautɨtɨhamayamaka mɨkɨ aimeme i e
spontaneous-speech-hch-31324.mp3	Ne waɨkawa pɨnetsinake ʼeena nemayéka porque naitɨ mɨtixuawe naitɨ mɨtituiya ˀayumieme maana mɨixa ri maana nepɨyéka	N wanetsinakie ʼena nemayaka  ʼuxɨke naitɨmɨtixuawe naitɨpɨtituia ʼaimememana mɨixairimana a
spontaneous-speech-hch-31325.mp3	Maana tepɨyekɨka [UNK]an Martín eh eh camióntsie tren manuyeyeikatsie tepekɨká Zapopa pai tɨ paɨ tepɨtekɨkɨka	N teyakɨkasa martinekamiuntsie tren maneyeikatsie tepakɨkasapapapai pɨɨ e
spontaneous-speech-hch-31326.mp3	Ne nemukaʼuuxípiwetsie tukaarikɨ maana nepɨtiutiʼuuximayáta nepɨtiutitsaatsawe tsikɨri xupureeru nepɨtiutitsaatsawe Paɨ xeikɨ́a	N mawuxɨpiwetsietuukari mana netiutiʼuxmayata neptiutitsatsawe tsikɨri xupurarɨ netiutitsatsa i
spontaneous-speech-hch-31327.mp3	Ne maana Tonalá nepɨkahetaʼaxe tenaweméte mepɨkahetixuxuawere 'ayumieme maana nepɨkahetaʼaxe Mɨpaɨ xeikɨ́a	N natunaranepɨkayetaʼaxe tenaweemete mepɨkaʼetixuxuawereʼaimiememana nepɨkayetaʼaxe nie
spontaneous-speech-hch-31328.mp3	Ne mawiiwetsie neʼanutiyerɨka heiwa nepanutawai ʼaxa pumayare putahayani pumaxikɨrieni ʼaxa pumayare Paɨ xeikɨ́a	N wwetsienantierɨka  eiwa nepanɨtawai ʼaxapumayare  putahyanipumaxikɨrieniʼaxapumaya e
spontaneous-speech-hch-31329.mp3	Ya pɨtiyɨane maana ʼanutaɨye mepetaʼaxe tumiini meheuyehɨatɨ́ ʼuuximayátsika waɨká memɨyuparewiekakɨ Paɨ xeikɨ́a	N anemana ʼamɨtaimɨpetaʼaxe tuminemeuyaɨatɨ   ʼuximayatsika waɨkameuyupariewieka n ie
spontaneous-speech-hch-31330.mp3	Xɨka teerɨka rakeeni méripai tɨ mepuyuʼuayemáximekai sábilakɨ ʼáxuxikɨ kɨmaana mepanayexɨrɨwekai Paɨ xeikɨ́a	N  ɨkarakeni meripaitɨmɨpuyiuayemaxi mekai ttsawirakɨ ʼaxuxikɨ  kɨmanamepanaya xɨruwiakai  i
spontaneous-speech-hch-31331.mp3	Ne heiwa netinetaʼɨ́kitɨanike nepɨkaʼuyɨwekaxɨa wahepaɨ nepɨyɨnikekai ʼipaɨ tiʼɨ́kitaame nepayanikekai Paɨ xeikɨ́a	N nitinetaʼɨkitɨanike nepɨkaʼuyiuwekaxɨa wapai nepyinikiekaipaɨiʼukitamenepayaniki a
spontaneous-speech-hch-31332.mp3	Teerɨka xɨka rakeeni ʼaixɨ pɨkamayá putaweni putihayani putaximɨanaxɨani naitɨ mɨpaɨ puyɨní Paɨ xeikɨ́a	N rakene ʼaxɨkamaya ʼutawe neputiayane   putaximɨɨnaxɨnenaitɨ paɨpuyɨaɨ a
spontaneous-speech-hch-31333.mp3	Méripai kiekátaari kexiu mepuweewíximekai matatsíe ʼiyetɨɨxɨme maana ta ri ʼarueratsie memikáyetsakai ʼemɨreuteteerenikɨ Paɨ xeikɨ́a	Ne kikatarikexɨ mpuwewiximekai matatsieyetɨxɨme manatarianaruweratsimikayetsaka ʼemereuteterie  ie
spontaneous-speech-hch-31334.mp3	Ne heiwa ʼikwai netiukwaka titsiname neputihaya nepɨtiutakwinixɨ mɨixa neputihui Paɨ xeikɨ́a	N ikwenɨtiukwakatitsiname neputihayaneppiutakwinixɨ mɨixan neputiiaɨ  i
spontaneous-speech-hch-31335.mp3	Xɨka meʼuʼaxɨáni nekie waɨká meʼietɨ tukaari memɨnetsihanukahɨwiriwani ya mepɨkateʼie waikɨ Paɨ xeikɨ́a	N xɨnekie waɨkame ʼietɨ tukari memnetsamkaɨwixiwanei yamukateʼiewaik i
spontaneous-speech-hch-31336.mp3	Ne neʼiyaari ʼaixɨ pɨʼane taʼiwaáma memɨteʼuuximayá mɨɨkɨ mepɨteʼakumaté takiekari ke mɨtiuʼane waɨká mepɨtepareewie Paɨ xeikɨ́a	Ne eyare ʼaxipɨʼane taiwamemeteʼuximaya mɨɨkɨ metakumate takiekarikemtiwuʼanewaɨkametepare e
spontaneous-speech-hch-31337.mp3	Ne nunuutsiyari nepɨtiukwaiximekai mɨtiumawekaitsie ʼunakɨ kuukurikɨ muumekɨ ya nepɨtiukwaiximekai Paɨ xeikɨ́a	N ri nepeukwaiximekai mteumawekaitsie ʼunakɨ kukurikɨ muumekɨ yanipeukwaixɨme ie
spontaneous-speech-hch-31338.mp3	Ne méripaitɨ mieme xaweeri pɨnetsinake hiikɨ mieme ri muxuawe ne mɨɨkɨ pɨkanetsinake Paɨ xeikɨ́a	N paitɨmiemexaweriinetsinake ikɨmiemerimuxuawenemɨkɨwɨkanetsi  i
spontaneous-speech-hch-31339.mp3	Méripai kiekátaari kwiemuxa mepɨtiʼuayákai kɨmaana mepuyuwiparɨmekai paɨ mepɨteʼuhukai Mɨpaɨ xeikɨ́a	Ne paikiekatarikwiemuxa metiʼuayakai kɨɨmana mipuyuwiparɨmeakai paɨmeteuhukai ie
spontaneous-speech-hch-31340.mp3	Taame heiwa tapiini pɨtiunawárie teʼumawekaku tekateheutauniekaku tapiini takutsiirate tapiiníte Paɨ xeikɨ́a	Ne eeiwatapiniteunawariteʼumawekakutekateutauniekakutapinitakutsira tetapinit i
spontaneous-speech-hch-31341.mp3	Ne mawiiwe nepuxei ʼixɨarari teweewietɨ maana putatɨa ʼaitsie peuha maana pakáwe Paɨ xeikɨ́a	N wwenepuxeixeɨrari teweewietɨ mana puutatɨ haitsiepauha manapakam ae
