audio_file	reference	hypothesis
spontaneous-speech-cgg-51557.mp3	Okuguma nitubyoza kandi nitureeba ngu twamara kubikozeesa twashukamu amaizi ningashi byaba bitari by&amp 'amaizi kugira ngu buri kanya harimu ebintu byokukozesa n&amp 'okubyoterera omuri ebyo ebitari by&amp 'okushukamu amaizi obaase kubireka biri ebiyonjo	Okuguma notubyozya kandi na tureeba ngu twamara kubukozesa mu twashukamuamaizi ngashi byaba etariobiamaizi kugira ngu obur kaanya harmu ebintibyokukozesa n'okuboaterera omukbabetaribabyokushukamuamaizi kugira ngu tikibaase kui kure ubirekabiri biyonjo
spontaneous-speech-cgg-51559.mp3	Obwegyese ni burungi ahabwokuba omuntu ku arikuba ayegire naaba naamanya kushoboorora obumwe atarikwetaaga kugira ngu haaba haine eki yaaba naayetaaga kukora abanze yaaza kukibuuza ha ndiijo muntu yaaba naabaasa kushoma naabaasa kwehandiikira we naayetegyereza	Obwegesene burungi ahabwokuba omuntu aaru kubahigire naaba naama nakushogora m atarikwetaaga pugrangu haabahaine ekiyaaba nahetaagakuora abaza yaaza piki bozahandija muntu anaabaasa kushoma naabaasa kwehandikira aba nahe tigerezOOoOoOoO
spontaneous-speech-cgg-51561.mp3	Ebyokurya byaitu ebyobutoosha ebitasiikire n'emboga zaitu eza guriinizi n'emere yaitu y'obutoosha ebitookye ebitakuri n'amuhogo omuntu ku arikuba naakozesa ebyo naagira amagara marungi	Ebyokuriya byaitu ebi obutoosha ebitasiikire n'emboga eziitu ezituweza guriinz n'emereitiyobu toosha ebi takebi takuri namhogo muntukwara kuba naakozese ebi nahagira amagara marungi
spontaneous-speech-cgg-51564.mp3	amapapaari emiyembe ovakedo ebyo nibyo bijuma ebiboniire ebirikuhingwa omu Uganda	Aama papaari emiyeembe ovakedo ebando byoijuma ebibaniire ebiruuhingwa omu Uganda AAAaA
spontaneous-speech-cgg-51566.mp3	Okushutama hamwe tukagamba hamwe tuk'etegyerezangana tukahurizingana tukahurikirizana ebizibu bya buri omwe kandi tukabyetegyereza nk'okumaraho obuzibu tutabaasize kuhaajaana	Ookusitamahamwe tukagamba amwe tukeete gyereza ngana tukahurizingana tuk tukahuri kerezana ebizibu byaburi omwe kandi tukabetegereza ibaasa utiaama kumarahuzou tutabaasazekuhaajan
spontaneous-speech-cgg-51567.mp3	Endeeberera y'abantu abakuru omu byaro ekateganisibwamu niba niba niba nibabonabona kubura ow'okubareebereera ahabwokugira ngu abantu baingi bakairukira omu matawuni kuronda oku bareebeho n'okuronda emirimo	Oebera abantobakuri mugyaro ekatianiwamu no aaanawona kuraabokuaeaahabaokugamu abaanaiibaiuaniomu matawuni okubaaaaanano
spontaneous-speech-cgg-51574.mp3	N'okuboreka rukundo kandi n'okuboreka ngu kuba n'akakooko ka siriimu tikoyobuhemu kandi tugwomuheru gwensi kandi kubahamiza ngu nibabaasa kubaho kumara obwiire bwingyi omunsi tukiirira hiihi nabo tukabakunda	Nokuboore ekarukundo kandi n'okuboore ekangu kubanaakaokooko kakiriimu hemu kandi igemuharugenti kandi uamza nobabaasa kubaho hmara ouireaim iirheihi nao ekaakunda
spontaneous-speech-cgg-51580.mp3	Ekyo nikiyamba omwebembezi kumanya ebirikuteganiisa abantu abarikwebembera aronde eki arabaasa kukora kugira aba bantu baakwebembera babone nk'oku baayanguhigwaho omu mirimo zaabo ezi barikukora	Ekyo nkiyamba omwebembezi kumanya ebiri kutiganisa abantu abarikwebembera aronde ekyarabaasa kukora kugira abantwakwebembera nabone kokubaya nguhigwaho omirimozaabo ezi barikukora
spontaneous-speech-cgg-51581.mp3	Ahabwokuba ebintu ebi barikuba nibakugambira nibaaba baabirabiremu kandi barikubimanya obumwe nikiyamba kubahurikiza kugira ngu obundi kikaakutangira obuta obutaraba omuri ebyo ebi baarabiremu barikukura	Ahabwaokuba ebii ebarakuba nobakugamea nbaaaaamukandi obaakuba manya oumniaamakuba huriiakugiramu ouni aa kutangira outoutaraa muraeo eaaabe mu baraokuua
spontaneous-speech-cgg-51582.mp3	Abantu banti bagizire amasiko kandi nibateekateeka ngu emigisha [UNK][UNK] ahari 100 omu tahuni kireeteire abantu kuruga omu kyaro bakeiju bakeija omu matahuni ngu babaase kuronda ekyokukora n'okubaasa ...	Abantu beingebagizira amasiko kandi nobateka tekangu nigishaagyenda naomuenda ahareigana omutawuni ieretirabantu okuruga omu kyaro baksukbakaijo u matawuni kubaasa uronda okukora oubaasa ukahain mike
