audio_file	reference	hypothesis
spontaneous-speech-ruc-24730.mp3	Akiri ati buni omuntu omukulu akusobola okuwandika weki wekiwetagisa nawandika ekikumukwataku oba ekikumuluma natasokatte kulinda nani eyampandikiira nadala omubantu abakulu	Akirati buni omuntu omukula kusobola okuwandiika we ki we kikwetagisa nawandiika ekikumukwataku oba ekikumuluma natasooka tekulinga nani ya mpandikire naddala omu bantu abakulu
spontaneous-speech-ruc-24747.mp3	Zibakwata olwa bujama obwakaliriirye nga takwefaaku kunaaba abandi nga n'ewakuraara nga tayonjezeewo naye abantu ni beega obuyonjo obwekyo obwikiririire okunaaba n'okwesaairyaku akiri n'onaaba n osaairya wokusula nje nkukoba enjunzai zini twabba tuzetangiire	Zibakwata olwa bujjamu obwakalirirye nga takwefaku ku naaba abandi nga newakuraara nga tayonjezeewo naye abantu nibayegi obuyonjo bwekyo obwikireire ku naaba okwesayiiryakakire n'onaaba n'osayiiryawo okusula nijinkukoba enjunzazini twazibba twezetangiire
spontaneous-speech-ruc-24774.mp3	Nje n'ekka yange waliwo benyi nyambireeku okutwala weba kwegeserya abandi nimbaguura okubimwei ebikwetagisirya oba olyawo ebyandiremeserye okugeza nk'ebitabu ekalamu	Nkye n'eka yange waliwo benyinyambireku okutwalawe abakwegeserya abandi nimbaguro okubimwe ebikwetagisibya oba olyawo ebyandire mizegeza ebityabu ekalaamu
spontaneous-speech-ruc-24852.mp3	Erangi zaiswe zita isatu eimyuki eyakyenju neiraguzu nizo langi zaiswe ezita oku bendera eyaianga lyaiswe elya Yuganda	Eranji zaiswe zetaisatu eya myoke eya kyenju naye era guzo nizo ranji zaiswe zetokubendera eya ianga lyaiswe lya Yuganda
spontaneous-speech-ruc-24875.mp3	Mbe nkyali kutandika kuzibika mu banka olwakuba nti ebanka wenyikaara yindi alai tindiraine nayo	Mbe tinkyaliku kutandika kuzibiika mu bbanka olwakuba nti e bbanka ngu enyikaara yind'alai tindirayinenayo
spontaneous-speech-ruc-24928.mp3	Biyambireeku nti ensonga ezimwei niziba ziziire omukitundu tugeze okusoma nkokwo nti ati buni omuntu takyasobola kukoba nti ebyo tibikunkwataku lwakuba akiri akuba yakyulireku oba yakisomereku omuntu ati buni akusobola okusoma oba okwewandikiira tibikumala gamwakalaku	Biyambireku nti ensonga ezikulu nti ezikubaziizire omu kitundu tugeze okusoma nk'oko nti ati buni omuntu takyasobola kukoba nti ebyo tibikunkwataku akira kubba yakyuliireku oba yakisomereku omuntu ati buni akusobola okusoma oba okwewandiikira tibikumala gamwakalaku
spontaneous-speech-ruc-24964.mp3	Emmere ya kaita n'oncwi byangu byakufuna byangu byakusumba ate bimpoomera muno n'ekikulu omuno ani omu buduuli niyo yaali emmere	Emmere ya kaita n'ontwi byangu byakufuna byangu byakusumba ate binkomera muno ne kikulu muno ana omu buduuli n'eyo o yali emmere
spontaneous-speech-ruc-24998.mp3	Omuntu omweiniki taendesya omuntu omweiniki ekisai kimuluma kale ye buli buli kisai kyamuntu owondi kyafunire kimwakalya kubi	Omuntu omwei niki tayendesya n'omuntu omwei niki ekisa kimuluma kale ebuli buli ekisa kya muntu owendi kyafunire kimwakalya kubi
spontaneous-speech-ruc-25025.mp3	Kubona ku bamikago bange nitubbaku eyo oba kwaba ku kuramya......ntyo	Kubona kubya omukago bange netubbaaku eyo obaamu kwaba ku kuramya nti o
spontaneous-speech-ruc-25127.mp3	Embeera eni yaali ya yakufuna mpiiya era empiiya zini nazifunire luzwanyuma lwa kutunda bitugwa byenali maare eibbanga lya mwaka gumwe nga nkuliisya nabitundire nenfuna empiiya ezikkanya	Embere eni yalia ya kufuna empiya era empiya zini nazifunire oluzwa nyuma lwa kutunda bitugwa byenaali maareibba nga lyamwaka gumwei nga nkuliisya nina bitundire ninfuna empiya ezikukanya
spontaneous-speech-ruc-25174.mp3	Kinyambireku nti nkusobola okwemeera e saawa zini nimbaza oku kintu ate nga kituufu okugeza okubaza okumaizi okunywa amaizi agatali gasumbe nti galwaza enda ate nga kituufu mu bantu benkwanuruuramu ensonga eyo nga waliwo abaali balumiibwe enda oluvanyuma lwakunywa amaizi agatali gasumbe	Tinyambireku nti nkusobola okwemera e saawa zini nimbaza okukintu atenga nga kituffu okugeza okubaza oku maizi okunywa maizi agatali gasunge nti galwaze enda atenga nga kituffu mubantu binkwana oluulamu ensonga eyo nga waliwo wali bali mirwenda oluvanyuma lwa kunywa maizi agatali gasunge
spontaneous-speech-ruc-25198.mp3	Entambula ya ya nguudo niyo ekyasingire okukolesebwa olwansonga nti ekwika buli wamwei buli wamwei ate buli omwei agisobola owa kagaali owa pikipiki owa motoka n'owamagulu	Entambula ya ya nguudo eya ekyasingire okukolesebwa olwansonga nti ekwika buli wamwei buli wamwei ate buli wumwei akugisobola wakagaali wapikipiki wamutoka n'owamagulu
