audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	Akil al ana ger akul ya akil ya yo te kalam ayan milan wu akil gi jib akila fi barau barau al gi jibu ayan fi gildu ase akil al ana ger akul ana ger akul akil al bi jibu afiya ayan al ma gi jib na ana ayan ya yo te fi gildu jayans kil yatu ayan al gi jibu gi amuru a gi numus afiya tai al gi jibu gildu mai kun kwesi yan gildu kun taban zaman kulu akil al gi kun ta manfa ya akil al tena al min jidi jidi tena kan yamda gi wene na akil al gi tala fi shamba akil al ma gi tala fi al gi adul ma ida akil yan al gi tala fi shamba tena ta min didt
spontaneous-speech-kcn-22127.mp3	Ina endis te wedi te dawa dudu ne ya ne nyereku dawa dudu de na endis te wedi ne fi yal al duga yal al duga al min al yal ab duga lakin ina endis te wedi ne omon bada sha dawa de wai bada shar talata	Ina endis te wedi dawadudu na ya menyerukuka lakin dawadudu den endis ta wedi fi yal al duga yal ab duga al min al yal ab duga lakin ina endis ta wedi noumon badasha dawa de wai badashar talata
spontaneous-speech-kcn-22154.mp3	Teriga al awun ya taalim awun fi namna ta geeru fikira yani mindset tana batna be fi umma ta tinin amurugu min omon fikira al bara bara gi amurugu fikira al awaja ja mfano ja kelem gal ah governmenti al fi fi bambara de uwo aju ina ma yani kutu omon fi school saa kulu komon kun busy komon kun creative komon kun yan anas ab gi soo sunu gi soo kalam ab bi wedi omon gidam ab kede amurugu fikira bara bara	Teriga wal awun yaa taalim awun fi nama ta geru fikra yan main di setoyal bana be fi umma ta tinin amurugu min umon fikira al bara bara gamon gi fikra al awaja ja umfanu ja kelen ga al a gavment al b fi bambara de waji na ma yani kutu umon fi saa kulu komon kun bize komon kun curatib komon kun yan ianas al iso sulu giso kalama i wedi mon gidam al kede amuru gi mon fikira barau barau
spontaneous-speech-kcn-22169.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	Adib a yal ban la be ya telilga ab faa kede azon soo kede al baawul min mashakil yan adib yal banna be wede nomon suniya omon aju suniya faa al saba bija raba omon ma usra al bija gidam omon
spontaneous-speech-kcn-22190.mp3	Madrasa ta mahal fi namna al taalim athar to jib geeru yani jib geeru fikira te anas yani badul fikira ta anas min kun fi awiri arija omon gi noor yani amurugu omon min duluma jib omon fi noor de ya atha ma ma mastakbal fi umma	Madras a ta mahal abuarnam de taalim athar to jib geeru yani jib geeru fikira ta anas yani badul fikira ta anas min kun fi awiri ar ta omon fi fi nuru yani min amuru gi man min duluma jib ua fi nuru de ya athar a mam amas tabal fi ummah
spontaneous-speech-kcn-22227.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	Wakti tayi te faraj ana gi asuma bisana aju num ana bada akul kal ana aju num wu ana aju gum kana ana num kal an aju ana so sente ka ana so tujar tai kalam kede ana ligo sente keja kum be sente na anas na yal tai wu kaman ana gi fekir fikir al kebir fi umma ma yal tai
spontaneous-speech-kcn-22260.mp3	Gen madrasa geeru anas anas geeru fikira jibu change mindset te anas al kan aju kidima ma mon ligo kidima al kan gi num gum min num yani geeru fikira hal te anas tena fi umma tena	an maa geeru ana geeri fi gayan jib can ja ma endisbteanas al kan aju kidima ma endigo kidima al kan gi num gu ma nom ana geeru fi ta an timma fi umma tena
spontaneous-speech-kcn-22290.mp3	Ah akil wesif teriga te akil al ita gi beri ya akil yoyote al gi awun nafsi taki gi mma bi jib neta madhar yoyote ama bi jib neta ayan fi gildu ama bi jib neta ayan yoyote ab bi jib neta problem fi gildu yani akili al gi awun afiya taki al mma bi jib neita athar al batal	Ah akil wusif teriga ta akil ta al ita gi fadhu ya akilya yo te al gi awun nafsi taki gi ma bi jib neta madhara yo te ama bijibneita ayan fi gildu ama bi jib ita ayan yo te al bi jib problem neita fi gildu yani akil al gi awun afiya taki al ma bi jib nesa ashal al batal
spontaneous-speech-kcn-22307.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Ana safir bele barau barau u bele ta ulan ya ana ruwa fi nairobi bele ta tinin ana ruwa fi tanzaniya yani bele barau wele tilin dol ya za ana rua fogo ma fi sudan al sabab to jeregus maisha al bi geeru halt tai ma anas tai balna be
spontaneous-speech-kcn-22386.mp3	Fi youm kidima ana gi soo saa aruba an gi tumiya saa aruba bada kidima ana endi te amula safa ana endi te akulu wu ana endi ta soo ibaada ta sidu tai al kalagu ana fi dunia	Youm kidima soo saa alma umiya saa alma bada kidima ana in ta amula safa ana inta akulu wu ana inta soo ibada ta sidu tai al kalaga ana fi udeya
spontaneous-speech-kcn-22429.mp3	Ana gi hafidh akili tai logo ana gi kati rakab kwesi wu an gi hafidhi ligo ana gi Kati Kalam kan te Kati akil de te juru te Kati uwo ya kul ina gi endi jenina ne kutu fi missile kutu fogo ne kati	Ana gi hafidh akil tai ligo ana gi ka rakab kwesi wa an gi hafidh ligo ana gi kati kalam kan te kati akil de te chungo tikato ya kun seb ina gi endi jenna al na kutu fogo misile kutu fogo ne kati
spontaneous-speech-kcn-22446.mp3	Usra tayi ligo faida fi taalim kalam maisha taumon kun rai raisi kila kalam ja seme seiseide kalam mon ligo taalim fi ummah ya fi jedde usra kun furayi zaidi hmm fi life hal taumon kun ta faida	Gusra tai ligo faida fi taalim kalam maisha tomon kun ai raisi kila kalam ja semi sis de kalam mon ligo ta alim fi umma yaafi jede usra kun furai zaidi mon fi lai tal tomon kun ta faida
spontaneous-speech-kcn-22515.mp3	Usra bes endis te te abus samam akili bes ma rakab akili kwesi dukur tan te Kati akil akil endis te kati de abus te samam	Usra bes endis te te abusu samam akil bes ma ara kab akil kweisi dukur tan te kati akil akil abis te kati de agusti samam
spontaneous-speech-kcn-22543.mp3	Akil tai al gi furaisha ya kisira ya kisira ma gurusa me luguma sasi me ma mula kofta ma mula korofo gwanda ma mula lam ma bamia	Agi daal gi fu aisha ya kisira ya kisira ana gurusa ma ligo musas ne man mona kufta man mona kurufogona ma mona nana ana
