audio_file	reference	hypothesis
spontaneous-speech-meh-29383.mp3	Suu jiani ni a kue'e tuni tiñu sa'a daja de jini ñuu daja jɨn... ñivɨ sa tyinei daja axin na'in xu'un sava ke'en daja na'in a ɨjɨn na'in tata jini ñu'un daja yukuan kuvi a taji daja nuu ñu'un jen nuu kue'e a yaji daja Tyi jɨn... Iyo suku vi daja satiñu da jen ntuvi... ntuvi xu'un daa jen ntu kunei daja sa'a kue'e daja Itu ntu kunei da kaka kue'e daja Na tata ka... na tata kafe daa ɨjɨn... tikuitɨ daa nutyi suu kuvi daa sa'a daa maa tun ju Ntuvi xu'un jen ntu kuvi sa'a kue'e daa ma jen sava Suni kuaan sama iyo nuu ñu'un daa jen iyo kukue'e Savi kuun kukue'e tatyi kukue'e jen xinɨ'ɨ tuku a satiñu daja suu suu a maña'nu ka'vi maa xu'un de a iyo xu'un de sia'un nuu daa e tyinei daa tyinei xu'un a daa sava ɨjɨn... kaka kue'e daja itu daa suun nti'vɨ sava su kinoo tan yaku ka kuvi ni daja niñɨ kaji daa tyi suu maa... maa nuu ni vi a kuvi a jini ñu'un da je da nutyi va daa A yukuan vi a jini ñu'un da tun iyo nuni iyo nutyi iyo yɨkɨn iyo e suu de daja kuteku daja kua'an nee daja nuu nee daja katyi o suu da yukuan kuvi a jini ñu'un jin suu tyu yukuatyi tu iyo xu'un jen tyunaa daja ñivɨ tyinei da jen kukue'e tiñu sa'a daja	Su ianini ni akue'e tuni tiñu sa'a daja de jini ñu'un daja ñvɨ sa tyinei daja axin na i xuu' sava ke'en daja na ia na in tata jini ñu'un daja jen yukuan kuvi a taji daja nuu ñu'un jen nu kue'e a yaji daja yiiyo su kuvi daja satiñu da jen ntuvi ntuvi xu'un daa jen ntu kunei daja sa'a kue'e dajaitu ntuku nei da kakɨn kue'e dajanatata kanda tata kave da tikuitɨ danutyi su kuvi da sa'a da maa tun jn tuvixu'un jen ntu kuvi sa'a kue'e da maa jen sɨ a suni kua'an sama iyo nu ñu'un a jen iyo kukue'e savi kukukue'e tatyi k kue'e jen xinɨ'de tuku asatiñu daja s jsu a ma ña'nu kavi maxu'n a iyo xu'un de sea' o nu daj tyinei da tyineei xu'un an daja sa va n kakɨn kue'e daja itu da jen suuntivɨ sa va su kino tan ya ku k a kuvi ni'i daja niñɨ kaji da ti su mama nuni vi a kuvi a jini ñu'un da jin da nutyi kuan da da yukuan vi a jini ñu'n daja tun iyo nuni iyo nu tyi iyo ykɨn iyo e su nee daja kuteku daja va'anee daa nuu ne daja katyi o su da yukuan kuvi a jini ñu'n jin su suyu kuan tyi tu iyo xu'un jen tyu na daja ñivɨ tyinei da jen kukue'e tiñu sa'a daja
spontaneous-speech-meh-29384.mp3	Ah... sa'a dani kuvi a tun iyo iin tuno'o jen su tee nee tiñu kuvi a... ah... kɨ'ɨn ityi nuu ne'ya ja nasa... va sa'a ja sava jɨn... na ne'e jen yujin ya'a tun iin tuno'o kuvi ji Tun iin tuno'o numi ni kuvi ji Tee nee tiñu kuvi da ɨjɨn yoso ityi nuu detun a kuvi tyinei... ñivɨ sɨɨn ñuu de suu... Kua'an tyinei soma ɨjɨn... suu tun na naa kuvi majan na iin tuno'o kuvi ji tun iin tuno'o ña'ni ta'an axin a... ɨjɨn nkani ta'an vi ji suu tee nee tiñu kuvi a a sa'a... tava yujin a detun iin a jɨn... a... ni'i nee kuvi ji nee maa jan suu ɨjɨn... ñivɨ satatan kuvi a kutu'va kua'an je na nee je maa sava kɨ'ɨn jɨn nuu kutatan jan yukuan nasaa kuaa iyo maa yujin jen yukuan iyo ñivɨ... jɨn... nee sikɨ majan	sa'a vani kuvi a tun iyo in tu noo jin sute ne tiñu kuvi a kɨn ityinu ne'yaa nasa nasava sa'a ja sa va nane'e jen yujin ya'a tun in tuno'o kuvi ji tun in tuno o numi kuviji tene tiñu kuvi da yoso ityi nu detun a kuvi tyinei ñivɨ sɨ ñu te su kua'an tyinei soma sutunnana kuvi maaja na in tuno o kuvii tun intuno'oña'a ni ta'anxin a jnnkani ta'an vi sute ne tiñu kuvi a a sa'atava yujin ya detunin ajn ani'i ne kiviisvnta ni nee maa ja su jñivɨ sa ta tan kuvi a kutu'va kua'an jen na ne'e maan sa va kɨ'ɨjn nu kutata jan ukua na sa kuaiyo maa yujin jen yukuan iyo ñivɨ jnne sikɨ maja
spontaneous-speech-meh-29386.mp3	Suu jɨn... jianini ni kuvi a va'a tyi a iyo iyo ñu'un iyo ityi iyo nuu kutatan ñivɨ iyo ve'i kutatan ñivɨ iyo jɨn... kue'e nu iyo... kaa nkanta iyo ñuu ya'a jen suva'a iyo ve'i tyi tyinei yɨ jɨn Tyi kaan o vitan na nkuvi de ntuvi ñu'un Tee yoo tanu'u Iyo ñu'un ve'i yoo jen nkaa o tyi niyo maa Jin suvi ji vi a tyinei da na'i a tiñu sa'a o jen kun tɨɨn nuu ve suni tyinei jitu iin kaa viji jini ñu'un ñuu jen suu tyinei jen sa suu... jianini ni a va'a iyo kuva'a iyo nuu nuu da a... a kumani a... kumani ñuu su vitan tyi ankanta ja iyo jen ya'a sukuan kunini	Su ajia ni ni ni kuvi ava'a tyi a iyo iyo ñu'un iyo ityi yo.iyo nu kutatañivɨ iyo ve'i kutata ñivɨ yokue'e nuu iyo kankanta iyo ñuu ya'a jen suva'a iyo jo tyi tyinei ji tyinkaan o vita na nkvi de ntuvi ñu'unve'io tanu iyo ñu'u ve'i o jen nkaan o tini i o ma isuvii vi a tyinei na i a tiñu sa' o jen kutu de su ni tyinei ji tun in kaa viji jini ñuun ñu'un jen sun tyinei j jesa s jeani ni ni a va'a iyo j va'a iyo n nuu daaakumani akuma ni ñuu ya'a svitantyi a nkanta ja iyo jen va'a suuan kuni ni
spontaneous-speech-meh-29387.mp3	Ajɨn... Kaa niyo jɨn... ityi a na'a kava nsa'a daja kue'e nantiñu ɨjɨn maa vii nsa'a daja tyi niyo ñivɨ jɨn axin iyo taka vitan nakuvi ntu jini va'a ni soma ɨjɨn... niyo da nsa'a ñunu jen nsa'a jɨn... da yutun ñantiñu da jin xinikɨ daja Sava nsatiñu daja Jen ti... ɨjɨn... a ka'an o tu'un stila arado jin yugo jin na nanika yutun ñan... ñantiñu jiantiñu jin xinikɨ ɨjɨn... nsa'a maa ñivɨ maa ja Da jɨn na ya'vi va suu ñe'e da maa ntava da naa sava nsa'a daja da... ɨjɨn... ñunu daja nika jin da jen a vii ka iyo ntañu'un Kuvi da iin xixi kunu tyi sa'a maa daja isa daja jen sa'a da so'o da sa'a daja Nijin daa tyi maa jen kuatyi... ɨjɨn... iyo jen nijin da maa nuu vijin	niyo iki a na'an ka va nsa'a daja kue'e nantiñu jmaa vi nsa'a daja tyi niyo ñivɨ axin iyo ta ka vita na kuvi ntu jini va'a nisoma niyo da nsa'a ñunu da nsa'ada yutun ñantiñu da jin xiniɨ daja sa vansa tiñu dajani akan on tu'un stila arado jinyv jinananika da yutun ñañantiñu jiantiñu jinxinikɨ jnsa'a maa ñivɨ majan da na'a ya vi u an suñe'ne daja maanta va daa naa sa va nsa'a daja da ñunu daja nika jin da jen avi ka iyontañu'un kuvi da xixi kunu tyisa'a maa daja isa da jen sa'a da soo daa sa'a daja niji da tyi ma va'a tyi j iyo jen niji da ma nu viin
spontaneous-speech-meh-29388.mp3	Nsikɨ ni na na yuu na yutun na na'a yutun nitakaa ni Ntuvi niyo iin maa sikɨ ni sukuan kuaiyo vitan tyi ke'en daja kuya'vi a sikɨ de vitan... de da sa ña'nu ni tyi ma a ña'nu ni vitan jen ɨjiɨn suni nitakaa ni na'a yutun ɨjɨn maa nta'an ka ini ni sikɨ ni kuvi palatiyu kaan dani iin a sikɨ dani yutun vi ji jiani daja majan jen tyiso nijin daja inka yutun sikɨ jɨ jen kaan da yavi sava sava yutun yukuan yoso xini yutun iñɨ nityi ɨjɨn yoso dani xini i... iyo yo xini ah yutun yoso nijin yukuan jen jiko tiyo dani jiko tiyo dani va nee vii vii maa va'a vi yukuan nuu ni maa vii nkuvi ɨjɨn A nsikɨ ni yukuan	Skɨ ni nana yu na yutun na na'a yutun ni ta ka ni tuvi niyo in ma sikɨ ni sukuan kua iyo vitan tyi vita ke'en daja kuya'vi a sik de vitande da sa ña'nu ni tyi maa ña'nu ni vita jen Su ni taka ni na'a yutun manta'an ka ini ni sikɨ ni ku vi alatiyu kaa dani in a sikɨ dani yutun vi ji iani daja maa je tyi so ni da inka yutun sikɨ jen kan da yavi jen sa va sava yutun u kuan yosu xini yutun ñi nityi jen yoso dani xini i iyo yo xini ytun yoso ni ji kuan jen jiko tiyu dani jiko ti dani va ni vi vi ma va'a vi kan nu ni maa vii nkuvi ansikɨ ni yukuan
spontaneous-speech-meh-29389.mp3	A taji tata ta taji dani kuvi mm... itu itu jiin je jie'e itu vaxi itu va jiɨkɨn dani nu... nutyi sava kene nityi yute a yaji dani axin jijiaa je nake da maa tyukuan dani ku viji ɨjɨn da yaji dani ya ikuee dani da natyi suni ɨjɨn yɨkɨn Taji dani tiɨkɨn sava kene yɨkɨn Taji dani ɨjɨn nutyi lava tikuitɨ vi tata yukuan vi da tata kene nuu nee dani ya'a Tyi na iyo ka na tata ɨjɨn sɨɨn kiji kene yatyi Da yukuan ni kuvi da tata kene nuu viji ya'a	a taji a ta ta taji dani kuvi itutu jin jen jie'i itu uan xin itu an jiakɨn dani nu nutyi sava keneni tyi yute yaji dani axi jiji a jen na ke'n dani matyi va'a dani kuvi ji a yaji dani ya i kue dani da natyi suniyɨkɨ taji dani tinsa va keni iɨkɨn taji dani nutyi la va tikuitɨ vi tada yukuan vi da tata kene nu nee dani ya'a tinayo ka na ta ta sɨn kiji kene ya tyi da yukuan ni kuvi da tata kene nuu vijin ya'a
spontaneous-speech-meh-29390.mp3	Suu a kaji da yɨkɨn kuvi a sa'a o tyityiyo da yɨkɨn yute da naña yute da... jɨn... Naiin titɨ vixin naiin a vita de sa'a o tyityiyo jen... ɨjɨn tyu'un in ñejin luli de sia'a o nuu da kuatyi tun maa kuatyi vi de maa yɨkɨn vi detun a kuaan kue'e nuu kutyi... ɨjɨn suni saa ni sa'a o jen so sia'a o da titɨ vixin yukuan kaji i ɨjɨn nakete noo yukuan tyu'un o nuu iin ñejin luli jen yukuan Kunee kaji a ini ñejin a ini ko'o nasa kuaa kuvi maa a sia'a o nuu ju Suu jɨn... sukuan de ko'o va'a sava ntɨɨn kue'i maa ja	Suu a kaji da ykan ku via Sa'o tyityi'yo da vikɨn yute da na ña yute dana i titɨ vixi na in a vita de sa' o tyityi'yo jen tyiu'on ini iñe jin luli de sa'a o nu da kuatyitu ma kuatyi vi d ma ikun viji de tu an kuan kue'nuj tyi suni sa ni sa'a o jin so sia' o da titɨ vixin yukuan kaji ji nakete no yukuan jen tyu'nnuiñejin luli jin yukuan kunee kaji a i ni ñe ji a ini k'o na sa kua kuvi maa a sia o nuju Snsukuan deko va'a a sa va ntɨn kue'i man
spontaneous-speech-meh-29391.mp3	M iyo kue'e saa ñuu ni soma iyo saa a sivɨ katyi ki ni kue'e ke'in nuu saa iyo ñuu ni Iyo kuili iyo... saa tyii iyo sa...saa na'ma liyo a vii ka saa vi liyo yukuan tyi a tutu ju kuni o sa'a ja sa kanaji san... na'yu ju jen vii tyu'un jun tatyi ji ka'an ja kuaa to a kuaa tu'un a tutu kuaa tu'un a jita jen... Yukuan kuvi a saa vii so'o tun jini o iñɨ tyiji ku'u	yo kue'e saa ñu ni somayo sa asivɨ j katyi kini sukue'e ke'in nuu sa iyo ñu ni yo kuili iyo satyi iyo sa.sa na'ma liyo a vi ka sa vi liyo kuan tyi a tutu j kuni o sa'a ja sa ka na jinsa na'yuju jen vi tyiuunn tatyi ji kuatu n ka'a ja kuatun katu an tutu kuatu an jita jen yukan kuvi a sa'a i so'o tun ji ni iñi o tyikuu
spontaneous-speech-meh-29392.mp3	Iyo tiñu sa'a da... da tee su... tiñu sa'a da tee kuvi a taji daja nuni... ɨɨ... sava jia'a ka da itu daja ɨjin... Su tiñu nuu ku'u kuvi a sa'a da maa tee ɨjɨn... Nee da xi'na katyi maa da tee ni satiñu nuu ku jen da ña'a a nkinoo vi'i de kuvita tyi a kua'an sakayu jin ntuvi ka ntuvi ka satiñu... nee nu'un tee je nee nu'un ña'an tyi nkajie'e daja sa'a da nuvi mmm nuvi nuu sa'a ntaka dani Nnn Sava tyinei ta'an daja	yo tiñu sa'a aja datee s tiñu sa'a da tee kuvi a taji daja nuisa va jiakan daja itu daja Su tiñu nu ku'u kuvi a sa'a da ma tee ne da xi'naka tyi maa da tee ni satiñu nu kuu jen da ña'an nki no ve'i de kovitatyi a kua'an saka yujin ntuvi ka tuvi ka satiñu ne nu'un tee jen ne nuun ña'an tyi nka jen daja sa'a daja nuvi nuvi nuu sa'anta ka ja nisa va tyinei ta'an daja
spontaneous-speech-meh-29395.mp3	Suu kua'an da kene daja kua'an ke'en tiñu sa'a ke'en tyu'un ke'en ɨjɨn... nku kue'e ñɨvɨ kua'an nejika ne inka ka ñuu ne yata nute axin maa Ñuu Ko'yo ya'a soma ɨjɨn kua'an daja ne sikɨ da kuaan daja sava ɨjɨn... ni'i daja xu'un kuteku kuya'vi daja jen ɨjɨn... sa de teku ñɨvɨ ve'i daja ɨjɨn... kua'an vaji daja ne iyo da iyo kaa iyo daja kua'an ka sɨɨn su Sukuan kene daja kua'an	Su kua'an da kene daja kua'an je'e tiñu sa'a je'e tyun je'e nkkue'e ñivɨ kua'an ne jika ne inkaka ñuu ne ya tanute axin mañu koiyo ya somankua'an daja ne sikɨ ka kua'an daja sa vanii daja xiu'un ku te kukuviya'i da jen sa de te ku ñivɨve'i daja kua'an vaji daja ni iyo da iyo kaa iyo daja kua'an kas su su kuankene daja kua'an
