audio_file	reference	hypothesis
spontaneous-speech-koo-50679.mp3	Omulhume amathahya omukali mughuma erihulhukya liwe likakeha neryo kandi erihika liwe likabya mwe ngulhakulhana kandi omulhume amathahya omukali mughuma obutheke bwiwe bukanabyamu obuholho sibulibya mwetsughuru baitu omulhume amathahya abakali banene eka eyo mukabya erihali abakali bakabya ibane mulhwa nabandi iba lhoghana nabandi ibabya ibabya bakatoka erilhabangania kwebinya neryo likaleka obuholho ibwa bulha omu muyi	Omulhume amathaha omukali mughuma erighulhukya liwe erikakeha neryo kandi eriikaliwa erikabya mwangulhakulhana kandi omulhume mwathahya omukali mughuma obutheke bwabo bukanabya mo buholho simulibya etsuhru beitama omulhume amathahya abakali baneni omwa butheke mukabya erihali kundi abakali bakabai mulhwa ibakalhwera omulhumi nabandi ibalhoghana nabandi ibabya baibabakatoka erilhwa erilhabangania koebinywe eryo rikaleka obughuma nobuholho ibabulha omwamuyi
spontaneous-speech-koo-50680.mp3	Emisabe omwa mughulhu thukathunga erisurusutha omughulhu thukathunga esyonyuhi yikathuwathikaya omwihumulikana emyeyo yethu iyathunga erithekana Kandi yikawathikaya erihighitha emyeyo mibi eyikabyayiri omwabandu omughulhu bakathunga esyonyuhi yikawathikaya nabandu ababi abakaletha esyonyuhi erithunga omuthima oweri yisubamu	Emisabe omwa mughulhu thukathuna erisirosutha omughulhu thukathunga esyonyuhi yikathuwathikaya okwhumulikana emyo yethuyathunga erithekana kandi yikawathikaya erihighitha emeyo mibi eyikabya eyirya omwa bandu omwamughulhu bakathunga esyonyuhi yikawathikaya nabandu abami abakaletha esyonyuhi erithunga omuthima oweriyesubakoaaaaaaa a a a a a a a a a a a a a a a a a a a a a a a a a a a a
spontaneous-speech-koo-50681.mp3	Thwamabya ithukakolesaya eh intaneti okwilhalhania emyatsi ithwalhangira thuthi emyatsi eyathukalhalhanaya rundi eyathuka lebeka eyabya eyinendeke kandi iyanganalethera abandu bemitse emibuya Kandi iyaghana eribalethera akatabanguku ko mwaka Kandi siyiri mwa mabehi ekyindu ithwa ithwaghana eribya thukatheka mwa mabehi ekyi kyikendithuwathikya okwilhalhania emyatsi okwi intaneti emyatsi eyiri ndeke	Khwamabya ithukakolesaya eyintaneti okwilalana emyatsi ithwalhangera thuthi ematsi iyathukalelelanayahalhundiya thuklebeka iyabaiyine ndeke kandi iyanganalethera abandu bemitse emibuya kandi iyani ibalethera kathabanguku ngomamaka kandi siyiri mwaamabehi ithwa ithwanira ithukathekamwamabehi ekindu ekyikyikithuwathikya okwilhelana emyatsi okwa eyintaneti emyatsi eyeri ndeke
spontaneous-speech-koo-50682.mp3	Abembembetya bathuhabulha okomibiri mibuya eyobuyitsotse nakutsibutsibu okunaba okubyala nesabuni ibathuhabula okubya thukogha nabandi bathuhabulha eribya thubirya amathala wethu nokuthakula obubbine omo miyi yethu	Abemembetya bakathuhabulha okw emibiri mibuya yobuyitsotse nakutsibutsibu okwinaba kwa byalha kw sabuni ibathuhabulha ookwbithukowa nabandi bakathuhabulha okbithukabirya amathalha wethu nokwithakulha obubine o omwmiyi yethu e e e e e e e e e e e
spontaneous-speech-koo-50683.mp3	Ngamabya isingali ahangakolera omwabuthuku bwayi obwa ngabya isingawithe omubiri owangakolha nganza ingabya ingane mulima omwa lirima lyaghe nerikolha ebindi bindu ebyosi ebyanganyikulhakulhania ngerikolha e buzinesi nuko nganasasathunga akandi kasente akakayongera okwa musara wayi	Ngamambya singalyahangakolera omwabuthuku bwaghi bwangabyasa ngabuthangubra wyangakolha nganza ingabya ngana mulima omwalirima lyaghi nerikolha ebindi ebindu byosi ebyanganyikulhakulhanyi ngerikolha ebizinesi nuko nganasathunga akandi kasenti akakayongera oko musara waghi
spontaneous-speech-koo-50684.mp3	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithendithunga amalhwere nge pressure rundi obulhwere obukalethebawa esukali eribya nyinene omwa mubiri neryo thukikalha ithunawithe amaghalha mabuya	Erikehya erinywa esukali omwa maghalha wethu likathuwathikaya okwithindithunga amalhweri ngepuresya lhundi obulhwere obukalethibawa esukali eribya nyineno omwa mubiri nerithukikali thunawithi amaghalha mabuya
spontaneous-speech-koo-50686.mp3	Kiwithe omubungo munene abambesa alerere irihiribwa omomandekero bakathunga amange nerithunga amalengekania mabuya okobikabya omokihoghu Kandi erisoma kikaleka ibashathunga emiri embere omokihogho	Kyiwethu oma bongo munene abambesa abalere eriyiribwa omamathendekero kubusana bakathunga amenge nerithunga amalingikani amabuya okwabinu bikabya omakihugho kandi erisoma likasabawathikaya erisabana emibiri embere
spontaneous-speech-koo-50688.mp3	Abandu bakulhu omwa malhambo wethu ithukendi basikya thwamabya omwa mibere eyeribya ithuka bahulikirira ebyabaka thuhana thwamabya thukahulikirira ebya bakathuhana ithukendibya ithwamabiribasikya kandi thwamabya ithukabaha ekyitsumbi kyabo ngabakulhu	Abandu bakulhu omwa malhambo wethu ithukindibasikya thwamabya omwamibere eribya ithukabahulikirira ebya bakathuhana thwamay thukahulikir ebya bakathuhana ithukindibithwamabiribasikya kandi ithwamaythukabaha ekyitsumbi kyabo ngabakulhu
spontaneous-speech-koo-50689.mp3	Omundu amathebwa likaleka anasulusutha omwamalengekania wiwe kandi likaleka ebyalwe aka thekatheka ibyatengesibwa omwa malengekania wiwe	Omundu amathebwa likaleka inasurusutha omwa malengikania wiwe kandi likaleka ebyalanabiripulhaningaa kundi ebyalakathekatheka ibyatengesibwa omwamalengikania wiwe
spontaneous-speech-koo-50691.mp3	Eripima akabonde okwa abandu abahikenye likawathikayabo erikalha ibanasene emibere eya oghundi ikaliremo okwa mibere eyo buyitsotse kandi kyikabawathikaya erithasya yirinda	Eripima akabonde aand okw abandu abahikenie likawathikayabo erikalha ibanasene emibere yaghundi ikaliremo okwa mibere eyobuyitsotse kandi kikabawathikaya erithasyayirindaaaaaaa
spontaneous-speech-koo-50692.mp3	Eripima obukoni bwa kabonde tikawathikaya eriminya emibere eyangikaliremo ngo omundu okwa kabonde neryo namabya ingabirikalhwalha inatsuka omubatsi namabya isindingakalhwalha ingathasyayirinda ndeke	Eripima obukoni bwakabonde likawathikaya eriminya emiberi yanga ikaliremo ngomundu okw kabonde neryo namangaabarikalhwala ngatsuka omwabatsi namabasindi ngakablhwala ngaasayi rinda ndeke
spontaneous-speech-koo-50693.mp3	Bakapona kutsibu kusangwa embali yitjolere iyambalibwa nabo abalhume butsire abambesa Bakapona kutsibu kandi bakabugja bati omumbesa oyo amabya muyaya kandi siawithe engeso	Bakapona kutsibu undi kusangwa embale yitholera iyambalibwa nabo abalhumi bitsira bambesa bakapona kutsibu kandi bakabwamba omumbesa oyo amabya muyaya kandi sawithengeso
spontaneous-speech-koo-50695.mp3	Thukabya ithukayisaghaya erighabiea amalwera ethi okwabu abathuthimbireku	Thukabya ithukayisaghaya erighabira amalhwerethu okwabo abangabya bathuthimbireko kwiibaliha kuhi nethu kyakyangaleka ithwaseghera hali ithwalhwahalya abandu abathuthimbireko
spontaneous-speech-koo-50696.mp3	Erithendikoleserania ebindu ebyobulimighulhu okobandu banene bikathuwathikaya erindendighabana amalhwere likathungunga okwithendighabana amalhwere	Erithendikoleserania ebindu ebyobulimughulhu oko bandu banene likathuwathikaya erithindighabana amalhwere rikathukunga okwithindi gabanamalhwereieieee
spontaneous-speech-koo-50697.mp3	Emyatsi tukathungirayo okwasyaradio erilhaba omwanbandi ithwathungirayo erihayo omwanbandi abalhbi bakthwubwirayo abalhvi abakathulhabako omwamalhambo wethu	Emyatsi ithukathungirayo okwasyerediyo erilhaba omwa bandi ithwathungirayo irwihayo omwa bandi bakathuwirayo abalhabi abakathulha abakoma mwalhambo wethu
spontaneous-speech-koo-50698.mp3	Sikaleka iwaghenda omwa bandu ighunahenirye ndeke ke isyakuthambya okwa malhwere owangasira eribya esyonjjimba sikabya isinakyinire nge kolera nomutsutsa	Sikaleka iwghenda omwa bandu ighunahenirye endeke keyisyakuthambya okwa malhwere owangasira eribya esyanimba sikabya sinakyinire ngekolera nomutsutsa
spontaneous-speech-koo-50699.mp3	Omunywani wayi amanza erinyitheka omwamitsemibi ingendi mukunga ingamubwira indi sikihikire Kandi ingamusomesya emibere eye mitse mibuya	Omunywani waghe amantere nyithe komwa mitse emibi enengendi mukunga ingamubwira indi sikyihikire kandi ingamusomesya emibere eyemitse emibuyi
spontaneous-speech-koo-50701.mp3	Bikaleka ithwayisaya amalhwere awo omutsutsa owakasira okwa maghetse awakyinire ekyangaleka ithwasiba aha henirye okwa bithero byethu	Bikaleka ithwayisaya amalhwere ngoghomutsutsa owakasira okwa amaghetse owakyinire kyakyangaleka ithwasibahehenirya okwa bithehero byithu
spontaneous-speech-koo-50702.mp3	Kundi ibwa obukoni obwakabonde bukitisaya ibwaleka abandu ibaholha kandi ibabonda ibaghana eribya omwasyambera esyowene kyekikalheka abandu ibabusaghisya kutsibu	Kundibwa obukoni bwakabonde bukithisaya bwaleka abandu baholha kandi babonda ibanibyomwa syamberesi wene kyekyikaleka abandu ibabusayi sya kutsibu
spontaneous-speech-koo-50704.mp3	Omwabulhambo bwethu mwamabya isimuli amasalhali thukakolesaya esyasola erilhangira kandi thukakolesaya esyatara esinyoho sinyoho	Omwambulhambo wethumwamanasa mwelimasalali ithukakolesaya esyasolha okwilhangira kandi thukakolesaya esyatara esinyoho sinyoho
spontaneous-speech-koo-50706.mp3	Abana balere bakasatha emisathu omupira bakasatha emisathu eyo omupira owebisandu neye byalha	Abana balere bakasatha emisathu ngomupire bakasatha misathu emipire yebisandu ney byalha
spontaneous-speech-koo-50707.mp3	Sikaleka ibaminya aheritsukira erisubura lyololyolo eritasuka lyolo ibarunda ibatunga esente ndeke omusyasuburu syabu	Sikaleka ibaminya herisukira erisubura lyolholyolho erisuka lyolho ibarundi bathunga esyosene ndeke omwa syasuburo syabo
spontaneous-speech-koo-50708.mp3	Abalengwa eribya omubitsindikano bibi nabandi balengwa bikabaletera eriyikopererya emitse mibi okobandi balengwa	Abalengwa ribya omabisindikano ebibi nabandi balengwa omwa malhambo wethu likabalethera erikopererya emitse emibi okwa bandi balengwa
spontaneous-speech-koo-50709.mp3	Ebyalya ebyathukalya thukabiha omwa malima wethu nebindi thukabighulha omwa kathali	Ebyalibya thukalya thukabiha omwa malima wethu nebindi thukabighulha omo kathalieieieieieieeee
spontaneous-speech-koo-50710.mp3	Thukalya ebyalya ebikathuha amani ibyaleka ithwa kolha ndeke ... no sound... ebyalya ebyo thukatirimirabyo omu malhambo wethu	Thukalya ebyalya ebikathuha amani ibyaleke thwakolha ndeke kia thulana okw malhwere ebyalya ebyo thukayirimirabyo omwa malhambo wethu
spontaneous-speech-koo-50712.mp3	Thukaa ngabirayayo obulikiro nerisumurayo obuli kiro ikyaleka iyabya eyinahenirye nerilimirira eyihya syayo	Thukaba ngabirayayo buli kyiro neri sumuray okwa bulikiro ikyaleka iyabya iyinahenirya nerilimirira eyihyasyayo
spontaneous-speech-koo-50713.mp3	Thwamathendithunga esya mbulho esyerithwalha abana bethu boko mathendekero thukayayibweka okwa bitebe rundi ithwayibweka okwa banyoni bethu	Thwamathendithunga esyombulho ekyerithwalha abana bithu bokwa mathendekero thukayayibwika koma bitebe rundi ithwayibwika okwa banywani bithu
spontaneous-speech-koo-50715.mp3	Thwanganakangania abindi bandu bemitse mibuya omwa malhambo wethu omwa mikolere yethu emibuya embere syabandi	Thwenganakangania abandi bandu bemitsi emibuya omwamalhambo wethu omwa mikolere yethu emibuyi embere syabandi
spontaneous-speech-koo-50716.mp3	Atholere inyakolha engulhakulhana omwa bulhambo neriletha obuholho omwa bulhambo neribugha ndeke nabattaka bomubulhambo obwo	Atholere inakolha engulhakulhana omwa bulhambo neriletha obuholho omwa bulambo neribwandeka nabatakabo omwabulhambo obwo
spontaneous-speech-koo-50719.mp3	Batholere ibaghesya abana babo eribyahu ndeke neririthunga abanywani abiwene abangabathwalha omwanzira eyihikerere	Bathola eribaghesya abana babo eribyaho ndeke neriithunga abanywani abibwene abakabathwalha omwa nzira eyihikerere
spontaneous-speech-koo-50720.mp3	Ebyalya ebikaghunza byamabulha thukaghulha okwaba okwabo ababiwitheko ibyathuwathikya eribyaho ndeke	Ebyalya ebikaghunza byamabulha thukaghulha okwaba okwaba ababiwitheko ebyathuwathikya eribyahondeke
spontaneous-speech-koo-50721.mp3	Byamabirireka eryuba iryakanyirira kutsibu omwamalambu keghe lyamabirireka embulha iyabula omumalambu wethu	Bdyamabirilek eryobaeryakanyirira kutsibu omwa malhambo keryi mabirileka embuli yabulha omwamalhambo wethu
spontaneous-speech-koo-50722.mp3	Bikawathikaya bikasangasanganaya abandu bahaghuma ibyaleka ibakolera haghuma kandi ibanzana ndeke omwa malhambo abo	Bikawathikaya bikasangasangana abandu bahaghuma ibyaleka ibakolera haghuma kandi ibanzana ndek omwamalhambwabo
spontaneous-speech-koo-50724.mp3	Omughulhu ngowa namalu nganza ingahumulya obongo bwaghe rundi ingathunga eluhuka	Omwa mughulhu nguwe inamalhuha nganza ingahumulya obwo ngobwaghi lundi ingathungaerilhuhuka
spontaneous-speech-koo-50725.mp3	Thukathunga esyombene esyonde esyombunu esyongoko syesikathuwathikaya	Thukathunga esyombene esyonde nesyombuno nesyongoko syasikathuwathikayeho
spontaneous-speech-koo-50726.mp3	Wukabya imuwamathunga obuthuku obuwene erikoleramu ebya wanzire	Wukabya imawamathunga obuthuku obuwene erikoleramo ebyawanzireieee
spontaneous-speech-koo-50727.mp3	Akaleka imwakulhakuranira hawuma kandi imwanzana Kandi imune banyoni omubulhambu	Akaleka imwakulhakulhanira haghuma kandi mwanzana kandi mwabya munasgere banywani omwa bulhamu
spontaneous-speech-koo-50728.mp3	Wukaluhuka iwakesya iwayitakanizirya eyindi mibiri eyomwasindi esyosaha	Wkalhuhuka iwakesya niwayitakanizirya eyindi mibiri eyo mwasirindi esyosaha
spontaneous-speech-koo-50729.mp3	Obukoni bwekorona mubwanzingamia esyasuburo syo mouganda omwamibere minene mubwaleka akathali akebirimwa kamakeha mukasubibira ahisi nero ebisuburire muyana emibere eyerithwalira omo ebirimwa nebyobusubure byosibyosi mubyakalha kandi nesyasente musyabulha eeeh	Obukoni bwekorona mubwatsingana esyasuburo syomwa yUanda omumibere minene mubwaleka akathali akebirimwa kamakeha mukasubirira hesi neryo emisuburire muyaghana emibere eri eyerithwalira moebirimwa ebyathuna nebyobusubire byosi byosi mubyakalha kandi esyasente musyabulha
spontaneous-speech-koo-50730.mp3	Emyatsi erisambukaniayo rundi erilhalhania yo okwa binimba yabirike abatheke ibabya bakakopa ebindi bindu ebiri omwa wandi matheke neryo ibabiretha omwa mtheke wabo neryo kikaletha akattabanguko omwa maka kundi bakabya ibanemuleberya oku byabandi bakakolha neryo ibighamo emitse mibi esyongeso mbi ibaghana erisikangania ikyaleka obutheke ibwasambukalha	Emyatsi erisambukaniayo rundi erllhaniya obwabinimba yabirileka abatheke babakakopa ebindi bindu ebiri omwa bandi amatheke nero babiretha omwa matheke wabo neryo kikaletha akathabanguku omwa maka kundi bakaya bana mwileberya okwabyabandi bakakolha neryo bighamo emits mibi nesyongesumbi ibaganisya kangania ikyaleka obutheke bwa sambukalo
spontaneous-speech-koo-50731.mp3	Abandu bo mo bulhambu bwayi baka thunga amalengekania oko mumbesa oyukabya ina biri mbalha embali obuli buthya bakalengekanaya bathi abiri mbalha nabi kundi kyikabughibawa indi omwa bulhambu omundu oyu kambalha embali akabya ina biri mbalha nabi kandi bakalengekanaya bathi abiribya mutswatswa abiri tsuka emyatsi eyo butswatswa	Abandu bomabulhambo baghi bakathunga amalengikania okwo mumbesa oyukabya nabirimbalha embali obulibutya bakalengikanaya bathi abirimbalha nabi kundi kyikabuabaundi omabulhambu omundu oyi kambala embali akabya nabirimbalha nabi kandi bakalengikanaya bathi abiribya mutswatswa abiritsuka emyatsi eyo butswatso
spontaneous-speech-koo-50734.mp3	Omwabirimo bithano ebikasa embere ngalhangira ngamasabya ingabiribana omubiri ngendisabya ingabirikolha ebighendererwa byaghe ngerighulha erithaka lyaghe kandi ingabya iningabya nerithunga omukali neriyamuthahya ewabo Omukama amanyiwathikya kandi amatsumulha esya plani syaghe ingabya inabirighulha akandu akakanyithokesaya omwa mighendere yaghe	Omubiri omo bithano ebikasemberi ingalhangira ngamasaba ngabiribana omubiri ngendisaba ingabirikolha ebighenderelha byagi ngeribulha erithaka lyaghi kandi ingabya iningabya nerikuthunga omukali neriya muthaha wabo omukama mwanyiwathisya kandi amatsomala esya pulhanisyagi ingabya inabirighulhaa akand wikanyithokesaya emwamighendere yageie
spontaneous-speech-koo-50736.mp3	Ngabya ingatsumba ebyalya ebyo nganzire ngatsuka bwanaba okwa byalha ingoya enyungu inga engoya ne bindu ebyangikolesya nge byalya ebyonyinenyine ingoya nga mabya ini ngatsumba omukyeri ingoya ebitunguru ne sya nyanya na maghutha ingabithekatheka ndeke neryo ingatsumba	Ngabya ingatsumba ebyalya ebyongw enzire ngasukawana bo okwa byalha ingoya enyungo ng ingoya nebinu byangikolesya kebyaly ebbyonyinenyini ingoya ngamayaneingatsumba ngomukyiri ingoya ebitungura esyonyanya namabutha ingabathekatheka ndeke neryo ngatsumba
spontaneous-speech-koo-50737.mp3	Omwo malhambo wethu thukabawathikaya abandu abakasonda eriwathikibwa ngomo amaramiryo ithwa basorokerya akasente akaka bawathikaya ngabo abakabya isibawithe ebyerirya rundi ibabirithunga erilemererwa erilhwa okwa masipatara okwa mathambiriro thukana bawathikaya ithwabasorokerya akasente ikabawathikya	Oma malhambo wethu thukanawariwathikaya abandu abakasunda eriwathikibwa ngoma maramiryo ithwabasorewka erya kasenti akakabawathikaya ngabo abakabya sibawathe ebyerirya rundibabaithungerilemeriro erilh okwa masipatara oka mathambiriro thukandabawathikaya itwabasorewka erya kasenti ukabawathikayaaaaaaaaaaaaaaa
spontaneous-speech-koo-50738.mp3	Ababuthi banganawathikya abana babo abalengwa erithendibya omwamitse mibi eyabandi balengwa okwibya bakabakunga banginakolesya emibere yeribakunga buli kathuku	Ababuthi banganawathisya abana babo abalengwa erithindibya omwa mitse emibi eyabandi balengwa emibi okwbi ibakabakunga nganekolesya emibere ero bya bakabakunga buli kathuku
spontaneous-speech-koo-50739.mp3	Omughulhu owangathunga mwetseme nene omwa buyingo bwayi ghomughulhu owanabuyiramu amasomo wayi owa eduguri eyerimbere ekyindu ekyo um mukyanyi tsemesya kutsibu munatsema kutsibu omwa buyingo bukuwayi bwayi	Omughulhu owangathunga mwetsemenene omwabuyingo bwaghi woomughulhu owanabwiramu amasomo waghi awedimbi eyerimbgeri ekyindu ekyimukyanyithima esya kutsibu mungatsema kutsibu mwa buyingo waghieieieieieieeeeeeeee
spontaneous-speech-koo-50740.mp3	Obulime bwomwani bukalethera abandu besyosente omumughulhu bakaghulagha abeghi yo mwani eyabiriyenda eyighulhu neryo bakathunga esyosente ebakola nebindo ebyenkulhakulana omumighi yabu omwabulambo bwethu	Obulime bwo mwani bukalethera abandu besyosente omwa mughulu bakaghulhaya ebeyi eyomwani iyabirihethukira eyigulhu neryo bakathunga esyosente ibakolha nebindu ebyangulhakulhana omwamigi yago omwa bulhambo bwethu
spontaneous-speech-koo-50741.mp3	Erisikya ebindu ebyabakalini betu rikatuwatikaya erikalha omwa buholho kandi itunawete erilabanganako ndeke esituthalhwa omo bulhambo bwethu	Erisikya ebindu ebya bikalenibethu omwa bulhambu bithu bikathuwathikaya erikalha omwa buholho kandi ithunawithe erilabanganaku ndeke esithuthalhwa omwa bulhambo
spontaneous-speech-koo-50743.mp3	Bikaletheribawa naba abaghendi abe sya mutoka eribya bakaghendaya isibali ndeke abandi bakaghendaya ibana thamire nabandi ibaghendya ibana ghotsere bakakolha kutsibu kyekikaleka	Bikaletheribawa nabaabaghendya besyomutoka eribya bakaghendaya isibali ndeke abandi bakeghendaya ibanathamire nabandi ibeghendya ibanawotsere bakakolha kutsibu kyekyikaleka
spontaneous-speech-koo-50746.mp3	Ekisomo kyamathawathikya abandu bomukipindi kyethu erithunga emibiri kundi abundu abanene abali omukipindi kyethu abasomire banawithe emibiri kand nemingirire yomukipindi kyethu yabirihenduka busana nekisomo	Ekyisomo kyamathawathikya abandu bomwa kyipindi kyethu erithunga emibiri kundi abandu abandine bali omwa kyipindi kyethu abasomire wanawutha emibiri kandi nemingirirya yo omwa kyipindi kyethu yabirihinduka busana nekisomo
spontaneous-speech-koo-50749.mp3	Abandu bwo'mobulhambu bwethu bakathunga esyosente omomibiri eyobulime nabandi omobusubure nabandi bakasithungira omoyindi mibiri ngeye rikolera egavumenti	Abandu bomwa bulhambu bethu bakathunga syosente omwa mibiri eyo bulimi nabandi omwa busuburi nabandi bakasithungira omwayindi mibiri ngayerikolera omwa gabumeti
spontaneous-speech-koo-50750.mp3	Thwamabya ithukogha bulikyiro kandi thu kapulasinga amenu wethu bulikyiro ethukoya ne syongyimba syethu bulikyiro ekyibeho ekyibi ikyikindihwa oko mibiiri yethu	Thwamabya ithukowha buli kyiro kandi ithukapura esyingame wethu bulikyiro ithukya nesyonjimba syethu buli kyiro ekyiveho ekyibi ekyikindihwa oko mibiri yethu
spontaneous-speech-koo-50751.mp3	Eribya nabandi omwabughanyira likaletha omwa muthima ghomundu mwobuhumulikane no'buthekane kandi kikakuwathikaya erithendithunga amalhwere nga'we puresha	Eribyanabandi omwa bughanyi likaletha omwa mithima womundu mwabomumulikani nobuthekani kandi kyikakuwwathikaya erithundithunga amalhweri ngawe presya
spontaneous-speech-koo-50753.mp3	Eryowa okumibiri obulikyiro kikathuwathikaya okwamalwere Kandi likaleka omubiri wethu inathabeha Kandi likaleka ithwabya ndeeke omubandu	Erygha oka mubiri obuli kiro kyikathuwathikaya erithendibya namalhwere kandi eryogga likaleka omubiri wethu inathabeha nabi neryo likaleka iwabya ndiki omo bandu
spontaneous-speech-koo-50755.mp3	Likathuwathikaya erithendi lhalhania amalwere nge kihinzi ne kikuba	Erihghulha amuno ethu nesyanindo syethu muluthu kathw esyotsiya likathuwathikaya erithemnilalhania amalhwere oka bali kyethu akutsibutsibu ekyihenzi nekyikuba nawandi malhwere awakahekaawanoma yaga
spontaneous-speech-koo-50756.mp3	Erinywa amaghetse obulikyiro kikaleka omubiri wethu inabya akabya inanemu amaghetse neryo amaghetse ayo akabya inane omwa mibiri yethu akaleka ithuthathunga esindi syandwalha esyanga thwasira omu buyingo bwethu	Ehrinywa amaghetse obulikyiro kyikaleka omubiri wethu inabyaakabya inanema amaghetse neryo amaghetseaya akaghanana omwa mubiri akaleka ithwthathunga esindi esyandwalha esyangathwasira omwa buyingo bwethu
spontaneous-speech-koo-50757.mp3	Ngabirindiliira ndeke keghe ingakolha kutsibu eribithunga omwa bulime no mwi ghulha kyekya ngaleka ingabi birindirira ndeke neri birinda	Ngabirindilira ndeke kingakolha butsi bweribithunga omwa bulime nomwighulha kyikyangaleka ingabilindirira ndeke neribirinda
spontaneous-speech-koo-50758.mp3	Bakakolangana ne gavumenti I bathuhikyaku obubalya hakuhi ne wethu Kandi ibaletha amalwaliro hakuhi	Bakakolhangana ne gavumeti ibathuhikya kobubalya hakuhi ne wethu kandi ibaletha amalhwaliro wahakuhiiiiiiieie
