audio_file	reference	hypothesis
spontaneous-speech-ruc-24730.mp3	Kubanga olugendo luba lunyamulai jenkwaba nenzira ebba jibi namafuta enzira olugendo jenkwaba luba lunyamulai nobweruba olumpi naye enzira ebba jibi ebina bingi omunzira amafuta gabeeyi nebintu ebyakolesya omwekka yoyo akuntwala yabeyi eeh engeri njena mbiba ebyabeeyi kuba njena mba nkumanya ebeeyi yabyo naye yena omusasira kubanga ebintu byabeeyi namafuta gabeeyi olugendo ebina birimu enzira zibi nolwekyo emotoka jo e transport joba otambulireku yona nojisasira nti ekituffu kubanga yena akolesya ebintu byabeeyi omwekka yamwei	Eubanga olugendo luba lunyamula gyenkwaba nenzira eba gii n'amafuta enzira olugendo gyenkwaba luba lunyamulai nabeluba olumpi neye nzira eba gibi ebiina binga omunzira amafuta gabeei nebintu ebya kukolesya omweka yoyo akuntwala byabei nkerigna nyabei kubanganaba nkumanya ebeya naye yelo musasira kubanga ebintu byabeeyi amafuta gabeeyi olugendo ebina lirimu enzira zibi nolwekyo mutotanspooo tambulireku yona nogissira ni kitukubanga yeakukolesya ebintu bya bbeeyio omweka yamwe
spontaneous-speech-ruc-24747.mp3	Ti ti bisai kubanga abasomesa baika late ate bebulungutanya baba bize baluma basoka mirimu zabwe okwiza nolwekyo ebyanyegesya tibyemereire kusai omukyalo bayina okucusamu abasaomesa baikenga letti nokubaterawo okubawanga aka alawensi kebakufunangaku ekya bureke nekya musana kubanga omusomesa yena omusasira ayina e famire teka kyova okubona nikizwireku nti enyegesya teyemereire kusai ombitundu bya mukyalo nti nolwekyo nolwa nsonga eyo baterezeemu baikenge babawenge e gavumenti eba bonengemu nebawa ak'alawensi awo ebyanyegesya omukyalo nimwo byaba okusai era nimwo byaterera	Ei tibisa kubanga abasomesya baikale ti ate babulngutanya baba  baluma basooka miremu ezabe okwiza nolwaeke ebyanyegesya tebyemereire kusai omu kyalo bayina okuyusa abasomesa baikeenga lei nokubaterawo okubawanga kalaawo ensikebakufunaku ekyabureeke nekyamisana kubanga omusomesya ro musaasirayi ne famire tebaoba koona nibkinzireku nti enyegesya tebyemereire kusai omubitundu bya mukyalo nti nolwnolw nsonga yobaterezemu baikeenge baawenga egavurnmenttebabonemubawenea kalaawo nsi amwei niw byanyegesya omukyalo nimwo byaba okuseera nimo byaterera
spontaneous-speech-ruc-24774.mp3	Omusaiza era niye alina okufo okujanjaba omuno abaana okuteekamu e sente o maama nayaba nabba naye oku kitanda kubanga niiwe e keya ekusinga eka niwe olina okugiteekamu we taata no taatekemu yete o maama akola mulimu ki I maama abba eka kusumbira nakulongoosa eka k'omuzadde omusaiza noyaba n'okola notetenkanya embeera gimwabaamu akati waamu n'omukyala wamu na baana baamu no maama wa baana baa maama wa baana baamu niwa niwamuleka te notaamufeeku famire yamwe eyemeera ku musaiza	Emusaiza era niyayina okukujanjaba muno kubaana okuteekamu esente omama nayaba naba nayo okukitan kubanga ni eka eyesinga eka niwoyino ogiteekamu otat nkaateeka muto maama aba kola mli mukyo maama aba ka kusumba nkulongo somuzadi omusaiza noyaba nokola notenkanyembera gemabam akatiwamu nomucyalo wamu n'abaana bamu n'omama owabaana b omama owa baana bamu baw wa mulekate notaufeu naba yabajajaafamire yamwi ebyembeera k musaiza
spontaneous-speech-ruc-24852.mp3	Ekka yange eyina kurara ku kitanda ekiriku akatimba akagemeibwe nomubazi oguita ensiri ekka yange eyina kulongosa bisiko ebitwetoloire oku lubuuga ekka yange eyina kukomakomawo biccupa oba bintu byona byona ebyatika atikire ebiyinza okubika amaizi	Eka yange eyina kurara kukitandi ekirimkuakatimba akagembwe nomubazi ogwite ensiri eka yange eyina kulongosa bisikeo ebitwetooloire okulubuga eka yange eina kukomakoma obikupuba bintu byona byona ebyatikatikire byeyinza okubiika amaizi
spontaneous-speech-ruc-24875.mp3	Abakali beegere okuliisya nga bakwakala omu kwegesebwa ni bafuna empiiya ati abaana ba bwala tibacaafuna nda nga tibacaali kwekira kubba bakumanya buzibu ki obuyinza okuligamu nga bafunire enda nga bacaali bato	Ebakali beegire okulisya nga bakwakalomukwegesebwa neibafuna empiiya ate abanababwala tibakafunnda nga tibakyalikwekirakubabakumanya buzibukbwuyinza okuligamu nga bafunire enda ga bakyalibatu
spontaneous-speech-ruc-24928.mp3	Kinyambireku nti nkusobola okwemeera e saawa zini nimbaza oku kintu ate nga kituufu okugeza okubaza okumaizi okunywa amaizi agatali gasumbe nti galwaza enda ate nga kituufu mu bantu benkwanuruuramu ensonga eyo nga waliwo abaali balumiibwe enda oluvanyuma lwakunywa amaizi agatali gasumbe	Einyambireku nti nkusobola okwemere kawa zini mbaza okukintu ate nga nga kitufu okugeza okubaza oku maizi okunywa amaizi agadali gasume nti galwaza enda ate nga nga kitufu omubantu byenkwanoluramu ensonga eyo nga waliwo abaali balumirwe enda ouvanuma lwa kunywa amaizi agadali gasumbe
spontaneous-speech-ruc-24964.mp3	Nziganywirwemu okugeza nti abantu beeyo... beeyongeire okujumbira ebyanyegesya e bajumbiire muno okusigikira oku bibegeserye abantu abakulu baingi ati buni bakujumbira abaana tibacaakonziba nka budi nibaakonzibanga olwa kubba nti abantu beegere endiisya egituufu gyolina okuliisyamu omwana omuto	Eziganyireemu okugeza nti abantu beyongeire okujumbira ebyanyegesya eibajumbire muno okusigikira okubibeegesere abantu abakulu bainga ti buni bakujumbira abaana tibakakonzibankvudi bakonzibanga lwakubatn abantu ibeegere ndiisya itufiren kulisyamu omwana muto
spontaneous-speech-ruc-24998.mp3	Atandikira oku myezi mukaaga nayaba omu dwaliro natandika okunywa edagala era na abasawu nebatandika omulabirira okutandikira oku myezi mukaaga era ayabayo emirundi innai kubanga aba ayina baba bayina okumukubiriza nokumupimanga omwana ali atyai ali kusai oba okunywa edagala eryo eryamuyabaku ogondya omubirir gwamwei okubyala okusai	Etandikire oku myezi mukaaga nayaba omudwalironatandika okunywa edagala era nabasisawo nibatandikamulabirira otandikire oku myezi mukaga era yaayo emirundi nai ubanga abaayino  bababayino oukubirizanokpimanga omwana ayatyali kusai oba nokunywa eddagala eryo eryamyambaku ogondyo omubiri gwamwei oku byalo kusai
spontaneous-speech-ruc-25025.mp3	Abaana abaala baina okubba okwisomero lwansonga nti boona balina okubba omumbeera egisai emyaka zaabwe ezikwiiza omu maiso wesanga nga ainza okufumbirwa omwojo nga tiyasomere ate ye yasomere n'olwekyo yeena kimunyumira omu fyuca yamwe eya mumaiso kubanga nataabbe nataasome yabbaawo atyai guni omulembe gwa buli muntu kusoma no pulezidenti yeena asobola okubba nga mwana mwaala ati n'olwekyo n'abaana abaala boona babe okusomero kintu kisa nyo nyo ddala	Ebaana abaala balina okuba oku somero lwansonga nti boona bayina okubba omumbeire egisai emyaka zabwe zikwiza omumaiso wesaganga yinza okufumbira omwojo nga teyasomere ateyenga yasomere n'olwekyo era yeena kimunyumira omufjukya yamei yo omu maiso kubanga nataa atasomere yabawo ti guni omulembebugwa buli muntu okusoma noo prezidenti yena asobola okuba nga mwana mwala ate nolwekyo abaana abaala boona baba oku somero ekintu kisanyo yo dala
spontaneous-speech-ruc-25127.mp3	E government eyina okuba nga ekugula amatakali buli kitundu singa kikwetagisibwa buli byalo bisatu nekubaku esomero awo ebyanyegesya biba bikwaba kwikira kyarumwei oku mwanjo nti nokongera abasomesa abangi kyikwetagisya nti buli somero lirina okubaku abasomesa abakusoba omwikumi okwira eyigulu wadde kuliku ebibiina mwenda oba ikumi naye kuyina okubaku abasomesa abakwika eikumi ebyanyegesya biba oku	Eganenti alina okubba nga gugula amatakali buli kitundu singa kikwetagisibwa buli byalo ebisatnikubaku e somero awo ebyanyegesya biba ku kkira kyarume ok ku mwanjo nti nokwongerabasomesabaingi keri tikwetagzanti buli somero lina okubaka abasomesaba wkum okwirayauikebna mwendo obaikumnayo koyina okuaku abasomesa ba kwikikomiebanyegesya ia okuo
