audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sring mom bacé atummrkan séjaré séjaré malhawan-pala-hawan kité mapun- nasonal mapun yang-orang-orang bBétawi yang dalada dlu kité mu pjuangkan bangsénéjaré Indonesiaini cukup dan cukup mya tu hati kité siba panrus pus bangsényé jangan sampé kluar ama taul séjar-séjaré montok bang sa pala palhawan kité kadang-kadang padai jaan s karang Hari ini Banyak-banyak orang yang ga amau tau dangan séjaré dari dulunyé naskarang kitaini sapa skarangini kita bisa bagini akan nakskarang ga amau taul damo mi kirkan ii sindiri siap kité dandiman kité dan tamba pjuangan mréka kité juga gaakan bisa spartini ga bisa akan mrdéka an paa daahu kité Lah yang mombawa komrdékan nnia danél bi majulagi
spontaneous-speech-bew-20805.mp3	Kalo untuk pemudé zaman sekarang mah parah Kenapa parah mungkin engga dalam 100[UNK] itu mungkin yang engga mau tau bahasé atau tentang budaye itu mungkin sekitar 90 orang yang 10 orang itu tau dengan budaye selingkungan kite Karena ape sekarang sudah banyak media-media kaya permainan-permainan ini itu makanyé pemudé zaman sekarang engga kaye zaman dulu Zaman sekarang mah kita mau beli ape-ape aje udah tinggal di HP mau apé-apé ajé tinggal di HP kalo kaya dulu kan engga Kalau kite mau belanjé kite ke pasar dulu karena pemude zaman dahulu itu sangat tau dan mengerti untuk bahasé-bahasé Bétawinya Untuk semuanya juga sekarang mah pemudé sekarang udeh engga mau tau dan gak mau kenal dengan budayénya sangat engga mau tau deh	kalo unduh pomud jama skarang mah para di kanaap para mukin na daram sratus prsaniu mukin yang amatau bahasé atau danyan budayé itu mukin kitar dan pul orangypo orangitutau dengan udayé se lingkongan kité kanapé sekarang subanyak media media kaya promanre ini itu makanyé pomudé jama skarang mah nga kaya jaman dulu Jama sekarang mah kita mobli p-p-j inggadi Hapé ma ap-aptinggali Hapé kala kaya daulu kanngkkla kita ma blanjé kita ka pasar dulu kanal pomudé jaman daulu itu sangat tau a ngirti unduk bahas baasé Bétawinyé dauntuk sumanyé juga Skarang mah pomudé skarang ga matau dani gamao kanal dengan udayényé sangat amautau dah
spontaneous-speech-bew-20807.mp3	Kalau untuk pendidikan itu penting banget kalau untuk kité yé kérna apé Pendidikan itu memang yang dicari kalau di zaman sekarang ini Memangnya zaman dulu Kalau zaman dulu mah kité cuman baca nulis ajé udéh hebat gitu sekolehnyé juga kita umpét-umpétan dulu kalau zaman dulu Tapi kalau zaman sekarang Emang harus penting dan sangat penting karena sekoléh itu memang satu untuk pegangan buat kité nuntut ilmu untuk apé ajé itu penting apalagi buat kité kerjé itu sangat penting jangan sampé éngga sekolê di zaman sekarang ini rugi rugi banget kalo untuk kalau bagi ayé méh	kalo untuk pandidikan it pénting banget kalo untuk kité yé karnapé pandidikan yituh mémang yang bicari ala jaman sekarangini manga jaman dulu ka jaman dulu mah kité cuman bacanulis Hajéudah udah hébat itu sekolé nyé juga kita upuumpuan dul kalo jamanduluabi jama sékarang Emang harus pnting dah sangat pénting kana sekolé yituh miang satu untuk pangan buet kité untuk-ilmu untu kpéajé yitu pénting apelagi but kita-kerjé itu sangat pénting Jama sampé ga sekolé du jama sekaranggini ruki ruji banget kalo untuk kalo bagi ayémah
spontaneous-speech-bew-20809.mp3	kégiatan anak muda sekarang ya paling kalo gadé kérjaan nyé ya begitu maén gitar bégadang toh bagiannyé cowo kalo yang bagiannyé céwé paling juga mondar-mandir naék motor jalan kesono jalan kemaréh dari sono dari kemaréh emang gitu-gitu doang itu éntar dié ngumpul ngumpul sama temen ntar kadang-kadang ngerujak baréng kadang-kadang dié makan baso bareng terus kalo buat yang rémaja ya itu paling maén-maénan masak-masakan maén bonékaan kalo émpat tali kadang maén umpét-umpétan apa ajé yang kiré-kiré dia senang hatinyé	kea muda sikalin ya palin kalonga da kerijanya yé bégitu main gitar bégadangtu bagian coakan bagian isa palin ya bégitu mudarman di mk motor jalan suno jalan kamalé rediksonkemar mbuan begitu tar diyê ngobrokadangkdanrucak barang kadangkadangdiê makan baso barang tus kalo yam but rma itu palin da maén-maénan man asakan maèn kunéka antalompatali dan-kadang dê maén ubé umpétan pajé dé yan kadstii
spontaneous-speech-bew-20811.mp3	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk karena kegagalan èntu melangkah kitè lebih maju lagi dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui tètèp semangat untuk menjalani hidup ini jangan takut hidup kitè èntu ngga sendiri sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga tètèp semangat semangatt	untuk kêgagalan kité jangan marasé diri kita tarpjot tarfuru kemung kian ke gagalan itu malangka kité lébi may ulai an untuk blajar lé bi smangat lagi untuk dari kegagalan kagalan yang sudan kita lalui tatap sémangat untuk munjalani idupini jangan takut idup kitétuh gasin diri klin kité banya kaon kawan kité dan yang telanh monci takan kité jua tatap sémangat smangat
spontaneous-speech-bew-20813.mp3	Asal muasalnyé itu orang tue (bapak) ané yaitu orang Jawa Ibu ané yaitu orang Bétawi nenek ané yang dari laki-laki juga dari Jawa Jadi kita lahir di daerah Bétawi jadi sampe sekarang ini berbahasa Bétawi dan orang tua pun sudah ikut jadi orang Bétawi	Asalmu asalnyé itu orangtuy ané ya itu orang-jawa ibu ané orang Bétawi éné ané yanr laki-laki jua arijawa jadi kita lahirir di daera Bétawi jadi sapes karangini berbahasa Bétawi dan orangtu Hakun sud ikut jadi orang Btawi
spontaneous-speech-bew-20814.mp3	Jeruk salak apel terus nanas apa itu salak itu gocéng sepanggulan maling apé Semua tu kebuagian tetangge-tetangge sodare sodare juga anak juga emang itu dicari-cari kan lebih murah kan lebih enak kan jadi kebagian semua kan kalo orang kampung mah kalo jalan-jalan emang begitu bawanya yang banyak yang murah biar tetangga-tangga pada kebagian anak pada kenyang makannya kan enak tu kan jadinya	Jaruk salak apr tros nanas apa salaktu wé bocéng spanggulan maling pé semuaa tuh ké buagian d tangga-tanggê sudar-sudaru juka anlak yua Emang i cari cari kan labimrahn lbi banyak ènakrik buagian semua kan kelorang kampo ma kal jalanjalan emang begitu bawanyaya banyak yanurah biar o tê tangga-tanggé ke buagian Anak aakanyamakan kan ènak tuh kan yaidiny
spontaneous-speech-bew-20816.mp3	Kalo ngurangin sampeh ya biasa itu kita gali dulu tu tanah digali Nah tanah digali kan jadi lobang tuh nah sampehnya tuh kita kumpulin nah setelah sampeh kita kumpulin kita bakar abis bakar yaudah begitu Ya biar sampeh itu ngga kabur-kaburan setelah ada angin kan kalo gitu kan enak tuh jadi keliatan bersih jadi sampeh-sampeh plastik tu ngga berserakan di mana-mana apalagi plastik tuh kalo ada angin udah mau kabur aja jadi gegara tuh halaman kita	kalo ngurangi sampé ya dia situ kita gali dulu tutana di gali Nah ttana digali kan jadi lobang toh Nah sampanyé tuh kita kumpoli sampê kita kumpoli ya kita bakar rabés bakar yau bangitu yart sampétong ga kabur kaburkaladaangin Na kan kalo bagi tu n akton jak bériya smpsampa plastik ton bersara kandimanmn a pla ya plastik tuh kalo adony dmu kaburaji jari bwalato Halaman kita
spontaneous-speech-bew-20817.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	hemat liburan y itu kita bawa-dari rumah kita belidi rumah Jadinyétu kita hemat kan kalo belidi at liburan kan banyak kitu mahal mahal jadinya kita olok Nah mankaya kita belidirumah tuh sapotmcamilan domtrus ama pomituh bawatuh aér panas pakét tarmos kalian bawa nas bawa launnya bawa tiker pari di suna pat liburan ka bayar nywmning kita buat yaang layén
spontaneous-speech-bew-20817.mp3	Barang yang saya beli di onlen si itu paling yang muréh-muréh yang ayé beli kuota aja bayar yang terutama ya itu ayé cari gratis ongkir biar lebih muréh yang saya beli si biasanya baju baju daster yang mureh-mureh aje ibu-ibu méh ya kadang-kadang lipstik kadang-kadang handbody ya kadang-kadang apa ajé yang muréh déh kalau beli di online méh yang penting kita bisa bayar	Barang yang saya beli di onlén si ya itu pali yan murmurê yang yé beli ya kuataya bayar ya tarup tama ya itu yé carigratis ongkér biar lebi murê yangsya beli si bia sinyi baju baju daster yanmuramur ajé yang amanyé ibu ya kadang kadang lfsti kaya kadang-kadang èmboti kadankada yang abmur d kao beli di onlin yang bisa bayar
