audio_file	reference	hypothesis
spontaneous-speech-ruc-24730.mp3	Kubanga olugendo luba lunyamulai jenkwaba nenzira ebba jibi namafuta enzira olugendo jenkwaba luba lunyamulai nobweruba olumpi naye enzira ebba jibi ebina bingi omunzira amafuta gabeeyi nebintu ebyakolesya omwekka yoyo akuntwala yabeyi eeh engeri njena mbiba ebyabeeyi kuba njena mba nkumanya ebeeyi yabyo naye yena omusasira kubanga ebintu byabeeyi namafuta gabeeyi olugendo ebina birimu enzira zibi nolwekyo emotoka jo e transport joba otambulireku yona nojisasira nti ekituffu kubanga yena akolesya ebintu byabeeyi omwekka yamwei	kubanga olugendo lubba lunyamula gyenkwaba n'enzira ebba gibi n'amafuta enzira olugendo gyenkwaba lubba lunyamulai noluba olumpi neye enzira yebba gibbi ebiina bingi omunzira amafuta gabbeeyi n'ebintu ebyakukolesya omweka yooyo akuntwala bya bbeeyi ngeri njyena nebibe bya bbeeyi kubanga gyenamba nkumanya ebbeeyi yabi naye yeena omusasira kubanga ebintu bya bbeeyi amafuta gabbeeyi olugendo ebiina lirimuenzira zibbi n'olwekyo emmotoka gotransipoti goba otambuliireku yona n'ogisasira nti ekituufu kubanga yeena akukolesya ebintu bya bbeeyi omweka yamwe
spontaneous-speech-ruc-24747.mp3	Enteekateeka naye e Gavumenti elwawo okwikayo kubanga oba gabbawo oba enzira nizo zibba ezibbi awo naye nsaba nti goona galyeitekereitekere k'eri ga mu tawuni ne gavumenti goona negongeramu abasomesa nibabateerawo alawensi ku owanga kubanga boona obasaasira alina e famire bakeera boona kuluma te kubanga tebabba na alawensi nikyo nkumanya naye baalibawaire alawensi boona nibabbaku n'esente zibakulabiri okulabirira nga e famire yamwe nga takulinda nga mbe musaala gwonka kuba nalinda omusaala ayaba okufundikira era nga omusaala tegumaale nikyo okubona nga ebyanyegesya bibba bidyooli	etekateeka naye gavumenti ebawa okwikayo kubanga oba gabaale obaenziranyiza zibezigyawo naye nsaba nti goona gaali etekereetekere nkeriga mutawuni era ne gavumenti goona negongeramu abasomesa nibabateerawo nalaawo ensiwokubawanga kubanga boona obasasiraayi nefamire bakeera bona kulumate kubanga tebabba nalaawo ensi nikyonkumanya naye baali bawaireyoalaawoensiona nebabbankuna esente zibakulabirizikulabiriranga efamire nga takulinda omusaala gwonka kbanaalinda omusaala ayawa okufundikiraranga omusaala nigwamaare kovakooneraga ebyanyegesya ebibba bidyoyo
spontaneous-speech-ruc-24774.mp3	Kumbanga mba nga tendina security ezikuuma wange abaibi baingi nempiiya gyokuma omu bank olwawo ogyikolesya nogilya oyinza ogyendya naye niyabayo nga gyigale era bank gyisai oku nkumira empiiya zange kubanga nobwifuna ekizibu oyinza okufuba nokimala omu weekend nga e bank tekore naye te noba nayo empiiya oyinza ogikolesya era nogimalawo nga ndowo kyokoremu kyamakulu naye oyinza okwendya okugula ekintu noyabayo nezikuwa naye te noyendya ozijjajjama noyabayo omu bank nezikwima e bank gyisai okunkumira e sente zanga era ngyebalya	Kubanga mba ti nasekulite eizikuuma wange abaibbi baingi n'empiiya gyobiika omu banka olwawo ogikolesya nogiry oyinza ogyendya nayenga noyabayo nga waigale era ebbanka gisa okumbiikira empiiya zange kubanga nibwoofuna ekizibu oyinza okufuba n'okimala omuwiiki endi nga ebbanka tekoore nayete nobbanayo omunyubba empiiya oyinza oggikolesya era nogimalawo nga ndowo kyokore omukyamakulu nayo oyinza okwendya okugula ekintu noyaba omu banka nezikuuwa naye te noyo endya ozijajamya n'oyabayo nga waigale bbanka gisa okunkuumira empiiya zange era njebali
spontaneous-speech-ruc-24852.mp3	Omusaiza alina okulya emmere okwomboka omubiri okugeza encwi oba ebyenyanja ebinyeebwa n'ebijanjaalo ennyama amawuli n'emmere ekuleeta amaani okugeza omwogo omuceere amatooke ebiaata aaa alina okulya okubintu ebya vitamini okugeza ebibala ebyo	Amusaiza ayina okulya emmere kwombeka omubiri okugeza e ncwi oba ebyenyanja ebinyeba ebijanjalo enyama byamawuli emere okuleeta amaani okugeza omwogo omuceere amatooke ebiyata aa ayina okulya okubintu bya vitamine okugeza ebibala ebyo
spontaneous-speech-ruc-24875.mp3	Abakali beegere okuliisya nga bakwakala omu kwegesebwa ni bafuna empiiya ati abaana ba bwala tibacaafuna nda nga tibacaali kwekira kubba bakumanya buzibu ki obuyinza okuligamu nga bafunire enda nga bacaali bato	Abakali begere okuliisya nga bakwakala omukwegesebwa nebafuna empiiya ate abaana ba bwala tibakyafunanda nga tibakyali kweikira kubba bakumanya buzibu kyobuyinza okuligamu nga bafunire enda nga bakyali bato
spontaneous-speech-ruc-24928.mp3	Zibakwata olwa bujama obwakaliriirye nga takwefaaku kunaaba abandi nga n'ewakuraara nga tayonjezeewo naye abantu ni beega obuyonjo obwekyo obwikiririire okunaaba n'okwesaairyaku akiri n'onaaba n osaairya wokusula nje nkukoba enjunzai zini twabba tuzetangiire	Zibakwata olwa bujamu obwakaliriirye nga takwefaku kunaaba abandi nga newakuraara nga tayonjezeewe naye abantu nibayege obuyonjo bwekimui obwikiriire kunaaba okwesayirya akakiri nonaaba na osairyewo okusula ngenkukoba enjunza zini twazibba twuzetangiire
spontaneous-speech-ruc-24964.mp3	Atandikira oku myezi mukaaga nayaba omu dwaliro natandika okunywa edagala era na abasawu nebatandika omulabirira okutandikira oku myezi mukaaga era ayabayo emirundi innai kubanga aba ayina baba bayina okumukubiriza nokumupimanga omwana ali atyai ali kusai oba okunywa edagala eryo eryamuyabaku ogondya omubirir gwamwei okubyala okusai	Atandikira oku myezi mukaaga naye aba omudwaliro natandika okunywa eddagala era nabasawu nibatandika okumulabirira okutandikira oku myezi mukaaga era yabaye emirundi inai kubanga abaina oku babba balina okumukubiriza nokumupimanga omwana ali ati ali kusai oba nokunywa eddagala eryo eryamuyambaku okugondya omubiri gwamwei okubyala okusai
spontaneous-speech-ruc-24998.mp3	Enkola ya byanyegesya eni etumbukire omu ngeri ya kuteekawo byakuroorwaku tugeze okwegesya oku kulima okusai ni bateekawo omusiri ogwa kuroorwaku okugeza pampa nk'oyo ni bateekawo omusiri ogukwegesebwaku oba ente z'amatai niwabbaawo ente ezikuroorwaku oba embuzi naye ng'ezo za kuroorwaku ng'abantu bakukumbaana ni baiza ni beega	Enkola ya byanyegesye nitumbukire omungeri yakuteekawo ebyakuraorwaku ntugeze okwegesya okukulima okusai nibateekawo omusiri ogwakuraorwaku okugeza pampa nkoyo nibateekawo omusiri ogukwegesebwaku oba ente ezamatai niwabaawo ente ezakkuraorwaku oba embuzi naye ngaezonga zakuraorwaku nga abantu bakumbana nibaiza nibeega
spontaneous-speech-ruc-25025.mp3	Ebyanyegesya bisai era binyamba okubba ombiseera byange ebya maiso nemba kusai kuba nenta noba nga toyina byanyegesya oba tokwakuba kusai kubanga ebyanyegesya okwakufuna omusala ne famire yamu ebe nga eyemereire kusai wenate omusingi gwamu guba gusai n'abaana bamu oba okw'abawerera kusai ate bona obawe enyegesya ejisai omaiso bonate babeku kusai ombufumbo omirimu nombulamu bwansi muni	Ebyanyegesya biseera binyamba okubba omubiseera byange ebyo mu maiso nemba kusa okuba netaso nekuba nga tolina byanyegesya obba tolikwakubba kusa kubanga ebyanyegesya okwabakufuna omusaala nefamire yamu ebbe nga eyemereire kusa wena ti omusingi gwamui ogubbagusa n'abaana bamwei bokwaba bawerera tera boono bawenyegesya egisa omu maiso boona tebabbekusa omubufumbo n'omumirimu n'omu bula mu bwansi mu
spontaneous-speech-ruc-25127.mp3	Okutandika ebiseera bya mabeega enyegesya yali bisai naye enaku zini enyegesya yeyongaire muno naye beyongere okusomesya olulumi lwaiswe iswena lwetubaza omumasomeero kubanga abaana baiswe bazweeka nga tukolesya olulimi lwaiswe naye nibaika okusomero endimi nizikyuka mbaire nkusaba bikyukeemu babegesyengeku endimi zaiswe zetubaza ekka kyaba kyamaani muno obyenyegesya yaba ekyukire nyo dala	Okutandika ebiseera bya byamabeega yenyegesya yaaligisya naye enakuzini yenyegesya yona yeyongeire muno nebeege okusomesya ollulimi lwaiswe isweena lwetubaza omu masomero kubanga abaana baiswe bazweka tukolesya olulimi lwaiswe ndenrebaike oku somerwa nnimi nezikyuka mbaire nkusaba ebyenyegesya byona bikyuka babeegesyaengeka enimi zaiswe zetubazeeka kyabba kyamaani muno omubyenjegesya yabbe kukire muno nnyo udala
