audio_file	reference	reference_raw	hypothesis
spontaneous-speech-rwm-57259.mp3	hanisa nguko kowa ba ngbeku ndibasuna li jibheti kibubhisiku kitinisa kandi kibuhoki ndiba kionga kandi kibuduwagebhei andulu kima njo nabo beyokiye nibalo na gonzasi sini sini	Mbulu ndie nkiguba ka tiko ndiamo ali mucele, gbebhe, konje, bhitakuli na kokowa. Ati ka sizoni kabika, kikibalaga kiguba lieli ndia akibikisaga kasu sente, sente injo andu ndia sa sasulilia bhaniki yabho ka sukulu injo bhesu kyepesieku bhesu poni bhuebale sini-sini.	Bnisaukokoabhakndibhauiieikiiiisiikikiisaknikihuoindabakioknkihuaeianuukiaoabhobhhaoiiahaliagoasisinisiaaaaaaaaaaaaaaaaao
spontaneous-speech-rwm-57262.mp3	Ka buyonjo bhalalemi ndibha ka ngongwa mbili ndiasu kalibe ndia bhakikolaga bhaitu bhabhi kibha nibhakibhueka bhakpa bha soloza buyonjo injo poni bhabhutolia bhakpa kima ndia bhagbokiliani kolai ogisa na komba na kima poni ndia akisobola telemisabe inji mabhonga	Mbamba kindie kikiongiliaga lika nabhongi akietagisa kibhebe na libho na kakaka kilike nikikikomba naogusai buli nkpa mindia akiogiliagabe ontolie eti abhongosie kikalo injo abhe bhinjo	Bkbhuoaaaaabhaiinibakagoamiiniasukaianibhakoagabhihubhabhaikibhanibakioakabhkaasooojooibkubhabhuolahaandihahokianikoaaaoiaaaaakiaesaukiliisaeiioio
spontaneous-speech-rwm-57264.mp3	Bizibu ndie nikoliliku koliliku kolisa dhetaga sa basi kedha takisi kowemi ali inja inja nanigbei kedha nyota nanigbei kedha nkya tabu nala nitinikiliagi dumbi nitekeleza nti nkya tabu yoho niki tunga bhoni	Ndia kidhuwa bazongo babuhegesebhe ndia bgananibhe na ndwali sya kabhondo ali nti kabhondo ali ndwali ndia kali na mubazi toli bazongo bakisikiyaku ndobho endindi ati no kesi babuhegese keka mwamrmbe nkali batekete ba nkebhele kabale eti akibhala zeni akozesage kapila dumbi injo akibha dumbi akimuyamba ndulu	Biziondinikoliikukoliaieagaisahikihasaaakoeiaaaiaajojananibkiantananibaaaitauaanitiikilaikiikanaeinkitaikitogahukimamamilinuiiakiagiteakoiadiagasabhasinasaio
spontaneous-speech-rwm-57265.mp3	Keisa kima ndia madhiku sukali Ali samugaso nanga sukali Ali zidhi kakozua nkpa akipaga ndwali ndiakali namubazi ndi bha giaga ku ngu sukali sukali Mubazi kalibhe	Baniki banikyekali ka kyalo ndyasu alibhe kima bhiyai ndyabhakifeluwaga kolai nanga bhakiyaga bha bga liki kebhakaduwembe mwakasi sa bga limi bhaya bhagodha ka group ndyakakisobola meisabho nandibhekina bhaka kibhuidaga ka sukulu injo andi bizizbu ndyabhakikolilyaga ku	Kaaaaakiandidndiamanikusukliisauganaasukalikamaasinikakakaaaakiieganualindakuhazinuiahakigiakiukiukalijouhiaaaaakaliabhokikiseuliooakibhaaknokuoisabmiindiaoo
spontaneous-speech-rwm-57266.mp3	Ka ngongwa mbili ndiamo sa kisomo ndia aliku ali mabhonga ali nti kiliku na pulaimale nikikibhaku na sekendule nikikibhaku na sukulu nduetolo ndia bhakpa sa pulauveti na sa gavumenti bhaniki bhakiyaga ka suku kalibe mindia akiesaga ka inji	Keisa kima ndia madhiku sukali Ali samugaso nanga sukali Ali zidhi kakozua nkpa akipaga ndwali ndiakali namubazi ndi bha giaga ku ngu sukali sukali Mubazi kalibhe	aakaiindiaoasakisamondaikaaaaiabhogaiikiikunaaaaaaikibhakunasknaikikibhakusukuundiekinandiabhaasainasaanikibhakiikasukuukaiemikakekiaakisagakaio
spontaneous-speech-rwm-57267.mp3	Likilia zomba ka uganda kabhongi nanga akiluzaga mbinduka sa bwile bie eyo mani ka zika akisa bwile mazamba mbula kekasokembe nahabweki dumbi lieli na kima ndietolo ndie kikibala kakisobola enikanai kowasu	Nabeni ogietagisa wogisage na libho mabena kudhakia ogisai obise ome ogole na pasi kudhakia golai obise kulungi ololage dou moti kedha dou bhali andulu olole ndiekina	ikiliaobhameikaugangakahoiaaakiuagaenukasaaaaoaikaiaaakisaemababhuakekaoeakiubliliinakimanikinaikibhaakkisohoaanikaaikoaoi
spontaneous-speech-rwm-57269.mp3	Kikunsumbiliagabho kima ma kozesa ka kilasi nga bitabo uniform aah kalamu kandi nkipaga na kikipagabho na liaga	Likilia zomba ka uganda kabhongi nanga akiluzaga mbinduka sa bwile bie eyo mani ka zika akisa bwile mazamba   mbula kekasokembe nahabweki dumbi lieli na kima ndietolo ndie kikibala kakisobola enikanai kowasu	Kkiekuobheliagahoaaaakimaaaaakoeakkisaaikoauiooaakaaknikikiagkikihagabhoaiagao
spontaneous-speech-rwm-57270.mp3	Bizibu ndia bhakali na bhasika ndibha bhali ka ngongwa mbili ndia bhakikoliliagaku sini sini ali zibe eti bhakikoliliaga ka bizibu sa bhindagabho buli muluku ka nkoma kankoma muluku muluku acueku bhindaki kankoma muluku muluku acueku kolaki zidhi kedha olaki injo uponi andi bizibu ndia bhakali njo bhakikoliliagaku	Ka miaka tano ndia akibha na  kibhika injo akietagisa emi nibhe ninilialiki  ndabho mabhonga  hoteli ninili nai nini bisi mikia sente ndia akibheisabe nisumbe matoka dumbi nibhelie menjo nemi nibhe na bwomezi mabhonga 	Baisiundihakalinabhaikaabhalikangogwabiindabhakikoliaaksinisiniiieibhakikoliaakaiziusainagaoaomuukakakomamuukuukkiakuinaakkomamukumuukikikoakikidauijokuniaizindibhankindihkaiiubkikoliiaaaaaaai
spontaneous-speech-rwm-57273.mp3	Bizibu ndia bhanikiekali ndia bhakienaga ka ngongwa mbili kehe ali bizibu sa bhigingo hihihi bizibu sa bizibu sa mululu sa sente naga bho sente akibhaga nabhudhedhi atukiliaku bizibu sa ndwali tembabho bwango ka ngongwa mbili ndia ka kyalo kehe	Bhakpa ndibha kali na kima ka ngongwa mbili diasu kikibhuyamba bhiyo lika ekabho ka sidha sidhana sa kubheisabe bhagodhe gulupu andia akisobola bikisa kabho mbagana anisabho kima ndia akisobola yambabho ka tolo ndia akibika	Bioihaakalibhakinagakagoaniiaaliiziusaiiaaaaiiusauuuaasaseeagahuseanahuitoliakiiibuanualikiaahoakgogandinakaikakiooaao
spontaneous-speech-rwm-57303.mp3	Gulupu sa luzuluzu akibhuluzilia bhaniki ndia agbbokiliani yabho ka kisomo nanga bhakibhupesia kima manuwai tabhi njemu mwenge na loki zidhi zidhi ndia akisobola luza bhaniki kebha kabhembe bhamgbeku	Ali sa mugaso nkpa na amani na nkpa moti nanga bhobhalili  bhakigbanana bhia nkpa moti nanga Bbaibuli nau akigia eti moti kobisabe moti ali nkpa moti nahabweki bhakpa bhakabha bhebhali bhakibha nkpa moti kandi ndia bhakikola bhakolilie imamoti ngenyaiabho	Kuuosuuuuaaakibhuuliebhanikiaaaandiaboianiabakakisooagaakibhuisiakimsauaibhiaiaaaaiisiiniaksoaubhanikikebhakakehakaekio
spontaneous-speech-rwm-57315.mp3	Nanga libho ali bwomezi kandi kalibho aliku kima akigbaga mibili ndiasu kima mindia kiyambaga mbili ndiasu akilikaga ka libho	Ghubha mwani  na ghubha kokowa abhuyamdi  bakpa kangongwabili ndyasu nanga baniki bhai ka sukulu nibhakidkma na bakpa nibhakyebheisabhe nibha kibhakihalika mandambho nibha kigodha bgolwa gulupu nanga sente akihenikanaga nanka koko na mwani alu ndu na katale	Ngaibholihomeianikaoaaikkaakakihgaaioaakiendiakiabhagaaailindaoakiikagakaiooio
spontaneous-speech-rwm-57321.mp3	Ndia kidhuaga muhikili abhukonia bhakpa ndibhaki nanga akimpesia nguko iye dumbi na kindia alio ame kikalo injo abhe kulungi zibisa kindiekina azibe eti naye ndiaki kalizidhi azibe eti bhakpa bhe gbeisia	Ndinibilini kolai ali zibe nti ndia akoli sabite ndia kolibe andiki ndia abhaku dumbi nitekenize ndi sabite ndia akabikai kikikola bhoni, kikiliya eki toli andiani mindia akikola mulimo bhia eyo.	iuikiabhukanabhakandibakiaaakiiiaukoubiakindialiokkaooaahekuuiaziisakinikiaaziedieeiidiakikalieeikateliikuuniahabhbhsiio
spontaneous-speech-rwm-57353.mp3	Ka uganda kingililia ndwali sa kabhondo bhasemelelu okania ndia gavumenti abhutolio na ndibekina kokuyembe amana bhutekete bhukebeze kandi kaya kola zeni ke ima ozibe oti ololi mikia ka kapila	Bhakpa tunga makulu sebhalisio ndibhekina bhakikozesaga telefoni ndibhekina bhakozesa ledio ndibhekina bhakozesa televizoni na ndibhekina bhaisa makuku eti bhuye bhubhutolie ndibhekina	Nkaugangakinliianualisakabhonobhakaabhokianokanendiaggumautoaaaaniikinakekueautethukeeaaaaakalimokaakoaeiaaaozietooolimikaaki
spontaneous-speech-rwm-57361.mp3	Emi nikijagujaga kulisimasi ka ngongwa mbili ndiasu nikisumbaga liaga nisumba dhe kima manuwa ka ngongwa mbili ndiasu	Haa bhatua dini bhakolibe mulimo mamadha naga bhabhuyambi bha bha bhajongo ndibha bhakilolaga zidhi ngoye nanga bhali na gulupu sa kwaya   hakibikisa ngoye mabhonga kandi katebeza bhakiongangabe eti ngoye ndio kogbokiliani   lolai alibe kandi kokubika ka kanisa nololi bhinjo	Ninikiauaakisiasikakogabhiindiasunikosoaaaoakiamasobhaikimamauakakongabiiniai
spontaneous-speech-rwm-57367.mp3	Muhikili kaziba eti kibi kedha kizibu agodhi ka ngongwa mbili ndiasu agbokiliani aeke sidha sidhana ndia bhakpa dumbi asiebhe yegulu ka bhatua butoki	Ndie nkikolaga nkiyaga ka tiko nibala ndie nkisobola hongelaibe niya ka katale na mikia sente ndiamo nisumba lieli ndie nkitoka bisaibe hongela muhendo ndia akitota dhakia emi na bhaniki ndibhamo	Baaakiikaieiaaaaikeakisibhaiagoiaggamiindiasuaokilenikisinasinanaaakumbiakoliaeuaaaakahauauuioioi
spontaneous-speech-rwm-57373.mp3	Ka sukulu bhabhubhlisane bhaniki bhalema nabho soma kandi bhalike ndia akisobola dhayabho kedha simabho kedha dhayabho katukabho kindia bhakisobola kweyambilia	Kubha niweyoki nolwali osemelelu webhingie sipatala kedha kowa nkpa poni mindia asemelelu janjabhako alike janjabhako andulu ozibe eti otunge bujanjabhi ndia akisobola bheisakobe bhukebhukeni kubha bhukebhukeni dumbi oumulikane	Bkasokuuabhubhaianebhanikibhamaaaabhosanihaiaaaandikisooaabhabokaabkeasmabnibhakatokabhokakisikinanibhakaabhokinibakiabiliaoooo
spontaneous-speech-rwm-57374.mp3	Nintoliaga nkali nintoliaga bhaniki nintoliaga bhabhotu nintoliaga bhakpa mindiekina nikiya ka sipatala tungaku bujanjabi	Ka kyalo ndiasu ndie kikikolaga kikisumbaga sola na toci injo akiyamba kilia enisa  kima ndie kikibala lolai nikilia nikibhundili masanalaji dumbi kisa na loki eti nabhesu bhakipesie masanalaji	Naakieoaahiioahauaaaaetoahahaiikiikikasihataakugakuugaa
spontaneous-speech-rwm-57383.mp3	Akiyagaku kola busubuzi akiyagaku tunga buheleliya mabhonga nga nali na na nalwali akiyagaku ziba aaa nti alikau kima mabhonga kuwo ka tauni	Ka ngongwa mbili ndiasu kalibe bizibu na moti ndia bhakali na bhasika ndia bhakikoliliagaku nanga bhakali na bhasika kikilikaga imamoti ka sidha sidhana kandi na bhakali nabho bhakiyaga ka gulupu sa bisa na kwehoza	Neakukoauiuiakiaakukuakkueiiaabhogaaaaaiaakieakazihailkakiaabhogandiabhaganiakukta
spontaneous-speech-rwm-57439.mp3	Bhabhotuami bhenjo emi nikitoliagabho nti mazima injo kabhongi emi nilikatukau ka gulupu emi nili katukaku kindianu nanga kima ndie bhulikatoliali kabhongi bba	Abhongili kimui bhajongo injo bhabhuegesebe kima mindia agbanani na kabhondo oibi eti kabhondo amuoli bhakpa mamadha kandi kabhondo kali na mubazi bba andi kilungi bhabhuegesebe kima mindia agbanani na kabhondo silimu injo	Kahooeeoaaeikitoliagomaziainikiadibhakaboiiikakukakaguuindiaelilikakkakuindiaaaaakiamoiktoiamiookabhoibhio
spontaneous-speech-rwm-57459.mp3	Mugaso mindia aliku ali nti bhotuako minjo akizibaga ka nkpa mindya amwesigi sini sini kandi pli nkpa ali ka mulima ndiaki	Kwesengasengiya ali na mulimo ali na mugaso kasomesa asili ndyako nalakudhoibhe jiba nti okabhala lamiyai akolieki akuyambe otunge kasinge dhumbi obhe kulungi	Bguikueeiokoakooakiziaaogaaudaaiisisikaiaikaolemadiaio
spontaneous-speech-rwm-57476.mp3	tolo ndie nitungiliiaku simu nkutolia tolo injo anidhedha sini sini kandi yeniyaga nekpembgu nibhuanisa ndibhekina nabho nibhuyamba bhatelilabe simu ndiamo bhokiliabe laso ndia bhakpa ndibhekina ndibhali dhanga	Ka bwomezi ndiamo kindineyokiya ninidhedhelu sini-sini abha tolo sa zibe eti nimbokoti miki mindia kateketa toli ka toloi injo nisemeleluwa sini-sini ninkikola na bhugeni.	Ktoondenitonkiliakuutoliakimaaniaasiniiakaniieniaaheonibhninibikinanabhoniboaabanabhobbhaalilaesioniaminabhokiiaaasondiabhaanibikiaandibhaliaa
spontaneous-speech-rwm-57482.mp3	Toliagabho nti kima injo kabhongi bhadhuwe kola kima malujukana injo oibi kima malujukana injo kabhongi ka ngongwa mbili ndiasu bhadhue kola kima malujakana injo	Nesiyo ka ngongwa mbili ndiasu nesiyo injo ali sa dhudhu kandi mbula ka dhoka akitalibanijaga bhakpa sini sini nesiyo injo kabhongi kulungi bba nanga ali nesiyo ndia kadhudhu	Kgaoaakmoakhoibhahuekoakimaauukaaoinikibhabhauukaajoaaaaaakkhokiaaakogwandiindiaaaaahuekoakimaauukaaaoo
spontaneous-speech-rwm-57487.mp3	Mugaso ndia aliku bhakpa okubhutangiaga bhamamadha biabho ndibhekeni bhama mamoti bizibu ndia akibhagaku ndibhekina bhakakigbananga kikalo sa lika imamoti bhakibalaga bhakunduana bhakunduana	Mulimo ndia bitongole na gulupu ndia akibhuyambaga bhakpa ndibhe kindiasu akibhupesiaga ka ofisi komba isa kima makulu kima isa na kima ndiekina na kweyambia kabho	Bugaongalikobhakokukagaamaaaionibhikinaaamamoiiiakihagakuiitinbakakibhanaaabkbkikaoasaikaiamoibakihaaaabhabhakunduanabhakunduano
spontaneous-speech-rwm-57496.mp3	Ndie nkikolo ndabho ndiamo lika na beni bhakilikaga kombaiku bhabhongosia ne kpembu nantili na kakisika poni ehh lika eti alia nabhongi	Ndie nkikolo ndabho ndiamo lika na beni bhakilikaga kombaiku bhabhongosia ne kpembu nantili na kakisika poni ehh lika eti alia nabhongi 	Nnkikoagabhoamlkaaeiaaakiikiiaakokaaaabahooseeuaaiikakisekaalkailanaboio
spontaneous-speech-rwm-57508.mp3	Ka kyalo ndiasu ndiye kikolaga kikiyaga ka kanisa kisaba eti Mambombi obikise mbula kitodha kiya ka batwa asili kiti nabho bahonge na asili eti mbula abike	Abhongili kimui bhaluku na bhakali bhabhegesebhu kima ndia agbanani na ndwala sa kabhondo nanga nti nkpa mindia akilwalaga ndwala injo bitekelozo ndiaki akiluzukanaga injo andi kulungi bhabhuegesebhu	kiaondaekikoaaaaaakikiakakanisakisaaaiabobiiihuakitoekikahakasiieiabhobhhhoiasiihuai
