audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	Kalo ayé sering membacé atau mendengarkan sejare-sejaré pahlawan-pahlahawan kité maupun nasional maupun yang orang-orang Betawi yang dalah dahulu-dahulu kité yamaperjuangkan bangse negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus-bangsényé jangan sampé keluar dan ngak mau tau sejarah-sejaré untuk bangsa-palaan-pahlawan kité Kadang-kadang pada dijaman sekarang hari ini banyak banyak orang yang ga mau tau dengan sejare dari dulunyé hingga sekarang kita ini sapa sekarang ini kita bisa begini Karang karna anak sekarang gak mau tau dan memikirkan diri sendiri siapa kité dan dimana kité dan tanpa perjuangan mereka kité juga nggak akan bisa seperti ini gak bisa akan merdeka dan pada dahulupan dahulu kité lah yang membawa kemerdekaan indonesia dan lebih maju lagi
spontaneous-speech-bew-20805.mp3	Kalo untuk pemudé zaman sekarang mah parah Kenapa parah mungkin engga dalam 100[UNK] itu mungkin yang engga mau tau bahasé atau tentang budaye itu mungkin sekitar 90 orang yang 10 orang itu tau dengan budaye selingkungan kite Karena ape sekarang sudah banyak media-media kaya permainan-permainan ini itu makanyé pemudé zaman sekarang engga kaye zaman dulu Zaman sekarang mah kita mau beli ape-ape aje udah tinggal di HP mau apé-apé ajé tinggal di HP kalo kaya dulu kan engga Kalau kite mau belanjé kite ke pasar dulu karena pemude zaman dahulu itu sangat tau dan mengerti untuk bahasé-bahasé Bétawinya Untuk semuanya juga sekarang mah pemudé sekarang udeh engga mau tau dan gak mau kenal dengan budayénya sangat engga mau tau deh	Kalo untuk pemuda jaman sekarang mah parah dikanakan apa parah mungkin ngga dalam sera1u persen itu mungkin nyang gak mau tau bahasé atau tenteng budayé itu mungkin sekitar sembdahan puluh orang yayan sepuluh orang itu tau dengan budayé selingkungan kité Kerena apé sekarang sudah banyak media-media kayak permainan peemainan ini itu akenya pemuda jama sekarang mah ggak kaya jaman dulu Jama sekarang mah kita mau beli ap-apé aja udah tinggali Hapé mau apé-apé-aja tinggali Hapé Kalo kaya dihulu kan ngga kalo kita mau belanjé kita kepasar dulu karna pemudai jaman dahulu itu sangat tau dan mengerti untuk bahase bahasé betawinya dan untuk semuanyé juga sekarang mah pemuda sekarang uda ngamau tau dan nga mau kenal dengan budayénye sangat nga mau tau dah
spontaneous-speech-bew-20807.mp3	Kalau untuk pendidikan itu penting banget kalau untuk kité yé kérna apé Pendidikan itu memang yang dicari kalau di zaman sekarang ini Memangnya zaman dulu Kalau zaman dulu mah kité cuman baca nulis ajé udéh hebat gitu sekolehnyé juga kita umpét-umpétan dulu kalau zaman dulu Tapi kalau zaman sekarang Emang harus penting dan sangat penting karena sekoléh itu memang satu untuk pegangan buat kité nuntut ilmu untuk apé ajé itu penting apalagi buat kité kerjé itu sangat penting jangan sampé éngga sekolê di zaman sekarang ini rugi rugi banget kalo untuk kalau bagi ayé méh	Kalo untuk pendidikan itu penting banget kalo untuk kité yé Karena apé pendidikan itu memang yang dicari kalo dijaman sekarang ini memangnya jaman dulu kalo jaman dulu mé kité cuman baca nulis haja udah udah hebat yitu sekolehnya juga kita pumput-umpetan dulu kalo jaman dulu tapi jaman sekarang memang harus penting dah sangat penting karena sekoleh itu memang satu untuk pegangan buat kité untuk ilmu untuk apé ajé itu penting apalagi buat kita kerjé Itu sangat penting jangan sampé ngga sekoleh du di jaman sekarang ini rugi rugi banget kalo untuk kalo bagi ayé mah
spontaneous-speech-bew-20809.mp3	kégiatan anak muda sekarang ya paling kalo gadé kérjaan nyé ya begitu maén gitar bégadang toh bagiannyé cowo kalo yang bagiannyé céwé paling juga mondar-mandir naék motor jalan kesono jalan kemaréh dari sono dari kemaréh emang gitu-gitu doang itu éntar dié ngumpul ngumpul sama temen ntar kadang-kadang ngerujak baréng kadang-kadang dié makan baso bareng terus kalo buat yang rémaja ya itu paling maén-maénan masak-masakan maén bonékaan kalo émpat tali kadang maén umpét-umpétan apa ajé yang kiré-kiré dia senang hatinyé	Kegiatan anak muda sekaran ya paling kalo ga ada kerjanya ya begitu maen gitar pegadan tuh bagiang cowa kalo yang bagiang ca ya paling a begitu mundar mandir tonaik motor jalan sono jalan kemale rerik sono reri kemar yaamarakmpuan begitu ta dia moborrme temen-temen ta kadang kadan dia nerujak bareng kadang kadang dia makan baso bareng terus kalo yang buat termaja ya itu paling kada maen maenan maen asakan maen bunekaan talo empat tali kadang kadang dia maen umpet-umpetan apaja dah yang kira-kira dia senang atini
spontaneous-speech-bew-20811.mp3	untuk kegagalan kitè jangan merasè diri kita terpojok atau terpuruk karena kegagalan èntu melangkah kitè lebih maju lagi dan untuk belajar lebih semangat lagi dari kegagalan-kegagalan yang sudah kita lalui tètèp semangat untuk menjalani hidup ini jangan takut hidup kitè èntu ngga sendiri sekeliling kite banyak kawan kitè dan yang telah menciptakan kitè juga tètèp semangat semangatt	untuk kegagalan kité jangan merasé diri kita terpojok t terfuruh Kemungkinan kegagalan itu melangka kité lebih maju lagi dan untuk belajar lebih semangat lagi untuk dari kegagaan-kegalan yang sudah kita lalui tetap semangat untuk menjalani hidup ini jangan takut hidup kité itu nga sendiri sekeliling kita banyak kawan-kawan kita dan yang telah menciptakan kita juga tetap smangat semangat
spontaneous-speech-bew-20813.mp3	Asal muasalnyé itu orang tue (bapak) ané yaitu orang Jawa Ibu ané yaitu orang Bétawi nenek ané yang dari laki-laki juga dari Jawa Jadi kita lahir di daerah Bétawi jadi sampe sekarang ini berbahasa Bétawi dan orang tua pun sudah ikut jadi orang Bétawi	Asal mu asalnyé itu orang tué ané ya itu orang jawa ibu ané ya itu orang Betawi anya ané yang darilaki-laki juga dadi jawa jadi kita lahir di daerah betawi jadi sepa sekarang ini berbahasa Betawi dan orang tua pun sudah ikut jadi orang Bétawi
spontaneous-speech-bew-20814.mp3	Jeruk salak apel terus nanas apa itu salak itu gocéng sepanggulan maling apé Semua tu kebuagian tetangge-tetangge sodare sodare juga anak juga emang itu dicari-cari kan lebih murah kan lebih enak kan jadi kebagian semua kan kalo orang kampung mah kalo jalan-jalan emang begitu bawanya yang banyak yang murah biar tetangga-tangga pada kebagian anak pada kenyang makannya kan enak tu kan jadinya	jeruk salak atel terus nanas apa itu salak itu wa boceng sepanggulan maling p semua tuh kebagian tetangga-tangge sudahara-sudahara juga anak juga emang itu dicari-cari kan lebih murah kan lebih banyak enak kajadi kebagian semua kan keorang kampung an kalo jalan-jalan emang begitu bawanya yang banyak yang murah biar tuh tetangga-tangga kebagian anak pada kenyang makanê kan enak tuh ya kan jadinya
spontaneous-speech-bew-20816.mp3	Kalo ngurangin sampeh ya biasa itu kita gali dulu tu tanah digali Nah tanah digali kan jadi lobang tuh nah sampehnya tuh kita kumpulin nah setelah sampeh kita kumpulin kita bakar abis bakar yaudah begitu Ya biar sampeh itu ngga kabur-kaburan setelah ada angin kan kalo gitu kan enak tuh jadi keliatan bersih jadi sampeh-sampeh plastik tu ngga berserakan di mana-mana apalagi plastik tuh kalo ada angin udah mau kabur aja jadi gegara tuh halaman kita	Kalo ngurang yan sampé ya biasa itu kita gali dulu tuh tana digali Nah du tana digali kan jadi lobang tuh nah sampenya itu kita kumpulin ah setelah sampe kita kumpulina kita bakar abis bakar ya udah begitu biar tuh sampé itu ngga kabur-kaburan tela ada angin akan kalo begitu kan ènak tu jadinya keliatan bersih Jadiny tu sampe-sampe plastik tuh ngga bersyarakan dimanemana apalagi plastik tu kalo ada angina udah mekabur ajir juadi buala tuh kt halaman kitatu
spontaneous-speech-bew-20817.mp3	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah Jadinya kita hemat kan kalo beli di tempat liburan kan banyak tu yang mahal-mahal jadinya kita olok Nah mangkanya kita beli di rumah tu seperti kaya cemil-cemilan terus kaya popmie terus bawa dah tu aer panas pake termos Sekalian bawa nasi bawa lauknya bawa tiker Daripada di sono tempat liburan bayar nyewa mendingan kita buat jajan yang laen	Hemat liburan ya itu kita bawa dari rumah kita beli di rumah jadinya itu kita hemat kan kalo beli di tempat liburan kan banyak itu yang mahal mahal jadinya kita olok Namankany kita beli di rumah tuh seperti kaya cemil-cemilan tum terus ama pokni tu bawa datu air panas paké termos kalian bawa nasi bawa launye bawa tiker dari pada dusua tempat liburan kita bayar nyewut manig kita buat jahajan yang lain
spontaneous-speech-bew-20817.mp3	Barang yang saya beli di onlen si itu paling yang muréh-muréh yang ayé beli kuota aja bayar yang terutama ya itu ayé cari gratis ongkir biar lebih muréh yang saya beli si biasanya baju baju daster yang mureh-mureh aje ibu-ibu méh ya kadang-kadang lipstik kadang-kadang handbody ya kadang-kadang apa ajé yang muréh déh kalau beli di online méh yang penting kita bisa bayar	Barang yang saya beli di onlén siya itu paling yang murah-murah yang ayé beli nyan kuataya bayar ya teru petama ya itu  ayé cari gratis onkir biar lebih murêh yang saya beli sia biasanya tu baju baju daster yang murah-murah ajé yan menyibui bumeh ya kadang kadang lapstik kayak kadang kadang embodi kadan kadan yang apa aj yang murah dah kalo di beli di onlén mah yang penting kita bisa bayar
spontaneous-speech-bew-20818.mp3	dari jaman dulu si kalo alat-alat komunikasi ya biasényé léwatnyé kita kirim surat léwat pos yé palinggé nyampényé itu beberapa bulan atau beberapa minggu baru nyampé dah baru dah kita tau kabar kalo jaman sekarang si kita makényé lebih gampang bénér ituh makenyé hp jadi lebih cepét mengabari apa yang titujukan jadikan lebih enakkan	jaman dulu si kalo alat-alat an komunikasi ya biasanya lewat ya kita kirim surat lewat pos ya paling ka nyampenyi tu ya beberapa pulan atu beberapa minggu baru nyaampe ada baru tata kita tawa kabar tuh ya kalo jaman sekarang si ya makanya ya lebih gampang beneri tu makanya Hapé jadi lebih cepet mengabari apé yang ditujuhkan jadikan lebih enakkan
spontaneous-speech-bew-20820.mp3	ya paling juga kalo untuk émm di sekitaran rumah ayé ya itu kita paling rondé yé biasanya tuh para-para orang kampung ya kita bergantian jadwal untuk rondé dari A ké B dari B ké A gitu muter terus yang penting kampung kita tétép aman dan kondusif gitu	Yé paling juga kalo untuk aman di sekitarn rumah ayé ya itu paling ga kita ngarondé  biasanya tu para-para orang kampung ya kita bergantian jatwal untuk rondé dari  keb dari bké  itu mutur terus yang penting kampung kité tetap aman dan kodusip gitu
spontaneous-speech-bew-20822.mp3	biasanya anè kalo bepergian kemanè ajè itu pakè motor biasanya mah yahh paling jauh juga yaa paling jauh ya paling yaa ke bogor kita naik motor ajè karena apè ya motor lebih simpel dan lebih irit	biasanya ané kalo pepergian ke mané ajé itu paké motor biasanya mah ya paling jauh juga ya ggak tina paling jauh yapainggak tubogor kitanac-motor ajé Karna apé motor itu lebih simpel dan lebih irit
