audio_file	reference	hypothesis
spontaneous-speech-tob-34711.mp3	Da laqtaxanaxaq so huau qalquionecpi eta Ietaqta ndoteq añaxaicpi qaica qa ivecteq qaiqa ca saha'non ndoteq da lasapachaxa na naa' cahuataguet na n'te nache uxute nottesheguem nañamaxateq ihehiamaxatiguiñe na loquianaxate l'cheqneq enauaq na lentaxanaqte caiqa ca l'lia cailaque ndoteq ualeq na nenaxa shiguiaqpiolec cataq napaxaguena na da huoo' qa adaqtq ioctaha da ahesa unoleq so laqtaca so qaitataleq ipaqchegue cata huoo' na canchiguiñe nache vanhuachegue camachaqatee' na nollecolec ca eca canclaxachegue cam machiguiñe lamaeeq so naa' caica so canbane so laceguee' ca la maeeq huoo'	Na lataxana o uo' qaqudonpi ta taqta doteañaxaipi qaica queiuetac qacac ta nonndotec d lasapachaxauon qaiatacu n nte nacheogote notashegue a iamatacq ýamatrapiguiñe na loaxanaxate chenec naua n ontaxapiolecqaica ca axala dotecnulc nonaxa chegacpiole qataxanapana na dauoca'laqtac nchitamesa onollaqtac so qaiatatalec nchepacchguiqata huo'onaxaiachiguiñi nachaxaachegui qamacha cata qaiachiguiñ n nalecolec qa qanqllaxachigui qaxomachguiñi huod namac n qacasaxanauol ashuoli qalaxaenamaata huo
spontaneous-speech-tob-34712.mp3	'Aja' aso luaxai nche nacheso asa'aso nataq'en chec co'ollaxa na Qom asa'aso lqo qataq aso lacheugue nache lioxonaxaqui na alpi yi huaña da deioxon aso luaxai nche qaiauot cha' qaica ca yioqchigui aloq yi na'a'q nam Qompiolec	Na so louaxa ce nachaso so nataxnheqolaxanaom so lqoqataqxaso lcheuge nache loxonaqui na alpi yeuoaña rdioxon so luoaxai se qaiauot ch a haqaca loqchgue loq n qom piolecCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCN
spontaneous-speech-tob-34713.mp3	ra qainataxalec so nallec nache qainat asa aso ilotegue ñi nmenaxanaxaqui ra neguetoñe lasheue ra ila'a ra nalotalec nache iache enauac ca qaiuetaique yem lma' cam lhuenec ca nallec	Na qanataxaalec so nalecnache qanattsso lotegeñie naxanaxaqui da ngutañ lashiui da l rnalotalec nacheiache naua axaiuetaaqui m lma' mo luenecnallec
spontaneous-speech-tob-34714.mp3	Hua' cam l-lla na'a'q huo' cam so'ot i'onatac cha'aye dam i'onataxanaxac naxa aýem ño'oxoosheguem na nma'pi noýicpi nacheda da ýi'onataxanaxac nache sehuatta'agueta que'ecaua na'axa'te da so'onataxan nacheda cam so'ot ýi'onatac	Nua cam la n'a' huo cam so'ot ionatac cha yera i'onataxanaxac naxa aiem ñoxsigxom na nm'pi noýecpi nacheda ram i'onataxanaxacnache suattagutac ecauanaate da so'onataxan nacheca cam so'otionatac
spontaneous-speech-tob-34715.mp3	Eye imaa que eca alo chetaague da roc o' nache huoo' ca l'lia lcalya la nohole lasoro co latee nache enaguaq na da cailotegue ca aca roc o' da qaica qamchaca nachalataxaq	Ni ima' cacaalo da cheta'aguedeco'o nache ua acalla lqaia lsodo lcoteqolate nache enaua na pagueta ra qailotague cca alo da chetagueeco qailo'ogue da qaica ca mahaqcadam nachalataxac
spontaneous-speech-tob-34716.mp3	Da l'aqtaxanaxac som hua'au qadhuo'pi ecta' onoolec da látaq ñi'ñi qaiatalec nache qai'ot qatac qaica ca hua'axaia na doshe l'aqtaqa ndotec Qom	Na lataxanac som huoa qaluopi eta' onolec d laqtaciñiqaatalec ncheaiotqata qaica uoaxainadoshe lataxandoteqomNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCN
spontaneous-speech-tob-34717.mp3	Aýem yiqopita da so'ot que'eca noýic da ño'oxosheguem qataq onaxaic dam dam eda onataxanaxac cam eca noýic l'o	Aiem yeqopita ra sot que'canoýic da ñoxoshegm qatax onaxaic ram damea ponataxanaxa camecanoýic lo'o
spontaneous-speech-tob-34718.mp3	Aiem ra io'ot ca ilagaxayec qataq samachiguiñi ra huo'o na io'onatac yo'oqchigui so'onataxatac cha'aye re'era ionataxanaxac ñaquittaguet ra huo'o ca saconguet anoq lasheue	Aiem daio'otca ilaaxaye qataq samachiguiñi da huo'ona i'onatac yohigui so nataxatac cha'ayereda ionataxanaxac ñaquitaguedhuo ca sacoguet no lasheueAAANANANANANANANANANANANANANANANANANANANANANANANANA
spontaneous-speech-tob-34719.mp3	Qom aýem ýi nache sauotaique ñimatic ñisooñi cha'aye som eso i'onataxanaxac ýataqta sapa'atta so pa'atrec vi'i'ye	Nom aiem nachesauotegu ñimatic isooñi ca'ace som eso ionataxnaxac iataqtasapa'ata so patecgviye
spontaneous-speech-tob-34720.mp3	Qom ivita da aýem ýi nache sauotaique da aýem qaiatalec nam souaqta'a qadma'	Comiveta ra aýem ue cesauotaqu ra aýem qatalcnam souaqta' qama' CNCNCNCNCNCNCNCNCNC
spontaneous-speech-tob-34721.mp3	Aiem ca naa iataqta onaxaiq ña cashen da ivita ca iñoxoqui nache iallona na igualpi nache iquiaxahuapi	Aiem cana'a' iatata onaxaic ñaqashe da vuetac qca añoxoqui nache iaona naua n iuarpinachqiaxauapi
spontaneous-speech-tob-34722.mp3	Comi na natannaxanaxapi comi huetaielo nache huetaie ñe aviac qaq naye da ñahuanaxa na doqshec nataqaen saxaua ñe natannaxaqui	Nommi na natanaxnapi omiuetailo nachueta ye na iaqqanaye a ñaua naxa nam roqshe nataxa'n sa uaae natannaxaquiNC
spontaneous-speech-tob-34723.mp3	Na lyia naqtahuo ñeñiamaqtaxaguet cha aye ñecoñaca na ioquiaxaneqpi maye qaiotta ye hueteña Ñamaqtec	Nallla nanatauo iamaxatague cha aye ñqoonac a iqaianicpi maye qoiotayeeta ñamaqtac
spontaneous-speech-tob-34724.mp3	Ayem iataqta ñeqopita ra salectaua ca laponaxac na qom huo'o na laponaxac na rasotaxaicpi qataq na iaiaten ana nviquepi	Aiem etaqta yoqopita a saletaua ca laponaxac na qomhu'o na laponaxac na rasotaxacpi qata na aýaten ana nviquepiAANA
spontaneous-speech-tob-34725.mp3	Aja' so pa'atec naxa'ate ra salleta'a se'eso naniguishe cha aso naiñic llale mashe sogote huo'o na lauoxo taq huo'o so naniguishecpiolec iottat'at nam lauoxo	N so patc natd saleta'aso nañiguihehaso nañic lale shoote na luoo taouo so nañiguiecpolota nam lauoxo
spontaneous-speech-tob-34726.mp3	Nam ralaxaic no'onatac saiaten nache na ñoxosheguem na n-iec da imetom ra ime na noyec nache anac ra sa'amen cha huo'o na maiche la'amnaxac na noiec	Aam ralaxac n natac saýaten nache ñoxoshgem nagecdeimetom da minoecnactana same cahuo na mechlanat nnagec
spontaneous-speech-tob-34727.mp3	Da ivita ca iañoxoqui nache huo'o ca siiaxaneuga ca iqaiañecpi so'otac ca qaraponaxac qataq qarquiaxac lta'araic	Nvitac añaxaqui nache uo'o ca saxnga axaaipi so'otaqaqaonaxaqata qaquiaxataai
spontaneous-speech-tob-34728.mp3	Na la'ashaxac na ñaqpiolec nache ana huo'o ra qaio'ot ana queloque qataq huo'o na io'ot ana lalachiqui	Ca lashaxac n ñaqpiolec naha'ana huorqaiot nqloqu qataq uoo naiota n llahiquiCNCNCNCNCNCN
spontaneous-speech-tob-34731.mp3	Aiem yeqopita ne'ena quiyoc lo'oc qataq na chiguishe lo'oc	Aiem yiqopita ne na quiyoclo'ocqatax nachiguishe lo'oc
spontaneous-speech-tob-34735.mp3	Enac da napaxaguenataxanaxac iuen da auioi' na adhuaxa'ye da aumat dam ad'onataxanaxac	Nqra paunatanacun a ye luaxaye d amat da onataxanaxacAANANANANAN
spontaneous-speech-tob-34746.mp3	Cam huotaique huo'o ca imenec na ima' nache nahuole qataq lapat nauoc	No otaic da imenc n ima' nache nauole qata lapatnauoc
spontaneous-speech-tob-34759.mp3	Da qaiotta sa señahuane caña ñochaxaua nache huoo' yana tachegue iuel iyaxa eña ihuana ca ñachaxaua	Caqaioqtege a sañaune auohaxaua nacheuo na tagui uetyaxarñaun ohaxauaCC
spontaneous-speech-tob-34763.mp3	Da huo'o ca ñivacacion sashec saya ca qayañecpi ñamactega	Ca huo'o ca ñiua cason sashecsaya ca paiancpi ñamatega
spontaneous-speech-tob-34770.mp3	yi imaa' chaco onaxaic shinatap cahioloqta da nopo	Ni im'sha c onaxac yinaqailoqta ranapoCNCNCNCNCNCNC
spontaneous-speech-tob-34781.mp3	Aiem sauana so 'auaxai qataq aso lapel qataq so tala	Aiem saua na so uoxa qataqxaso lap qataqsotala
spontaneous-speech-tob-34784.mp3	Aýem senat ca imeetac na nallec	Aiem senat ca itac na naleAAAAAAAAAAAAAA
