audio_file	reference	reference_raw	hypothesis
spontaneous-speech-ttj-59754.mp3	Abantu ab'omu kicweka kyange obu barora obaisiki rundi omwisiki ajwaire empale y'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwe emyaka ei twakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omuleme ogwaizire abaana nibajwara empali nk'abasaija kandi nibagenda omu muhanda omu noobasanga n'omu tauni abandi nibazitwara n'omu ma caaci mu makanisa okugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra kugarukayo kwegesa engeso yaitu ey'enzarwa ngu omwana owa Tooro rundi omwana ow'obwisiki ajwara ati ajwara ati	Abantu b'omu kiikaro kyaitu batunda ebirimwa byabo kutunga sente baliisa nk'ente embuzi empunu enkoko baihamu sente zaabo abandi basuubura ebintu ebitali bimu kwihamu sente abandi bakozesibwa omu makorro g'amajaani n'amasamba ha mpero y'okwezi basasurwa empeera yaabu	Abantu b'omu kicweka kyange obu barora abaisiki rundi omw isiki ajwaire empale 'abasaija hati kikaba kijwaro kya nka buli kiro baitu kara itwa emyaka eitwakuliiremu twali ntumanya ngu abakazi bajwara ebiteteeyi kandi bajwara na sikaati baitu hati omulembe ogwoizire abaana nibajwara empali nk'abasaija kandi nibagenda o muhando omu abasanga n'omutauni abandi nibazitwara n'omu macaaki u makanisa ugenda kusaba kandi ekitali kirungi eki nikitwoleka ngu ntusemerra akugarukayo kwegesa engeso yaitu y'enzaarwa ng'omwana oatooro uli omwana w'obwisiki ajwara ati ajwara ati
spontaneous-speech-ttj-59755.mp3	Akasumi akanatungiremu esimu yange ey'okubanza nkaba ntarukumanya n'okugikozesa baitu nagenda ningyega mpora mpora nkahurra omuhimbo mwingi muno muno muno habwokuba kyali kyoma kya kalimagezi nubwo kiizire buli twakozesaaga amabbaroha tuteeka mu posta ohandiika amabbaroha nooteeka ha motoka baitu obu natungire esimu nahurra ninyikarra Fort Potro nimbaza n'omuntu wa Buganda nkasemerwa muno	[noise] kirungi muno okuganikiza abaana baitu abato habwokuba enganikyo abaana beegeramu ebintu bingi abantu aba ira baakozesaaga enganikyo kandi baine amagezi maingi okuruga omu nganikyo ezi	Akasumi aka natungiremu esimu yange ey'okubanza kaba ntarukumanya n'okugikozesa baitu nagenda ningyega mpora mpora nkahurra omuhimba omwingi muno muno muno habwokuba kyali kyoma kyakalimagezi nubwe kiizire buli twakozesaaga amabbaroha tuteeka mu posita tuhandiika amabbaroha n'ooteeka ha matoka baitu obu natungire esimu nahurra ninyikarra fot potro nimbaza n'omuntu wa buganda nkasemererwa muno
spontaneous-speech-ttj-59758.mp3	Abantu abaingi baruga omu byaro bagenda omu matauni kuserra emirimo n'okuhinduraho enyikara abantu abaingi bagamba tibagonza kwikara mu byaro bagonza kwija omu matauni baitu kandi n'ekyaro nambere wakuliire noosobora kubayo nookorra korraayo nookorraayo enkurakurana yaawe noinganaingana noogu owanyakugenzere omu kibuga okuserra kuba embeera enung	Okutema emiti mu kicweka ky'owaitu kireeta empindahinduka y'obwire habwokuba emiti niyo ereeta enjura kandi obu batema emiti omusana gujwa emiyaga eteera ebyokulya esiisa amaju n'ebintu bindi bingi eby'obuhangwa 	Abantu abaingi baruga omu byaro bagenda omu matauni kuserra emirimo n'okuhinduraho enyikara abantu abaingi bagamba tibagonza kwikara mu byaro bagonza kwija omu matauni baitu kandi n'ekyaro na mbere wakuliire noosobora kubayo n'okorrakorrayo nk nokorraayo nkorakorra nayaawe noinganangana n'ogu owanyagenzira omu kibuga okuserra kuba embere enungA
spontaneous-speech-ttj-59761.mp3	Omu kulima nyeyambisa enfuka nka butoosa ezi tukozesa n&'okukozesa ebikozesa ebya buli kiroo kusika ebinyansi n&'okukozesa ebisalizo obu okuba olimire ebitooke kurora noobirolerra kurungi n&'ekipanga okusalirra obu okuba oinee ekipanga kyawe nookikozesa wenka habwokuba endwaire y&'ekihuka kikaija kihotoka erukusiisa ebitooke	Kovidi ekatabangura bbiizinesi za bantu entaito habwokuba abantu abaingi baakiraga kwiha akasente omu bbiizinesi abantu baatunga obulemeezi bwingi baalema n'okurolerra amaka gaabo habwokuba niyo ntaahya yonka ei bakaba baine so abaingi bakee lengaho kujumbira omu kugenda kulima n'okuliisa kumaraho ekizibu ky'okutatunga sente	Amu kulima neyambisa enfuka nkabutoosa ezitukozesa n'okukozesa ebikozesa ebyabulikiro okusika ebinyansi n'ookukozesa ebisalizo obwokuba olimire ebitooke kurora n'obirolerra kurungi n'ekipanga okusalirra obwokuba ine ekipanga kyawe n'okikozesa wenka habwokuba endwire y'ekihuka ekikaija ekihotoka erukusiisa ebitooke
spontaneous-speech-ttj-59762.mp3	Ninsagika abaana b'obwisiki okugenda omu masomero habwokuba omwisiki nawe naasobora kukora eky'omwojo asobora kukora aah biro binu ensi nkooku yahindukire yakurakurana noosanga omwisiki asomere amasanyarazi n'omwojo asomere amasanyarazi omwisiki naasobora kukora amaizi n'omwojo naasobora kukora amaizi na habweki omwana w'obwisiki naasemerra okugenda omu isomero	Omu bwire bwange obw'okuhuumura rundi obw'obugabe nkira kugonza kukora muno emirimo ey'okulima n'okuliisa habwokuba nakyo kiri kimu ha kintu ekirukwongerereza entaahya yange nk'omuntu omu maka gange	Ainsagika abaana b'obwisiki okugenda omu masomero habwokuba omwisiki nawe naasobora kukora eky'omwojo asobora kukora ha biro binu ensi nk'oku yahindukire eyo akurakorana noosanga omu isiki asomera amasanyarazi n'omwojo asomera amasanyarazi omwisiki naasobora kukora amaizi n'omwojo naasobora kukora amaizi nahabw'eki omwana w'obwisiki naasemerra okugenda omu isomero
spontaneous-speech-ttj-59764.mp3	Obu mpurra amasu omuka yange nteekaho ebizina by'ediini n'ebizina ebindi eby'okugarra obwomeezi bwange omu businge mpurra nsemeriirwe muno obu mba nimpuliriza ebizina ebi n'okurora ebisisani ebirungi muno nka ee ee nka fiilimu eza Yesu	Kintu ky'omugaso muno okunywa amaizi buli kiro habwokuba amaizi nubwo bwomeezi kandi omuntu tosobora kwomeera omu mubiri gwawe hatarumu maizi nikyo bagambira ngu amaizi bwomeezi ha muntu	Abu mpurra amasu omu kayange nteekaho ebizina by'ediini n'ebizina ebindi ebyokugarra obwomeezi bwange omu businge mpurra nsemeriirwe muno obu mbanyinkuliriza ebizina ebi n'okurora ebisisani ebirungi muno nka birimu eza yesu
spontaneous-speech-ttj-59769.mp3	Engeso y&'okutamu abantu n&'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooleza hamu nk&'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky&'okukoora kweyuna abantu abakuru n&'ebi bakukugambira	Ediini ekoonyiireho abantu omu Uganda okurora nibahinduraho enjwara n'okugaruka mu njwara eyaitu eya kara okuleka enjwara embi eya hati ei enyakwizire ey'abaana kusanga nibajwara engoye ezitasemeriire omwana naaruga omu ka n'omuzaire naamurora obu barukuhika omu maramizo nibalengaho okutebeza kandi n'abantu basoboire okuhinduraho engeso zaabo baagarukayo kuserra enjwara yaitu eya kara nkooku Tooro twajwaraga	Angeso y'okutamu abantu n'ebintu ekitiinisa neesobora kwegesebwa eti abaana rundi abantu kubasorooleza hamu nk'omu maramizo mu masomero mukabakungaanya mukasobora kubeegesa kiki eky'okukora kweyuna abantu abakuru niba kkugambira
spontaneous-speech-ttj-59776.mp3	Nitusobora kusagika abantu abanyakwina akahuka ka siliimu kubeekambisa kumira emibazi yabo obu bakuba bagitungire rundi kuguma nitubakoonyera kubabaliza ebigambo ebiraabagarra mu bwomeezi oburungi kutali kubacumanga na kubeesiitaza	Obunaku omu kicweka kyange omu by'enyegesa kirozere ngu abazaire abaingi tibarukufaaho ekintu ky'okusomesa kukiteeka ha rukarra rw'okubanza nibabanza kuhambya ebintu ebindi eby'ensi okukira kusomesa abaana baabo kandi twongera kulengaho okwegesa abazaire banu nukwo basobole okutwara eby'enyegesa omu maiso n'okukirora nk'ekintu ekikuru omu bintu byona	Aitusobora kusagika abantu abanyakwini akahuka ka siriimu kubeekambisa kumira embazi yabo obakuba bagitungire rundi kuguma nitubakoonyera kubabaliza ebigambo ebiraabagarra mu bwomeezi oburungi kutali kubacumanga na kubeesiitaza
spontaneous-speech-ttj-59785.mp3	Ky'omugaso muno kugema abaana habwokuba ntuba ntutangira endwaire nka poliyo akakonko aah endwaire ezi ez'abaana abato ezo endwaire ezo ezigemebwa so ky'omugaso kandi kiri mu bulyo kandi kihikire omuzaire weena kugemesaaga omwana omuto endwaire nukwo zisobole kutamukwata	Kwegesa abaana okutamu abantu ekitiinisa n'ebintu byona eki nikirengaho okukozesa abaana omu masomero okubasorooza tukabaikaliza tukagenda okubahabura ha burungi obw'okuheereza ngana ekitiinisa kukira muno nk'abantu abakuru omu maka noosanga abaana saaha zinu tibakyaheereza bazaire baabo ekitiinisa noobu arukutangaana omuntu mukuru tarukumumanyirra ngu atangatangaine omuntu omukuru ntulengaho okwe kuteererra abaana baitu okuraba mu masomero n'omu nkurato ezindi ezirukuba niiteekanizibwa omu byaro	Ay'omugaso muno kugeme abaana habwokuba ntuba ntutangira endwaire nkapolyo akakonko a endwaire ezi ez'abaana abato ezo endwaire ezi ez ezigemebwa sooky'omugaso kandi kiri mu bulyo kandi kihikire omuzaire weena kugemesaaga omwana omuto endwaire nukwo ezisobole kutamukwata
spontaneous-speech-ttj-59788.mp3	Kumaraho ebizibu omu maka mutakungaine eki nikyetaagisa okwikarra inywembi obu kiraaba kiri muu baana rundi nyineeka numwikarra mu bwire bwanyu numukibazaaho numurora ensonga neeha eyeebaire neesobora kuleeta akatabanguko muka yanyu omu nukwo numusobora kugimaraho	Abantu baitu mu ihanga lyaitu linu erya Uganda nibasobora kuteekaho emiringo enu kurora oburwaire bwa siliimu butararangire nukwo kwikara n&amp;#x27;omukazi omu kandi okamugumiraho kandi tukakozesa obupiira bwa kalimpitaha kandi tukaikara ntwekebeza buli kaire buli kasumi oburwaire obu nubulema kusaasaana mu bagenzi baitu abandi mu Uganda	Kumaraho ebizibu omu maka mutakungaine eki nikyetaagisa okwikarra inywembi obu kiraaba kirimuobo baana rundi nyineeka numwikarra mu bwire bwanyu nimukibazaaho nimurora ensonga neeha eebene esobora kuleeta akatabanguka omu ka yaanyu omu nukwo nimusobora gimaraho
