audio_file	reference	hypothesis
spontaneous-speech-mmc-21692.mp3	À jñíñi mí b'üb'ü ná ná ndíxu ñe ná b'ë̌zo yá mí xîrabi mí sìpji ná xútǐ'i pézheji k'e nú b'ë̌zo jyâsm'a má mâ'a k'o k'a të́jë mí pá'a dyá tjǜ'ü zà'a k'a rá dyä̀t'äji ngǔm'ü jé mí pë́pji k'a të́jë Nú ndíxu mí kjë́jmé à k'a ngǔm'ü mí 'ä̀t'ä jñôna mí pà'a k'a ndáreje pa pédye b'íjtu pero 'ë́jë ná pá'a k'a mânk'a nú b'ë̌zo rá mâ'agö k'a të́jë rá má pë́pjigö pero rí né'egö rá... rí pó't'ü rá ñgôñi rá ndájmé k'a rá síbi má yá sä̀kjü rá jñônabi k'a nà xí'i k'a nú ndíxu já'a má pë́pji 'e rá jó'o rá pó't'ü nú ngôñi 'é gó 'ë́jë k'a nú pá'a dyá k'o jyâs'ü gú kjö̌gü dyéje ndíxu k'o mí pá'a k'a ndáreje má pédyebi k'a ná xí'i k'a nú ndíxu jmó'o k'a ndáreje má péjñi b'íjtu k'a nà mâ'a k'a nú ndíxu nú b'ë̌zo í'o dyá rá mâ'agö tä̂'tk'o jñôna porque rá 'éñi xí'i rá mí jñôna Mójo nà ndájme dyá rá mêts'i kjâ'a ná... má nú ndíxu pero dyábi mbó'te k'a nú ngôñi k'a ró jyês'ü k'a ná jyês'ü k'a nú síbi k'a nú s'ä̌b'ä k'a ná só'o k'a ná móji k'o yó mí ri xúdyo má péjñí k'a ndáreje ná rá mój 'ë́je k'a nú ndíxu gú chó'tk'a nú s'ä̌b'ä dyábi dyábi ñéjme porque nú jñóna gú síbi gú ñó'o k'a má ndá nú ndíxu Ah pjéxôra ngó dyá 'íxi rá má sä́jä dyá 'ṓjtjō nú ngôñi k'a ró pó't'ü jé gó máma k'e mí né'e rú sà'a nú ngôñi ngék'o rá pó'tp'ü nú ngôñi Ná ngá'a ná ngá'a nú xé'xo rá kjâ'a dyá k'a pjéxora 'ùña má rá sä́jä rá sângü rá mbéjkue pjék'o rá xípji k'a ná má'a nú ndíxu k'a ná ch'éch'e nú jñá'a k'a nú tíjue'e k'a mí b'ǚb'ü nánk'a k'a rá mbájtu k'a nú tíjuezhi pjék'e xêr k'a ñé'e pa xá'a 'éjk'e í í ndzhôñi k'a xêmpk'e í séñi nânk'a nú ndíxu dyábi sígö ná jó'o mó'ne 'o dyójpjk'ü nú ndôñi k'a nú tíjué'e xípji s'óstü pa ín ndzôñi ngék'o rá 'éjpk'e í jñí'i k'a rá jñé'e gá xútǐ'i gú ngós'ü k'â'a nú zák'a nú ndôñi nú jñǘ'ü nú mó'n'e núx... ndíxu dyójk'ü nú ndôñi nú nú tíjué'e k'a ná jyês'ü k'a ná jyês'ü k'a síbi para que dyá ró mbǘtji nú jmó'o nú tíjué'e para que ró 'ù'u k'a nú sódya ró sí'i Má mú sä̀'ä k'a nújnú b'ë̌zo k'a nú xîra nú juíñi yó 'ùnga nú jmó'o kja ná xípji jñôña mientra rá má ndûgö ó ndéje k'a méje dyá rá méts'k'o porque 'ṓjtjō ndé k'a rí sí'i nú ngé já gú dyä̀tk'ä k'a nú ngé'e k'a nú mójmo k'a nú mbéjchin'ü o mbǚrü rú ñônk'a nú b'ë̌zo nânga jó'o gá nú tíjué'e pjé 'ṓjtjō jânga mâ'a nú ndó'o jā́ndā mâ'a k'a ngôxti nânk'a mânk'a k'a nú b'ë̌zo 'ṓjtjō k'a ín ch'íjué'e xé gá má dyá dyá bá kích'i rá ñôjmé Nánga kjâ'a nú xânga nú b'ë̌zo né'e ró ñójk'a nú ngé'e k'a ná máma Pájpa jé mbǚrü b'ǘnk'o má'a tá'a dyá gí ñójk'o züngü ñes'k'o ín ch'íjué'e k'a ná jyó'o k'a nú tíjué'e nú b'ë̌zo jyés' k'a nú jmó'o gú jyôd'ü k'a ná'a dyá gú chójt'ü dyá rú mbára ngé k'a nú tíjué'e k'a dyábi 'ùnü rá mǜ'ü rú zí'i Kja ná mújte k'a nú b'ë̌zo ró jyón'i k'a nú ndíxu o pójtk'a nú ndíxu gó mâ'a k'o dyájtk'a nú ndzhôgü mí xíbu mbári jângé rá mbá'a jé go jók'ü të́'ë k'o mí jôrü para pjék'o gú mbéx k'a nú ndíxu 'ú jmá'a k'a nú ndíxu nú k'a gú chôjtji gú 'ṓjtjō dyájkja gú chôjtji k'a nú ndíxu Ngéjnu jñá'a k'a pézhi à jñíñi k'a nú jñá'a e Juliana	N àñíñi mí b'ǚb'ü ná ndíxu ñejná bézo rá mí xírabi mí sípi ná xúti péxeji ke nú bëzo jyásma má má ko k'a téje mí pa yátü sá'a k'a rá dyä̀t'äji ngum'ü jémí pépji k'a téje nú ndíxu mí kéjme á kj'a ngumü mí 'ä̀t'ä jñôna mí pá ka ndárjemi pá pédye bíto pero gó 'éje ná páa k'a mák'a nú b'ëzo rá mágo ka téji rá má pëpigo perorí nego rá rí pót'ü ná ngôñi rá ndájme k'a rá síbi má ñá rá säko rá ñônabi k'a ná xík'a nú ndíxo jâ'a má pépjige rá jo rá pót'ü gó nú ngóñi gó éje ka nú pá'a dyá k'o gó jyásü  gó kôgü yéje ndíxi k'o mí pá'a k'a ndárijeró má pédyebi kja ná xíji k'a nú ndíxu mó k'a ndáríje rá má péjñi bítu  k'a ná mák'a nú ndíxu nú b'ëzo íó dyá rá mágo tá 'ä̀tk'o jñôna porque rá éji xíra rá ní ñôna mójo ná ndájme dyá rá métsi ka ná mánú ndíxu pero yá bí mbót'ü k'a nú ngôñi k'a ró jyäs'ä k'a ná jyäs'ä k'a nú síbi k'a nú s'ä̌b'ü kja ná zó'ü k'a ná móji k'o yó mí rí xuji gó má péjñi k'andárji námámú éje k'a nú ndíxo gó gó chôt'ük'a nú s'ä̌b'ü yá bí yá bí ñêjme porque nú jñôna gú sípi yó dyó'o kja ná má nú ndíxu âji pjéxo rá ùngo dyá í xíra má rá säjä yá ójtjo nú ngóñi k'a ró pót'ü régó máma que mí néé ró sá nú ngóñi ngék'o rá pótü ú nóñi nángá máka ndú xéxo rá kjadyá péxo rá ùnyá má rá säjä rá sángü rá mbéjkue jéko rá xípji k'a ná má nú ndíxo k'a ná chénch'e gó jñándk'a nú típë k'a mí b'ǚb'ü nânga k'a ná mátk'a nú típje xípi k'e xér k'a ñéjpa xá'a rá éjk'eí ndzhôñi rá xémke í séñi nánk'a nú ndíxo yá bí síbü rá gó ná jó mône gó yójkü nú ndóñi k'a nú típje xípji tsósteba í ndzhôñi ngék'o rá éjk'eí íñíi k'a ná dyärk'a nú xut'i gó ngós k'a zá'a k'a nú ndóñi gó jñüü nú mônée núxndíxo yójkü nú ndóñi nú nú típe kja ná jyäsä k'a ná jyäsä k'a síbi para que dyá ró b'ütji gó mbó'nú típe para que ró 'ùn k'a nú zóyá ró sí'i má müsä k'a nú nú bëzo k'a nú xíra gó jíñi gó ùn k'a nú bójmü k'a ná xípi ñôña mant que rá má tugo ó ndéji k'a méje dyá rá métsk'o porque ójtjondéje k'a rí sí'i nânga gú jñup'ü k'a nú ngé ka nú mbójmü k'a ná mbüb'ü k'a nú béche ó mbürü gú ñônk'a nú bëzo nângá jón k'a nú típe ójtjo jân ngá mánú ndó jnd k'a má k'a ngóxti nânga mák'a nú b'ëzo ójtjo k'a íchipe jxebá má dya dyá bá kích'i rá ñôme nânga kja ná jñü nú xên ka nú b'ëzo gónééró ñójk'a nú ngé'ë k'a ná mámá pá páje b'ürüb'ük'o bá tá'a  dyá rí ñójk'a süü ngésk ích'ípe ka ná jyôn k'a nú típe k'a nú bëzo ó jyés k'a nú mójmü ó jyôrü ka ná dyá gú chôt'ü yá gó mbára ngé k'a nú típe k'a yá bí ùnü ró mójü ró sí'i ka ná jmútü té k'a nú bëzo ró jyôjni k'a nú ndíxo gó ójt k'a nú ndíxu bá mátü dyák'a gú nzôgü ní xío mbári ja ngé bá má lé gójók'ü té k'o mí jórü pá rá péko gú mbéx k'a nú ndíxe gó gó má'a k'a nú ndíxu núnka ró chôti gó ójtjo yáka gú chôtji k'a nú ndíx  ngénú jñá k'a píxi à jñíñi k'a nú jña'e jolyana  i
spontaneous-speech-mmc-21716.mp3	Hângé gá yët'ji nú séncho k'a síjàjñini 'ät'i kjṓ'ō ndécho k'a ná s'íb'órëcho ñé'e k'a ná ndzíró's'a chámbaji 'ötü rá ts'âpji rá tedyü dyà m'ará të́'ë yó dyü'ü 'éxíspjiji jiâsmaji 'ispiji ndéje para t'ë'ëza kídyü'ü Ke se té'e k'o rá dyù 'ët'ëji k'a jiârü dyàm'a nòdya hó'o dyéró ngünüji dyá ró jiês'eji ná xôma pa ji'ó'o nájp'a hök'ü zájk'o 'ngóraji para que ná ndárajo m'ayájtja ná hó'o yágá kjíjmi yágá yá n'êrází yó té'e dyàró mbás'äji k'a 'añéjp'üji nú tújk'ünú k'a ná té'jto k'a rá t'á'a nú kjára ts'âpji yó 'íxpji kjonújiârü Dyàm'ará xí'ichi k'a mügü séncho k'a yándá'a rá ts'âpji rá ts'âts'aje rá së́dyi	N ngéga yätji nú séncho k'a síji à jñíñi 'ä̀tji ko ó ndécho k'a ná ts'í bo recho ñék'a ná ts'í rósa châbaji ótü rá tsâpji rá téyo yü yá má rá téyo yü' e xíspiji jyásmá xíspiji ndéje para té sák yó yü ések'o yá ró dyótüji ka jyárü yá má rá yót ná jóo yá ró ngünüji yá ró jyäsaji ná xôma máji ó nájpa jók'ü zák'o ôraji para que rá ndáná jóo má dyá ta ná jóo yá á kíjmi yá dyá ne rá síyótë yá ró ma yá go mbásüji rá rá jñub'üji nú tjuk'üjnü k'a tétjo k'a dyá tá'a nú k'a rá tsapji rá íxki k'o nú jyárü yá má rá xíchi k'a nü séncho k'a yá ndá'a rá tsápi rá tsáts'aje násëzi iaiaiaiaiaia
spontaneous-speech-mmc-21720.mp3	K'á jñíni b'ǚb'ü ó lugar kò sagrado pa ndá ó pa xôrüji nú ts'ák'á'a k'a níts'imi 'ö̀ngéje k'a o ts'ícapilla 'ä̀tp'äji yó mbáxua ñéhe jângó pë̀dyëji yó b'íjtu yó sí'iño b'ǚb'ü ná jó'o juájm'a k'a pë́s'e ndéje... dyà hë̌si rá sí'i ó animále k'a ndéje 'ok'ejo k'o rá para m'ámbíño b'íjtu nâxto yó b'íjtu yó siño gó p'émbeji m'ádyagúzü yó mbáxbaji Ñéje k'a b'ǚb'ü ná të̌hë k'a 'ä̀t'i nîxa 'ë́ñë pa 'ö̀rüji pòho k'a dyàra xū̀'ūt'i yó porque 'éñe míxi ró 'ö́ndéje para ngó nú téje m'áráxû'u mbéje nú dyä̀rä rá pjántëjë gó m'ajñíni ñë'ë rá ts'ǜntü yó të'ë ngéko 'ä̀tp'äji nú míxa míjingóme 'ä̀t'pjüji k'a mí k'ǜgü pero gúdyà dyàjk'a 'ä̀t'äji porque tu mirá juínch'i ngéka m'ajñíni dyàjk'a rí mângo dyàjk'a rá pö'ö ndéje k'a ná p'ônkü	N kja jñíñi b'ǚb'ü ó lugar k'o sagrado k'a jângo ndá pá xôrüji ntsa k'a kja níts'i mi ó ngéje k'a óts'i kapiya 'ä̀tpäji yó mbáxua ñéje jângo péyeji yó bíjto yó síño b'ǚb'ü nájo juama k'a pése ndéje yá jési rási'i ó animale k'a nú ndéje ó qéjo k'o rá má mbéñó bítu jñáxto yó bíjto yó síño k'o pénbeji má yá gúsäñó mbáxuaji ñéje ka b'ǚb'ü ná téje k'a pá 'ä̀tji míxa íñe pa ó rí pójo k'a dyá rá xütnú téje porque ñe míxió ó ndéje kja nú mbórú téje ma rá xütnú ndéje nú  yä'o rá rá panü ndéje gá má jñíñeñe rá tsünt'ü yó tëe ngék'o 'ä̀tpäji nú míxa míjíngua mi 'ä̀tpäji dyá mí k'ǚgü pero nú dyá dyá k'andá 'ä̀tpäji porque komo yá juínchi ndék'a má jñíñi dyá k'a rí mángo dyá k'a pó' ndéje k'a ná i
spontaneous-speech-mmc-21721.mp3	M'á kjá mí t'síjkegö m'a rá kjá gó í bëts'a é rá kajma k'óyó juítjo e máko ts'íretazo í pònk'ü hângo mí juë̌'ch'i... eh... rá tsündk'o rá tungu yá 'ögü m'a kja mbö́rü pjam'a pjórü ndë̌ch'i Rá juë̌zhi yá nujmu ná mbürü dyé rú síjke ya mbàra mí ts'unt'a torga jüngü ngépjo para que rá xônda juë̌zhi rá... rájmü kja rósa k'o mí pjörü rá m'ákja mṑ'ō eh... nú mbàra m'amborá zângo mbora xískome ná mbéts'a kja rí tojtje k'a rígö y m'éphi yó rí 'ät'ä mbéske ga mbé'em'agö ígö dyajk'a rá sögü Ts'akjama mí jatk'a ngéko dyàró xôrü dyà kja xút'i'igö kja ro xôrgö dyà m'âno kju'ugö mayàbi mí jä'ä töpjü para juntu ts'ájíñi 'unt'u k'o rá gú págo ngérá kjo í mbéts'a kjo mí kjârá ts'íjke	N  k'amí ts'íkego má rá kja go í métsa  rá kâma go yó bíjto ë máma k'o ts'írre táso k'o mí ponk'ü jângomí jchi rá rá tsôntkogá tungo yák'o bé má k'a b'órü rá má pjorü ndéchü rá juëxi yá nú rá jünmbü nú dyépja räsi nke rá mbára e máma mí tsonta tjorgá jüngo dyák'o para qe rá xôrü rá juëxi rá jünü ga má k'a rósa jângo mí pjórü gá má kja mó'o pero má rá mbáre máma bó rá zángo mbo rá xítsk'o mí ná bétsa mbé kja dyá gí tjotk'ü yá yó í m'épjio rí 'ä̀tä béske gá mérmago í míjtu yék'a rá sótü sa k'a má mí mátk'a ngé ko yá ró xôrgo má kja mí xuti gó kja ró xôrgo má yáa má nôk'ügo ná yá mí mí jü'ü topjü para tóma ts'ëje í míjtu k'o rá kupago ngé dyák'o í métsa k'o mí kja' má kj'a mííe i
spontaneous-speech-mmc-26534.mp3	K'á nájo ka ri mbèñe go ngéka ko híts'i mi nána ro jñâtjo jñâtjo ngéko ri pára ra jñâtjo jñâtjo y ri ñángistia ngéko ri jích'i yo yèjio té'e ñěe ka ro xö̂ri mi máma mi ch'èb'e mi ch'èb'e yo b'ítu yo a San Mateo y ndèro xö̂ri ye káro teb'e yo b'ítu ri mbèñe ka mi nána ka mi p'èch'i ngéko mi nájo'o ka ri mbèñe ka mi p'èch'i yo b'ítu nde ngéko ndéro xö̂ri ri ch'èb'e y ri jñâtjo jñâtjo ñěe ka ri něme pa sóra ma yǎrgo něme ko ri mbèñe mi nána ka mi p'èch'i ndèxi yágo	N k'a nájó'o k'a rí mbéñego ngé k'a  k'o jíts'i mí nána ró ñátjo jñátjo ngék'o rí pâra rá ñátjo jñátjo í rí ñángestya ngék'o rí jíchi yó dyájyó të ñé k'a ró xôrü mí mámá mí chä̌b'ü mích'ä̌b'ü yó bítu yó yóasa mteo í ndé ró xôrü yá k'a ró ró tä̌b'ü yó bítu nde rí mbéñe k'a mí nána k'a mí pjéchi ngék'o mí nájóo k'a rí mbéñe k'a mí pjéchi yó bítu rá ndüb'ü ngék'o ndé ró xôr rí chä̌b'ü í rí rí ñátjo jñátjo ñe k'a rí néme pastora má yá rgú nééme yá k'o rí rí mbéñe mí nána k'a mí pjéchi ndéxe yák'o i
spontaneous-speech-mmc-26535.mp3	Yó ndä̂jnä k'o té à jñíñi ngéjo... ó alcatraz ñéjo róxaxí de Castilla ñeje ná k'a xîji mûxa ndä̂jnä Ndé té ó... ó kjṓntjo k'a ngǔm'ü k'a ná jó'o para 'äpjäjmé yé má gí sentío Ngéko té nú... à... b'ûnk'o yá té k'o ndé yó ndé'me ó lad'yo la kja yó tjí'i kja yó tū̀jmuji kja nú tjí'i para yó gástots'ats'éji kjânt'i k'a síño ngéko té à jñíñi k'o yó ndä̂jnä	N yó ndäjna k'o té à jñíñi ngéjo ó à katrás ñéjo o róxáxi de kastila ñéje ná k'a xíji mú xá ndäjnü ndéteo ó kjoto'o k'a ngumü k'a ná jóo para 'üpjeme ñéma gi sentio ngék'o té nú a bük'o yá ték'o ndé'eme ó rádiolá kja yó tjii k'a yó tumüji kja nú tji para yó gásto ts'ejëji kâtji k'a síño ngéko té' à jñíñi k'o yó ndn ia
spontaneous-speech-mmc-26537.mp3	Nú ñěch'e k'andàp'ágö àjñíni ngé nú kṑjtṑ k'a ná hó'o pára 'àñátja ñem'a senti kònája dyé má k'a mbéjkue mí nà 'üm'ü péjme Nú kás'ôra ndônt'i rá mbéye nú ts'írë̀jë k'a rá ndébiji 'ka ná xálo Máji yó rá jiës'eji yéré ná síji ts'ímp'a ngék'o rá jögü k'a nú pénk'aná'ü k'a náha Mi ná jó'o nú ñéch'e ñú'u 'ókṓtjō	N ñéche k'a ndápaoji à jñíñi ngénú kjotoo k'a ná jó'o pará má ñátja ñé má séntio k'a nája ñé má kjambékue mí ná 'ü nú pjéme núk'a só'o rá ndôtji rárá mbédye nú ts'í reje k'a rá ndéb'iji k'a ná xálo má jíó rá jyäsäji e rá síji ná ts'ímpa ngéko rá jodü k'a nú pjék'a ná 'ä k'a nája mí ná jó nú ñéchek'a ñú i
spontaneous-speech-mmc-26538.mp3	Jângé rí sä̀'t'ä àjñíni rë̌'ë té'gü ré ch'á'a zǐndzi gá m'ân'u àjñíni	N dí sätä à jñíñi lí tägä plécha sínzi ka man  ioioiou
spontaneous-speech-mmc-26540.mp3	Yó b'íjtu k'o jë̂gi à jñíni jñō̂'ō China tóji à Bṓndo ngé à Xônxua eh... rá dyójki este... gá dyä̀tpjäji yó tíjmi ñé nú dyísk'a 'ä̀tpjäji k'aj jñó'o nó guénta eh... k'óspoji ná b'íjtu k'a mâño color ñéje k'a ná ngôspjüji xîk'a ndéxe ndé yá párte dya ró jmū́'ūji rá dyä̀tpjäji nú pjólsa rá dyä̀tpjäji nú gargantilla k'a nú tíjmi dya ró dyä̀tpjäji dyá ró ch'ë̌pk'iji nú... nú cinta k'a depende k'a ná nâ'a nójo nú të́'ë pero k'ospjaji xîk'a ndéxe ndéxe k'a nú tíjmi 'ä̀tpjäji nú khèzhe ñé' nú pájna ñé' nú delantal k'a nú delantal ndé ró jö̌spjüji xîji k'a dya ró dyä̀tpjäji yó ngúxa k'a nú ngúxa 'ä̀tpjäji ndé k'ö̌spjüji xîk'a jö't'a dyätji rá tándë̂'ëji yó jrú'u nújnù nú kjèzhe ñé' nú delantal ndés'e k'o dyá ró planchaji para que rá ñíts'e ná só'o jyá dyä̀tji k'o nú b'íjtu à jñíni	N bítu k'o jéji à jñíñi ñú'o china toji à bonda ó géja xua e rá yókji este rá dyä̀tp'äji nú tími ñénú dyísk'a 'ä̀tp'äji k'a jñú'u nú guelta e cöspüji ná bíjto k'a näñó color ñéje k'a ná ngóspü ji xíka ndéxe ndé täji à parte yá rú jurüji rá dyä̀tp'äji nú àpjolsa rá dyä̀tp'äji nú nú gargantia k'a k'a nú tmi yá ró dyätp'äji yá ró chäpk'äji nú núnú sínta k'a ndépende k'a ná nójo nú të'ë pero cóspüji xík'a ndéxe ndéxe yó k'a nú tíjmi 'ä̀tp'äji nú kjéze ñénú pâjna ñénú de lánta k'a nú dé lánta ndé rá ngóspüji xíka yá ró dyätp'äji yó mbuxa k'a nú mbuxa ndé 'ä̀tp'äji ndé kóspüji xíka o ta a dyätji rá 'ó nta ndäji yójnú  núnú nú kjéze ñénú de lánta ndések'o yá ró plancha óji para que rá ñétse nó só'o jégá dyätji ko yó bíto àíi i
spontaneous-speech-mmc-26541.mp3	K'o jích'í yó xútǐ'i rá k'ǚn'üji ñájñú ti xë́dyi májñú tí xë́dyi ná xá kjâgü ñé k'o mi jǒtjo ná xînch'i ná ñúnú k'a ná mö̌gü Ñé kjâ'a jích'iji rá juë̌zhi rá dyä̀t'ä kjö́s'u rá dyä̀t'ä mândras'i xích'iji ná ndǜjnü ó xídyo ngéko má yá rá ts'íb'ùs'ü dyágí páraji k'e pjéko pjéko má... má ndágo kja 'í kja ngǔm'ü yó ndíxu Ngéko jích'i yó xútǐ'i ñe k'a rá xîño s'émiji pa yá nà xûndoñoji ná jö̌rga gá kǚnüji pa dyá rá ndó'iñíxtji pa ró kjǘ'ü jñé kjâ'a yó xë́dyi jích'i rí má mbéñoji tjúji rá péjch'iji mândago ó kjâ'a í k'a ngǔm'ü Nú k'ót'o k'a yó... yó nána rá jích'i yó xútǐ'i y yó tǐ'i ngéjnú t'ák'a rá xôrü rá má t'ū́s'á'a rá dyé 'ùndá para pë́pji k'a juā̌jmā ngek'o jích'i yó xútǐ'i ñéjyo tǐ'i kja jñíñi	N ojíchiji yó xúti rá künüji rá jñuti xëdyi rá jñuti xénik'omi ná xá jâgü ñé'k'o mí jótjo gá xínch'i yó ñänü k'a dyá mógü ñe' k'a jíchiji rá juëzhi rá yä̀t'ä kjós'ü rá yä̀t'ä mándra sii jích'iji rá ndümü ó xídyo ngéko má yá rá ts'íbu suji yági paa rá jíke pjék'o pék'o má mánda gó kjâji kja ngum'ü yó ndíxu ngéko jíchiji yó xuti ñe'k'a rá xéño  séñiji pa dyá rá xündo ñiji ná jorga gá künüji pa dyá rá ndógü ñíxtik'a ó kjünü ñe k'a xëdyi jíchiji rá mámbéñu bítuji rá péchiji mánda kok'o kjâji kja ngum'ü  nú k'oto ka go yó yó nána rá jíchiji yó xúti i yó tii ngéjnú ták'a rá xôrü rá má tusáa rá yé ñundá pará pépi k'a juam ngéko jích'iji yó xuti ñe yó tii ka jñíi ia
