audio_file	reference	hypothesis
spontaneous-speech-bew-20800.mp3	Kalo ayé sering membacé atau mendengarkan sejaré-sejaré pahlawan-pahlawan kité maupun nasional maupun yang orang-orang Bétawi yang dahulu-dahulu kite memperjuangkan bangsé negaré indonesia ini cukup dan cukup menyentuh hati Kité sebagai penerus-penerus bangsenyé jangan sampe keluar dan engga mau tau sejaré-sejaré untuk bangsé dan pahlawan-pahlawan kité Kadang-kadang pada di zaman sekarang hari ini banyak-banyak orang yang gamau tau dengan sejaré dari dulunya hingga sekarang ini sampe sekarang ini kita bisa begini Kadang-kadang anak sekarang gamau tau dan memikirkan diri sendiri Siape kité dari mané kité dan tanpa perjuangan mereka kité juga engga akan bisa seperti ini engga bisa akan merdeka dari pendahulu-pendahulu kité yang membawa kemerdekaan Indonesia dan lebih maju lagi	aaaaaaaaa ka aa  ka  a aaa  ka a ba baa bi ia aaa ba ba baa kaa i ba a a aa a aa ba i in kai i iaiaia aa a aa t a ba ba an ta ba bn ba biiaiaiaiaiaa aaa a aa aa baiaiia ba an a a a  a iaia ba a ii ii iaiai ia an ba aa aan ba ba baaiiiia aa a a a aa paa a baa a beia ban baa ba a a a ban b  aaiiaia aa bn aa baba   biaiaaaaaaaaaaa
spontaneous-speech-bew-20805.mp3	Kalo untuk wisate kita sih kemane aja sih udêh seperti kayak Cibodas terus ape namenye daerah-daerah Bandung terus daerah-daerah pantai Daerah mana aje yang penting buat nyénéngin hati Untuk wisaté kita harus bener-bener mempersiapkan diri untuk perginya Banyak wisata di sini apalagi di jaman sekarang ini wisata-wisata itu memangnya kita harus datengin dan harus tau Paling kebanyakan wisata di sini mah di Bekasi juga ade banyak dan bagus-bagus itu	a a aa a a   i  a ba ba   ka iia a a a  a ba ba i i i ke i iai iai ba kaaiii i  ii i i     a
spontaneous-speech-bew-20807.mp3	Kalau menurut ane ya itu untuk menjage atau ngelestariin budaye kite sendiri ye itu kemungkinan kayenye dewek-dewek ya atau sendiri-sendiri Dikarenakan 'eee' seperti ini lah budaye kite jangan sampe punah kemakan zaman paling terpenting itu yang ane bilang tadi budaye kite jangan sampe di comot oleh negara-negara lain gitu harus kita pertahanin itu Ya paling untuk menjaganya kita bersame-same 'eee' kita cari ape aje yang penting berbau 'eee' budaye kite jangan sampe musnah di zaman sekarang ini	a aa aa n a a a a ba k aai ii ii aa n ba  b a a b a an bi ii ii a  aa aa n ba a aa b bii a a ba ba iiin baa baai ia b ba bai i ia t a a taa a b baai i ia ban a kaa a  aa kn aaaaaa ta
spontaneous-speech-bew-20809.mp3	pendidikan itu sangat penting nantikan kalo kité udéh sekoléh kan bisa baca tuh bisa tulis jadi kalo kita kémana tuh jadi kita tau oh ini nih kité mao késini nih naék mobil ini jurusan ini térus kité kalo mau beli barang-barang ini nih oh ini ni sekian hargényé sekian terus kita kalo mau jalan-jalan oh ini nih wisata ini nih itu tu kan begitu mangkanyé penting kité sekoleh ya begitu ya mangkanyé itu anak dari sekarang tuh dari kecil-kecil kita sekolahin dari SD SMP SMA apélagi kité kalo bisa punya duit ampé sekoleh perguruan tinggi tuh biar anak kité jangan kayé kité nih sekoléh cuma SD doang yang taunyé cuman bangku sekolahan SD doang itu éngga tau pengalaman ini itu	a a a a a a a a a a iai iaiai i iaii i ka a a aa a a ba a ba ba baaa baa ka aa ba kaa ba iiaa ai i iai a iai iai ian iai ia ba ba baa iai i ia ya a ba a a ya a ba baa baa ba a a a aa kaiiia a a a ba a a ba ba ba a a a a a a a aa a a ai i ia iaia baa baa ba ta aaa a a a a ka a bai ai a a a ta a a ba baa ban ba ba ba ata
spontaneous-speech-bew-20811.mp3	Biasanya kalau dalam orang-orang kita tetangga-tetangga kitê yê biasanya tuh buat nyékar Kémbang-kémbang apa namanyé tuh pehong tuh biasanya buat apa namanyé tuh ke kuburan Biasanyé itu buat nikahan juga ada Buat kémbang-kémbang idup buat pernikahan atau apé ajé yang penting itu kémbang bisa digunakan	Kaaa  a a aaaa kaa kaiiiii i i iii iai a a n aa a  ba i a a  a a a aa baaa a ba ba bai iaa    aaaaa
spontaneous-speech-bew-20813.mp3	Kalo saya sih sukanya liburan ya di pantai kan hawanya enak adem liat pemandangan liat ombak ngeliat aér-aér laut dah tuh ama pasir-pasir dah tuh ya paling ya gitu-gitu doang jalan-jalan ke arah mondar mandir abis itu udah makan Kalo dibuat naik gunung takut naik gunung capek apalagi saya orangnya mah ngga suka naik-naik gitu apa-apa takut liat ketinggian saya mah paling enak mah liburan di pantai aja udah	ia a a a a a a a a a aa aiiai ka a ka ka ta ia iai ia a ba ba baa baia iaii i a ba ka a ba baa ba ea a a a a a a a a a a a a a baiai ba a ba ba ka ka a a ba a ba baa a ka ka ba aka a aa ba ka b ia aa aa ka ba ba baa a
spontaneous-speech-bew-20814.mp3	kalo ayé tidur sih biasanyé ya jam 9 nan karna apé ayé kan orang pédagang dagang klontongan ya bégitu nungguin dulu ada yang beli atau yang kaga kita tungguin yang namanya orang dagang ya udah setelah itu kalo gada pembeli baru ayé tidur jam 9 nan udah tidur baru déh besok pagi bangung kerja seperti biasanya	Kaaaaaaa ba abaaa a  a a aaa a i ba ia a a ba a ba ba a a a a bai baii ia ka ba ban ba ba a a a a aa ba a ba bai ba a ba ba a baa a ba ba ba abaa baa baia a a a ba ba  a aa  bai baai baa a a
spontaneous-speech-bew-20816.mp3	ya paling juga kalo untuk émm di sekitaran rumah ayé ya itu kita paling rondé yé biasanya tuh para-para orang kampung ya kita bergantian jadwal untuk rondé dari A ké B dari B ké A gitu muter terus yang penting kampung kita tétép aman dan kondusif gitu	Ka a a  aa a aa ba b  aaa baiii iaai  a ba baa bbaaa a b kaaaa a a ki i iaaa
spontaneous-speech-bew-20817.mp3	biasanya anè kalo bepergian kemanè ajè itu pakè motor biasanya mah yahh paling jauh juga yaa paling jauh ya paling yaa ke bogor kita naik motor ajè karena apè ya motor lebih simpel dan lebih irit	K na a a a ai iii iiaiii ia baia aii b baaa a ii iii i ka a a aaaaaa aata
spontaneous-speech-bew-20817.mp3	Kalau untuk kegiatan ane itu dari melek mate ampe Magrib itu ane kerje Kerje pulang malem paginye bangun lagi pulang malem lagi	Ka a a aa ba a aa a ba biaii ia a b baa b b i  aaaaaaaaa
spontaneous-speech-bew-20818.mp3	Yé paling di masa depan ééé orang-orang itu ya lebih suka ya tinggal kemungkinan di perkampungan ajé tempat tinggal dié sekarang ini Nggak mungkin énggak mau ke mané-mané udéh	Kaaaaaaaaaaaaaa a a baa a ba ba baa ba baiaa bai ia iaiaiaiaiaaaaa
spontaneous-speech-bew-20820.mp3	kalo yang saya lakuin musim panas nêh ya kalo saya punya jemuran padi ya saya jemur padi yê gaadê jemuran padi yaudê ya paling kalo saya abis nyuci saya jemur tuh jemuran pakéan paling biar cepêt kering setelah itu ya yaudê saya nikmatin ajê musim panas	Kaaaa a a aa a a ba a a a bn baa ba baaa ka baa aa ka ka baa baai baaiaii kaa ba a a ba ba ba a a a a a baa ba beai ata
spontaneous-speech-bew-20822.mp3	kalo dapét informasi biasényé disini dari mulut-kemulut kalo jaman dulukan bégitu mencermat sebelum adé telfon dari mulut kemulut biasa ya mulut ini mulut itu sampé déh lama-laama ketelinga ujung-ujungnyé jadi apé gosip déh	Kaa a a baa aa baa ba a ka baai bai ia ba ba ba ba ba ba ba ba ba aa a a ba baa i iaiiii ia ba ba kaii iai i ia a a a a a aa aaa
spontaneous-speech-bew-20823.mp3	Kalo untuk kembang ituh biasanya tuh kembang kertas itu yang merah apê namanyê tuh kalo kita sebut mêh itu kembang kertas kalo yang merah itu Trus ama kembang cempaka dan melati pun adê itu	Kaaaaaaaaaaaa a aaa a baa baaaa ba an a a baa aia baiaiaia ba kaa kaa baa ba a a ba ba ka akaiba kai i a aiiaiaia ia a a a a
spontaneous-speech-bew-20825.mp3	Kalo untuk di tempat tinggal Ane itu olahrage biasenye sepak bola yang terkenal dimane-manepun di seluru Bekasi tuh sepak bola	Ka b ba ba ba ba aa a aaa iia iaiai i  i       a    a
spontaneous-speech-bew-20827.mp3	biasanyê kalo perempuan itu kalo untuk olahragê yê itu biasanyê senam sih kebanyakan ya kalo perempuan dan juga badminton adê terus voli juga adê	Kaaaaaaa  a aa a a a a kaii i i i i iiaaiaaa a aaaaaaa
spontaneous-speech-bew-20829.mp3	kalo untuk olahraga kita ya paling ya seminggu dua kali lah untuk berolahraga supaya menjaga badan kitè harus fit dan harus sehat	Kaaaaa ba baa aa a aa aai baa a ba aa baa ba ka ba ba ba baia ki iai  a a a a a a a aa
spontaneous-speech-bew-20832.mp3	kémbang putri malu kémbang soré pagi kémbang pain litok apa lagi tu kalau kémbang putri malu kalo di colék tuh udêh mêrêngket udah ketakutan ajê sama kémbang itu tuh kémbang kamboja yang kémbang kuburan	Kaa  aa  a a baabaa ba ba a baa ka ia a a b a aa baa aia ta ba aiii kaaa aa
