audio_file	reference	hypothesis
spontaneous-speech-kcn-22106.mp3	Ana agder akul akil baraa baraa Akili Milan	A t ka a t aa ka aa aa t ta aa aa k k k a ka  ta  a a  a aa a  a a  a aa ka ka a  a a k ka aa aa a a    ta      a a  a aa t a
spontaneous-speech-kcn-22127.mp3	Teriga Al kweis ya ta aulan akul akil al bi awunu gildu tou yaani akil Al ma gi jibu Ayan baraa baraa Al bi jaa jib no Yani shida Ta tinein yaani kutu sokol AlSaba akan uwo jaa ajusi Yani kuto sokol Al bi jib gurush Al bi ja awunu fi y'all Al Lisa mma agara au Al Lisa gibagara Yani	A   t t k t  aa a a taa a  a  a  aa a aa  t t ta a a ta ta t t a a a a  ta  t t ka a t a t a a a a t ta A
spontaneous-speech-kcn-22154.mp3	Taulan ah taalim jibu no uwo nongus miskin fi usra tai kefin wa taulan ya faham ita ya munu sun sun ya aju ke ta soo wu sun ya bi amurugu ita fi hal al ta fogo de ja yatu je namna al taulan ya rudu badu ma kila fikra al gi awun yan program al government gi jibu te endi te amsuku mo badu fa tinin je namna al governmenti gi jib nena Parish development model pdm te talata yani ja government jib nena NAADS al kede geeru fikira kede hel geeru hal tai usra tena ya amsuku badu mo	A  ta a    ka  ta aa ta ta    t ta taa a aa k a a a t a k   a a aa  ka a a t a a ta ta a t a t aA
spontaneous-speech-kcn-22169.mp3	Kalama ta so Al Ina endi ta so Bess ya kutu uwo falata kelem nauwo yala kede uwo ruwa ruwa fi mustashfa Yala kan uwo arija somolin ja saan	A t a t  ta ta  a a a a aa aa aa a a   k aa  a aa a t a aa k a k a a k aa aa ka ka aa ta ka a a a aa  a aa  a a a  t A
spontaneous-speech-kcn-22190.mp3	Mara al fa kede ana kasul ida faul abus ayan ya taulan mar milan yani kila ida taki kan amsuku al waskan kabla ta kutu ida fi amsuku ma sokol akul te endis te kasul al gi kelem mar talata lakin zaidi to kila saa ab ita amsuku sokol al ma fa ita endis te kasul ida ke yani kila saa kena kan te gi rua akul sokol keta soo sunu keta kasul ida taki kede awun ta bi abusu ayan al bi ligo badu me ta	A aa t a a  aa aa a aa a t aa a aa k k ka a  a a a a ka ka t a ka a  aa k t k a aa ka aa  k a a aa
spontaneous-speech-kcn-22227.mp3	Taalim endis kalam milan al uwo gi aunu fi usra ta ummah ta kila kalam taalim gi kun kweis zaidi kalam ilim ya gudra ta kila sokol wo azol al endis ilim uwo bes uwo bes wendis ilim al endis ilim maa uwo gi kun fi duluma yase kan taalim fii gi awunu zaidi usra ma ummah	Aa aa  ka a ka ka aa a a k  a a  t aa  a a t a aa ta a a aa a aA
spontaneous-speech-kcn-22260.mp3	Alama al guweri ja ajol endi huzuni ta awulan ya kan uwo endi sokol mafi yani kan sokol fi neita huzuni siya itagi kun ma huzuni zayidi mafi ya gi jibi neita itagi kun ma stress uwo gi fekeri ana bilogo wen Ana bi so kefin kede ana logo Ya fikulu ita gi kun ma huzuni logo ita endi namna mafi teriga yoyote mafi	A a a k a ta a k   t aa k  a a a aa ta aa a aa a aa k ka a k k a  a aA
spontaneous-speech-kcn-22290.mp3	Walai dor Milan zaidi taalim	A a ta a a k a t aa a a  a k a a a k a k t aa a k aa taa   a a aa k   a k k aa aa aA
spontaneous-speech-kcn-22307.mp3	Ta alim te kalama te anas kubar fi kariya tayi ma yal duga umon ligo kalama al kwesi zaidi kalam ta alim de ya ilim ab ta gudra wu ilim kan binadumiya endis ilim mon gi kun te raha ta fo mon gi kunu mon endi furahi zaidi wu umon gi kun umon endis kalama ta gudra al umon gi soo wu fi jede ta alim fi kariya kan gi alim anas gi kun seme anas gi hishma badu anas gi gayi kwesi zaidi	A  k a a  a a aa a a a t a k a aa a k t k aa k aa a ta  a k ai a a  t aa  a  a a k a aa a aa a
spontaneous-speech-kcn-22386.mp3	Wakti tayi te faraag ana gasma bes ana aju nuum ana baada akul kala ana aju nuum wu ana aju gum baada ana num kala ana aju gum kede ana so sente kana so tujar tayi kalam kede ana ligo sente ke ja kun me sente ne anas ne yal tayi wu kaman ana gi feker fikra al kebir fu ummah me yal tayi	A aa  aa ka ta a t a aa a ka aa  ka a ka ta a aa a t ka a a t ka aa tA
spontaneous-speech-kcn-22429.mp3	Gen madrasa geeru anas anas geeru fikira jibu change mindset te anas al kan aju kidima ma mon ligo kidima al kan gi num gum min num yani geeru fikira hal te anas tena fi umma tena	A a aa a a  t aa aa ka aa a t aa  t  aa a  a aA
spontaneous-speech-kcn-22446.mp3	Ana safir fi bele baraubarau aa bele ta aulan ya ana ruwa fi Nairobi bele ta tinin ana ruwa fi tanzania yaani bele barua bele tinein dolde ya ana ruwa fogo ma fi sudan al sabab tou jere gus maisha al bi geeru hald tayi ma ans tayi ta batna bee	Aa a  a t  a ta aa aa aa ka aa a a aa ta a a aa ta A
spontaneous-speech-kcn-22515.mp3	Ayi ana endis ham kalam alim terebiya bara bara gi weri nana sunu ya ana aruf sunu ya ana aruf ma wu sunu bi aju ke ana awun sunu ya bi aju ke ana zidu ana bi aruf ma ana kabila kam barau barau ma terebiya tomon fi bele al ana fogo	A   aa aa a a a a ta t a a  a a a t   aa aa ka ta a
spontaneous-speech-kcn-22543.mp3	Akwe asede teriga al ya endis te kun kalas ragi gi ja ajusi ya uwo endis ta akul seme uwo endis te jere jere uwo endis ta alab alab me gildu to uwo endis te kun logo uwo endis te gi kutu uwo fi fikira mma uwo endis te kun seme logo uwo gi akul seme uwo gi gayi seme	A k  a t t a ka k ka  ta a k   a k t k ka a t t a ta t aA
spontaneous-speech-kcn-22569.mp3	Akil Al mama faa kede akul al kede zidu naouwo leben yaa ta aulan akil yani mula teina ta be yaani Mula al ta greens Umm mula yoyote al Fogo al gi jibu gudura fi gildu	Aa aa aa ta a ka a aa k t a a ta aa a aa aa a aA
spontaneous-speech-kcn-22584.mp3	Taulan te bi wedi kila bada tau abidu taulan ta gi wedi kila bada usbu tinein dukuru kan kalas ta gi ja abidu wedi kila bada shar talata	A  taa k a a a a aa aa k a a ta aA
spontaneous-speech-kcn-22599.mp3	Ai ke kaharaba fi kariya tai fi wu de wai sokol de ya wai min sokol de ya so wai min sokol ab raba area ma bele	A aa ta aa a t aa a aa ka t
spontaneous-speech-kcn-22641.mp3	Yani ana ma azol al ta muziki zaidi yaa ana ma endis muziki yoyote al ana gu dugu	A a a a t ka aa ta t a aa A
spontaneous-speech-kcn-22661.mp3	Nam taalim awun fi namna te geeru fikira ta binadum fi jumiya namna al binadum kede wasa fi kalam al ta awari kede uwo soo kalam al bi nafa al bi raba uwo raba family me ab bi raba bele to	A  ta t  a a a aa aa a ta a a aa a ta tA
spontaneous-speech-kcn-22679.mp3	Kalam wedede gi kun wafaka wafaka lim badu kun logo itakum gi as gi kun furayi fi gelba takum kalam ta-alim saadu ina	A t a a a a ta k a a   ta a aa A
spontaneous-speech-kcn-22699.mp3	Ayi ana gi istamil Kalam gi jibu mandeleo jedidi gi jib mandeleo fi umma wu area yani mahal gi raba	A aa ta  ta k k aa a ta a
spontaneous-speech-kcn-22738.mp3	Self accountability fi akhir usbuu an gi so self accountability an gi isabi ana min awul ta usb ladi misho ta usbu ana so sunu fi nafsi tayi	A aa  aa aa aa a aa k a k a a aA
spontaneous-speech-kcn-22755.mp3	Kila bada shari wai uwo endi ta kashif nafsi to klia bada shar wai	A a a a a tA
spontaneous-speech-kcn-22785.mp3	Bi jib AA mon gi raba maa u gi jib miskin	A  ta aa A
spontaneous-speech-kcn-22795.mp3	Teriga al ah teriga al madrasa fi kariya tai saadu yal ya yani amurugu zaman milan mon gi gai kidi fi agara madrasa mon gi agara deeni tomon wu fi deeni de ya zatu gi alim terebiya yatu ya fa kede omon gai Mo kede ishi fi be fi mujtamiya ma fi bele yani madrasa gi fata muku ga amurugu ita min kalam al batal gi wedi ita fi kalam al nesiya kalam al kan ta arufu maa te gaaruf kalam al kan te gi soo fi aruf mma ga awun ita te gi soo sunu te gi wasa min uwo	A   a t aa a  ta    t a t a a a  aa aa t  a  aa a a a ka a a t a aa a k  a    t a a aa a a a ka a k k
spontaneous-speech-kcn-22811.mp3	Ah taalim taalim ta ah yani ta daktari yani mustashtfa gi weri ja kum ja gal wala minsh bana mani gi ligo batna bada shar talata ama aruba shar talata ama shar aruba mara wai kede uwo abidu hafidh uwo nafsi to yani hafidh nafsi de kefin ke uwo abidu adul uwo ke uwo aruf ja kwamba kalas saa yoyote weledu kala ja yani adul marifa sunu ya aju uwo sun ya fa kede uwo soo al kabla youm de Tim kede uwo kun logo uwo adul nafsi to uwo kala fi ma kila sokol to falata al bi awun uwo	Aa aa aa a aa aa ta a  aa t aa a k a t  a a a a k aa ta t a k t ta a  ka a aa aa aa a ta k t ka a  A
spontaneous-speech-kcn-22841.mp3	Al gidam to ya jib taalim al gi awun badu al gi amurugu mashakil yani jib wafaka dukur kutu kila kalam dukur sidu al kalagu ita yani rabbana taki al kalagu ita ma chunga yani kutu deeni taki gidam ma kutu ta talata kutu kabila taki ma terebiya taki de ya wai min masha Kalam al gi amurugu mashakil ta kila youm fi batna be	A t  ta ta  ta aa  a t a aa t  ta t a t a a  a  t aa ka t a a   ka t  a a a A
spontaneous-speech-kcn-22877.mp3	Ta alim al gi saadu usra logo itakum kaman gai takum soo juhudi te kutu mon fi ta alim dastur tarabiya ya dukur mon kaman gi alim fi jede fi nafsi tomon bi ja kun bi nafa Kalam kaman te endis te alim omon mon bi ligo taalim te tujar taalim te malja rua fi maljara dukur afiya tomon nafsi tomon gi kun binafa Kalam mon amsuku ta soo ya sunu	A aa aa ka a a aa a ka aa a a a aa a k  a a ta a  ka aa aa a a ta a t a aa aa a a aa aa aa a   aA
spontaneous-speech-kcn-22910.mp3	Libu ab yal gi ah al yal duga gi alab fi umma tai ya libu al gi al gi alimu omon namna ta rakabu namna te chunga be namna tee kuruju nasi namna te gai ma yal te keni ya libu al mon gi alab al na gi ayin lib al mon gi alab mon gi nutu nutu mon gi soo mon gi nutu nutu mon gi nutu labili mon gi gai kan kalas mon gi alim tarabiya te nas dofuru me nas	Aa ka a a aa a  a  t a a t  ka ta a aa ta aa ta a aa a ka k aa aa aa k aa
spontaneous-speech-kcn-22926.mp3	Akulu tai fi youm mar talata yan taulan min saba yan breakfast ta tinin ahhh min nahar dukur ta talata ya gada yani min saba asiya asa dukur gada mar talata fi youm	A k a     a  ka ka ka a  a aa a  taa ta   aa t A
spontaneous-speech-kcn-22991.mp3	Adil yal batna be ya teriga qb ab kede azol soonmo kede kede ab bi awun min mashakil yan adib yal batna be weri nomon sun ya aju uwo sun ya fa al saba bi ja raba omon na usra ab bi ja gidam omon	A aa aa a a ta t aa   t t   k t a  ka a a a t a aA
spontaneous-speech-kcn-23007.mp3	Sokol ab ragi fa kede soo ah kan uwo gi asma gudura to kalas taulan ke uwo ligo amula safa al gi tim ma awun nafsi to min yani stress awun nafsi to min kalam ta shari je uwo ligo amula safa al gi tim ya bi nongus fataran	A a a t  k t aa a a a a a a k   a a a ta a a aa tA
spontaneous-speech-kcn-23024.mp3	Ayan ta typhoid sokol Al gi jibu ya ta aulan aaa moyo Al waskan akili Al maa marakabu Yani waskan aaa moyo Al gi agif finbatna bee au fi sika yaani fi kuki moyo Al waskan ama akili Al waskan Al ta kulu gi jibu typhoid	A a aa  a  t k k  a a a taa k  aa ka aa ta k k ta aa aa  aa  t
spontaneous-speech-kcn-23034.mp3	Dor ta aulan ya kan yala amla safa min madrasa umon kala fi bee de ya wakti Al walidein gi limu yal toumon Walidein gi wedi yal toumon fi madrasa	Aa a a a ta t a a t ta a ta t aa a a aa ta a t a t t a  ka a kaa a aa tA
spontaneous-speech-kcn-23041.mp3	Ayan ta TB al gi jib ya ta awulan waskan ta tinin wedi yan ruwa fi mushtashfa mma dukur abus to ya ruwa fi mushtashfa ligo matibabu to ya bi abus	A aa ta a  a aa a t a a aa aa t aa aa aA
spontaneous-speech-kcn-23055.mp3	Wedi noo sokol al gi jib vitamin ja mula ta korofo ama sokol yoyote al daktari bi kelem neeta keeta wedi noo yaa bifahamoo gal nyereku taki endi vitamin al gitim oo	A a  a a k   a k   ta    a a a  a   ta  A
spontaneous-speech-kcn-23065.mp3	Taalim gi raba be gi jib fahma naa muja fi mujtamiya mujtamiya yan gi raba anas anas gi wasa fi sika al ma al mma gi raba anas al gi arija anas wara yani gi amurugu a anas min fikira te awiri gi wedi anas fi fikira al gidam al bi raba anas anasbi raba bele al gi raba	A t a  t aa  ka a ta a t a taa aa k aa ta a aa aa  a a aa a
spontaneous-speech-kcn-23077.mp3	Akil tayi al asil ya kisira lebere mukati kahaki luguma sasi ma mula bamiya ma layu ma laham ma kobda	Aa aa a k a  a t  aa a ka ka aA
spontaneous-speech-kcn-23083.mp3	Yani nuswan ma yal banaa mon ligo kidima umon aunu waldein toumon yani aunu nafsi toumon min so fikira baraabaraa al bi Jada umon fi Kalam al maa nesiya	A a ta aa t a ta ta kaa  aa a a a t ta aa aa aA
spontaneous-speech-kcn-23090.mp3	Usra bes endis te te abus samam akili bes ma rakab akili kwesi dukur tan te Kati akil akil endis te kati de abus te samam	Aa       t  ka  aa k ka aa a a  A
spontaneous-speech-kcn-23159.mp3	Ana agder kun mustura ke kun nedif taulan kasuslu adulu dawa ma Kati lufra mustura saa kul kede kun me kati	A a ta aa a  aa taa kaa a a a ta  a
spontaneous-speech-kcn-23190.mp3	Yani loun ta uganda loun ta uganda fi talata fi aswed fi ahmar ma kurukum	Aa a  a aa a  ta a a t aa A
spontaneous-speech-kcn-23215.mp3	Walai kias te akil de mafi yan bes aju akul kede ma kun milan zaidi Wala ma sia zaidi bes kede kun fi kias	A a a a aa k aa a aa  k aa aa aA
spontaneous-speech-kcn-23227.mp3	Stamil simu ana gi stamil simu mar milan ma wai ma tinin yani milan mar milan	A  aa aa aa a a aa tA
spontaneous-speech-kcn-23238.mp3	Checki nafsi taki saa kulu ya alama ab ajol gi	A   ka ta t  a
spontaneous-speech-kcn-23251.mp3	Mm Giraba umma Anas gi so kazi giraba umma	A aa a a A
spontaneous-speech-kcn-23259.mp3	Ai anas gi ligo gurush wu omon gi soo development musu ai	A aa aa a ta aA
spontaneous-speech-kcn-23299.mp3	Nadafa kun nedif sa a sa arboshirin	A aa t aA
spontaneous-speech-kcn-23329.mp3	Hal ta raha sokol al jibu ta aulan bele kan kweis bele fogo galgal maa yani raisi ta bele amsuku bele seme galgal maa yani kaman kan afiya taki seme wede ya wai namna al hal bi kun seme	Aa a a ka kaa aa a aa a  t aa a k  a a a  t  a a aa a t a   aa ka a aa a a t a ka k aa a aa a
spontaneous-speech-kcn-23341.mp3	Walai nizam raba kalam s aulan fikira ta waleidein tena kan gi kelem gali taalim aju bes ta ligo taalim de gi rua wen ta gi rua ligo kidima lakin saade taalim ja barau barau yani geeru fikira tena sunu ya fa keta soo yani kutu saa arba wu shirin keta kun busy te ke kun committed de ya wai min fikira al namna al taalim geeru mo ahh de ya wai min nizam al taalim soo sunu geeru mo fikira tena	A  aa    ta a k  a    aa t a  t aa ka t  a aa k  a ka aa t taa a a  a a  a  a t  a A
spontaneous-speech-kcn-23374.mp3	Kalam al kubarin te deen soo fi umma tena taulan raba deen tomon deen tena tomon tena me te anas kulu ta tinin ya geeru fahma yan amurugu fahma tena min fikira ta al kan te awiri arija fahma tena fi sokol al adil ma aruf sabab sunu ya ina fifi duniya in me sabab sun ya jib ina wu saba nare na fi wen wu saba ne gi rua wen wu ina gi rua kefin	A a ka a ta a a ka aa aa aa aa t taa ta t a taa  a  aa k  aa a aa aa  a a a k a a a aA
spontaneous-speech-kcn-23402.mp3	Ana ma gi hafiz gurus tai fi bank yani sabab to gurus tai bank ah fogo rufa ta maisha dukuru ah deen ab tai ma gi rudu rufa yani ta sun ya gi zidu fi ras ta ya gurus ab tai ana gi hafiz fi bank ma	A a t  k k k  aa a a k a ta ka aa a aa a a a   t a A
