audio_file	reference	reference_raw	hypothesis
spontaneous-speech-pne-15186.mp3	Amik pitah kelunan mipe amik tong penusah ineh tai ngan ketua kampung amik tai ngan ireh jau tuak umerk amik ineh tai pani menyuk yah pani menyuk eh barak ngan kat kelunan mipe amik tolong monak dan neh sen dan neh rigit nak kurek nak lomah pelusen jah rigit jah use ineh jalan ineh cara ayuk mani tolong menyuk amik pepipe ngan kelunan	Keh neh ngan kelunan yah tuai tong daleh amik tuai mapun amik ponan setu'ek ireh idun ireh kinak ireh orang putih ireh ineuk pegosak pilipen semua kelunan juk labuh ireh tuai ngan amik sete'uk keh	Amik pitah kelunan mipe amik tong penusah ineh tangan tua napung amik tangan ireh jau tua umu amik Ineh tai pani menyuk yah pani menyuk yah barak ngakak kelunan mi pe amik tolong monak dan neh sen dan neh rigit nek kurek nak damapun sen nak jan rigit pejause Ineh jalan ineh sare ayuk mani tolong ik mani pupi pe ngah kelunan
spontaneous-speech-pne-15191.mp3	Owk yah ineh mani map akouk Akouk yeng akouk pogeng ngeninik radio Nak pun peh akouk ngeninik eh sau mah dan tamen kik larui motit radio pogeng pogeng sau bareng akouk tatuk ngeninik Tosog inouk piak inouk Dalem kojam kik piak lagu tue keningat kik dalem radio Ineh tue yeng pun yah tosog eh kojam kik koluk kik sineh	Owk..pun suket,pun tosog  nak ireh ,nouk ireh jau,ireh tamen amik ngan amik sau..tentang kayau,tong jah adui ireh padui ireh kelunan mukun sau..Jah akouk yeng ingat eh..konak akouk juk barak eh kelak kerk...konak piak kik juk..tosog eh kelak ngan ireh anag ngan ireh kelunan kik .Ineh tuwerk kojam kik..akouk ingat pun tamen tinen  tosog eh keh ngan kik sau..	Yah ineh manin mam akouk akouk yeng akuk pogeng ninik redio Nak kun pakuk ninik eh sau mah dan tamen kik larui motik redio pogen pogeng sau Bareakouk tatun ninik tosog inouk pak inouk  Dalen kojam kik peak lagu tugek peningak kik dalem redio Ineh turek yeng pun yak tosog  eh kojam kik koluk kik sineh
spontaneous-speech-pne-15193.mp3	Dan nah akouk yeng akouk konak piak kik Dan ireh jau tajak ireh pinek piak dekuk ireh pinek yeng mojam baca pinek yeng mojam ayuk internet yeng mojam ayuk pon Ineh tue pun masalah bagik- Kalau amik eh danag danag itouk yeng pun masalah neh	Owk..yeng akouk mojam barak konak konak,dalem masalah konak itouk..dalem piak itouk..nak konak konak peh ireh tinen tamen amik,ukun amik sau tuwerk mojam lobih jin akouk..	Dan h akouk enge akouk konak piak kik Dan ireh jau Tajak ireh pinek piak duke ireh pinek yeng mojam basa pinek yeng mojam ayuk internet yeng mojam ayuk pon Ineh tuek la pun mahsalah bagik kalan ngak Bagik amik eh eh danag daneg itouk yeng pun masala ineh
spontaneous-speech-pne-15197.mp3	Seritak koluek tan kik seritak gangter malaysia irei ineh koluk tan kik koluek naek pah avik kik pun seritak pegau kolak ineh jul tan kik avik pah-pah lomah pak avik akuek konak kek koluk kek piak puas juk nat ireh mau kik nat	Dalem kojam kik, dan konak ireh idun, ireh kinak tuai lak daleh amik, ireh pakey pasport, ireh ayuk erei surat permit. Dan amik Ponan, kurang lobih eh keh bi kek amik ayuk ineh. Jah, jah surat jin ukun amik, jau amik konak tog ketua kampung. Ineh dalem kojam kik.	Seritak koluk tan kik seritak gengster malesia reh Ineh koluk tan kik kelua konat a pah avik bi avik pun seritak neh musik pengawu kolak ineh juk tan kik pa komah pa avik akk konak kek konuk kik puas menat dan ineh baruk kik meonat
spontaneous-speech-pne-15200.mp3	Akouk sumak petipun kat ireh tinen tamen padik kik anag kek lakeik kek Petipun amik nak languk kik nak kivan kik dan amik pojah dan amik pedik Ireh ineh tenipun kik ayuk amik uh petipun ayuk amik pojah kuman Inouk kek Ineh adui amik nan ate langit tenonu	Akeuk pongah maneuk beg, pongah maneuk bukui. Bukan naneuk kik, tinen kik maneuk. Akeuk suma manyam. Keh kek borat, keh kek taleik beg ineh [um] abin vey beg, vey bukui ineh pongah nanyam kik, pongah neuk kik.	Aku sumak petipun kat ireh tinen tamen padik kik anag ik lakik petipun amik nak languk kik nak kiwan kik  ah amik pojah nan amik pedik ireh ineh tenipun kik ayuk amikpetipun amik pojah kuman  inouk kek inouk adui amik dan atu lagik tenonu
spontaneous-speech-pne-15202.mp3	Mauk mauk kelunan pun eh jiak pun yah sat Akouk koluk ngan bakeh pemotew Pemotew avik peh inouk inouk pun yah jiak pun yah sat Pun yah eh ngelaken pun yah ngeronik pojah ngan ulouk Keh mauk mauk kelunan neh bagik akouk Ineh yah jiak ineh ayuk kik pojah	Akouk pogeng ayuk ijin mopuk, ayuk ijin- ayuk tv, ayuk pon, ayuk speka, ayuk inouk jah eh boken. Konak tog solar, ineh semua. Ineh bi pongah ayuk kik.	Mauk mauk kelunan pun yah jiak pun eh sat n akouk koluk ngah bakeh peoto pemoto avik pe ineuh inouk pun yah jiak pun eh sat pun yah eh ngalaken pun yah ngeronik pojah ng ulouk Keh mauk mauk kelunan neh Bagik akouk Ineh yah jiak ineh akuk pojah
spontaneous-speech-pne-15202.mp3	dan pun adui pun keroja akeuk juk keroja keroja inouk inouk sukon akeuk mojam manouk neh sukon akeuk peroti adui ineh tajak nanouk kik sukon pun rigit pun gaji neh ineh ayuk kik murip ineh ayuk kik berajak anag kik sekulah tinen tamen kik ineh pu'kuk ayuk kik koluk sukon eh pun gaji	Akouk pogeng ayuk ijin mopuk, ayuk ijin- ayuk tv, ayuk pon, ayuk speka, ayuk inouk jah eh boken. Konak tog solar, ineh semua. Ineh bi pongah ayuk kik.	Ndan pun adui pun keroja akouk jukg keroja keroja ineh inouk Sukon akuk mojam manouk sukon akouk keroti adui ineh tajam nanouk kik sukan pun rigit pun gaji neh Ineh ayuk kik murip ineh ayuk kik berajak anak kik sekulah aneh tamen kik Ineh pukuk akik koluk sukan eh pun gaji
spontaneous-speech-pne-15207.mp3	Dan kelunan udi kat kelunan yah keroja lak juk lak inak jah tenobai mulik tuai udi tuai cop tuai ale' ngaran Tong inak daleh nah tong kapong sitouk Ineh ireh udi sitouk Eh lobik eh boken jin ineh akouk yeng mojam Pinek	Kelunan eh koluk tan kik tong tv, Siti Nurhaliza. Yeng pun yah boken, yeng pun yah mokeh jin ineh. Jah yah tue koluk tan kik. Nak pun peh jah keluak, yeng akouk mojam ngaran neh. 	Ada kelunan n udi tak kelunan yah keroja lak juk lak inak jah teng nobei mulik pueh udi uah sok taalen naran tong inak daleh neh tong kapung ne situk Ineh ireh udi situ ehh lobi eh boken jineh akuk yyen mojam pinek
spontaneous-speech-pne-15211.mp3	Akouk pogeng ayuk ijin mopuk ayuk ijin- ayuk tv ayuk pon ayuk speka ayuk inouk jah eh boken Konak tog solar ineh semua Ineh bi pongah ayuk kik	Seritak koluek tan kik seritak [um] gangter malaysia irei ineh koluk tan kik koluek naek pah avik kik pun seritak pegau kolak ineh jul tan kik avik pah-pah lomah pak avik akuek [um] konak kek [unclear] koluk kek [unclear] piak puas juk nat ireh mau kik nat	Akau pokeng ayuk ijin mopuk ayuk ijin ayuk tv ayuk pon ayuk speker ayuk inouk jah eh beken kutog sola ineh semua eha ineh bi ponga ayuk kik
spontaneous-speech-pne-15218.mp3	Keh neh ngan kelunan yah tuai tong daleh amik tuai mapun amik ponan setu'ek ireh idun ireh kinak ireh orang putih ireh ineuk pegosak pilipen semua kelunan juk labuh ireh tuai ngan amik sete'uk keh	Yah koluk tan kik tong lagu, um Baby Shima rawah Siti Nurhaliza. Tajak rawah ineh koluk tan kik tong lagu. Jin piak jiak, avik menat rawah jiak. Ineh ayuk kik koluk. 	Keh nan kelunan eh tuai itouk daleh amik t mapun amik ponan situk ireh idun ireh kinak ireh puti ireh Inouk keh masak pilipin semua kelunan eeh jindak leh juk lapun ireh tuai nga amik sitouk
